,Unnamed: 0,press,reporter,title,content,분석결과
0,8,머니투데이,김영상,"文 대통령이 내놓은 노동절 메시지…""직장 내 갑질 없앨 것"" - 머니투데이","(서울=뉴스1) 유승관 기자 = 문재인 대통령이 27일 청와대 여민관에서 열린 제18회 국무회의에서 발언하고 있다. 2021.4.27/뉴스1  

문재인 대통령이 1일 노동절을 맞아 ""임금체불과 직장 내 갑질이 없어지도록 정책적 노력을 기울이겠다""고 밝혔다.

문 대통령은 이날 자신의 SNS(소셜네트워크서비스)에 올린 '함께 회복하고 새롭게 도약하는 세계 노동절'이라는 글에서 이같이 밝혔다.

문 대통령은 ""필수노동자의 헌신적인 손길이 코로나 위기에서 우리의 일상을 든든하게 지켜줬다""며 ""우리 모두 노동의 가치를 더욱 소중하게 생각하게 됐다""고 전했다.

문 대통령은 고용 회복과 고용 안전망 강화를 위한 정부의 노력을 강조했다. 문 대통령은 ""일자리를 지키는 것이 회복의 첫걸음이라는 마음으로 최선을 다하고 있지만 여전히 어려움을 겪고 계신 분들이 많다""며 ""일자리를 더 많이, 더 부지런히 만들고 임금체불과 직장 내 갑질이 없어지도록 계속 정책적 노력을 기울이겠다""고 밝혔다.

노동존중사회 실현이라는 목표도 다시 한번 언급했다. 문 대통령은 ""코로나 위기가 노동 개혁을 미룰 이유가 될 수 없다""며 ""노동시간 단축은 일자리를 나누며 삶의 질을 높이는 과정""이라고 밝혔다. 

이어 ""ILO(국제노동기구) 핵심협약 비준도 노동권에 대한 보편적 규범 속에서 상생하자는 약속""이라며 ""잘 안착될수록 노동의 만족도와 생산성이 높아져 기업에도 도움이 될 것이라 확신한다""고 했다.

그러면서 ""지난해 노동자 전태일 열사께 국민훈장 무궁화장을 드렸다""며 ""정직한 땀으로 숭고한 삶을 살아오신 노동자와 노동존중사회를 만들기 위해 애써오신 모든 분들께 존경의 인사를 드린다. 집으로 돌아가는 노동자들의 발걸음이 더욱 가벼워지도록 계속 노력하겠다""고 했다.",긍정
1,12,머니투데이,세종=,[단독] 文대통령이 7년전 제안한 사회적가치 기본계획 나온다 - 머니투데이,"(서울=뉴스1) 유승관 기자 = 문재인 대통령이 12일 청와대 여민관에서 열린 신종 코로나바이러스 감염증(코로나19) 대응 특별방역 점검회의를 주재하고 있다. 2021.4.12/뉴스1  

정부가 공공기관 사회적 가치 실현 성과평가 등 내용을 담은 5개년 계획 수립에 착수했다. 문재인 대통령이 2014년 국회의원 시절 처음 제안한 '공공기관의 사회적 가치 실현에 관한 기본법'(이하 사회적가치 기본법) 제정안의 국회 통과에 대비하기 위함이다.

30일 정부에 따르면 기획재정부는 최근 '사회적 가치 실현에 관한 기본계획' 연구용역을 발주하고 5년 단위 기본계획 수립 작업을 시작했다. 8월말까지 연구용역을 마쳐 사회적가치 기본법 입법과 발효에 보조를 맞춘다는 계획이다. 법안에 따르면 정부는 사회적가치 실현 기본법 시행 후 6개월 내 기본계획을 수립해야 한다. 

기재부 관계자는 ""공공기관의 사회적가치 성과 평가에 대한 방법론이 용역의 주된 내용""이라며 ""기관별 자체평가 결과를 토대로 종합평가하는 방안 등을 검토 중""이라고 말했다.

현재 사회적가치 기본법 제정안으로는 더불어민주당 박광온 의원과 홍익표 의원이 각각 발의한 2개 법안이 국회에 계류돼 있다. 공공기관이 실현해야 할 사회적 가치를 법률으로 규정하고 대통령 소속 심의기구 설치와 공공부문 성과평가 의무 등을 담은 내용이다.

법안은 중앙행정기관과 지방자치단체가 5년 단위 사회적 가치 실현 기본계획을 세우고 공공기관장은 1년 단위 시행계획을 수립하도록 규정했다. 매년 사회적 가치 실현 성과를 평가하고 그에 따라 표창과 포상금 등 인센티브 부여 근거 역시 포함했다. 

이 법안은 문재인 대통령이 제19대 국회의원 시절인 2014년 6월 가장 먼저 대표 발의했고 이후 김경수 당시 의원(현 경남도지사), 박광온 의원 등이 20대 국회에서 발의했으나 모두 회기 만료로 폐기됐다.

그러나 여당이 과반을 확보한 현재 의석 구도에 비춰볼 때 이번엔 국회 통과가 유력하다는 분석이다. 박광온·홍익표 의원이 발의한 제정안은 현재 기획재정위원회 경제재정소위에서 심사 중이다. 공청회를 통한 의견 수렴 절차도 밟는다.",긍정
2,20,머니투데이,김지훈,"文대통령 ""간호사에 위로…국민 협조에 '집단면역' 앞당긴다"" - 머니투데이","(서울=뉴스1) 유승관 기자 = 문재인 대통령이 30일 서울 종로구보건소에서 아스트라제네카(AZ)사의 신종 코로나바이러스 감염증(코로나19) 백신 2차 접종을 하고 있다. 2021.4.30/뉴스1  

문재인 대통령이 30일 국내 코로나19(COVID-19) 백신 접종 속도와 관련, ""국민들께서 지금처럼 협조해주시면 상반기 1200만명의 접종과 11월 집단면역의 목표를 앞당겨 달성할 수 있을 것""이라고 밝혔다.

문 대통령은 이날 SNS(사회관계망서비스) 메시지를 통해 서울 종로보건소에서 '가짜뉴스'와 악플로 마음 고생을 했다는 황채윤 간호사를 만났던 일을 거론하며 ""보건소에서는 그 일과 무관하게 접종이 순조롭게 진행되고 있다고 한다""며 이같이 말했다.  

황 간호사는 지난달 문 대통령의 1차 접종과 관련해 온라인에 유포됐던 '백신 바꿔치기 의혹'으로 일부 네티즌들의 공격을 받았다. 이날 문 대통령은 방미를 위해 당초 5월 중순으로 잡았던 접종일을 앞당겨 2차 접종을 받았는데 지난달 1차 접종때처럼 황 간호사가 주사를 놨다.  
문 대통령은 ""방미 준비를 위해 오늘 아내와 함께 아스트라제네카 백신 2차 접종을 받았다""며  황 간호사에게 위로의 마음을 전했다고 했다. 

이어 ""전국적으로도 백신 접종에 속도를 내고 있다""며 ""오늘 0시 현재 1차 접종자 305만6000명, 2차 접종자 19만8000명을 기록해 목표를 초과했다""고 밝혔다. 그러면서 ""정부는 접종 속도를 더욱 높여나가는 한편 부작용에 대해서도 충분히 주의를 기울이겠다""고 했다.",긍정
3,30,머니투데이,김지훈,"文 대통령, 다시 만난 간호사에 ""고생 많이 하셨다"" - 머니투데이","(서울=뉴스1) 유승관 기자 = 문재인 대통령이 30일 서울 종로구보건소에서 아스트라제네카(AZ)사의 신종 코로나바이러스 감염증(코로나19) 백신 2차 접종을 하고 있다. 2021.4.30/뉴스1  

문재인 대통령이 30일 오전 코로나19 백신 2차 접종을 받기 위해 찾아간 서울 종로구 보건소에서  ""우리 간호사 선생님이 오히려 고생 많이 하셨다""고 말했다. 

지난달 문 대통령의 1차 접종과 관련해 온라인에 유포됐던 '백신 바꿔치기 의혹'을 에둘러 거론한 것으로 풀이된다. 방역당국이 '가짜뉴스'라며 경찰에 수사를 의뢰한 뒤  의혹 제기자는 경찰에 입건된 사건이다.  1차에 이어 2차 접총을 맡은 간호사는 그간 동료들과 함께 마음 고생을 했다는 점을 털어놨다. 

이날 문 대통령은 직원 안내에 따라 체온 측정 후 사전 작성된 예진표를 지참하고 접종실을 찾았다. 예진표를 의사에게 제출한 뒤 접종을 받기 위해 자리에 앉기 전 황채윤 간호사 앞으로 가 ""(우리는) 고생하지 않았다""며 이렇게 말했다.  

황 간호사는 지난 3월23일 있었던 아스트라제네카 백신 1차 접종 때도 문 대통령에게 주사를 놨던 간호사다.  그러자 황 간호사는 ""저희 팀들이 다 고생을 했다""고 했다. 이날은 1차 접종 때와 다르게 주사기 등 접종에 필요한 기구들을 놓은 이동식 선반이 칸막이 밖에 놓여 있었다.  백신 바꿔치기 의혹을 원천 차단하기 위한 조치로 풀이된다. 

 [서울=뉴시스]박영태 기자 = 문재인 대통령이 30일 오전 서울 종로구 종로보건소에서 코로나19 백신 2차 예방 접종 후 김정숙 여사의 접종을 바라보고 있다. 2021.04.30. since1999@newsis.com1차 접종 때는 이 간호사가 주사액을 소분한 주사기를 들고 칸막이 뒤를 왔다 갔다할 때 처음과 달리 주사기 캡이 닫혀있다는 이유로 바꿔치기 의혹이 제기됐다. 그러자 질병관리청은 허위사실이 유포되고 있다며 경찰청에 관련 수사를 의뢰한 상태라고 밝혔다. 당시 질병관리청은 ""예방 접종 때 주사기 바늘에 다시 캡을 씌웠다가 접종 직전 벗기고 접종한 것은 분주(주사액을 주사기별로 옮김) 후 접종 준비작업 시간 동안 바늘이 오염되는 것을 방지하기 위한 것""이라고 해명한 바 있다.

 대구시경찰청은 정부의 수사 의뢰 이후 위계에 의한 공무집행 방해 혐의로 한 온라인 커뮤니티 글 게시자 1명을 입건했다고 밝혔다. 또 시민단체 '적폐청산 국민참여연대'측은 네티즌들이 허위사실 유포 혐의(정보통신망법 위반)가 있다며 경찰에 고발했다.
 [서울=뉴시스]박영태 기자 = 문재인 대통령과 김정숙 여사가 30일 오전 서울 종로구 종로보건소에서 코로나19 백신 2차 예방 접종을 위해 도착하고 있다. 2021.04.30. since1999@newsis.com이날 1차 접종 이후 38일 만에 2차 접종까지 마친 문 대통령은 ""고맙습니다. 정말로 아프지 않게 잘 놔주셔서 고맙습니다""라고 황 간호사에게 말했다. 김정숙 여사도 황 간호사에게 ""정말 고생 많았죠""라고 말했다. 황 간호사는 ""마음 고생 좀 있었다""고 거듭 답하며 ""따금하세요""라며 주사를 놨다.

문 대통령은 조 바이든 미 대통령과 정상회담을 비롯한 방미 계획을 구체화하면서 원래 5월 중순 받으려던 2차 접종을 예정보다 보름여 앞당겨 받았다. 앞서 문 대통령은 오는 6월 열리는 G7(주요7개국) 회의 초청을 받으면서 '필수목적 출국을 위한 예방접종 절차'에 따라 5월 중순까지 접종을 마무리하려 했다. 그러다 미국 방문계획(현지시간 5월 21일)이 구체화되고 출국 전 충분한 항체 형성기간(2차 접종 후 14일 경과)이 필요함에 따라 당초 예정된 접종일 보다 일정을 앞당긴 것이라고 청와대는 설명했다.",중립
4,54,머니투데이,김지훈,"""햄버거 회담 불쌍"" 말 들었던 스가…文대통령은 다를까 - 머니투데이","[서울=뉴시스]지난 16일(현지시간) 조 바이든 미국 대통령(왼쪽)과 스가 요시히데 일본 총리가 미국 워싱턴 백악관에서 점심으로 햄버거를 먹으며 약 20분 간 회담했다. 사진은 조 바이든 미국 대통령 트위터(@POTUS) 갈무리. 2021.04.19.

문재인 대통령이 현지시각 기준 다음달 21일 조 바이든 미 대통령과 정상회담을 위해 방미한다. 두 정상간 첫 회담과 관련한 '식탁 외교' 등 구체적 일정을 한미가 조율중이다. 문 대통령보다 앞서 조 바이든 미 대통령과 대면 회담을 가진 스가 요시히로 일본 총리와 차별화된 일정이 나올지 주목된다. 

'공식 실무방문' 형식으로 방미했던 스가 총리는 바이든 대통령과  함께 한 '햄버거 오찬'을 하면서 자국의 전 총리로부터 ""그래도 자만하려는가"" ""불쌍했다"" 등 비판을 받은 전례가 있다.   

청와대 고위관계자는 30일 문 대통령의 만찬, 오찬 등 일정과 관련 ""구체적인 상황을 논의 중""이라고 말했다. 양 정상 간의 오찬과 만찬, 문 대통령의 출국·귀국 일정은 한미간 조율이 필요하다는 것이다. 다만  ""스가 요시히데 일본 총리의 사례를 준거할 예정인 것으로 보인다""고 말해 아직 조율은 끝나지 않았지만 문 대통령의 방미 일정에서 스가 총리 사례를 참고할 것이란 점이 시사됐다. 

스가 총리는 지난 16일 방미해 바이든 대통령과 3차례에 걸쳐 회담했다. 이 가운데 첫 만남때 양 정상이 테이블을 두고 마주 앉아 햄버거로 식사를 하는 장면이 바이든 대통령 트위터에 올라 왔다. 

이를 두고  하토야마 유키오 전 일본 총리는 스가 총리를 겨냥해 ""저녁 만찬을 거절당하고 햄버거와 함께 20분 정상회담에서는 불쌍했다""고 비꼬았다. 그러면서 ""그래도 바이든과의 최초 정상회담으로 일본은 자만하려는가""라고 꼬집었다. 

바이든 대통령과 스가 총리는 서로를 '요시' '조'라고 친밀하게 불렀지만 국빈방문 시 마련되는 국빈만찬은 없었다.  

이를 두고 니혼TV 뉴스 등은 일본 정부가 미일 정상의 만찬 개최를 위해 막판까지 끈질기게 협상을 계속했지만 결국 성사되지 못했다고 전한 바 있다. 보도가 사실이라면 미 정부는 방역에 중점을 두면서 바이든 대통령과 첫 대면 정상회담 국가와 만찬을 완강히 거부했다는 의미가 된다.",중립
5,74,머니투데이,최경민,"조해진 ""文대통령, 문자폭탄에 '양념' 아닌 '재'라고 한마디 해야"" - 머니투데이","(서울=뉴스1) 오대일 기자 = 조해진 국민의힘 의원이 23일 서울 여의도 국회 소통관에서 당 대표 선거 출마를 선언하고 있다. 2021.4.23/뉴스1  

조해진 국민의힘 의원은 더불어민주당의 이른바 '문자폭탄'과 관련해 ""대통령이 '이건 양념이 아니고 음식에 재 뿌리는 것'이란 말을 한 번 해줬으면 어떨까 하는 생각이 든다""고 밝혔다.

조 의원은 30일 YTN라디오 '황보선의 출발 새아침'에 출연해 ""사실 지난 대선 때 문재인 대통령이 이런 문자폭탄을 음식에 비유하면 '양념'이라고 하는 바람에 지지자들이 힘을 얻은 것""이라며 이같이 말했다.

이어 ""남의 당 일이긴 하지만, 우리의 정당 문화와 의회 문화 전체를 퇴행시킬 수도 있기 때문에 자제되어야 한다""며 ""대통령이 한 말씀해주면 좋겠다""고 거듭 강조했다.

조 의원은 ""문자가 첨단 IT(정보기술), SNS(소셜네트워크서비스)를 통해서 소통의 수단으로 도입된 아주 좋은 도구""라며 ""이게 악용이 되니 소통의 도구가 아니라 폭압적인 도구가 된 것이 문제""라고 진단했다.

그는 ""문자를 대량으로 보낼 수도 있다. 절실한 민생의 문제가 있을 때, 정치인, 의원들의 관심을 끌기 위해서 할 수는 있다""라면서도 ""그게 아니고 마음에 들지 않는 정치인의 발언을 봉쇄하고, 입을 틀어막기 위한 수단으로 동원되는 바람에 민주주의의 위기까지 논의되는 상황""이라고 설명했다.

조 의원은 ""더불어민주당 안에서도 초선들까지도 신선한 목소리를 내보다가 융단폭격을 받아서 초토화됐다""라며 ""비주류가 쇄신 목소리를 내다가도, 명단 공개를 주저할 정도로 분위기가 살벌하다. 이건 민주주의하고 거리가 있는 것""이라고 말했다.",중립
6,77,머니투데이,김지훈,文대통령 AZ백신 2차접종…한미정상회담으로 2주 앞당겨 - 머니투데이,"(서울=뉴스1) 유승관 기자 = 문재인 대통령이 3월 23일 서울 종로구보건소에서 신종 코로나바이러스 감염증(코로나19) 예방을 위한 아스트라제네카(AZ)사의 백신을 맞고 있다. 2021.3.23/뉴스1  

문재인 대통령이 30일  코로나19(COVID-19) 2차 예방접종을 마쳤다. 조 바이든 미 대통령과 정상회담을 비롯한 방미 일정이 구체화되면서  5월 중순 받으려던 2차 접종을 예정보다 보름여 앞당겨 받았다.  

청와대는 문 대통령이 이날 오전 9시 서울시 종로구 보건소를 방문해 아스트라제네카 백신 2차 접종을 받았다고 밝혔다. 1차 접종을 함께 받았던 김정숙 여사와 대통령비서실 직원 등 8명이 동행해 함께 접종을 받았다. 지난 3월 23일 1차 접종을 담당했던 간호사가 동일하게 문 대통령 일행의 2차 접종을 맡았다.

앞서 문 대통령은 오는 6월 열리는 G7(주요7개국) 회의 초청을 받으면서 '필수목적 출국을 위한 예방접종 절차'에 따라 5월 중순까지 접종을 마무리하려 했다.

하지만 최근 문 대통령의 미국 방문계획(5월 중)이 구체화되고 출국 전 충분한 항체 형성기간(2차 접종 후 14일 경과)이 필요함에 따라 당초 예정된 접종일 보다 일정을 앞당긴 것이라고 청와대는 설명했다. 

청와대와 미 백악관에 따르면 이날 문 대통령이 현지시각 기준으로 21일 미 워싱턴에 있는 백악관을 방문해  조 바이든 미 대통령 취임 이후 첫 정상회담을 갖는다. 이는 바이든 대통령의 초청에 따른 것이다. 문 대통령이 한미 양자정상회담을 위해 방미하는 건 이번이 네 번째다. 
질병관리청은 긴급한 해외 출국자에 한하여 4주 간격으로 1·2차 접종을 허용하고 있으며 아스트라제네카 백신은 국내·외에서 4~12주 접종 간격으로 허가돼 사용되고 있다.",중립
7,93,머니투데이,정진우,"文대통령 ""유신시절 구치소 쓴맛이 성장에 아주 큰 도움"" - 머니투데이","[광주=뉴시스]추상철 기자 = 문재인 대통령이 29일 광주광역시 광산구 광주글로벌모터스 공장에서 열린 준공 기념행사에 참석해 발언하고 있다. 2021.04.29. scchoo@newsis.com

문재인 대통령은 29일 '광주형 일자리' 현장인 광주 빛그린산단 내 광주글로벌모터스(GGM) 준공 기념행사에 참석해 상생형 일자리 창출 모델의 결실을 맺은 관계자들을 격려했다.

광주형 일자리는 노·사의 대타협으로 임금을 줄이고 그만큼 일자리 숫자를 늘리는 사회통합형 일자리 모델이다. 줄어든 임금은 정부와 지방자치단체가 주거·문화·복지·보육시설 등 후생 복지 비용으로 지원한다.

광주광역시가 2014년 처음 제안했고, 2017년 문재인 대통령이 후보 시절 광주형 일자리 모델의 전국적으로 확산시키겠다는 공약을 제시했다. 이후 광주지역 노·사·민·정이 4년 반 동안 노력한 끝에 2019년 1월 광주시와 현대자동차가 투자협약을 맺으면서 광주글로벌모터스란 결실을 맺었다. 국내 완성차 공장이 준공된 것은 1998년 삼성자동차 부산공장 준공식 이후 23년 만에 처음이다.

문 대통령은 ""제가 민주당 당대표 때 광주에서 열렸던 광주형 일자리 모델 토론회에 참석을 했었다""고 회상하며 ""정말 오랜 세월 동안 끈질기게 노력해서 기어코 성공시켜내신 우리 광주 시민들, 또 우리 광주시 정말 대단하다""고 치켜세웠다.

 [광주=뉴시스]추상철 기자 = 문재인 대통령이 29일 광주광역시 광산구 광주글로벌모터스 공장에서 열린 준공 기념행사에 참석하고 있다. 2021.04.29. scchoo@newsis.com
간담회에는 만18세 최연소 입사자와 첫 여성 직원 등 광주글로벌모터스 사원 6명이 문 대통령에게 질문을 하는 시간도 있었다. 이들은 모두 인공지능(AI) 역량면접을 통해 선발됐다.

'인생을 살아오며 가장 중요하게 느껴졌던 경험'을 묻는 질문에 문 대통령은 유신 반대 시위로 구속됐던 대학생 시절을 언급했다.

문 대통령은 ""그때 구치소라는 곳을 갔을 때 정말 참 막막했다""며 ""그 시기의 쓴맛 때문에 그 뒤에 제가 살아오면서 '무슨 일인들 감당하지 못하겠는가. 무슨 일이든 해낼 수 있다'는 자신감도 들고 성장에 아주 큰 도움이 된 것 같다""고 전했다. 그러면서 ""인생은 정말 단맛이 아니라 쓴맛이라고 생각한다""며 ""지금 여기 계신 분들은 입사 이전까지 쓴맛을 겪으셨을 테니 앞으론 단맛만 보실 것""이라고 했다.

또 문 대통령은 사원들에게 ""최신 설비를 갖춰서 아주 안전한 작업 환경을 확보했다고 하는데, 사실 대통령에게 올라오는 보고서 속의 성과는 과장될 수 있는 것""이라며 ""실제로 어떤가""라고 묻기도 했다.

 [광주=뉴시스]추상철 기자 = 문재인 대통령이 29일 광주광역시 광산구 광주글로벌모터스 공장에서 열린 준공 기념행사 후 참석 근로자들과 인사를 나누고 있다. 2021.04.29. scchoo@newsis.com
""가장 솔직하게 말씀드리고 싶다""고 운을 뗀 사원 이주영씨는 ""처음 입사 전 근무환경에 대해 큰 기대는 안 했는데, 막상 다녀보니까 너무 좋다""며 ""시설, 사람이 좋고 특히 밥이 제일 맛있다. GGM 밥을 드셔야 하는데 코로나 때문에 아쉽다""고 말했다.

이용섭 광주시장은 ""9월부터 차가 생산되면 광주형 소형차 구입하는 분들이 많은 혜택 보도록 세제 지원을 건의했다. 꼭 부탁드린다""고 말했다.

행사를 마친 뒤 문 대통령은 '견고'와 '정의'를 상징하는 노각나무를 식수했다. 단단하게 뿌리내리는 노각나무 특성처럼 광주형 일자리 모델이 상생형 일자리 모델로 자리매김하라는 의미에서 문 대통령이 직접 묘목을 선정했다. 노각나무 속에는 대한민국 제1호 상생형 일자리인 광주글로벌모터스에서 노·사·민·정이 함께 성장하기를 희망한다는 의미도 함께 담겼다.",중립
8,95,머니투데이,정진우,"文대통령 ""광주형 상생 일자리, 대한민국의 미래"" - 머니투데이","문재인 대통령이 29일 ""대한민국 제1호 상생형지역일자리모델인 광주형일자리는 우리 경제의 새로운 균형을 찾기 위한 도전이다""며 ""사람과 노동의 가치를 존중하면서 노사 협력을 통해 새로운 일자리를 창출하고 노동자와 기업이 함께 성장하는 경제를 만드는 시도다""고 밝혔다.

문 대통령은 이날 오후 광주 빛그린산단 내 광주글로벌모터스(GGM) 공장에서 개최된 '대한민국 제1호 상생형 지역일자리, GGM 준공 기념 행사'에 참석해 ""GGM은 광주시민과 지자체, 노사가 사회적 대타협으로 탄생시킨 광주의 미래이자 대한민국의 미래다""며 GGM 직원들과 광주지역 노·사·민·정 대표 등 관계자들을 격려했다.

━文대통령 ""노사민정 최선 다해 광주형일자리 탄생""━문 대통령의 이번 방문은 지난 2019년 1월 '광주형 일자리 투자협약식' 참석 이후 2년3개월만이다. 문 대통령은 ""지역경제의 활력을 높이고 국가균형발전의 새로운 시대를 열기 위한 노력을 했다. 쉽지 않은 여정 끝에 마침내 첫 목적지에 도착했다""며 ""상생의 약속을 지키기 위해 '노사민정'이 최선을 다해주신 결과다""며 ""현대차와 광주시가 함께 투자와 협력했다""고 강조했다.

그러면서 ""노동자들은 당당한 주체로서 사측과 상생 협의회를 구성하고 생산성을 높일 방안을 함께 고민했다""며 ""어려운 문제와 고비를 만날 때마다 이용섭 시장과 광주시가 적극 중재 나서주셨고 이제는 서로가 튼튼한 신뢰관계를 구축하게 됐다""고 설명했다.

이어 ""무엇보다도 시민 여러분의 변함없는 지지와 응원이 큰 힘이 됐다""며 ""이제 민주주의의 도시 빛고을 광주에 상생이란 이름을 더하게 됐다""고 덧붙였다.

문 대통령은 후보시절 공약과 취임 이후 국정과제로 '광주형 일자리 모델 전국 확산'을 제시한 바 있다. 광주형 일자리는 노·사·민·정 사회적 대타협의 가능성을 보여준 첫 모델로 이후 밀양, 대구, 구미, 횡성, 군산, 부산, 신안 등 총 8개 지역에서 상생협약이 확산됐다. 8개 지역을 합치면 집적고용 1만2000명(간접 포함 시 13만명)과 51조원의 투자가 기대된다.

━文대통령 ""광주형일자리 정신은 지역균형뉴딜로 이어져""━이날 행사는 간담회 형식의 △동행(광주시장, 한국노총 광주지역본부의장, GGM 대표) △상생(GGM 근로자) △희망(산업통상자원부 장관, 고용노동부 차관, GGM 근로자) 등 3개 세션으로 진행됐다.

문 대통령은 ""광주형일자리는 상생형일자리에 보급돼 곳곳에서 새로운 변화를 일으키고 있다""며 ""상생형 일자리가 밀양과 대구, 구미, 횡성, 군산, 신안까지 확산됐고 총 51조원 투자와 13만 개 고용창출을 예정하고 있다""고 말했다.

그러면서 ""지금 이순간에도 새로운 상생형 지역일자리모델을 찾으려는 노력이 전국 각지에서 계속되고 있고 몇 곳은 올해 안 협약체결 목표로 하고 있다""며 ""광주형일자리 정신은 지역균형뉴딜로도 이어졌다. 지역과 주민 이익 공유에서부터 행정구역의 경계를 뛰어넘는 초광역 협력까지, 다양한 시도가 모색되고 있다""고 강조했다.

문 대통령은 특히 ""이제 대한민국은 광주형일자리 성공을 통해 얻은 자신감으로 함께 더 높이 도약하는 포용혁신국가를 위해 나아갈 것이고, 정부도 적극 뒷받침하겠다""며 ""다양한 지원을 통해 상생형일자리를 우리 경제의 또하나의 성공전략으로 키우겠다""고 말했다.

이어 ""특히 지역이 사회적 합의 통해를 창의적일자리 사업 제시해준다면 정부는 맞춤형 지원방안을 적극 강구해나갈 것""이라며 ""광주의 꿈이 곧 대한민국의 꿈이다. 상생으로 혁신하고 도약하는 광주의 도전을 계속 응원하겠다""고 덧붙였다.

앞서 정부는 2019년 1월 광주형 일자리 타결 이후 같은해 2월 상생형 일자리 대책 수립, 9월 상생형 지역일자리 지원센터 설치, 2020년 4월 균형발전특별법 개정 등 지원시스템을 제도화해 정책의 안정성과 지속성을 확보한 바 있다.

한편 행사가 끝난 후 문 대통령은 광주시장, GGM 대표, 한노총 광주본부의장, 조선이공대 학생과 함께 '견고'와 '정의'를 상징하는 노각나무를 식수하며, GGM에서 노·사·민·정이 함께 성장해나겠다는 데 의미를 더했다.",중립
9,98,머니투데이,정진우,"故정진석 추기경 조문한 文대통령 ""큰 기둥 잃었다"" - 머니투데이","문재인 대통령이 29일 고 정진석 추기경 조문을 마친 후 ""한국 천주교의 큰 기둥을 잃었다""며 안타까움을 나타냈다.

박경미 청와대 대변인은 이날 오후 서면브리핑을 통해 이날 오전 문 대통령과 김정숙 여사가 서울 중구 명동성당에서 정 추기경을 조문하고, 염수정 추기경과 교관 별관으로 이동해 환담을 나눴다고 밝혔다.

염 추기경은 문 대통령 내외에게 ""정진석 추기경께서 2월 21일 성모병원에 입원해 65일간 연명치료 없이 수액만 맞으며 잘 이겨내셨다""고 말했다. 그러면서 ""코로나19로 병문안을 자주하지 못했지만 정 추기경께서는 우리나라와 교회, 평화, 사제와 신자들을 위해 기도하시고 있다고 하셨다""며 ""이제는 주님 품 안에서 우리를 위해 기도해 주실 것""이라고 강조했다.


문 대통령은 이에 ""정 추기경님께서 우리에게 큰 가르침을 주셨다""며 ""힘든 순간에도 삶에 대한 감사와 행복의 중요성과 가치를 강조하셨다""고 말했다.

문 대통령은 ""특히 갈등이 많은 시대에 평화와 화합이 중요하다고 하셨다""며 ""하늘에서도 화합하는 사회를 누구보다 더 간절히 기도해 주실 것이다""고 말했다. 이어 ""지금까지 천주교에서 방역수칙을 모범적으로 지켜준 데 대한 감사하다""고 덧붙였다.

환담 마지막에 문 대통령은 ""정 추기경님의 하늘나라에서의 간절한 기도가 꼭 이루어지기를 원한다""고 다시 강조했고, 염 추기경은 어려운 가운데 이뤄진 조문에 대한 감사의 뜻을 전했다.


한편 문 대통령 내외는 이날 오전 9시10분부터 5분간 조문을 하고 애도를 표했다. 문 대통령 내외는 청와대 참모진과 함께 염수정 추기경의 안내로 정 추기경 시신이 안치된 명동성당 성전으로 입장했다. 이날 조문엔 유영민 대통령비서실장과 김제남 시민사회수석, 유연상 경호처장 등이 동행했다.

독실한 천주교 신자인 문 대통령 내외는 정 추기경이 안치된 투명 유리관 옆쪽에서  성호를 그은 후 눈을 감고 두손을 모아 기도를 했다. 문 대통령 내외는 기도를 마친 후 정진석 추기경 시신을 바라보며, 염 추기경과 대화를 나눴다. 대화 도중 문 대통령은 연신 고개를 끄덕였다.

이후 천주교 관계자가 문 대통령 내외에게 정진석 추기경 사진이 담긴 기도문을 전달했다. 문 대통령은 기도문을 받은 후 안경을 벗고 오른 손에 기도문을 들었다. 문 대통령 내외는 염 추기경 기도에 따라 기도를 했다. 문 대통령은 기도를 마친 뒤 안경을 다시 썼다.


다음은 문 대통령 내외가 염 추기경과 함께 드린 기도문

""지극히 인자하신 아버지, 저희는 그리스도를 믿으며 살다가 이 세상을 떠난 모든 이가 마지막 날에 그리스도와 함께 부활하리라 믿으며 정진석 니콜라오 추기경의 영혼을 아버지 손에 맡겨 드리나이다. 

정진석 니콜라오 추기경이 세상에 살아 있을 때에 무수한 은혜를 베푸시어 아버지의 사랑과 그리스도 안에서 모든 성인의 통공을 드러내 보이셨으니 감사하나이다. 

주님, 저희 기도를 자애로이 들으시어 정진석 니콜라오 추기경에게 천국 낙원의 문을 열어 주시고 남아있는 저희는 그리스도 안에서 모두 다시 만나 주님과 형제들과 함께 영원한 행복을 누릴 때까지 믿음의 말씀으로 서로 위로하며 살게 하소서. 우리 주 그리스도를 통하여 비나이다. 아멘""",중립
