,Unnamed: 0,언론사,기자,제목,본문,분석결과
0,487,서울경제,심기문,"경찰, 박영선 캠프 ‘사전투표 이겼다’ 문자 관련 수사 착수","viewer  박영선 더불어민주당 서울시장 후보./연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });4·7 보궐선거 당시 박영선 더불어민주당 서울시장 후보 캠프 측에서 본투표 전 “사전투표에서 이겼다”고 문자메시지를 발송한 사건에 대해 경찰이 수사에 착수했다.23일 서울 종로경찰서는 서울중앙지검으로부터 22일 사건을 넘겨받고 본격적인 수사에 착수했다고 밝혔다. 앞서 신고를 받고 공직선거법 위반 여부를 확인하던 선거관리위원회는 지난 16일 같은 사건을 수사 중인 서울중앙지검에 수사 자료를 넘긴 바 있다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  지난 5일 박 후보 측 조직총괄본부는 “여러분의 진심 어린 호소와 지원활동으로 서울시민의 마음이 하나로 움직여 사전투표에서 이겼다”는 문자메시지를 캠프 관계자들에게 보냈다. 또 “여러분의 진심이 하나로 모여 승리의 발판이 됐다”며 “아직 숨 돌리고 쉴 때가 아니다”라며 7일 본투표 참여 독려를 호소하기도 했다.이번 보궐선거에서는 공직선거법에 따라 지난 1일부터 선거 투표가 끝나는 7일 오후 8시까지 정당 지지도나 당선 가능성을 예상하게 하는 여론조사 결과는 공개와 보도가 금지됐다./심기문 기자 door@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
1,495,서울경제,강지수,"박영선측 '사전투표 승리 문자' 논란…선관위, 자체조사 결과 검찰에 제출","viewer  박영선 전 중소벤처기업부장관 /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });지난 4·7 서울시장 보궐선거에서 박영선 더불어민주당 후보 측이 본투표도 하기 전 ‘사전투표에서 승리했다’는 문자를 돌려 선거법 위반 논란을 빚은 데 대해 서울시 선거관리위원회가 자체 조사한 결과를 검찰에 제출한 것으로 23일 확인됐다.본투표를 이틀 앞둔 지난 5일 박 후보 선거대책위원회 조직총괄본부는 “여러분의 진심 어린 호소와 지원활동으로 서울시민 마음이 하나로 움직여 사전투표에서 이겼다”는 내용의 문자 메시지를 캠프 특보, 위원장, 본부장 등에게 발송했다. 본부는 또 “여러분의 진심이 하나로 모여 승리의 발판이 됐다”면서도 “아직 숨 돌리고 쉴 때가 아니다. 본투표일이 이틀 남았다”고 투표를 독려하기도 했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  공직선거법에 따르면 같은 달 1일부터 선거 투표가 끝나는 7일 오후 8시까지는 정당 지지도나 당선 가능성을 예상하게 하는 여론조사 결과를 공개·보도할 수 없다. 이에 당시 국민의힘은 논평을 통해 “여론조사 결과를 토대로 한 것이면 여론조사 공표 금지 위반이며, 여론조사 결과에 근거하지 않은 것이면 허위사실 공표”라고 지적한 바 있다국민의힘은 지난 15일 “중앙선거관리위원회가 4·7 재보궐선거 중 불공정 선거 관리 논란을 빚었다”며 “오는 19일 개의 예정인 국회 본회의에 노정희 중앙선관위원장의 출석을 요구했다”고 밝혔다. 허은아 국민의힘 의원은 보도자료를 통해 “더불어민주당 박영선 후보 선거대책위원회는 선거일 직전인 5일 ‘박영선 측이 사전투표에서 승리했다’는 취지의 문자를 발송해 논란이 됐고, 실제 개표 결과에서 오세훈 후보가 10만표 이상 앞선 것으로 나타나 허위사실 유포라는 문제가 제기됨에도 불구하고 선관위는 14일 현재까지도 해당 건에 대해 조사 중이다”라고 지적했다./강지수 인턴기자 jisukang@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
2,1345,서울경제,송영규,해리스 전 미국 대사 '부산시장 '박영선' 승리 축하' 실수,"viewer  해리 해리스 전 주한미국대사googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });해리 해리스(사진) 전 주한 미국 대사가 4·7 재보궐선거에서 승리한 박형준 부산시장을 ‘박영선’으로 잘못 표기해 사과하는 해프닝을 벌였다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });해리스 전 대사는 선거 이틀 뒤인 지난 9일(현지 시간) 소셜네트워크서비스(SNS)를 통해 “서울과 부산시장 선거에 출마해 승리한 오세훈과 박영선에게 진심으로 축하 인사를 전한다”고 적었다.하지만 실제 부산시장 당선자는 96만 1,576표로 62.67%의 득표율을 기록한 ‘박형준’ 당시 국민의힘 후보다. 박영선 당시 더불어민주당 후보는 서울시장 선거에 출마했지만 39.18%(190만 7,336표)를 득표하는 데 그쳐 오세훈 국민의힘 후보에게 승리를 넘겨줬다. 결국 해리스 전 대사가 ‘박형준’을 ‘박영선’으로 잘못 표기한 것이다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  주한 미국 대사관 등의 지적으로 뒤늦게 잘못 표기했음을 알게 된 해리스 전 대사는 하루 뒤인 10일 “내가 큰 실수를 저질렀다. 앞서 올린 트윗을 정정한다. 어떻게 이럴 수가…”라고 잘못을 시인한 후 “서울과 부산시장 선거에 출마해 승리한 오세훈과 ‘박형준’에게 진심으로 축하 인사를 전한다”고 수정했다.해리스 전 대사는 도널드 트럼프 행정부 시기인 2018년 7월 취임해 2년 6개월간 주한 대사직을 맡으면서 한국에 각별한 관심을 보였다. 특히 그룹 방탄소년단(BTS) 등 K팝을 포함한 한국 문화와 음식·야구 등에 각별한 애정을 나타냈다. 해리스 전 대사는 조 바이든 행정부 출범 하루 전인 올해 1월 19일 이임식을 하고 이튿날인 20일 미국으로 돌아갔다./송영규  기자 skong@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
3,1477,서울경제,주재현,박영선 “중요한 건 정권 재창출…앞으로 할일 많아”,"viewer  박영선 전 중소기업벤처부 장관이 지난 7일 4·7 재보궐선거 출구조사 결과 오세훈 서울시장에게 패배할 것이라는 전망이 나온 후 더불어민주당 당사로 들어가고 있다. / 권욱 기자googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });4·7 서울시장 보궐선거에서 패배한 박영선 전 더불어민주당 서울시장 후보가 8일 “지금 이 순간 제일 중요한 것은 내년 정권 재창출”이라고 강조했다.
박 전 후보는 이날 선거 캠프 해단식에 참석해 “(정권을 재창출해야) 대한민국 민주주의를 지킬 것”이라며 이렇게 말했다. 그는 “대한민국 후손을 위해 내년에 2007년과 같은 일이 있어서는 안 된다”고 힘줘 말했다. 앞서 대통합민주신당(더불어민주당의 전신)은 지난 2007년 대선에서 패배한 후 한동안 패배주의를 겪었다.
그러면서 박 전 후보는 “많이 울고 싶지만 울어서도 안 된다. 앞으로 해야 할 일이 많다”면서 “우리가 거짓에 무릎을 꿇을 수는 없지 않나. 저도 울지 않으려고 일주일간 마음을 다잡았다”고 말했다.
그는 “끝까지 저와 민주당을 지켜주셔서 감사하다”면서 “모든 것은 후보가 부족한 것이다. 이 자리에 계신 분들은 끝까지 최선을 다했다”고 캠프 관계자들을 위로하기도 했다.
이날 해단식에 참석한 안규백 의원도 “가슴이 먹먹하다. 처음부터 어려운 선거였다”고 소회를 밝혔다. 안 의원은 “선거와 전쟁은 같다”며 “척박하고 어려운 환경에서도 캠프를 지켜주신 여러분께 존경과 감사의 마음을 표한다”고 덧붙였다./주재현 기자 joojh@sedaily.com (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
4,1561,서울경제,이희조,박영선 “새로운 봄 준비했는데 지고 말았다”…패배 인정,"viewer  박영선 더불어민주당 서울시장 후보가 전날 밤 서울 여의도 더불어민주당사에서 취재진에게 입장을 밝힌 뒤 당사를 떠나고 있다. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });박영선 더불어민주당 서울시장 후보가 8일 “천만 시민의 새로운 봄을 정성껏 준비했지만 그 봄이 지고 말았다”며 4·7 재보궐선거 패배를 인정했다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });박 후보는 이날 자신의 소셜네트워크서비스(SNS)에 “이른 새벽 하얀 목련이 피는 것을 보며 집을 나섰다”며 “목련의 단아하고 눈부신 흰빛에 맺힌 간절함이 봄을 말하고 있었다”며 이같이 적었다.글에서 그는 박용주 시인의 시 ‘목련이 진들’의 구절 “목련이 지는 것을 슬퍼하지 말자. 피었다 지는 것이 목련뿐이랴. 기쁨으로 피어나 눈물로 지는 것이 어디 목련뿐이랴”를 언급했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  박 후보는 “새로 피어나는 연초록 잎을 보며 깊은 성찰의 시간을 갖겠다”고 했다. 그러면서 서울시민과 민주당원들을 향해 “많은 강을 건넜고 깊은 산을 넘었다”며 “모두 감사하다. 모두 잊지 않겠다”고 소회를 밝혔다.이어 “진심이 승리하길 염원한 시민들께 끝없는 감사를 드리며 엎드려 큰절을 올린다”며 “회초리를 들어주신 시민들의 마음도 모두 받겠다”고 덧붙였다.앞서 박 후보는 전날 저녁 개표가 진행되던 중 여의도 당사에서 기자들과 만난 자리에서도 ""겸허한 마음으로 모든 것을 받아들이면서 가야겠다""고 밝혔다./이희조 기자 love@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
5,1585,서울경제,권욱,박영선 '겸허한 마음으로 모든 것 받아들인다',"viewer googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });더불어민주당 박영선 서울시장 후보가 7일 서울 여의도 중앙당사에서 취재진 질문에 답하고 있다. 박 후보는 이날 “겸허한 마음으로 모든 것을 받아들이면서 가야겠다고 생각한고” 말했다./권욱 기자 2021.04.07/권욱 기자 ukkwon@sedaily.com (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
6,1586,서울경제,권욱,여의도 당사 떠나는 박영선 후보,"viewer googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });출구조사 결과 오세훈 국민의힘 서울시장 후보가 당선 가능성이 높을 것으로 밝혀진 7일 오후 서울 여의도 더불어민주당사를 찾은 박영선 후보가 개표상황실을 거치지 않고 건물을 나서고 있다./권욱 기자 2021.04.07/권욱 기자 ukkwon@sedaily.com (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
7,1587,서울경제,권욱,더불어민주당 당사 들어서는 박영선,"viewer googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });출구조사 결과 오세훈 국민의힘 서울시장 후보가 당선 가능성이 높을 것으로 밝혀진 7일 오후 서울 여의도 더불어민주당사에 박영선 후보가 들어서고 있다./권욱 기자 2021.04.07/권욱 기자 ukkwon@sedaily.com (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
8,1588,서울경제,김인엽,박영선 “진심이 승리하길…회초리 들어주신 시민에는 겸허한 마음”,"viewer  4·7 재보궐선거 더불어민주당 박영선 서울시장 후보가 7일 밤 서울 종로구 안국빌딩 선거캠프를 찾아 캠프 관계자들과 인사를 나눈 뒤 떠나고 있다./연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });4·7 재보궐선거 출구조사에서 20%이상 격차로 뒤진 박영선 더불어민주당 서울시장 후보가 “회초리를 들어주신 시민 여러분께 겸허한 마음으로 모든 것을 받아들이면서 가야 되겠다”고 밝혔다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });박 후보는 이날 서울 여의도에서 위치한 당사에서 기자들과 만나 “진심이 승리하길 바란다”며 이같이 말했다. 그는 기자들의 추가적인 질문에는 답변하지 않은 채 차량에 탑승했다.앞서 박 후보는 서울 종로구 안국동에 위치한 캠프 사무실을 찾아 비공개로 실무자들을 격려하기도 했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  앞서 4·7 서울·부산시장 재보선 방송사 공동 출구조사위원회(KEP, KBS·MBC·SBS)는 7일 오후 8시 15분에 공개한 출구조사 결과에서 오 후보의 득표율을 59.0%로 예상했다. 경쟁자인 박영선 더불어민주당 후보는 37.7%를 기록해 오 후보가 박 후보를 21.3%포인트로 따돌린 것으로 예측됐다.오 후보가 박 후보를 오차범위 밖에서 앞선 득표율이 개표율로 연결될 경우 당선이 유력할 것으로 전망된다. 특히 오 후보는 40대를 제외한 전 연령대에서 박 후보를 앞섰다. 오 후보는 20대에서 55.6%를 득표할 것으로 예상돼 33.6%를 얻은 박 후보와 큰 격차를 보였다. 또 오 후보는 60대에서 69.7%의 지지율을 보인 반면 박 후보는 29.1% 득표에 그쳤다./김인엽 기자 inside@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
9,1609,서울경제,권욱,출구조사 결과 지켜보는 박영선 선거캠프,"viewer googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });7일 오후 서울 종로구 안국빌당에 마련된 4·7 재보궐선거 더불어민주당 박영선 서울시장 후보 캠프 상황실에서 진성준, 기동민 의원 등 더불어민주당 의원들과 지지자들이 박 후보가 열세로 나나탄 방송3사(KBS,MBC,SBS) 공동 출구 조사 결과 발표를 굳은 표정으로 지켜보고 있다. /국회사진기자단 2021.04.07   viewer  (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  7일 오후 서울 종로구 안국빌당에 마련된 4·7 재보궐선거 더불어민주당 박영선 서울시장 후보 캠프 상황실에서 진성준, 기동민 의원 등 더불어민주당 의원들과 지지자들이 박 후보가 열세로 나나탄 방송3사(KBS,MBC,SBS) 공동 출구 조사 결과 발표를 굳은 표정으로 지켜보고 있다. /국회사진기자단 2021.04.07/권욱 기자 ukkwon@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
