,Unnamed: 0,press,reporter,title,content,분석결과
0,210,서울경제,김경훈,정부 '비트코인' 과세 방침에 홍준표 '탈출구 없는 청년들 돌파구…시대에 역행',"viewer  홍준표 무소속 의원/연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });정부가 비트코인 등 가상자산은 화폐나 금융자산이 아니라면서 내년 과세 방침을 분명히 한 것과 관련, 홍준표 무소속 의원이 ""탈출구 없는 청년들이 돌파구로 택한 비트코인을 불법으로 몰아간다면 블록체인을 기반으로 한 신기술들이 모두 사장되고 퇴장되는 시대 역행이 될지도 모른다""고 날카롭게 대립각을 세웠다. 홍 의원은 28일 자신의 페이수북에 올린 글을 통해 ""시대가 변하면 국가는 변하는 시대에 맞추어 정책을 펼쳐야 한다""며 ""비트코인 거래를 불법으로 몰고 가면서 이에 과세 하겠다는 것은 또 무슨 경우인가?""라고 목소리를 높였다. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });그러면서 홍 의원은 ""일자리 창출에 실패해 청년들은 거리를 헤매고 잘못된 좌파정책으로 자영업과 중소기업은 나락으로 떨어지고 대기업은 문재인 정권의 갑질에 투자를 머뭇거리고 있다""며 ""갖은 가렴주구로 국민들은 중세에 시름하고 있는 지금 신기술마저 불법으로 치부해 버린다면 이 나라의 미래는 없다""고 거듭 정부를 향한 강한 어조의 비판을 이어갔다.    viewer  홍남기 부총리 겸 기획재정부 장관/연합뉴스 (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  앞서 홍남기 부총리 겸 기획재정부 장관은 전날 정부세종청사 기자간담회에서 ""내년 1월 1일부터 기타소득으로 분류해 과세가 이뤄진다""며 ""가상소득 거래 소득에 대해서는 조세 형평상 과세하지 않을 수 없는 사안""이라고 밝혔다. 아울러 홍 부총리는 ""정부는 암호화폐나 가상화폐가 아닌 가상자산이란 용어를 쓴다""면서 ""저는 화폐(커런시)가 아니라고 생각한다""고도 했다. 그러면서 홍 부총리는 ""가상자산은 무형이지만 경제적 가치가 있으니까 시장에서 거래가 되는 그런 자산으로 보시면 된다""며 ""주요 20개국(G20)에서도 처음엔 암호화폐(크립토커런시)란 용어를 쓰다가 이제 가상자산(버추얼 에셋)으로 용어로 통일했다""고 부연했다. 여기에 덧붙여 홍 부총리는 ""가상자산을 자본시장육성법상 정한 금융투자자산으로 보기는 어렵다는 게 금융위원회의 의견""이라면서 ""(이러한 의견은) 자본시장육성법상의 규제라든가 규제는 물론 (투자자) 보호도 대상이 아니라는 표현으로 제가 이해한다""고 했다. /김경훈 기자 styxx@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
1,235,서울경제,김남균,조해진 '안철수 대선 출마·홍준표는 복당…대통합하자',"viewer  조해진 국민의힘 의원이 지난 23일 서울 여의도 국회 소통관에서 당대표 선거 출마를 선언하고 있다./권욱 기자googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });국민의힘 차기 당대표에 도전하는 조해진 의원이 28일 안철수 국민의당 대표가 '대선 불출마' 선언을 번복하고 대권에 도전해야 정권교체에 도움이 된다고 말했다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });조 의원은 이날 MBC 라디오 ‘김종배의 시선집중’에 출연해 “(안 대표가) 대선 출마에 대해서 열어 놓고 고민하실 필요가 있다”고 했다. 그러면서 “정권교체를 바라는 모든 사람들의 힘과 열정과 에너지를 하나로 모으는데 저는 의미가 있고 도움이 된다고 생각하기 때문에 그 고민을 해볼 필요가 있다고 본다”고 강조했다.앞서 안 대표는 지난 서울시장 보궐선거 출마 선언을 하며 2022년 대선에 출마하지 않겠다는 입장을 밝혔고 이후에도 여러 차례 불출마 의사를 보였다. 이태규 국민의당 사무총장도 지난 19일 한 라디오 방송에서 “대선을 접었다는 것은 (안 대표가) 서울시장이 안돼도 여전히 유효하다”며 “정권교체를 하려면 본인이 연출자가 되든 주연이 되든 조연이 되든 백의종군하든 역할에 연연하지 않겠다라는 입장을 갖고 있는 것으로 알고 있다”고 했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  이에 조 의원은 정권 교체를 위해 중량감 있는 인물들이 모두 힘을 합쳐야 한다고 주장했다. 그는 “우리 당에 대해서는 그동안 거리를 둬왔던 중도계층, 심지어 진보층 일부도 우리당과 같이 어떻게든 연대해서 정권교체 하자는 마당에 우리 당에 인연이 있었던 분들은 무조건 힘을 모아야 한다”고 했다. 그러면서 “우리 당과 조금이라도 인연이 있던 사람이라면 자기 있는 위치에서 자기 역할을 찾아서 해야한다”고 덧붙였다.조 의원은 황교안 전 대표과 홍준표 무소속 의원에 대해서도 비슷한 입장을 취했다. 조 의원은 ‘홍준표 의원 복당도 바로 추진하느냐’는 질문에 “시점을 특정할 순 없지만 밖에 있는 윤석열 전 총장하고도 같이 하려고 하는 마당에 우리당의 당대표·대선후보까지 지낸 분을 밖에 혼자 떨궈 놓고 한다면 대통합이 안 된다”고 했다./김남균 기자 south@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
2,278,서울경제,김경훈,"홍준표, '50년 기다린 사마의' 언급 '세상이 평정되면 다 해소될 것을 뭐 하러'","viewer  홍준표 무소속 의원/연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });홍준표 무소속 의원의 복당을 두고 국민의힘 내부에서 찬반이 첨예하게 엇갈리는 상황과 관련, 홍 의원이 차분하게 때를 기다리겠다는 속마음을 드러냈다. 홍 의원은 27일 자신의 페이스북에 올린 글을 통해 ""100세 시대 유엔 세대 분류 기준을 보면 18~65세 까지를 청년, 66~79세까지를 중년, 80세부터를 노년이라고 한다""며 ""유엔 기준을 보면 나는 청년을 넘어 중년으로 들어섰다""고 말문을 열었다. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });그러면서 홍 의원은 ""중년이 돼서야 참는 법을 알았다는 것이 참으로 안타깝다""면서 ""벌새들의 시샘도, 소인배들의 모략도, 모리배들의 농간도 참는다""고 적었다. 이같은 홍 의원의 언급은 자신에게 '강성 이미지'를 입히고 복당을 반대하는 국민의힘 일부 의원들을 겨냥한 것으로 읽힌다.  (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  홍 의원은 아울러 ""세상이 평정되면 다 해소될 것을 뭐하러 지금 조급할 필요가 있는가라고 조언을 듣는다""고 했다. 여기에 덧붙여 홍 의원은 ""화는 스스로의 판단을 흐리게 하고 종국에 가서는 파멸을 부른다""면서 ""50년 동안 참고 기다린 사마의를 다시금 생각케 하는 요즘""이라고 썼다. 사마의는 중국 삼국시대 위나라의 재상으로 조조 일가 밑에서 오랜 시간 기회를 엿보다가 권력을 장악한 인물이다. /김경훈 기자 styxx@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
3,419,서울경제,강지수,"홍준표 “文정권, 퇴임 후 물릴까 검찰 토사구팽”","viewer  홍준표 무소속 의원 /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });검사 출신 홍준표 무소속 의원이 25일 문재인 정권에서 토사구팽 당하고 빈 껍데기가 된 검찰이 더 이상 찾지 않는 존재가 됐다고 푸념했다.홍 의원은 이날 자신의 페이스북에 “문재인 정권 초기 검찰은 이명박·박근혜 정권 사람들을 사냥하는 데 견마지로를 다 했다. 이른바 정치수사를 자행했다”고 말했다. 이어 “그 바람에 어떤 사람은 벼락출세하기도 하고, 검찰이 마치 정의의 사도인 양 행세했다”고 지적했다. 그는 “정권 입장에서는 이런 사냥개 조직을 그대로 두면 자신들이 퇴임 후 또 물릴 수 있다고 보고, 대부분 수사권은 경찰로 이관하고 고급 범죄는 공수처로 넘겨 허깨비 검찰을 만듦으로써 검찰을 토사구팽했다”고 꼬집었다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  그러면서 “이제 법무법인에서도 검사 출신 변호사를 찾지 않는다고 한다. 빈 껍데기가 된 검찰에 변론할 필요가 없어지게 된 것”이라며 “이 모든 것이 문재인 정권 앞잡이 노릇을 한 일부 정치검사들의 탓”이라고 비판했다. 홍 의원은 “사법체계 붕괴를 오게 한 그들은 지금 이걸 알고 있을까”라며 “그 피해는 고스란히 남아있는 검사들이 보고 있다”고 적었다./강지수 인턴기자 jisukang@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
4,436,서울경제,강지수,홍준표 “조폭·양아치 리더십이 미화”…윤석열·이재명 저격,"viewer  홍준표 무소속 의원 /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });홍준표 무소속 의원이 차기 대선 주자들을 향해 “조폭 리더십이 형님 리더십으로, 양아치 리더십이 사이다 리더십으로 미화되고 있다”고 지적했다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });홍 의원은 페이스북을 통해 “24일 모처럼 청계산에 올라 서울 시내를 바라봤다”고 운을 뗐다. 이어 알고 지내던 언론인이 자극적인 기사가 판을 치는 세상이 됐다고 푸념했다며 “이처럼 B급 언론이 각광 받고 페이크 뉴스가 난무하고 정도를 가는 언론이 외면받으면 한국 사회는 B급 사회가 되고 거짓과 선동이 난무하는 혼돈의 세상이 된다”고 강조했다.그러면서 “조폭 리더십이 형님 리더십으로 미화되고 양아치 리더십이 사이다 리더십으로 둔갑하고 응답률 5%도 안 되는 여론조사가 활개치는 나라가 되어선 안 된다”며 윤석열 전 검찰총장과 이재명 경기지사를 싸잡아 비판했다. 그는 이어 “평상심이 지배하고 상식이 변칙을 누르는 정상 사회로 돌아가야 한다. 가는 봄을 아쉬워하며 봄날은 간다를 불러 본다”며 ‘연분홍 치마가 봄바람에 휘날리더라~’를 흥얼거렸다고 했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  한편 지난 22일 차기 대권주자 적합도 조사에서 이 지사와 윤 전 총장이 3주 연속 오차 범위 내에서 각각 1·2위를 유지하고 있다는 여론조사 결과가 발표됐다. 엠브레인퍼블릭·케이스탯리서치·코리아리서치·한국리서치가 19일부터 21일까지 성인 1,009명을 대상으로 실시한 4월 3주차 전국지표조사(NBS)에 따르면 응답자의 25%가 차기 대통령감으로 이 지사를 뽑았다. 윤 전 총장 지지율은 22%를 기록했다. 이 지사는 같은 조사에서 9일 윤 전 총장을 꺾고 다시 지지율 1위를 기록한 이후 3주째 선두를 유지하고 있다. 이 지사에 비해 지지율이 6%포인트까지 뒤졌던 윤 전 총장은 22일 지지율 차를 3%포인트까지 줄이며 오차 범위 내에서 이 지사를 따라잡고 있다. 한때 유력한 대권주자로 손꼽혔던 이낙연 전 더불어민주당 대표를 차기 대권 주자로 꼽은 응답은 8%에 그쳐 2주 연속 한 자릿수 지지율을 기록했다. 이 전 대표에 이어 홍 의원(3%), 안철수 국민의당 대표(3%), 정세균 전 총리(2%), 심상정 정의당 의원(1%), 황교안 전 자유한국당(현 국민의힘) 대표(1%)가 대권주자로 이름을 올렸다.이번 조사는 통신 3사가 제공하는 휴대전화 가상번호(100%)를 활용한 전화면접조사로 진행됐다. 표본오차는 95%신뢰수준에서 ±3.1%포인트다. 자세한 조사 결과는 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다./강지수 인턴기자 jisukang@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
5,437,서울경제,김남균,"홍준표, 윤석열·이재명 에둘러 비판…'조폭·양아치 리더십'","viewer  홍준표 무소속 의원./연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });홍준표 무소속 의원이 윤석열 전 검찰총장과 이재명 경기도지사가 차기 대권후보 지지율 선두를 달리고 있다는 여론조사 결과와 이 둘을 모두 비판했다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });홍 의원은 지난 24일 자신의 소셜네트워크서비스(SNS)를 통해 “조폭 리더십이 형님 리더십으로 미화되고, 양아치 리더십이 사이다 리더십으로 둔갑하고, 응답률 5%도 안 되는 여론조사가 활개치는 나라가 되어서도 안 된다”며 이 같이 밝혔다.조폭 리더십과 양아치 리더십을 언급한 부분은 윤석열 전 검찰총장과 이재명 경기지사를 간접적으로 비판한 것으로 읽힌다. 홍 의원은 지난달 5일에도 SNS에 검찰을 두고 “조폭 같은 의리”라고 비판했다. ‘사이다 리더십’은 이 지사 측이 강점으로 내세우는 키워드다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  홍 의원은 이 지사와 윤 전 총장이 높은 지지율을 차지하는 이유는 언론이 자극적으로 포장해주기 때문이라며 불만을 표했다. 홍 의원은 “지금 대한민국 언론 상황은 B급 언론, 황색 언론이 자극적인 기사로 판을 치는 세상이 됐다”고 지적했다. 그러면서 “B급 언론이 각광을 받고 페이크 뉴스가 난무하고 정도를 가는 언론이 오히려 외면 받는 세상이 되면 한국사회는 B급 사회가 되고 거짓과 선동이 난무하는 혼돈의 세상이 된다”고 했다. 홍 의원은 “평상심이 지배하고 상식이 변칙을 누르는 정상사회로 돌아가야 한다”고 덧붙였다.앞서 이 지사와 윤 전 총장은 지난 22일 차기 대권주자 적합도를 묻는 여론조사에서 오차범위 내 각각 1·2위를 차지했다. 엠브레인퍼블릭·케이스탯리서치·코리아리서치·한국리서치가 지난 19일~21일 성인 1,009명을 대상으로 실시한 조사(표본오차는 95%·신뢰수준에 ±3.1%포인트·응답률 29.6%)에 따르면 응답자의 25%가 차기 대통령감으로 이 지사를 뽑았다. 윤 전 총장의 지지율은 22%를 기록했다. 홍 의원은 3%대를 기록했다. 자세한 여론조사 결과는 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다./김남균 기자 south@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
6,558,서울경제,김남균,홍준표 '이명박·박근혜와 단절? 부끄러운 부모도 내 부모',"viewer  홍준표 무소속 의원./연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });홍준표 무소속 의원이 22일 이명박·박근혜 전직 대통령 사면론 등을 놓고 내부 갈등을 빚고 있는 국민의힘을 비판했다.홍 의원은 이날 자신의 소셜네트워크서비스(SNS)를 통해 “그분들과 역사를 단절하며 집권을 꿈꾸는 것은 위선”이라며 이 같이 밝혔다. 홍 의원은 “노태우 전 대통령은 전두환 정권의 공과를, 김영삼 전 대통령은 노태우 정권의 공과를, 노무현 전 대통령은 김대중 정권의 공과를 안고 집권했다”고 적었다. 이어 “지금 집권한 문재인 대통령은 폐족을 자처하던 노무현 잔여세력들이 뭉쳐 노무현 정권 2기를 만든 것이지 노무현 정권과 차별화 하거나 역사 단절을 외치고 있지 않다”고 했다. 그러면서 “(국민의힘이) 이명박·박근혜 정권의 공과를 안고 더 나은 모습으로 국민들의 심판을 받을 생각을 해야지 그분들과 역사를 단절시키면서 집권을 꿈꾸는 것은 위선이고 기만”이라고 강조했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  홍 의원의 이 같은 주장은 최근 국민의힘 내부에서 제기되는 두 전직 대통령에 대한 사면 시기상조론 내지 반대론에 대한 비판으로 풀이된다. 앞서 서병수 국민의힘 의원은 지난 20일 국회 대정부질문에서 “저를 포함해 많은 국민이 박 전 대통령 탄핵이 잘못됐다고 믿고 있다”고 말했다. 이에 국민의힘 안팎에선 탄핵 불복에 대한 비판과 함께 두 전직 대통령들에 대한 사면론도 적절하지 않다는 지적이 나왔다. 김재섭 국민의힘 비상대책위원은 이날 한 라디오 방송에서 “초선이나 쇄신을 하려고 하는 의원들은 (전직 대통령들) 사면에 대해 시기상조라고 한다”고 했다. 이준석 전 국민의힘 최고위원도 전날 “지금 시점에서 사면을 논의하기엔 비판 받을 수 있으니 저 같으면 안 한다”고 말한 바 있다.이에 홍 의원은 “아무리 염량세태(炎凉世態·권세가 있으면 모이고 없어지면 푸대접하는 모습을 뜻함)라고들 하지만 부끄러운 조상도 내 조상이고 부끄러운 부모도 내 부모”라고 꼬집었다. 이어 “쿠데타로 집권하지 않은 이상 단절되지 않고 도도히 흘러가는 것이 역사”라고 덧붙였다./김남균 기자 south@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
7,624,서울경제,박신원,홍준표 '내 아들이 이스타 부정채용 피해자…野 인사 아들이라는 이유',"viewer  무소속 홍준표 의원. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });무소속 홍준표 의원은 21일 이스타항공 창업주 무소속 이상직 의원의 '부정채용 지시' 의혹에 관해 자신의 아들은 정작 야당 인사의 아들이라는 이유로 이스타항공 면접에서 떨어졌다고 주장했다. 이상직 의원은 횡령·배임 등의 혐의로 구속영장이 청구됐으며 2014∼2015년 승무원 채용 과정에서 인사팀에 특정 지원자를 추천했다는 의혹을 받는다.홍 의원은 SNS에서 ""둘째 아들이 4년 전 잘 다니던 자동차 회사 해외영업부를 과장 승진 직전에 사직하고, 파일럿을 꿈꾸며 미국 애리조나 비행 학교에 가 대형항공기 면허까지 받아왔다""며 ""2년 동안 번번이 면접에서 떨어졌다""고 말했다. 그는 ""LCC(저비용항공사)마다 필기·실기 시험에 합격하고도, 늘 면접에서 아버지가 야당 인사라는 이유로 떨어졌다""며 ""야당 인사 아들을 취업시키면 국토교통부 항공정책실에서 항공노선 조정 때 불이익을 주기 때문이라 했다""고 주장했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  홍 의원은 ""땅·바다·하늘의 모든 면허증을 17개나 가진 둘째 아들은 지금은 파일럿을 포기하고, 중견 기업에서 성실히 근무하고 있다""며 ""홍준표 아들이라는 것이 족쇄가 되는 것은 참으로 잘못된 세상""이라고 목소리를 높였다. 이어 ""야당 아들에겐 블랙리스트를 항공사마다 돌려 정당한 취업도 가로막는 횡포를 자행하더니, 자기끼리는 특혜 취업을 했다""며 ""양두구육""이라고 강하게 비판했다.홍 의원은 2004년 노무현 정부 시절 교통사고로 발목에 철심을 박아 병역면제 대상이었던 둘째 아들이 철심을 빼고 신체검사 2급 판정을 받은 뒤 수송병에 지원했으나 탈락했던 일화도 언급했다. 아들이 중장비 면허까지 있었다면서 ""입대 통보가 없어서 알아보니 '수송병과는 비리가 많은데 야당 저격수 아들을 데리고 가겠느냐'고 답했다""며 ""그날 술을 한잔하고 들어온 아들이 '아버지는 내 인생에 전혀 도움이 안 된다'고 푸념을 늘어놓고 바로 해병대에 지원 입대를 했다""고 말했다./박신원 인턴기자 shin01@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
8,689,서울경제,강지수,"홍준표 '종부세, 중복과세 원칙에 어긋나…순진한 국민들 조세저항해야'","viewer  홍준표 무소속 의원 /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });재보궐 선거 참패 후 부동산 정책 유턴에 속도를 내고 있는 더불어민주당에서 종합부동산세 적용 대상을 9억원에서 12억원으로 상향하는 종부세법 개정안이 발의된 가운데 홍준표 무소속 의원이 정부의 부동산 세법을 두고 “중복과세 금지 원칙에도 어긋나고 조세법률주의에도 어긋나는 위헌적 제도”라고 날을 세웠다.홍 의원은 20일 자신의 페이스북을 통해 “한 물건에는 한 종목의 세금이 부과되는 것이 조세의 기본 원칙”이라며 “지금 부동산 세제 중 재산세와 종부세는 한 물건에 중복 과세가 되고 있다”고 꼬집었다. 그러면서 “원래 종부세는 집도 있고 땅도 있고 상가도 있는 경우 종합부동산에 누진적으로 과세하는 제도인데 단일 부동산이 9억 넘는다고 재산세 외에 또 종부세를 부과하는 것은 중복과세 금지 원칙에도 어긋나고 조세법률주의에도 어긋나는 위헌적 제도”라고 지적했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  그는 “더구나 행정기관이 자의적으로 정하는 공시지가에 따라 종부세를 또 부과할 때 그 위헌성은 더욱더 커진다”며 “단일 부동산에는 재산세 과표만 현실화하면 될 것을 위헌적인 종부세를 또 부과하는 것은 명백히 헌법 위반”이라고 비판했다. 그러면서 “우리나라 국민들은 참 순진하다”며 “이런 세금은 조세저항을 해서라도 고쳐야 한다”고 역설했다.국회 정무위원회 여당 간사인 김병욱 민주당 의원은 이날 기자회견을 열고 공시지가 급등에 따른 국민 세 부담을 덜기 위한 종부세법·재산세법 개정안을 대표 발의했다. 김 의원이 발의한 종부세법 개정안은 1가구 1주택자에 대한 종부세 납부 기준을 현행 공시지가 9억원에서 12억원으로 상향해 적용 대상을 줄였다. 종부세 과세표준 공제액도 6억원에서 7억원으로 상향해 다주택자는 공시지가 합산 7억원 이상부터 종부세 납부 대상이 된다./강지수 인턴기자 jisukang@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
9,729,서울경제,김경훈,김종인 '홍준표 꼬붕' 맹폭하자 장제원 '저렴한 인식이 역시 '정치 거간꾼'다워',"viewer  김종인 전 국민의힘 비상대책위원장/연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });장제원 국민의힘 의원이 자신을 향해 '홍준표 (무소속) 의원 꼬붕'이라고 언급한 김종인 국민의힘 전 비상대책위원장을 겨냥, ""김종인 꼬붕이 아니어서 참으로 자랑스럽다""고 응수했다. 장 의원은 20일 자신의 페이스북에 올린 글을 통해 ""비판자의 말 모두가 정치적 의도와 배경이 있다고 생각하는 저렴한 인식이 역시 '정치거간꾼' 답다""면서 이렇게 목소리를 높였다. 그러면서 장 의원은 ""자신의 처지나 상황에 따라 그때 그때 말을 바꾸어도 일말의 부끄러움 조차 느끼지 못하는 인지부조화부터 치료 받으시는 것이 급할 것 같다""고 거듭 김 전 위원장을 향해 강한 어조의 비판을 이어갔다. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });한편 김 전 위원장은 이날 경향신문과의 인터뷰에서 자신을 비판해온 장 의원을 정조준하면서 ""홍준표 의원 꼬붕""이라며 ""상대도 안 한다. 지가 짖고 싶으면 짖으라는 것""이라고 했다.    viewer  장제원 국민의힘 의원/연합뉴스 (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  김 전 의원장은 또한 윤석열 전 검찰총장의 국민의힘 합류에 대해서는 ""윤석열 지지율이 높으니까 자기들이 윤석열만 입당시키면 다 될 것이라고 생각하는 것""이라면서 ""그런 식의 정치를 해선 국민의 마음을 끌 수가 없다""고 국민의힘을 쏘아붙였다. 이어서 김 전 위원장은 ""윤 전 총장이 지금 정돈되지도 않은 곳에 불쑥 들어가려 하겠나""라고 물은 뒤 ""지금 국민의힘에 들어가서 흙탕물에서 같이 놀면 똑같은 사람이 되는 것""이라고도 했다. 이같은 김 전 위원장의 발언에 대해 장 의원은 자신의 페이스북에 글을 올려 ""늘 대선때만 되면 유력 대선 주자에게 다가가 훈수질을 하며 정치 거간을 하려는 분들이 나타난다""며 김 전 위원장을 정면으로 겨냥했다. 그러면서 장 의원은 ""(윤 전 총장이) 국민의힘에 들어오지 않으면 대권으로 가는 길이 보이지 않을 것""이라면서 ""온갖 음해와 네거티브는 누가 나서 싸울 건가? 막대한 자금은 어떻게 조달할 건가? 일선 읍, 면, 동까지 뻗어있는 조직은 어떻게 감당할 건가?”라고 적었다. 장 의원은 아울러 ""이러한 대선에 필요한 기본적이고도 실무적인 요소들은 차치하더라도, 독자노선을 가야한다는 말은 단언컨대, 이간질""이라고 김 전 위원장을 향해 날을 세웠다. /김경훈 기자 styxx@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",중립
