,Unnamed: 0,Unnamed: 0.1,날짜,title,언론사,기자,content,긍정,부정,중립
0,271,271,2021-04-08 3:00,박영선 “겸허히 모든 것 받아들이겠다”,동아일보,강성휘 기자 ,"

            “겸허한 마음으로 모든 것을 받아들이면서 가겠다.” 더불어민주당 박영선 서울시장 후보는 7일 오후 10시 30분경 서울 영등포구 여의도 민주당 개표상황실을 빠져나가며 이같이 말했다. “아직 결과가 나온 것은 아니다”라면서도 20%포인트 이상 차이가 난다는 KBS MBC SBS 공동 출구조사 결과에 사실상 패배를 인정한 것. 박 후보는 향후 계획을 묻는 질문 등에는 답하지 않고 자리를 떴다.  민주당의 분위기는 더 무거웠다. 오후 8시 15분 출구조사 결과가 나오자 당사 개표상황실은 무거운 침묵이 짓눌렀다. 굳은 표정으로 TV 화면을 응시하던 김태년 당 대표 권한대행 겸 원내대표의 마스크가 한숨으로 몇 차례 크게 들썩이기도 했다. 김 원내대표를 비롯한 당 지도부는 약 10분간 자리를 지키다가 조용히 상황실을 떠났다.  민주당 김영춘 부산시장 후보 캠프도 분위기는 비슷했다. 김 후보는 개표가 시작된 지 약 2시간 만인 오후 10시경 “민심의 큰 파도 앞에서 겸허하게 승복하겠다”며 패배를 인정했다. 민주당 지도부는 오후 11시 30분 무렵 비로소 서면 브리핑 등을 통해 입장을 밝혔다. 이낙연 상임선대위원장은 “국민의 마음을 얻기에 저희가 크게 부족했다”며 “민심을 새기고 반성하고 혁신하겠다”고 했다. 김 원내대표도 입장문을 통해 “민심을 겸허히 받아들인다”고 했다. 참패에 비상이 걸린 민주당 지도부는 이보다 앞선 오후 10시 긴급 최고위원회의를 열어 대응책 등을 논의했다. 한편 이 위원장은 부인 김숙희 여사가 신종 코로나바이러스 감염증(코로나19) 확진자와 밀접 접촉한 것으로 확인돼 2주간 동반 자가 격리에 들어가면서 개표상황실에 자리하지 못했다. 민주당 내에선 “엎친 데 덮친 격”이라는 탄식이 나왔다.강성휘 기자 yolo@donga.com  
",74.56930658300001,45.01391640100001,9.72450525899999
1,280,280,2021-04-08 3:00,"‘세번째 도전’ 박영선-김영춘, 또 눈물",동아일보,강성휘 기자 ,"

            더불어민주당의 서울시장, 부산시장 후보로 나섰던 박영선 후보와 김영춘 후보의 분투도 성난 민심의 벽을 넘지 못했다.  서울시장에 세 번째 도전했던 박 후보는 이번에도 무릎을 꿇었다. 박 후보는 2011, 2018년에도 도전했지만 경선에서 고배를 들었다. 박 후보는 이번에는 중소벤처기업부 장관까지 내려놓고 선거에 뛰어들면서 의지를 다졌지만 ‘정권심판론’ 바람을 넘지 못했다.  신년 여론조사 때만 해도 박 후보는 1위를 달리며 세 번째 도전만의 승리에 한 발짝 다가서는 듯했지만 지난달 한국토지주택공사(LH) 사태가 터지고 김상조 전 대통령정책실장 등 여권 인사들의 ‘부동산 내로남불(내가 하면 로맨스, 남이 하면 불륜)’이 불거지면서 고전을 면치 못했다. 민주당 관계자는 “박 후보 개인의 인물론 만으로는 돌파하기 어려운 선거였다”며 “게다가 당과 후보 캠프가 국민의힘 오세훈 후보의 내곡동 땅 의혹 등 네거티브에 지나치게 다걸기(올인)한 것도 패착이었다”고 말했다.  2014년 당내 경선 끝에 후보로 선출됐지만 당시 무소속으로 나온 오거돈 전 부산시장에게 양보했던 김 후보는 이번 선거의 승리를 다짐했지만 결국 눈물을 삼켰다. 여권의 가덕신공항특별법 처리라는 측면 지원을 바탕으로 김 후보는 선거 과정에서 ‘부산경제 부활을 위한 힘 있는 여당 시장론’을 앞세워 표심 공략에 나섰다. 김 후보는 이번에는 자신의 호를 ‘가덕’으로 바꿀 정도로 절박하게 선거전에 임했지만 민심의 바람 앞에 역부족이었다. 강성휘 기자 yolo@donga.com  
",139.081817281,103.278545806,20.070160133999988
2,290,290,2021-04-07 3:00,박영선 “다시 촛불정신” 오세훈 “위선 심판의 날”… 마지막 호소,동아일보,"전주영 기자 , 박민우 기자 ","

4·7 서울시장 보궐선거 후보들의 13일간 공식 선거운동 대장정이 마무리된 6일, 더불어민주당 박영선 후보는 ‘반성’과 ‘촛불정신’을 키워드로 내세우며 서울 광화문광장에서 시작해 광화문광장에서 끝내는 마지막 유세를 펼쳤다. 반면 국민의힘 오세훈 후보는 ‘정권심판’과 함께 ‘청년을 위한 정치’를 내세우면서 서울 전역을 누비며 호소했고, ‘파이널 집중유세’도 젊은이들이 많은 서대문구 신촌에서 했다. 양당 후보들은 신종 코로나바이러스 감염증(코로나19) 관련 방역대책 등을 고려해 선거운동 종료 시간인 이날 자정이 아닌 오후 10시를 전후해 선거운동을 마무리했다.  지난달 25일부터 시작된 공식 선거운동의 마지막 장소로 광화문광장을 택한 데 대해 박 후보는 “촛불정신에 민주당의 미흡했던 점을 다시 반성하고 앞으로 나아갈 방향이 촛불정신이라는 것을 다시 생각해 보자는 것”이라고 설명했다. 문재인 정부의 시작이라고 할 수 있는 ‘촛불민심’이 탄생한 곳이 바로 2016년 말 박근혜 전 대통령 탄핵 당시 촛불집회가 벌어진 광화문광장이라는 의미를 부여한 것. 박 후보는 이날 서울 종로구 안국동 선거캠프에서 마지막 기자회견을 열고 “선거운동 기간에 서울시민께서 매서운 민심을 보여주셨다”며 “반성하고 성찰했다”고 고개를 숙였다.  민주당은 사전투표일을 기점으로 냉담했던 ‘촛불민심’이 되살아나고 있다고 보고 지지층 결집에 사활을 걸었다. 김태년 대표 권한대행 겸 원내대표는 이날 “바닥 민심이 변하고 있다”며 당원들에게 조직 투표를 독려했다. 박 후보는 “거짓말을 심판해야 한다는 바람으로 방향이 바뀌고 있다”고 했다.  박 후보는 ‘거짓말 프레임’을 부각한 최후의 일격도 잊지 않았다. 박 후보는 이날 마포구 상상마당 앞 유세에서 “(BBK 관련) 거짓말하고 당선된 (이명박 전) 대통령은 부패와 손잡지 않았느냐”며 “다시 그런 나쁜 역사를 반복해서는 안 된다”고 오 후보를 겨냥했다. 이날 마지막 지원유세에 나선 이낙연 상임선거대책위원장도 쉰 목소리로 “내일 투표 마감시간까지 여러분 한 분 한 분이 열 분 이상의 지인에게 전화를 걸고 문자를 보내 반드시 그분들 모두 투표장에 가서 1번 박영선을 찍도록 해야 한다”며 “그래야 서울이 거짓말하는 지도자를 용납하는 거짓의 도시로 타락하지 않게 할 수 있다”고 호소했다. 박 후보는 전날에 이어 이틀간 민주당 지지세가 강한 이른바 ‘서부 벨트’를 집중 공략하며 지지층을 투표장으로 끌어내는 데 집중했다. 박 후보는 밤늦게 광화문에서 시민들에게 마지막 인사를 한 뒤 기자들을 만나 “지난 금요일부터 바람의 길이 바뀌기 시작하면서 매일매일 상승세를 타고 있다. 내일 승리를 예감할 수도 있는 상황”이라고 말했다.  국민의힘 오세훈 후보는 이날 열세 지역으로 꼽히는 서울 강북에서 ‘청년’ ‘심판’을 키워드로 내세우며 지지층 굳히기에 나섰다. 오 후보는 이날 지난해 총선에서 민주당 고민정 의원에게 뼈아픈 패배를 당한 지역구인 광진구에서의 출근길 인사를 시작으로 중랑·노원·강북·성북·종로·은평·서대문·중구를 차례로 방문했다.  오 후보는 광진구 자양사거리 유세에서 “1년 동안 정치 지형이 많이 바뀌었다. 젊은층은 정치색이 아닌 미래를 보고 객관적으로 판단한다”며 젊은층의 투표 참여를 호소했다. 또 “성폭행 성추행을 하고도 우리 편이면 괜찮다는 ‘내로남불’과 ‘위선’ ‘무능’의 정부를 심판해 달라”고 목소리를 높였다.  노원구 상계백병원 사거리에서 이어진 유세에서 오 후보는 정권심판론을 본격적으로 제기했다. 그는 “공시지가가 제일 많이 오른 곳이 노원구”라며 “세상에 1년 동안 재산세 기준 되고 종부세 기준 되고 건보료까지 따라 올리는 공시지가를 35%나 올렸다. 이 정부가 노원구민 여러분의 지갑을 털어가는 수준 아닌가”라고 목소리를 높였다.  오 후보는 중앙선거관리위원회가 투표 독려 피켓, 현수막에 ‘무능’ ‘위선’ ‘내로남불’ 단어를 사용하지 못하게 한 것을 두고 “오랜만에 선관위가 아주 공정한 판단을 했다. 그런 정당이 민주당이란 것을 세상 사람들이 다 아는데, 쓰지 말라고 해주시니 쓰지 않겠다”고 비꼬기도 했다. 국민의힘 김종인 비상대책위원장은 이날 서울 강남구 대치역 유세에서 “반드시 오세훈을 뽑아 압도적인 표로 이 정부에 경각심을 주고, 내년 대선에서도 정권을 되찾아 헝클어진 대한민국 질서를 회복하겠다”고 강조했다.  오 후보는 청년층이 많은 서대문구 신촌역에서의 마지막 유세에서 “2030 젊은이들이 국민의힘 지지를 시작했다는 사실이 몹시 두렵다. 무거운 책임감을 갖고 반드시 당선돼 보답하겠다”고 강조했다.전주영 aimhigh@donga.com·박민우 기자 
",358.63707477299977,272.73837419399996,60.14936644299983
3,305,305,2021-04-06 3:00,"정의당 “도와달라는 박영선, 염치 없다… 거대양당 실망-절망 경쟁”",동아일보,박민우 기자 ,"

정의당은 4·7재·보궐선거를 이틀 앞둔 5일 더불어민주당과 국민의힘을 기득권 양당으로 규정하며 싸잡아 비판했다.  여영국 대표(사진)는 이날 국회에서 열린 대표단회의에서 민주당 박영선 후보가 지원을 요청한 것에 대해 “염치가 없다”고 비판했다. 여 대표는 “어제 박 후보가 인터넷 언론과의 인터뷰를 통해 정의당 심상정 의원 같은 분이 도와주면 좋겠다고 했다”며 “국민의힘과 기득권 정치 동맹을 공고히 했던 더불어민주당이 그 어떤 반성도 사과도 없이 지금에서야 도와 달라니 이게 무슨 염치없는 것이냐”고 말했다. 여 대표는 또 “박 후보는 중대재해기업처벌법 제정을 위한 국회 논의과정에서 기업 입장을 대변해 법의 실효성을 무력화시킨 당사자”라며 “노동자들의 죽음의 행렬을 멈추기 위해 단식까지 불사했던 정의당을 입에 올릴 자격조차 없다”고 비판했다. 1월 국회 본회의를 통과한 중대재해기업처벌법 입법 당시 박 후보는 중소벤처기업부 장관으로 재임 중이었다. 정의당은 국민의힘에 대해서도 선을 그었다. 정의당 내 청년 조직인 청년정의당의 강민진 대표는 이날 “보궐선거에서는 민주당과 국민의힘을 제외한 나머지 후보들에 주목해주시면 좋겠다”고 했다. 그는 이어 “4·7보궐선거는 거대 양당의 거대 실망과 거대 절망이 경쟁하는 형국”이라며 “선거가 발생한 원인에 대한 성찰은 사라져버리고, ‘생태탕 선거’, ‘내로남불 선거’, ‘토건경쟁 선거’만 남았다”고 말했다. 박민우 기자 minwoo@donga.com 
",443.7211651679998,331.61946157299946,69.53970919699977
4,306,306,2021-04-06 3:00,박영선 “내곡동 당장 대질해야” 오세훈 “朴 존재 자체가 거짓말”,동아일보,"한상준 기자 , 윤다빈 기자 , 최혜령 기자 ","

“오세훈 후보는 ‘이명박 서울시장’과 한 세트였지 않나. BBK 사건 등에서처럼 거짓말하는 시장을 원하지 않는다.”(더불어민주당 박영선 후보) “박영선 후보의 존재 자체가 거짓말 아닌가. 당 인사의 귀책사유로 인한 보궐선거 발생 시 후보를 내지 않기로 하지 않았나.”(국민의힘 오세훈 후보) 4·7 서울시장 보궐선거를 이틀 앞둔 5일 두 후보는 방송기자클럽 주최로 열린 마지막 TV토론에서 거친 언사를 사용하면서 난타전을 벌였다.  두 후보는 이날도 오 후보의 서울 내곡동 땅 의혹을 두고 격돌했다. 박 후보는 “땅 측량은 (오 후보가) 모르게 진행된 일이냐”고 압박하면서 오 후보의 서울시장 시절 서울시 주택국장이 된 김모 국장의 승진 사실을 언급했다. 박 후보는 “이 사실만 봐도 내곡동 땅 개발 계획을 사전에 알았다는 의심이 충분히 가능하다”고 했다. 이에 오 후보는 “최초 (측량) 신청일은 제가 시장에 취임하기 전이고, 이 사업은 노무현 대통령 때 국책사업으로 지정돼 협의가 진행 중이었다”고 맞받았다. 박 후보는 내곡동 측량 현장을 방문했다는 오 후보의 처남에 대해서는 “왜 (처남은) 조용히 있나. 처남이 거기에 가셨으면 나와서 기자회견 해야 하는 것 아니냐”고 지적했다. 오 후보는 “수사기관에서 대질신문 한 번이면 완전히 해결된다”며 “진실을 밝히려면 내버려 두면 된다”고 했다. 이에 박 후보가 “지금 대질신문을 하자고 그분들이 하잖아요. 당장 하시죠”라고 몰아붙이자 오 후보는 “검찰이 불러야 하죠. 만나서 말싸움 할 일 있습니까”라고 맞받았다. 두 후보는 서로를 가리켜 ‘거짓말쟁이’라고 비난하기도 했다. 박 후보는 내곡동 땅 의혹을 계속 추궁하며 “이명박과 한 세트”라고 주장했고, 오 후보는 “민생 주제 토론 시간인데, 이게 민생과 무슨 관계가 있냐”고 항변했다. 박 후보가 “거짓말하는 후보가 시장이 되면 아이들에게 가르칠 것이 없다”고 하자, 오 후보는 “거꾸로 박 후보가 거짓말의 본체”라며 “(민주당이 서울시장) 후보를 안 내기로 했는데 거짓말을 했다”고 받아쳤다. 오 후보는 이날 “임대차 3법에 대해서는 전혀 반성의 여지가 없냐”며 문재인 정부의 부동산 대책을 공략했다. 박 후보는 “방향이 맞다”면서도 “개혁을 할 때는 여러 가지 부작용에 관해서 좀 더 국민에게 호소했어야 한다. 그 부분을 놓쳤다”고 했다. 오 후보가 재차 “임차인의 설움을 생각하면 임대차 3법을 고쳐야 하지 않냐”고 따지자 박 후보는 “전세 사는 분들은 그렇게 생각하지 않는다. 오 후보가 가진 자들의 입장을 대변하기 때문”이라고 주장했다.  박 후보는 오 후보가 2019년 서울 광화문에서 열린, 전광훈 목사가 참여한 보수집회에서 연설한 것을 두고 집중 공세를 폈다. 박 후보는 “전광훈 목사 세력과 함께하냐”며 “시장이 되면 광화문 집회를 허용할 것이냐”고 했다. 이에 오 후보는 “‘태극기 집회’에 가서 연설한 게 잘못된 것이냐”며 “(집회에) 한 번 갔다. 그리고 문재인 대통령은 독재자”라고 말했다. 박 후보가 “독재자의 의미는 뭔가”라고 묻자, 오 후보는 “야당과 국민의 의사를 무시하는 것”이라고 맞섰다. 한편 이날 박 후보 측은 “서울시민의 마음이 움직여 사전투표에서 이겼다. 감사드린다”는 내용의 문자메시지를 보내 논란이 일었다. 박 후보 측은 “일반 유권자가 아닌 캠프 인사들에게 보낸 것”이라고 설명했지만 중앙선거관리위원회는 “신고가 접수돼 사실 관계를 확인 중이다”라고 밝혔다.  국민의힘은 “앞뒤 안 가리며, 부정한 선거 운동도 불사하는 민주당은 이성을 되찾기 바란다”고 비판했다. 배준영 선대위 대변인은 “여론조사 결과를 토대로 한 것이라면 여론조사 공표 금지 위반에 해당하고, 여론조사 결과에 근거하지 않고 문자를 보낸 것이라면 허위사실 공표에 해당될 것”이라며 “어느 경우든 공직선거법 위반을 피하긴 어려워 보인다”고 했다.한상준 alwaysj@donga.com·윤다빈·최혜령 기자 
",646.3682414969988,479.27219526299797,96.71109202199965
5,320,320,2021-04-05 3:00,박영선 “진심이 거짓을 이기게”… 오세훈 “강남 집 한 채가 뭔 죄”,동아일보,김지현 기자 ,"

            4·7 재·보궐선거를 앞둔 마지막 주말, 더불어민주당 박영선 서울시장 후보는 ‘뒤집기’를, 국민의힘 오세훈 후보는 ‘굳히기’ 전략에 집중하며 막판 표심 공략에 나섰다. 박 후보는 4일 부활절을 맞아 서울 구로구 베다니교회와 중구 명동성당을 방문했다. 그는 이날 오전 페이스북에 자신의 기도하는 사진을 올리며 “부활절, 진심이 거짓을 이길 수 있는 세상 만들어 주옵소서”라고 오 후보를 겨냥한 부활절 메시지도 냈다. 박 후보는 도봉구 유세에선 “정직과 믿음과 신뢰가 이기는 세상, 그것은 김근태 고문의 정신”이라며 “(시민들이) 오늘은 대놓고 크게 크게 1번을 찍었다고 하셨다. 이번 선거가 뒤집히고 있다고 생각한다”고 강조했다. 전날 유세에서는 여성부시장제 도입을 공약했다. 박원순 전 서울시장 성추행 논란의 ‘그림자’를 떨쳐내기 위한 것으로 보인다. 박 후보는 3일 서울 강동구 천호공원 유세에서 “신종 코로나바이러스 감염증 이후 확대될 돌봄 영역을 서울시가 책임지고 사회 약자인 여성에게 더 많은 지원책을 만들기 위해 여성부시장제가 필요하다”며 “이 밖에도 주요 고위직에 여성 인사를 대거 중용하겠다”고 했다. 반면 오 후보는 ‘굳히기 유세’에 집중했다. 국민의힘 내부에서 “우세한 여론조사 결과가 독이 될 수 있다”는 경계론이 나오며 민주당에 비해 서울지역 조직력에서 열세인 점을 극복하기 위해 총동원령을 내린 것. 오 후보는 3일 광진구 자양3동 주민센터에서 사전투표를 마치고 서남권 순회 유세를 벌였고 4일에는 ‘보수 텃밭’으로 꼽히는 서초구와 송파구에서 집중 유세에 나섰다. 이날 오 후보는 강남 주민들과 만나 “강남에 집 한 채 있는 사람이 나라의 죄인이냐”며 문재인 정부의 부동산정책 실패를 강조했다. 오 후보는 광진구 아차산역 일대에서 열린 ‘청년 마이크 유세’에서 “(청년들에게) 실망시키지 않는 시장 한번 멋지게 해보겠다”며 지지를 호소했다. 오 후보는 또 청년들이 다수 유세차량에 올랐던 것을 언급하며 “(국민의힘이) 2030 청년층의 지지를 받기 시작했다는 건 저로서는 꿈만 같은 일”이라며 감정이 북받친 듯 울컥하는 모습을 보이기도 했다. 김지현 기자 jhk85@donga.com  
",757.1946971539985,562.3805984399975,112.61788562599962
6,329,329,2021-04-05 3:00,박영선 캠프 ‘중대 결심’ 발언 놓고 여야 설전,동아일보,김지현 기자 ,"

“상황에 따라 ‘중대 결심’을 할 수 있다”는 더불어민주당 박영선 서울시장 후보 캠프 발언을 둘러싸고 여야는 주말 동안 설전을 이어갔다. 국민의힘이 “중대 결심은 박 후보의 후보직 사퇴를 의미하는 것이냐”고 공격하자 민주당이 발끈하고 나선 것. 박 후보 캠프 진성준 전략기획본부장은 3일 페이스북에 “사퇴해야 할 사람은 오 후보”라며 “박 후보 사퇴설을 내뱉는 도덕불감증과 몰상식이 도를 넘었다. 도둑이 매를 드는 격”이라고 했다. 그러면서 “오 후보의 이해충돌 의혹과 거짓 해명에 대해 법적·정치적으로 엄중한 책임을 물을 중대한 구상을 갖고 있다. 캠프에서 논의하고 결심하면 즉시 실행할 것”이라고 덧붙였다. 진 본부장은 2일 오 후보의 내곡동 땅 의혹과 관련해 후보직 사퇴를 요구하며 ‘중대 결심’을 처음 언급했다. 국민의힘은 3일 논평에서 “심판이 무섭겠지만 선거를 포기해선 안 된다”고 한 데 이어 4일엔 “네거티브로 선거판을 흐리다 이제 마지막 몸부림을 친다”고 했다. 국민의힘 김종인 비상대책위원장도 이날 “(박 후보의) 중대 결심이라고 할 게 무엇이 있겠느냐. ‘후보 사퇴’ 외에는 생각나지 않는다”고 했다. 정작 박 후보는 말을 아꼈다. 박 후보는 이날 국회 기자회견에서 “(진 본부장과) 사전 교감이 있었던 것은 아니다”며 후보 사퇴 가능성을 묻는 질문엔 “제가 왜 사퇴를 하느냐”고 일축했다.김지현 기자 jhk85@donga.com  
",820.8304770389979,618.9658704739966,126.21480650499957
7,335,335,2021-04-03 3:00,"마지막 여론조사서도 오세훈, 박영선에 15%P~23%P 앞서",동아일보,최혜령 기자 ,"

4·7 재·보궐선거의 여론조사 공표 금지 기간 직전에 실시된 조사에서 국민의힘 오세훈 후보가 더불어민주당 박영선 후보를 앞서는 것으로 나타났다. 케이스탯 리서치가 한겨레의 의뢰로 지난달 30, 31일 서울 거주 유권자 1012명을 대상으로 실시한 조사에서 오 후보는 54.4%를 얻어 33.5%를 얻은 박 후보를 20.9%포인트 앞섰다. 입소스가 중앙일보의 의뢰로 같은 기간 서울 유권자 1000명에게 실시한 조사에서는 오 후보가 50.4%를, 박 후보가 35.7%를 얻었다. 현대리서치가 서울신문 의뢰로 같은 기간 서울 유권자 1000명에게 실시한 조사에서는 오 후보가 55.5%를 얻어 32.4%를 얻은 박 후보를 앞섰다. KBS·MBC·SBS 지상파 방송 3사가 코리아리서치·입소스·한국리서치에 의뢰해 지난달 31일 서울 시민 1007명에게 실시한 조사에서는 오 후보가 50.5%, 박 후보가 28.2%의 지지율을 나타냈다. 네 여론조사 모두 오차범위는 표본오차 95% 신뢰수준에서 ±3.1%포인트다. 각 여론조사의 자세한 사항은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다. 공직선거법상 1일부터 선거일 투표가 끝나는 7일 오후 8시까지는 정당 지지도나 당선인을 예상하게 하는 여론조사 결과를 공표하거나 인용 보도할 수 없다. 다만 3월 31일까지 실시한 여론조사 결과는 이 기간 중에도 공표하거나 인용 보도할 수 있다.최혜령 기자 herstory@donga.com  
",881.3270401269972,651.6356078389961,138.76805131599968
8,336,336,2021-04-03 3:00,"박영선 “만 19~24세 청년에 매월 5GB 데이터 지원”… 오세훈 “상암DMC 교통난 해결, 영상산업 본거지로”",동아일보,"윤다빈 기자 , 강성휘 기자 ","

사전투표 첫날인 2일 더불어민주당 박영선 서울시장 후보는 ‘이탈한 지지층’으로 분류되는 청년층과 진보층을 대상으로 한 메시지에 집중했고, 국민의힘 오세훈 후보는 상대적으로 취약지인 서울 서부권을 찾아 서울 전역으로의 지지세 확산에 주력했다. 박 후보는 이날 남대문 집중 유세에서 “만 19∼24세 청년들에게 매월 5GB의 ‘데이터 바우처’를 지급하고 반값 데이터요금을 서울부터 도입하겠다”며 “데이터를 켤 때마다 조마조마한 청년에게 작지만 든든한 힘이 될 것”이라고 했다. 박 후보 측은 조만간 박원순 전 서울시장 성추행 사건에 대한 공식 사과를 하는 방안을 검토하는 등 돌아선 숨은 진보층의 마음을 되돌릴 막판 ‘히든카드’를 고심 중인 것으로 전해졌다. 박 후보 캠프 측 관계자는 “캠프 내 찬반이 있어 박 후보가 아직 마음을 정하지 못한 상황”이라고 했다. 박 후보 캠프는 서울을 누비는 선거운동 와중에도 오 후보 관련 ‘내곡동 땅 특혜 의혹’에 대해 긴급 기자회견을 열어 오 후보의 사퇴를 촉구하는 등 공세 수위를 높였다. 박 후보 캠프 전략기획본부장인 진성준 의원은 이날 오 후보 사퇴 촉구 기자회견 뒤 “상황에 따라 중대 결심을 배제할 수 없다”고 말했다. 민주당에서는 본투표일인 7일 전 오 후보에 대한 법적 대응 등을 준비하고 있는 것으로 알려졌다. 오 후보는 이날 동대문디자인플라자(DDP)를 찾아 “왜 서울운동장 야구장과 축구장을 없애느냐고, 일할 때는 욕 많이 먹었다”며 “(DDP로) 바꿔놓고 보니까 서울에 들어오는 관광객들이 한 번씩 꼭 가보는 명소가 됐다”고 했다. 종로구 숭인동 동묘 벼룩시장을 찾은 자리에선 “과거 종로의 번영과 영광을 다시 한번 만들어내겠다”며 일대 재개발을 약속했다. 오 후보는 이어 상암DMC 일대를 방문해 20, 30대 청년들과 주먹 인사를 하고 사진을 찍으면서 지지를 호소했다. 그는 “다시 시장직을 수행하면 (상암DMC 인근에) 원래 계획대로 학교를 세우고 지하철역이 먼 교통 문제를 해결하겠다”며 “영상, 영화산업의 본거지로 만들어 명실공히 대한민국의 엔진 역할로 세우겠다”고 했다. 그는 생태탕집 주인의 증언에 대해 “사실이 아니다”라면서 “민주당은 아주 본질적이지 않은 십몇 년 전 일을 끄집어내고, 문제 제기가 입증되지 않으니 또 엉뚱한 얘기를 한다”고 비판했다. 오 후보는 최근 민주당 지도부가 부동산정책 실패 등에 대해 잇달아 사과하는 것을 놓고 “이제 선거 며칠 남겨놓고 여러분이 두려워지기 시작한 것”이라며 “선거 끝나고도 그렇게 할지는 지켜봐야 할 것”이라고 했다.윤다빈 empty@donga.com·강성휘 기자  
",1007.5204770859975,749.5554443399947,165.42271975600005
9,347,347,2021-04-02 3:00,박영선 “청년 버스-지하철 40% 할인”… 오세훈 “강북권에 코엑스 같은 명물”,동아일보,"유성열 기자 , 강성휘 기자 ","

            더불어민주당 박영선 후보와 국민의힘 오세훈 후보는 4·7 서울시장 보궐선거 사전투표를 하루 앞둔 1일 각각 청년층 공략과 서울 강북권 유세에 집중하며 한 표를 호소했다. 박 후보는 이날 서울 마포 양천 영등포 강서 등 ‘서북권 벨트’를 돌며 청년 맞춤형 공약을 발표하는 등 청년층 표심 몰이에 나섰다. 박 후보는 양천구 유세에서 자신의 ‘반값 아파트’ 공약과 관련해 “(청년들 중에는) 반값 아파트 20평이면 약 2억 원인데 이것도 부담된다는 분들이 많다”며 “집값의 10%만 내고 지분적립형으로 매년 조금씩 구입해 내 집을 마련할 수 있게 하는 제도를 도입하겠다”고 했다. 청년을 대상으로 버스와 지하철 요금을 40% 할인해주는 ‘서울청년패스’ 계획도 내놨다. 박 후보는 이날 오후 예정에 없던 용산도시기억전시관을 방문했다. 박 후보는 오 후보가 서울시장일 때 발생한 ‘용산참사’를 거론하며 “용산참사를 부른 뉴타운, 재개발 광풍 책임은 오 후보에게 있다”고 했다. 이어 오 후보가 지난달 31일 관훈토론회에서 용산참사에 대해 “매우 폭력적 형태의 저항이 있었다”고 말한 것에 대해 “반성적 인식이 심각하게 결여돼 있는 언어폭력”이라고 비판했다. 오 후보는 이날 민주당 지지세가 강한 서울 성북구와 이른바 ‘노도강’(노원 도봉 강북구) 일대를 누비며 개발공약을 발표했다. 오 후보는 성북구 길음동 유세에서 “미아사거리 지하에 지하철 환승 광장 등 코엑스 같은 명물을 반드시 만들겠다”며 “내부순환로와 북부간선도로의 진출입로도 추가 확보하겠다”고 약속했다. 오 후보는 이날도 노원구 경춘선숲길 유세 등에서 정권 심판론을 수차례 강조하며 “이 정부의 위선을 심판하겠다는 젊은이들에게, (민주당과 박 후보는) 교통비를 깎아주겠다고 한다. 이 정당을 용서해도 되겠느냐. 나는 분노한다”고 목소리를 높였다. 이어 “이번 기회에 문재인 대통령이 반성하도록, 민주당이 진심으로 사죄하도록 만들어 달라”고 호소했다. 용산참사에 대해선 오 후보는 “경위를 막론하고 공권력이 투입되는 과정에서 좀 더 주의하고 신중했다면 사고가 발생하지 않았을 것이다. 가슴 아프게 생각하고 책임을 느끼며 죄송하게 생각한다”고 자세를 낮췄다. 유성열 ryu@donga.com·강성휘 기자 
",1117.9981732009965,829.8417048609939,186.46094390800027
