,Unnamed: 0,date,title,reporter,content,press,긍정,부정,중립
0,17,2021-03-24,"오세훈, ‘MB 아바타’ 공세에 “박영선은 ‘독재자 문재인’ 아바타”",장나래 기자 wing@hani.co.kr,"오세훈 국민의힘 서울시장 후보가 전광훈 목사가 주최하는 태극기 부대 행사에 참여해 ‘문재인 대통령은 독재자’ 등의 발언으로 논란이 된 데 대해 “갈라치기와 반통합, 분열의 정치를 하고 있는 문 대통령이 독재자가 아닌가”라고 반박했다. 이어 “대통령의 독재자의 면모를 박영선 더불어민주당 후보가 그대로 답습할 가능성이 높다”며 박 후보를 겨냥하기도 했다.
오 후보는 24일 국회에서 열린 기자간담회에서 ‘민주당이 2019년 10월 전광훈 주도 태극기 집회 발언에서 후보의 문재인 대통령 독재자 등의 발언을 문제 삼은 데 대한 입장’을 묻는 질문에 “문 대통령이 민의를 존중하는 대통령이 맞나. 나라의 미래를 걱정하는 것이 맞나”며 이 같이 주장했다. 이어 “단 한번도 이 정부에 장관 수행했던 박 후보가 그런 문 대통령의 참으로 잘못된 행태에 대해서 단 한번도 비판한 적이 있냐. 박 후보는 잘못된 길을 가는 문 대통령에 동조한 셈밖에 되지 않는다”고 박 후보를 겨냥해 비판을 이어갔다.
오 후보는 또한 서울 시민 1인당 ‘재난위로금 10만원’을 지급하겠다는 박 후보의 공약을 두고는 “돈퓰리즘(돈과 포퓰리즘을 합친 말)”으로 비판하며 “박 후보에게, ‘실정과 무능 대명사, 문재인 아바타인가’라고 묻고 싶다”고 공세 수위를 높이기도 했다. 민주당이 자신을 ‘엠비(이명박 전 대통령) 아바타’라고 부른 데 대한 대응으로 보인다.
‘과거 태극기 집회에도 참석했는데, 지금도 극우 세력과 함께 가야 할 것으로 보냐’는 질문에는 “한 분이라도 문재인 정부 실정과 무능 독재에 분노하는 분들이라면 전부 동참해주실 것을 바라고 있다. 민주당이 어떤 프레임 씌우더라도, 언론에서 어떻게 부르더라도 문재인 실패 무능에 공감하는 건 같을 거라고 생각한다”며 함께 할 수 있다는 뜻을 내비쳤다. ",hankyoreh,91.93389313999997,63.87954270600005,16.908069146999992
1,36,2021-02-28,"우상호·박영선, 안철수·금태섭…‘3·1 승부’ 누가 웃을까",노현웅 서영지 기자 goloke@hani.co.kr,"민주당 서울시장 최종 후보 발표를 하루 앞둔 28일 박영선 예비후보는 본선 무대를 겨냥해 ‘정책 행보’를 이어갔고, 우상호 후보는 당내 경선을 뚫기 위해 여권 핵심 지지층의 지원을 호소하고 나섰다.
각종 여론조사에서 범여권 후보 가운데 가장 높은 지지를 받는 박 후보는 이날도 도시의 삶을 개선하는 ‘21분 콤팩트 도시’ 공약을 알리는 데 주력했다. 당내 경선을 넘어 야권 후보와 붙는 본선을 염두에 두고 대표 공약의 인지도를 더 높이려는 행보다. 박 후보는 이날 오전 서울 마포구 연남동 경의선 숲길 일대를 방문해 “경의선 숲길의 하루 평균 방문객 수가 2만5천여명에 달하고, 특히 연남동 구간은 ‘연트럴 파크’라 불리며 새로운 명소이자 활력 넘치는 상권을 형성한 ‘핫플레이스’로 변모했다”며 “철도와 도로를 지하화해 도심 숲을 확대하고, 도시 구조를 시민 삶의 질 중심으로 대전환해 건강한 도시 서울을 만들겠다”고 강조했다. 


우 후보는 이날 구독자가 39만6천명인 친여권 성향 유튜브인 ‘새날’에 자신을 공개 지지한 고 노무현 전 대통령의 사위 곽상언 변호사와 함께 출연했다. 경선 판세가 불리하다는 평가가 나오는 상황에서 여권 핵심 지지층의 막판 결집을 기대한 행보로 보인다. 우 후보는 이날 방송에서 “시장이 되면 코로나19 잡는 게 제일 중요하다”며 “박영선 후보는 다 좋은데 귀가 얇다. 수직정원에 꽂혀 있는데 문제가 있다고 본다”고 말했다. 고층건물 높이로 지어지는 수직정원 공약은 서민 주거 문제 등을 해결하려는 민주당 후보의 대표 공약으로선 문제가 있다는 비판을 거듭 이어간 것이다. 


지난 26~27일 권리당원 온라인 투표를 진행한 민주당은 28일부터 3월1일까지 자동응답시스템(ARS) 투표를 거쳐 1일 오후 6시께 최종 후보를 발표한다. 민주당 후보가 확정되면 선거 출마를 위한 현역 의원 사퇴 시한인 3월8일 이전까지 김진애 열린민주당 후보, 조정훈 시대전환 후보와 범여권 단일화 논의에 나설 계획이다. 이런 가운데 김진애 후보는 이날 입장문을 내어 지난 24일 조정훈 ‘시대전환’ 후보의 단일화 제안과 관련해 “조 후보는 민주당의 비례위성정당이었던 더불어시민당으로 당선된 의원”이라며 “당대당 단일화의 대상이 될 수 없다”고 밝혔다. 



국민의힘 서울시장 예비후보들은 이날 국회에서 예비후보 간담회를 열어 ‘원팀’을 강조하면서도, 자신이 정권에 맞설 ‘센터’라고 주장했다. 이들은 여권 심판론을 한목소리로 주장하며 “미래를 말할 수 있는 ‘97세대’(1990년대 학번·1970년대생)를 대표하는 필승카드”(오신환), “다시 뛰는 서울시”(오세훈), “‘박원순 시정’ 결산”(나경원), “정권 탈환 승부사”(조은희)를 자부했다. 


국민의힘 후보군 가운데 양강 구도를 형성하고 있는 나 후보와 오세훈 후보는 이날 대규모 공개 지지 선언 소식을 알리며 경선 전 막판 세대결을 벌였다. 나 후보는 전·현직 구청장 10명을 포함해 서울시·구의원 등 288명이 지지를 선언했다고 이날 밝혔다. 최홍우 전 서울시의원 등은 이날 지지선언문에서 “서울의 새 역사를 쓸 나경원 후보의 승리를 위해 한마음 한뜻을 모아 결집했다”고 했다. 나 후보는 이어 이날 서울 영등포구에 마련한 사무실에서 사회관계망서비스(SNS) 서포터스 발대식을 온라인으로 열었다.
전·현직 교장 등 교육계 인사 210여명은 이날 오후 서울 광진구 오세훈 후보의 사무실에서 기자회견을 열어 “오세훈 후보만이 진정한 중도개혁우파의 가치를 구현하며 교육 개혁을 주도할 적임자”라고 지지를 선언했다. 오세훈 후보는 이어 음성 기반 에스엔에스 ‘클럽하우스’를 통해 2025년까지 서울시 전역에 전기차 충전기 20만개를 설치하겠다는 등 모빌리티 관련 공약을 발표했다. 


한달 가까이 진행된 야권의 서울시장 후보 선출 과정은 다음주 분수령을 맞을 전망이다. 국민의힘은 마지막 텔레비전 토론(3월1일)을 거친 뒤 2~3일 여론조사를 통해 오는 4일 최종 후보를 결정한다. 1일 오전 10시 발표되는 안철수-금태섭 후보 간 ‘제3지대 단일 후보’ 승자와의 최종 단일화 협상도 국민의힘 후보 선출과 동시에 시작될 것으로 보인다. ",hankyoreh,282.643771746,188.55149129299986,56.148304626999874
2,39,2021-02-10,"박영선 상승세냐, 야권 단일화냐…설 밥상 민심 어디로?",김미나 기자 mina@hani.co.kr,"지난달 말 뒤늦게 출마 선언을 한 박영선 전 중소벤처기업부 장관이 지지율 상승세를 보이고 있다. ‘후보 단일화’를 앞둔 야권 후보들은 ‘박영선 때리기’에 집중하며 경계심을 드러내고 있다.
여론조사 기관 리얼미터는 10일 <와이티엔>(YTN)·<교통방송>(TBS) 의뢰로 실시한 ‘차기 서울시장 후보 적합도 조사’(7~8일 서울 거주 성인 1016명 대상·신뢰 수준 95%, 표본오차 ±3.1% 포인트) 결과 박 전 장관은 안철수 국민의당 대표와의 가상 가양자대결 구도에서 38.9%를 기록했다고 밝혔다. 안 대표는 36.3%였다. 박 전 장관-나경원 전 의원 대결에서도 박 전 장관은 39.7%, 나 전 의원은 34%였다. 오세훈 전 서울시장과의 대결에선 40.6% 대 29.7%로 오차 범위 밖에서 이겼다. 야권 단일화가 무산돼 3자 대결이 펼쳐지는 경우를 가정했을 때도, 박 전 장관은 국민의힘 후보로 누가 나오느냐에 관계없이 오차범위 밖에서 이기는 것으로 예측됐다. 나 전 의원이 국민의힘 최종 후보가 될 경우 박 전 장관이 37.5%, 나 전 의원이 25.0%, 안 대표가 22.7%였고, 오 전 시장이 나설 경우엔 박 전 장관 37.7%, 오 전 시장 18.7% 안 대표 26.7%로 조사됐다. 


여야 후보 모두를 대상으로 한 적합도 조사에서는 박 전 장관(26.2%), 안 대표 (19.0%), 나 전 의원(15.1%)이 선두 그룹을 형성하고 있다. 박 전 장관의 출마 선언 전이던 지난달 4일 리얼미터 조사 때는 안 대표가 24.9%, 박 전 장관이 13.1%, 나 전 의원이 10.7%였다. 한달새 안 대표 적합도가 5.9%포인트 하락하고 나 전 의원은 4.4%포인트 상승하는 사이, 박 전 장관의 적합도는 13.1%포인트가 올랐다. 
그러나 박 전 장관의 경쟁력이 확인된 것이지, 우위를 굳힌 것이라고 보긴 힘들다. 여론조사업체별로 결과가 엇갈리기 때문이다. 엠브레인퍼블릭이 <뉴스1> 의뢰로 지난 8∼9일 서울 거주 성인 1002명을 대상으로 실시한 가상 양자대결 조사(신뢰 수준 95%, 표본오차 ±3.1% 포인트)에선 안 대표가 45.2%를 얻어 박 전 장관(35.3%)을 오차범위 밖에서 이겼다. 지난 5∼6일 서울 거주 성인 807명으로 대상으로 한 <문화일보> 의뢰, 엠브레인퍼블릭 조사(신뢰 수준 95%, 표본오차 ±3.46% 포인트)에서도 안 대표는 46.6%, 박 전 장관은 37.7%의 선호도를 나타냈다.
야권은 여론조사 결과에 일희일비하지 않겠다면서도 긴장감을 표하는 모습이다. 지난주 야권 단일화 작업이 ‘국민의힘 내부 경선’과 ‘제3지대 경선’ 이원화 구도로 확정됐지만, 야권 전체의 흥행은 살아나지 않고 있다. 국민의힘 내부 경선에선 나경원·오세훈 ‘투톱’ 경쟁 구도가 굳어지면서 오신환·조은희 후보 등 ‘뉴페이스’의 활약이 주목받지 못하고 있다. 제3지대에선 지지층을 끌어모을 티브이(TV) 토론 등 이벤트가 설 연휴 뒤인 15일로 미뤄졌다. 이번 설 밥상 주도권을 여권 후보에게 빼앗기는 것 아니냐는 우려가 나오는 이유다. 국민의힘 비대위 관계자는 “나경원·오세훈 후보의 선두 싸움만 계속되다보니 경선이 긴장감 없이 침체된 측면이 있다”면서도 “박 전 장관도 새 인물은 아니지 않나. 여론조사 결과도 후보 개인에 대한 선호는 아니라고 본다. 서울 선거가 ‘부동산 선거’로 가게 되면 우리 당에 불리하지는 않을 것”이라고 내다봤다. 
이날도 야권 후보들은 일제히 ‘박영선 때리기’에 집중했다. 오 전 시장은 전날 박 전 장관의 ‘21분 콤팩트 도시’ 공약 행사에서 한 교수가 “(숫자 21은) 21세기, 선거가 있는 올해가 2021년이라는 점 등이 반영됐다”고 지적한 것을 두고 “공상과학(SF) 영화를 너무 자주 보셨나”라며 “허술하게 네이밍된 것이라니 실로 경악을 금할 수 없다”고 꼬집었다. 나 전 의원은 자신의 ‘결혼·출산 1억원 보조금’ 공약을 박 전 장관이 “돈 준다고 결혼하고 출산한다고 생각하지 않는다”고 비판한 것과 관련해 “어처구니 없는 셀프 디스”라며 “박 전 장관은 (2018년 서울시장 선거 경선 출마 때) 저출산을 지적하며 ‘둘째 아이를 출산했을 경우 만 5세까지 매월 20만원을 지원하겠다’고 공약했다. 최소한 앞뒤는 가려가며 비판하라”고 맞섰다.",hankyoreh,465.2818431100003,320.5345901009992,111.68472863599982
3,88,2021-04-08,박영선 “연초록 잎 보며 깊은 성찰의 시간 갖겠다”,노현웅 기자 goloke@hani.co.kr,"4·7 서울시장 보궐선거에서 참패를 당한 박영선 더불어민주당 후보가 “깊은 성찰의 시간을 갖겠다”며 겸허히 패배를 수용한다는 뜻을 밝혔다.
박 후보는 7일 페이스북에 “천만시민의 새로운 봄을 정성껏 준비했지만 그 봄이 지고 말았다”며 “진심이 승리하길 염원한 시민들께 끝없는 감사를 드리며 엎드려 큰 절을 올린다. 회초리를 들어주신 시민들의 마음도 모두 받겠다”고 적었다.
박 후보는 광주 민주화 운동의 아픔을 담은 박용주 시인의 ‘목련이 진들’의 한 구절을 인용하며 선거 패배에 대한 회한을 드러냈다. 박 후보가 인용한 대목은 “목련이 지는 것을 슬퍼하지 말자/ 피었다 지는 것이 목련뿐이랴/ 기쁨으로 피어나 눈물로 지는 것이 어디 목련뿐이랴”였다. 박용주 시인은 15살에 쓴 시 ‘목련이 진들’로 전남대학교가 주관한 5월 문학상을 수상한 바 있다.
이어 박 후보는 “이른 새벽 하얀 목련이 피는 것을 보며 집을 나섰다. 목련의 단아하고 눈부신 흰빛에 맺힌 간절함이 봄을 말하고 있었다”며 “새로 피어나는 연초록 잎을 보며 깊은 성찰의 시간을 갖겠다”고 다짐했다.",hankyoreh,516.6932280570004,357.4633985029987,120.47328052899977
4,99,2021-02-17,우상호·박영선 토론에 난데없이 등장한 ‘모기’와 ‘낙엽’,노지원 이지혜 기자 zone@hani.co.kr,"첫번째 티브이(TV)토론에서 ‘민주당다움’을 주제로 설전을 벌였던 우상호·박영선 더불어민주당 서울시장 예비후보는 두번째 토론에선 박 후보의 ‘수직 정원’ 공약을 놓고 맞붙었다. 이번엔 정원에 심은 나무에 날아들 모기떼와 낙엽 청소 문제까지 거론됐다. 토론 주제가 갈수록 파편화되면서 경선 열기를 떨어뜨린다는 지적이 나온다. 
우 후보는 17일 오후 열린 <연합뉴스TV> ‘더불어민주당 서울시장 경선 후보 방송토론회’에서 박 후보의 대표적 공약 가운데 하나인 ‘도심 속 수직 정원 설치’의 문제점을 비판했다. 우 후보는 중국 쓰촨성에 설치된 수직 정원이 방치된 사례를 들면서 “공약을 철회하거나 수정해 처리할 생각이 없나. 흉물이 될 가능성이 있다”고 우려를 드러냈다.
수직정원은 박 후보의 브랜드 공약인 ‘21분 콤팩트 도시-여의도’의 핵심 요소다. 박 후보는 국회의사당에서 동여의도로 향하는 구간 도로를 지하화해 넓은 공원을 만들고 그 자리에 수직 정원형 ‘브이(V)자형 스마트팜’과 1인 주거텔을 설치하겠다고 한다. 박 후보 공약대로 수직 정원을 만들 경우 나무 수천그루를 심게 된다. 우 후보는 “공약이 수정돼야 한다”며 “지난번에 나무 5000그루를 넣을 수 있다고 하는데, 전문가에게 물어보니 (이런 공약을 실현할) 땅이 없다고 한다. 또 나무가 5000그루면 가을 낙엽 떨어지는 것을 치우느라 난리가 날 것”이라고 말했다. 또한 주거공간에 모기가 들어오면 불편을 겪게 될 것이라고도 했다. 우 후보는 토론 전에 기자들과 만나 “불평등과 양극화로 점철된 경제 사회 구조가 변화해야 한다고 생각한다""며 ""도시공학으로는 사회경제구조를 바꿀 수 없다""고 박 후보를 겨냥했다.
이에 박영선 후보는 수직 정원의 성공 사례를 들면서 반박했다. 박 후보는 “수직 정원은 “선진도시의 새 트렌드”라면서 미국 아마존 제2본사가 들어선 미국 버지니아 알링턴의 수직 정원을 예로 들었다. 박 후보는 “이러한 랜드마크를 형성해서 서울을 생태계, 환경 문제, 탄소 문제의 상징으로 만들겠다는 것”이라고 했다. 이어 박 후보는 수직 정원에 나무 5000그루를 심는 것과 관련해 “계산을 어떻게 하느냐에 따라 변수가 있을 수 있다”며 “여러 방법이 있을 수 있어서 그러한 세부사항을 다루는 것은 좀 성급한 질문이 아닌가 싶다”고 했다. ",hankyoreh,608.437957987,431.27285172399814,149.5177116800001
5,144,2021-02-15,"[리얼미터] 박영선 32%, 안철수 23%, 나경원 16%",장나래 기자 wing@hani.co.kr,"리얼미터가 <문화방송>(MBC) 프로그램 ‘100분 토론’ 의뢰로 지난 13~14일 18살 이상 서울시민 1005명을 대상으로 차기 서울시장 후보 적합도를 조사(신뢰 수준 95%, 표본오차 ±3.1%포인트)한 결과, 박영선 민주당 예비후보가 32.2%, 안철수 국민의당 예비후보가 23.3%를 차지했다. 두 후보 간 격차는 8.9%포인트였다. 이어 나경원 국민의힘 예비후보 16.5%, 우상호 민주당 예비후보 7.6%, 오세훈 국민의힘 예비후보 7.0%, 조은희 국민의힘 예비후보 2.2%, 금태섭 전 의원 2.0%, 김진애 열린민주당 후보 1.6% 등 순으로 나타났다. 이 조사는 향후 야권 후보 단일화나 민주당 후보 확정 등을 전제하지 않고 현재 시점에서 출마하는 모든 후보를 대상으로 한 것이다. 
이번 서울시장 보궐선거의 의미를 묻는 질문에는 ‘정부·여당의 책임을 묻기 위해 야당에 힘을 실어 주어야 한다’는 응답이 49.8%로, ‘안정적 국정운영을 위해 정부·여당에 힘을 실어 주어야 한다’는 응답(43.1%)을 오차범위 밖에서 앞섰다. 차기 서울시장이 직면할 주요 현안으로는 ‘주거 및 부동산 시장 안정화’(36.6%) 응답이 가장 많았고, ‘일자리 및 경제 활성화’(30.1%), ‘코로나19 방역 및 사후 대책’(15.4%) 등이 뒤를 이었다.
무선 가상번호 및 유선 임의전화걸기(RDD) 표본 프레임 내 무작위 추출 표집을 통한 자동응답 조사로 실시된 이번 조사의 응답률은 8.9%다. 자세한 내용은 중앙선거여론조사심의위원회 누리집을 확인하면 된다.",hankyoreh,667.5931251949993,469.86383080199784,162.4908578890002
6,180,2021-01-26,박영선 “봄날 같은 시장” 출마선언 …‘21분 콤팩트 도시’ 구상 발표,김원철 기자 wonchul@hani.co.kr,"박영선 전 중소벤처기업부 장관이 26일 4·7 서울시장 보궐선거 출마를 공식 선언했다. 박 전 장관은 “서울을 21개의 콤팩트 앵커로 재구성해 21개 다핵분산도시로서 서울 시민의 삶의 질을 개선하겠다”고 밝혔다.
 박 전 장관은 이날 서울 여의도동 중소기업중앙회관에서 비대면 ‘시민보고' 방식으로 출마를 공식화했다. 그는 “코로나19의 고난과 어려움을 뚫고, 회복과 재건의 시간을 맞이하기 위해서는 코로나 이후 서울을 G-7 글로벌 디지털 경제 도시로 도약시킬 서울시장이 필요하다”며 “서울시 대전환을 통해 안전하고 공정하고 따뜻한 서울을 만들겠다”고 밝혔다.
 박 전 장관은 이날 ‘서울시 대전환’ 첫 번째 시리즈로 ‘21분 콤팩트 도시’를 내세웠다. ‘21분 콤팩트 도시’는 서울을 인구 50만명 기준, 21분 이내 교통거리에서 직장·교육·보육·보건의료·쇼핑·여가·문화 등 모든 것이 해결되는 도시로 만들겠다는 구상이다. 도심 집중화가 아닌 다핵화를 통해 양극화와 환경문제를 해결할 수 있다고 설명했다. 
 박 전 장관은 ‘21분 콤팩트 도시-여의도’ 비전을 실제 조감도와 함께 선보였다. 조감도에는 국회의사당에서 동여의도로 향하는 구간 도로를 지하화해 넓은 공원을 만들고 그 자리에 수직 정원형 ‘브이(V)자형 스마트팜’과 1인 주거텔을 설치하는 구상이 담겼다. 박 전 장관은 “국회가 이전하면 의사당은 세계적 콘서트홀로, 의원회관은 청년창업 주거지로, 소통관은 창업 허브로 탈바꿈할 수 있다”며 “코로나19 서울은 디지털 경제 시대 세계를 선도하는 도시가 될 것”이라고 말했다.

   박 전 장관은 이해인 시인의 시 ‘봄날 같은 사람’ 구절을 인용하며 “코로나19 고난과 어려움을 뚫고 회복과 재도약의 시간을 맞이하려면, 서울의 봄을 위해 봄날 같은 시장이 필요하다”고 말했다.
 경선 경쟁자인 우상호 의원은 이날 페이스북에 글을 올려 “박 후보의 출마선언을 축하한다”며 “오늘은 박 후보의 날이기 때문에 공개 일정을 잡지 않았다. 선의의, 아름다운 경쟁으로 당을 살리고 승리의 발판을 함께 만들어가자”고 밝혔다. 우 의원은 박 전 장관과 함께 이날 여의도 한 호텔에서 경기도와 경기주택도시공사 주관으로 열린 ‘경기도 기본주택 토론회'에 참석했다.",hankyoreh,773.8121244479979,550.2239077859973,190.14382344400045
7,263,2021-03-25,오세훈 60%·박영선 21%…20대 지지율 ‘3배 격차’ 왜?,김미나 기자 mina@hani.co.kr,"‘20대는 오세훈, 40대는 박영선.’
야권 단일화 뒤 처음 실시된 서울시장 후보 여론조사에서 연령대별 지지 후보가 극명하게 엇갈렸다. 리얼미터는 <오마이뉴스> 의뢰로 야권 단일화 성사 다음 날인 지난 24일 서울 유권자 806명에게 ‘어느 후보에게 투표할 것인지’를 물은 결과(신뢰 수준 95%, 표본오차 ±3.5%포인트) 응답자의 55.0%가 오 후보, 36.5%가 박 후보를 꼽았다고 25일 밝혔다. 
눈길을 끄는 것은 연령대별 지지율이다. 18∼29살 연령대에선 오 후보가 60.1%를 기록한 반면, 박 후보는 21.1%에 그쳤다. 30대에서도 오 후보가 54.8%, 박 후보가 37.8%를 기록했고, 50대에서도 오차범위 안에서 오 후보(47.1%)가 박 후보(45.2%)에 앞섰다. 보수 성향이 강한 것으로 분류되는 60살 이상 연령층에선 오 후보가 70.5%, 박 후보가 26.7%를 기록했다. 연령별 지지율에선 유일하게 40대에서만 박 후보(57.9%)가 오 후보(34.7%)를 앞질렀다. 40대는 민주당의 ‘콘크리트 지지층’으로 불린다. 
20대의 보수정당 후보 지지는 제3지대와 단일화 효과로 보인다. 단일화 직전인 지난 22∼23일 리얼미터-<와이티엔>(YTN)·<교통방송>(TBS) 여론조사 당시엔 20대에서 오 후보가 38.6%, 30대에선 37.7%를 얻었는데 단일화 뒤 2배 가량 훌쩍 뛰었다. 여기에 전통적 강성 보수 진영에서 한 발 물러나 중도층을 끌어안으려 한 오 후보의 선거 전략이 먹힌 것으로도 분석된다. 
배철호 리얼미터 수석전문위원은 <한겨레>에 “부동산 문제와 연결된 공정의 문제에 20대가 분노하고 있다는 점이 영향을 준 것”이라며 “정당 정체성에 대한 지지보다는 한국토지주택공사(LH) 투기 의혹 등 최근의 이슈가 선거 구도를 만들고 있다”고 짚었다. 
이날 리얼미터가 함께 조사한 연령대별 정당 지지율을 보면, 20대의 국민의힘 지지율(33.7%)은 오 후보 지지율(60.1%)과 2배 가까이 차이가 났다. 20대의 민주당 지지율(20.5%)은 박 후보 지지율(21.1%)과 비슷했다. 이에 대해 배 위원은 “후보 지지율과 정당 지지율의 괴리는 이번 선거에서 민주당에 대한 심판 정서가 여전히 먹히고 있다는 것”이라며 “오 후보에 대한 호감도라기 보다는 민주당에 대한 경고, 회초리 성격이 짙다”고 진단했다. 
자세한 조사 개요와 결과는 리얼미터 누리집 또는 중앙선거여론조사심의위원회 누리집을 참고하면 된다. ",hankyoreh,873.4322541279975,611.8805842069978,203.6824628240006
8,298,2021-03-17,박영선 “박원순 전 시장 피해자에게 용서 구한다”,서영지 기자 yj@hani.co.kr,"박영선 더불어민주당 서울시장 후보가 17일 고 박원순 전 시장 성추행 사건 피해자의 기자회견과 관련해 “부족함이 많지만 더욱 겸허한 마음으로 용서를 구한다”고 밝혔다. 
박 후보는 이날 페이스북에 “오늘 박 전 시장 피해자의 기자회견이 있었다. 참 힘든 하루였을 거라 생각한다. 얼마나 생각이 많으셨겠나. 진심으로 위로를 전한다”고 적었다. 이어 “회견에 제 이름이 언급됐다. 제가 진심으로 또 사과드리고 용서도 받고 싶다”고 덧붙였다. 박 후보는 “저희 당 다른 분들에게 하고 싶은 얘기는 모두 제게 해달라. 제가 모든 것을 짊어지고 가겠다”며 “지난 이야기도, 앞으로의 이야기도 모두 제게 달라”고 글을 남겼다. 
이날 피해자는 기자회견에서 “저의 피해 사실을 왜곡하고 상처를 준 정당에서 시장 후보가 선출됐다. (선거 뒤) 저의 자리로 돌아갈 수 없을 것이라는 두려움이 든다”고 밝혔다. 그는 민주당의 사과가 내용과 형식 모두 잘못됐다면서, “이낙연 (전) 대표와 박영선 (서울시장) 후보가 어떤 것에 대한 사과인지 명확하게 짚어주지 않았다는 생각이 든다”고 말했다. ",hankyoreh,932.5044384789973,657.8778394099982,218.3341537810007
9,331,2021-03-18,"고민정→ 진선미→남인순, 박영선 캠프서 ‘피해호소인 3인방’  하차",이지혜 기자 godot@hani.co.kr,"박원순 전 서울시장의 성폭력 피해자를 ‘피해호소인’으로 지칭해 2차 가해 논란을 빚은 남인순·진선미·고민정 더불어민주당 의원이 박영선 서울시장 후보 캠프에서 모두 하차했다. 박 후보 선거대책위원회는 18일 저녁 보도자료를 통해 “진선미 의원과 고민정 대변인이 선대위 직책을 내려놓은 데 이어 남인순 의원도 선대위 공동선대본부장에서 물러났다”고 밝혔다. 남 의원은 이날 저녁 안규백 상임선대위원장에게 “피해자에게 고통을 드린 데 대해 깊이 사과하고 피해자가 일상생활을 회복할 수 있기를 진심으로 바란다”는 입장과 함께 공동선대본부장 사임 의사를 밝혔다. 
이에 앞서 고민정 의원과 진선미 의원은 각각 박 캠프의 대변인직과 공동선대본부장직을 내려놓았다. 고민정 의원은 이날 오후 페이스북에 “저의 잘못된 생각으로 피해자에게 고통을 안겨드린 점 머리 숙여 사과드린다”며 “박영선 캠프 대변인직을 내려놓겠다”고 밝혔다. 고 의원은 “어떻게 해야 피해자의 아픔을 치유해 드릴 수 있을까 지난 몇 개월 동안 끊임없이 고민해 왔다. 어떤 시점에, 어떤 방식으로 미안함을 전해야 할까 늘 전전긍긍했다”며 “피해자의 일상이 회복될 수 있기를, 이 괴로운 날들 속에서 벗어날 수 있기를 간절히 바란다. 직접 만나 뵙고 진실한 마음 전할 수 있기를 바란다”고 덧붙였다. 고 의원이 사퇴를 표명한 지 몇시간 지나 진선미 의원도 페이스북을 통해 “이제 피해자에게 용서를 구한다. 온전히 일상이 회복될 수 있기를 진심으로 기원한다”며 “선대위의 직책을 내려놓겠다”고 밝혔다. 
박 전 시장 성폭력 피해자는 지난 17일 기자회견을 열어 “지금 (박영선 서울시장 후보) 선거 캠프에는 저를 상처 줬던 사람들이 많이 있다“며 “사실에 대한 인정과 후속 조치가 있었어야 한다”고 요구했다. 박 후보 캠프에 공동선대본부장으로 합류한 남인순·진선미 의원과 캠프 대변인을 맡은 고민정 의원을 지목한 것이다. 이들은 사건 초기 피해자를 ‘피해호소인’으로 지칭해 논란을 산 바 있다.",hankyoreh,1025.7223445339973,731.6356356829974,234.18347637700097
