,Unnamed: 0,Unnamed: 0.1,날짜,title,언론사,기자,content,긍정,부정,중립
0,29,29,2021-04-30 3:00,‘이재명 지지’ 1만여명 규모 전국조직 내달 출범,동아일보,박민우 기자 ,"

여권의 차기 대선 주자인 이재명 경기도지사를 지지하는 1만여 명 규모의 전국 조직이 다음 달 출범한다. 국회의원이 중심이 된 싱크탱크와 전국 단위의 풀뿌리 조직을 동시에 띄워 더불어민주당 대선 후보 레이스의 초반 주도권을 쥐겠다는 포석이다. 민주당 관계자는 29일 “이 지사를 지원하는 전국 조직인 ‘민주평화광장’ 포럼이 다음 달 12일경 발족한다”고 말했다. 이 포럼은 민주당 이해찬 전 대표의 핵심 측근인 조정식 의원이 주도하는 것으로 알려졌다. 여권에서는 “이 전 대표가 본격적으로 이 지사를 돕는 것”이라는 관측이 나온다. 실제로 포럼 명칭은 민주당의 ‘민주’와 경기도의 도정 가치인 ‘평화’, 그리고 이해찬 전 대표의 연구재단인 ‘광장’의 이름을 각각 담았다.  여권 대선 주자 가운데 대규모 외곽 조직을 띄우는 것은 이 지사가 처음이다. 여기에 이 지사와 가까운 ‘이재명계’ 의원들이 주도하는 정책 연구 모임 ‘대한민국 성장과 공정 포럼’(성공포럼)도 다음 달 중순 문을 연다.  이 지사에 대한 견제도 본격화되고 있다. 앞서 정세균 전 국무총리는 이 지사가 정부 중앙안전대책본부 회의에 여러 차례 결석했다고 지적했고, 이 지사는 “경기도지사의 1시간은 (경기도 인구 1380만 명당 1시간인) 1380만 시간에 해당한다”고 반박했다. 이를 두고 민주당 이낙연 전 대표의 측근인 정운현 전 총리비서실장은 페이스북을 통해 “그런 식이라면 총리의 1시간은 (전국 인구당 1시간인) 5000만 시간이 된다”며 “이 지사의 궤변과 오만함이 도가 지나치다”고 성토했다.박민우 기자 minwoo@donga.com  
",91.73504112599998,52.39635031500002,15.633520614999997
1,37,37,2021-04-29 3:00,기본소득 앞세워… 이재명 대권행보 시동,동아일보,박민우 기자 ,"

여권의 차기 대선 주자인 이재명 경기도지사가 자신의 정책 브랜드인 ‘기본소득’을 앞세워 대선 레이스의 시동을 걸었다.  이 지사는 28일 경기도 주최로 ‘2021 대한민국 기본소득 박람회’를 개최했다. 고양시 킨텍스에서 열린 박람회 개회사에서 이 지사는 “지역화폐형 기본소득이 4차 산업혁명 시대를 대비하는 유일하고도 가장 강력한 경제정책이라고 확신한다”며 “우리는 ‘저부담 저복지’ 국가에서 ‘중부담 중복지’를 넘어 ‘고부담 고복지’ 사회로 가야 한다”고 말했다. 기본소득의 현실성 문제에 대해서는 “지금이라도 당장 연 560조 원에 이르는 예산의 일부를 절감 또는 조정해서 지난해 1차 재난지원금과 같은 기본소득제도를 연간 2회 시행하는 데 아무런 문제가 없다”고 했다. 이 지사는 자신을 향한 ‘포퓰리즘(대중영합주의)’ 비판에 대해서도 “국민들께서 불합리한 것을 추진하는 정치인을 맹목적으로 따르는 만큼 수준이 낮지가 않다”고 일축했다.  이 지사와 가까운 한 의원은 “다음 달 대선 기초 조직인 ‘대한민국 성장과 공정 포럼(성공포럼)’의 발족을 통해 본격적인 대선 행보에 나설 것”이라고 했다. 박민우 기자 minwoo@donga.com  
",156.90487740599997,92.946747347,21.24385249400001
2,47,47,2021-04-28 3:00,이재명 “백신 남는게 낫다”… 정세균 “과도할까봐 걱정”,동아일보,"김지현 기자 , 윤다빈 기자 ","

“(신종 코로나바이러스 감염증 백신은) 부족한 것보다 남는 게 낫다.”(이재명 경기도지사) “지금 이미 그렇다. 후반기에 과도하게 들어올까 봐 걱정이다.”(정세균 전 국무총리) 여권 대선주자인 정 전 총리와 이 지사가 러시아산 스푸트니크V 백신 추가 도입 문제를 둘러싸고 연일 각을 세우고 있다. 정 전 총리는 27일 KBS 라디오에서 이 지사가 “부족한 것보다 남는 게 낫다”며 스푸트니크V 백신 추가 도입 주장을 거두지 않고 있는 것에 대해 “정부가 지금 이미 그렇게(남게) 한 것”이라고 일축했다.  그는 ‘이 지사가 상황을 잘 모르고 하는 얘기냐’는 질문에 “그럴 수 있다”며 “원래 국민 숫자보다 적은 4000만 명분 정도 계약할 생각이었는데 점차 늘어서 7900만 명분까지 갔다가 (현재) 9900만 명분으로 늘어난 것”이라고 강조했다. 이어 “정부는 (백신이) 남을 경우 내년으로 돌리는 계획까지 다 세웠다”고 했다. 정 전 총리는 전날 MBC 라디오에서도 “그분이 중대본 회의에 잘 참석했으면 그런(러시아 백신 도입) 말씀을 하기 어려울 것”이라고 이 지사를 겨냥했다. 그러자 이 지사도 페이스북에 “늑장보다 과잉이 나은 것처럼 생명과 안전에 관한 한 부족한 것보다 남는 것이 낫다”며 “국민 건강을 두고 백신 패권 대결에 편승하거나 이념 대결과 편 가르기에 나서면 안 된다”고 했다.  이를 두고 정치권에서는 문재인 대통령이 전날 야당을 향해 백신 정쟁화 중단을 요청했지만 도리어 여당 내 설전이 과열되고 있다는 지적이 나온다. 국민의힘 윤희석 대변인은 이날 구두논평에서 “대권 놀음에 백신까지 끌어들이는 행태는 책임 있는 여당 인사들의 자세가 아니다”라며 “백신 정치화로 국민 불안을 가중시켜서는 안 된다. 국민은 안전한 백신을 빨리 맞고 싶을 뿐”이라고 비판했다. 김지현 jhk85@donga.com·윤다빈 기자 
",248.5736235560001,156.5349087719999,40.13063851999996
3,127,127,2021-04-21 3:00,"이재명, 친문 문자폭탄에 “1000개쯤 차단하면 안와”",동아일보,허동준 기자 ,"
더불어민주당의 4·7 재·보궐선거 참패 이후 한동안 침묵을 지켰던 이재명 경기도지사가 20일 여의도 행보를 재개했다. 이 지사는 당 안팎에서 이어지는 쇄신 요구에 공감한다는 입장을 밝히면서도 부동산과 신종 코로나바이러스 감염증(코로나19) 백신 등 주요 현안에 대해서는 민주당과 미묘한 입장차를 드러내며 유력 대선 주자로서 존재감을 드러냈다. 이 지사는 이날 오전 서울 여의도 국회 인근 호텔에서 열린 ‘청소·경비노동자 휴게시설 개선 국회 토론회’에 참석했다. 이 지사가 주최한 이날 행사에는 민주당 의원 41명이 공동 주최자로 이름을 올렸다. 이 중 노웅래 정성호 김영진 소병훈 임종성 의원 등 10여 명은 직접 행사장을 찾았다. 이 지사는 행사 후 호텔 로비에서 25분 동안 선 상태로 기자들과 질의응답을 나눴다. 향후 대선 행보를 묻는 질문에는 “(여권의 선거 패배로) 정말 깊이 반성해야 하는 시점”이라며 “지금 해야 할 일은 낮은 자세로 주권자를 두려워하는 것”이라고 했다. 이날 오후 민주당 윤호중 원내대표와의 면담 후 기자들의 질문엔 “부모가 사랑하는 자식이 잘되라고 심하게 질책하고 훈계하는 것과 같은 것 아니겠는가”라고 답했다. 민주당 유력 대선 주자로서 당 안팎의 쇄신과 반성 요구에 동참 의사를 밝힌 것으로 풀이된다.  하지만 주요 현안에 있어서는 현 정부의 정책 기조와 구분되는 본인의 입장을 분명히 했다. 특히 최대 현안인 부동산 문제와 관련해 “실주거용 1주택 또는 2주택에 대해서는 생필품에 준하는 보호를 해야 한다”며 “수도권 사는 사람들이 (지방에) 별장을 만들어서 주말에 실제로 이용한다면 제재할 필요가 없는 것”이라고 했다. 다주택자 규제에 힘을 싣고 있는 당정과는 다른 견해를 내놓은 것. 일부 친문(친문재인) 열성 지지층의 ‘문자 폭탄’에 대해서도 “다양한 의견이 있을 수밖에 없지만 의견 표명 방식이 폭력적이거나 상례를 벗어난 경우는 옳지 않다”며 부정적 입장을 밝혔다. 이어 “민주당 권리당원이 80만 명, 일반당원까지 300만 명에 달한다고 하는데 (문자폭탄 보내는 당원들이) 과연 몇 명이나 되겠는가”라며 “과잉 대표되는 측면이 있고 과잉 반응하는 측면이 있다”고 덧붙였다. 이 지사는 “눈 감으면 아무것도 없다. (휴대전화 번호를) 1000개쯤 차단하면 (문자가) 안 들어온다고 한다”며 웃어넘기기도 했다.  약 2주 만에 정치권 행보를 재개한 이 지사가 민주당과는 다른 자신만의 색깔을 강조하고 나서자 민주당 내에서는 “이제부터 본격적인 대선 주자 행보에 나서겠다는 신호탄”이라는 반응이 나왔다.  이 지사는 다음 달 12일에도 부동산 토론회를 준비하고 있다. 여권 고위 관계자는 “이른바 ‘이재명계’는 이번 전당대회에서 최고위원 후보를 내지 않고 대선 준비에 집중하기로 방향을 정한 것으로 보인다”며 “다음 달 2일 전당대회 이후 본격적으로 대선 정국이 펼쳐지는 만큼 이 지사의 움직임도 더욱 빨라질 것”이라고 했다. 허동준 기자 hungry@donga.com  
",395.4115812150004,267.7525543549998,68.0332983519998
4,245,245,2021-04-10 3:00,속내 복잡한 與주자들… 이재명 “무거운 책임감” 이낙연 “성찰의 시간”,동아일보,김지현 기자 ,"

더불어민주당의 4·7 재·보궐선거 참패 이후 여권 내 대선주자들의 속내가 복잡해지는 모양새다. 선거 전면에 나섰던 이낙연 전 민주당 대표로선 패배 책임론을 딛고 재기의 발판을 마련하는 것이 시급한 과제다. 이달 중 사퇴가 유력시되는 정세균 국무총리의 ‘여의도 복귀’와 더불어 ‘1강’ 독주 체제를 이어가고 있는 이재명 경기도지사의 ‘당심(黨心) 회복’ 여부가 추후 당내 대선 판세의 흐름을 결정하는 관건이 될 것으로 보인다. “당의 일원으로서 무거운 책임감을 느낀다.” 이 지사는 선거 다음 날인 8일 페이스북을 통해 이렇게 밝혔다. 현역 지방자치단체장이란 신분 때문에 선거 전면에 나서지 않아 책임론에서 상대적으로 자유롭지만 ‘당의 일원’으로서 패배의 고통을 나눠지겠다고 강조한 것. 재·보선을 계기로 여권 안에선 이 지사의 독주 체제가 더욱 뚜렷해지는 형국이다. 이 지사는 엠브레인퍼블릭 케이스탯리서치 코리아리서치 한국리서치가 5∼7일 진행한 여론조사에서 24% 지지율을 유지하며 윤석열 전 검찰총장(18%)을 앞섰다. 다만 당내 견제를 극복하면서 지지율을 유지하는 과제가 남았다. 이 지사 측은 9일 “강성 친문 지지층 사이에선 한국토지주택공사(LH) 투기 의혹 폭로 배후를 이 지사와 엮어 선거 패배 책임을 물으려는 주장이 여전하다”며 “대선 경선을 앞두고 당 지지층의 여론을 살피지 않을 수 없겠지만 지금까지처럼 소신 있게 말하고 움직이는 것도 중요하다고 본다”고 했다. 이 지사는 당분간 당심을 살피며 ‘도정 챙기기’에 주력하되 의원들과의 개인적인 접점은 늘려나갈 것으로 보인다. 이 전 대표는 15일 자가 격리가 끝나는 대로 민생 현장을 직접 찾을 계획이다. 이 전 대표는 부인의 신종 코로나바이러스 감염증(코로나19) 확진자 접촉으로 7일부터 자택에서 자가 격리 중이다.  이 전 대표 측 관계자는 9일 “이 전 대표가 선거에서 드러난 민심을 겸허하게 수용하고 성찰하겠다고 약속한 만큼 여의도 정치와는 당분간 거리를 두되 국민의 삶을 찾아가 직접 성난 민심을 달래려고 한다”며 “온·오프라인을 가리지 않고 평범한 국민들을 만나고, 특히 계층과 세대, 지역을 불문하고 희망을 주는 사람들을 만나 경청할 것”이라고 했다. 이 전 대표는 전날 페이스북에 “국민의 실망과 분노를 제대로 헤아리지 못했다”며 “성찰의 시간을 갖겠다. 낮은 곳에서 국민을 뵙겠다”고 적었다. 이 전 대표가 찾을 첫 민생 현장은 자신의 정치적 텃밭인 호남이 될 가능성이 크다. 자신의 정치적 기반에서 다시 ‘초심’을 새기고 점차 전국으로 넓혀 나간다는 구상이다. 다만 당내에서 “이번 선거에서 후보를 공천하지 말았어야 한다”며 이 전 대표에게 책임을 묻는 목소리가 적지 않은 만큼 이를 극복하는 과제가 남아 있다.  정 총리는 이달 중 민주당으로 복귀해 본격적인 대선 레이스에 합류할 것으로 전망된다. 정 총리의 측근은 “정 총리가 여전히 민주당 상임고문직이고, 그 자리로 돌아올 것”이라며 “정 총리가 복귀하면 이른바 ‘SK(정세균)계’ 의원들의 움직임도 본격화될 것”이라고 했다.  정 총리가 이낙연-이재명 간 경쟁으로 오랫동안 굳어진 여권 내 양강 구도를 깨고 친문(친문재인) 계파를 얼마나 흡수할지에도 관심이 쏠린다. 민주당 설훈 의원은 9일 YTN 라디오에서 “대선 후보가 몇 개월 사이에 툭 떨어질 수 있는 상황은 아니기 때문에 이들 내에서 사람을 선택할 수밖에 없을 것”이라고 했다.김지현 기자 jhk85@donga.com  
",570.2123685100004,391.8773418779983,103.94997076199974
5,278,278,2021-04-08 3:00,"충격의 與, 대권 레이스도 안갯속… 이재명 쏠림? 제3후보론?",동아일보,박민우 기자 ,"

더불어민주당이 4·7 서울·부산시장 보궐선거에서 한 곳도 이기지 못한 최악의 성적표를 받아들었다. 2016년 총선부터 시작됐던 4연승도 끝이 났다. 당장 11개월 앞으로 다가온 차기 대선을 앞두고 성난 민심에 휩쓸린 여권의 대선 후보 레이스도 ‘시계 제로’의 상황으로 접어들었다는 분석이 나온다. 당장 이번 선거를 진두지휘해온 이낙연 상임선대위원장은 최대 위기에 직면했다는 평가가 나온다. 지난해 말까지 이재명 경기도지사와 함께 양강 구도를 형성했던 이 위원장은 올해 들어 지지율 하락세로 접어든 상황. 이 위원장 측은 이번 선거 승리로 반등의 기회를 만드는 게 목표였지만, 서울 부산 중 어느 한 곳도 지켜내지 못했다. 한 여당 의원은 7일 “또 다른 반전의 기회를 만들어내기에는 남은 시간이 너무 없다”며 “이 위원장이 어쩌면 대선 경쟁 참전 여부를 고민해야 할지도 모른다”고 말했다. 이 위원장의 입지가 크게 줄어들면서 여권의 시각은 일단 이 지사를 향하고 있다. 이 지사는 윤석열 전 검찰총장의 사퇴 이후 여권에 이어진 돌발 악재 속에 홀로 20%대 지지율을 유지해왔다. 하지만 현역 도지사 신분으로 이번 선거와 거리를 뒀던 이 지사 역시 여권 전체가 혼돈 상태에 접어들면서 향후 전략 수립이 쉽지 않게 됐다는 관측이다. 이 지사 측 핵심 관계자는 “그간 ‘원팀’을 강조해온 이 지사 역시 여권 심판론에서는 자유로울 수 없다”면서도 “이 지사에 대한 지지는 이념이나 정치 지형이 아닌 그간 보여준 정책 성과에 따른 것”이라고 말했다. 반면 박성민 정치컨설팅그룹 ‘민’ 대표는 “이 지사의 지지율이 높았던 건 메시지의 선명성도 있지만 문재인 대통령의 대척점에 서서 중도와 일부 보수층의 선택을 받았기 때문”이라며 이 지사에게도 위기가 올 수 있다고 말했다. 보수 진영이 빠르게 결집하면서 현재 이 지사의 지지율을 지탱하는 중도·보수층 일부가 빠져나갈 수도 있다는 의미다. 이에 따라 자연스럽게 여권 내 ‘제3후보론’이 힘을 얻을 수 있다는 관측도 나온다. 한 친문(친문재인) 의원은 “이 위원장이 별다른 희망을 주지 못한다면 다른 대안을 찾을 수밖에 없다”고 말했다. 친문 진영과 이 지사의 관계가 아직 완전히 봉합되지 못했다는 점도 제3후보론의 배경이 된다. 곧 국무총리직을 내려놓고 대선 도전을 선언하는 정세균 총리의 행보도 변수다. 또 친문 진영 일각에서는 ‘드루킹 사건’에 연루돼 2심까지 유죄를 선고받고, 대법원 확정 판결을 앞두고 있는 김경수 경남도지사에게 기대를 거는 목소리도 나온다. 여권 관계자는 “가능성은 낮지만 김 지사가 대법원에서 무죄로 파기 환송될 경우 여권 대선 구도가 다시 요동칠 수 있다”고 말했다. 이날 개표 결과 박영선 서울시장 후보가 국민의힘 오세훈 후보에게 서울 대부분의 구에서 크게 뒤지는 것으로 나타나자 민주당 의원들은 당혹감을 감추지 못했다. 민주당이 선거 운동 기간 내내 굳게 믿었던 ‘샤이 진보’(숨은 진보 지지층)는 끝내 모습을 드러내지 않았다. 각종 여론조사에서 박 후보가 오 후보에게 크게 뒤지는 것으로 나타났지만 민주당과 박 후보는 “샤이 진보가 있는 것은 분명하다”며 진보 유권자들의 결집을 기대했었다. 그러나 이날 출구조사 결과 두 후보의 격차는 여론조사 공표 금지 기간 전보다 더 벌어졌다. 민주당이 패배를 더 뼈아프게 받아들이는 건 이번 선거를 위해 당헌당규까지 고쳤기 때문이다. 지난해 11월 ‘부정부패 등 중대한 잘못으로 재·보선을 실시하게 된 경우 해당 선거구를 무공천한다’는 규정까지 없애고 공천을 결정했지만, 결과는 참패였다. 민주당 관계자는 “결과론적인 이야기지만 차라리 후보를 내지 않았다면 이런 참담한 결과는 없었을 것”이라고 했다.박민우 기자 minwoo@donga.com 
",728.5009067060003,526.0375670049965,126.56852310599966
6,363,363,2021-04-01 3:00,윤석열 31.2%-이재명 25.7%… 차기 대통령 적합도 오차범위 접전,동아일보,유성열 기자 ,"

내년 3월 9일 결정되는 차기 대통령에 대한 적합도 조사에서 윤석열 전 검찰총장과 이재명 경기도지사가 ‘양강 구도’를 형성하는 흐름이다. 더불어민주당 이낙연 상임선대위원장 등 다른 후보들은 모두 한 자릿수 지지율을 얻는 데 그쳤다. 또 응답자 중 절반 이상은 내년 대선에서 정권이 교체돼야 한다는 뜻을 밝혔고, 10명 중 4명은 4·7 재·보궐선거에서 승리한 진영이 내년 대선에서도 이길 것으로 전망했다. 동아일보 창간 101주년 여론조사에 따르면 14명 후보군 중 ‘차기 대통령으로 가장 적합한 인물’은 윤 전 총장 31.2%, 이 지사 25.7%로 조사됐다. 두 사람의 지지율 격차(5.5%포인트)는 오차 범위(95% 신뢰수준에서 ±3.1%포인트) 내에 있다. 두 사람에 이어 이 위원장 9.3%, 국민의당 안철수 대표 4.7%, 무소속 홍준표 의원 3.7%, 국민의힘 유승민 전 의원 2.7%, 정세균 국무총리 2.5%, 정의당 심상정 의원 2.4% 등으로 집계됐다. 윤 전 총장과 이 지사가 차기 대선의 ‘2강’을 형성하고 나머지 후보들을 앞서가는 구도가 형성된 것. 윤 전 총장의 대선 출마에 대해서는 찬성(45.9%)이 반대(36%)보다 9.9%포인트 많았다. 윤 전 총장은 60대 이상(47.3%), 대구·경북(38.9%), 전업주부(41.5%)에서 지지율이 높았고, 이 지사는 40대(39.8%)와 블루칼라(37.8%)에서 높은 지지를 받았다. 차기 대선의 승부처로 꼽히는 서울의 윤 전 총장 지지율(36.2%)은 이 지사(22.4%)를 오차 범위 밖으로 앞섰고, 중도층 지지율도 윤 전 총장(33.6%)이 이 지사(22.2%)보다 11.4%포인트 많았다. 다만 인천경기는 윤 전 총장 30.8%, 이 지사 33.9%로 오차 범위 내 접전인 것으로 나타났다. 윤 전 총장의 향후 거취에 대해서는 ‘국민의힘에서 정치를 해야 한다’는 의견이 31.1%로 가장 많았다. 정치권에서 유력하게 전망하는 제3지대 신당에서 정치를 해야 한다는 의견은 24.9%였다. 유력 대권 주자가 없는 국민의힘에서 윤 전 총장이 활동해야 한다는 보수층의 기대가 반영된 것으로 보인다. 다만 ‘잘 모르겠다’고 답한 비율도 40%나 됐다. 이번 조사에서 차기 대선 결과에 대해 응답자의 53.3%가 ‘현 정권이 교체돼야 한다’고 답했고, ‘현 정권이 유지돼야 한다’는 의견은 29.8%에 그쳤다. 이념 성향별로도 중도층의 절반 이상(56.1%)이 정권 교체를 원한다고 답했다. 주요 선거 때마다 캐스팅보트로 작용하는 중도층 민심도 정권 교체 쪽으로 기울고 있는 셈이다. 일주일 앞으로 다가온 4·7 재·보궐선거의 결과도 내년 대선의 핵심 변수가 될 것으로 전망된다. 이번 보궐선거에서 승리한 진영이 차기 대선에서도 승리할 것이라는 의견은 40.5%로 ‘그렇지 않다’는 응답(21.7%)의 두 배에 가까웠다. 다만 ‘잘 모르겠다’는 의견도 37.7%로 적지 않았고, 정당 지지율 역시 국민의힘(32.6%)과 민주당(31.8%)이 오차 범위 내 접전을 펼치는 상황이다. 무당층의 비율도 23.2%에 달했다. 야권 관계자는 “국민의힘이 이번 선거에서 이기더라도 승리에 취해 오만해진다면 중도층 유권자들은 바로 돌아설 것”이라며 “선거 결과만큼이나 선거 이후의 모습과 자세가 더 중요하다”고 말했다.동아일보가 리서치앤리서치에 의뢰해 전국 1017명을 대상으로 28, 29일 실시. 표본오차는 95% 신뢰수준에 ±3.1%포인트. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지 참조.유성열 기자 ryu@donga.com  
",878.4658734699995,620.8229157389967,159.2774339259998
7,549,549,2021-03-13 3:00,이재명-윤석열 각 24%… 갤럽 조사서 공동 1위,동아일보,유성열 기자 ,"

            이재명 경기도지사와 윤석열 전 검찰총장이 차기 대선후보 선호도 조사에서 공동 1위를 차지했다는 여론조사 결과가 12일 나왔다. 한국갤럽이 9∼11일 전국 18세 이상 1003명에게 ‘차기 정치 지도자 선호도’를 물은 결과 이 지사와 윤 전 총장은 각각 24%의 지지율로 공동 1위를 기록했다. 이 지사는 지난달보다 3%포인트 하락한 반면 윤 전 총장은 15%포인트 급등했다. 더불어민주당 이낙연 상임공동선거대책위원장이 11%로 3위였고 국민의당 안철수 대표(3%)와 무소속 홍준표 의원(2%)이 뒤를 이었다. 이 지사는 인천·경기(35%), 광주·전라(36%)에서 우세를 보였고 윤 전 총장은 서울(24%), 대전·세종·충청(30%), 대구·경북(37%), 부산·울산·경남(26%)에서 이 지사를 앞섰다. 중도층에서의 지지율은 윤 전 총장(30%)이 이 지사(22%)보다 8%포인트 높았다. 문재인 대통령의 직무수행 긍정 평가는 38%로 전주보다 2%포인트 하락했고 부정 평가는 3%포인트 상승한 54%였다. 한국토지주택공사(LH) 직원들의 부동산 투기 파문이 확산되면서 긍정 평가가 30%대로 떨어졌다는 분석이 나온다. 이번 조사의 표본오차는 95% 신뢰수준에 ±3.1%포인트. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다.유성열 기자 ryu@donga.com 
",925.4111811729994,656.9067154449964,171.20087966599988
8,592,592,2021-03-09 3:00,윤석열에 긴장하는 與… 이재명-이낙연 구도 흔들리나,동아일보,박민우 기자 ,"

윤석열 전 검찰총장이 차기 대선 구도의 핵심 변수로 부상하면서 여권 주자들의 경쟁에도 적잖은 영향을 미칠 것으로 보인다. 당장 지난해부터 지속된 이재명 경기도지사와 더불어민주당 이낙연 대표의 ‘이(李)-이(李) 구도’에 변화의 조짐이 보이면서 ‘제3후보론’도 한층 힘을 받을 가능성도 제기된다. 민주당 관계자는 8일 “윤 전 총장의 지지율이 계속 고공 행진을 한다면 대선 레이스의 관심이 ‘윤 전 총장을 꺾을 후보가 누구인가’에 쏠릴 가능성이 있다”며 “여기에 4·7 재·보궐선거 결과에 따라 본격적인 다자(多者) 구도에 접어들 수도 있다”고 말했다. 1년 전보다 지지율이 크게 하락한 이 대표는 4월 보궐선거 상임선대위원장을 맡으며 총력전에 나섰다. 이 대표가 선거를 승리로 이끌 경우 지지율 반등을 기대할 수 있지만 패배할 경우 이 지사와의 격차 좁히기가 어려워질 수 있기 때문이다. 윤 전 총장이 반문(반문재인) 진영 결집에 나선다면 이에 맞춰 여권에서도 친문(친문재인) 결집을 앞세운 후보가 떠오를 가능성도 있다. 당장 지난해 말 이른바 ‘추-윤 갈등’으로 윤 전 총장과 대립각을 세웠던 추미애 전 법무부 장관은 최근 부동산 문제 등에 대해 목소리를 내며 대선 레이스를 앞두고 예열에 나섰다. 한 중진 의원은 “정세균 국무총리가 윤 전 총장의 퇴임 전부터 공개적인 질책에 나선 것도 이런 흐름과 무관하지 않다”고 말했다.  ‘윤석열 효과’는 당장 여권의 입법 활동에도 영향을 미치고 있다. 윤 전 총장의 사퇴 명분이 된 중대범죄수사청(중수청)의 경우 민주당은 ‘3월 발의, 6월 입법’이라는 당초 목표에서 한발 물러선 상황이다. 민주당 핵심 관계자는 “언론 관련 6개 법안도 일부 보완할 점이 있어 상임위 처리 전에 조금 더 논의하는 시간을 가질 것”이라고 말했다. 박민우 기자 minwoo@donga.com  
",1016.6519417969989,722.745578545996,193.21479504800016
9,593,593,2021-03-09 3:00,윤석열 ‘바람’-이재명 ‘확장성’-이낙연 ‘결집력’이 승부 가른다,동아일보,"전주영 기자 , 유성열 기자 ","

20대 대통령 선거가 9일로 정확히 1년 앞으로 다가왔지만 대선 구도는 더 짙은 안갯속으로 빠져들고 있다. ‘징계 정국’을 지난 뒤 10%대로 내려앉았던 윤석열 전 검찰총장의 대선주자 지지율은 사퇴한 직후 8일 발표된 각종 여론조사에선 최고치를 경신하는 결과들이 잇따라 나왔고, 여야의 정당 지지율도 한 주를 걸러 엎치락뒤치락하는 양상. 과거 대선과 비교할 때 이례적인 ‘변동성 장세’가 지속돼 예측불허의 경쟁이 당분간 이어질 것으로 전망된다. 지난주 윤 전 총장 사퇴 파동과 대선 출마 가능성을 놓고 기싸움을 벌였던 정치권은 이날 수직 상승한 윤 전 총장의 대선주자 지지율을 놓고 원인 분석에 들어갔다. 한국사회여론연구소(KSOI)가 TBS 의뢰로 윤 전 총장 사퇴 다음 날(5일) 실시한 대선 후보 적합도 조사에선 윤 전 총장이 32.4%를 얻어 직전 조사(14.6%)의 두 배 이상으로 지지율이 올라갔다(표본오차 95% 신뢰수준에 ±3.1%포인트·자세한 내용은 중앙선거여론조사심의위원회 홈페이지 참조). 문화일보·리얼미터가 6, 7일 실시한 대선 후보 선호도 조사에서도 윤 전 총장이 28.3%, 이재명 경기지사는 22.4%로 나타났다(표본오차 95% 신뢰수준에 ±3.1%포인트·자세한 내용은 중앙선거여론조사심의위원회 홈페이지 참조). 더불어민주당은 이날 공식 반응을 내놓지 않았지만 내부에선 “악재에 대응해야 한다”는 반응도 나왔다. 강훈식 의원은 이날 KBS 라디오에서 “본인을 검증하며 떨어지는 것도 분명히 있을 것”이라고 했다. 국민의힘에선 김종인 비상대책위원장이 “윤 전 총장이 별의 순간을 잡은 것같다”고 평가하면서도 “(지금은) 당장 만날 이유가 하나도 없다”고 말했다. D-1년을 기점으로 한 여론조사들에선 이재명 경기지사의 확장성과 민주당 이낙연 대표에 대한 표의 결집력이 변수로 떠올랐다. KSOI 조사에서 이 지사는 전체 지지율은 2위(24.1%)였지만 지역별로 대구경북 지지율(18.6%)이 오히려 직전 조사(12.5%)보다 크게 올라갔다. 호남 지역 지지율(35.2%)이 가장 높은 이 대표는 ‘윤석열 변수’가 몰아치는 와중에도 지난 조사에 비해 친문(친문재인) 지지층(문재인 대통령의 국정 운영을 긍정적으로 평가한 답변자) 결집 양상(25.9%→34%)이 더 나타났다. 여권 관계자는 “향후 이 지사가 비문(비문재인), 반문(반문재인)으로의 확장을 얼마나 하느냐, 이 대표가 확실한 친문 및 호남주자로 자리매김하느냐가 대선판의 핵심 변수”라고 분석했다.  또 신흥 친문 주자가 부상하지 않고 문 대통령의 국정 지지도가 유지된다면, 이 지사와 이 대표 투톱 간에 막판 문심(文心)을 얻는 사람이 승리한다는 얘기도 나온다. 친문과 비문의 제휴와 결합이 40대를 제외한 모든 연령층에서 가장 높은 지지율을 얻은 윤 전 총장의 ‘바람’을 차단할 수 있다는 해석이다. 특히 윤 전 총장의 중도층 지지율은 1월 같은 조사에선 13%였지만 이번 조사에선 35%로 급등하기도 했다. 김형준 명지대 정치학과 교수는 “윤 전 총장의 뚜렷한 저항 메시지와 한국토지주택공사(LH) 임직원의 신도시 땅 투기 의혹 등 전국적 상황이 가져온 시너지 효과”라고 분석했다.  하지만 정치권에선 이런 지지율 구도가 지속될 것이라고 보는 사람은 많지 않다. 서울시장 보궐선거 결과에 따라 균형추가 한쪽으로 급속하게 쏠릴 가능성이 높고, ‘정치 초보’인 윤 전 총장이 정계에 연착륙할지에 대한 의구심이 많아서다. 김 교수는 “여권 주자가 뚜렷한 자기 메시지를 내놓고 윤 전 총장이 본인의 새로운 이미지를 유지하지 못한다면 대선 구도는 얼마든지 요동칠 수 있다”고 말했다. 전주영 aimhigh@donga.com·유성열 기자 
",1169.274152683997,840.7465318169953,228.79679347500053
