,Unnamed: 0,date,title,press,reporter,content
11,11,2021-05-03 3:00,文대통령 “여건 되는대로 만나자”… 김기현 “의제 먼저 정해야”,동아일보,"박효목 기자 , 윤다빈 기자 ","

문재인 대통령이 국민의힘 김기현 신임 원내대표에게 축하 전화를 하며 만남을 제안했지만 김 원내대표가 “의제를 정한 뒤 만나자”며 거절했다.  2일 청와대와 국민의힘에 따르면 문 대통령은 전날(1일) 김 원내대표에게 전화를 걸어 당선을 축하한 뒤 “여건이 되는 대로 만나자”고 말했다. 앞서 이철희 대통령정무수석비서관이 김 원내대표 당선 직후인 지난달 30일 축하 전화를 걸어 3일 문 대통령과의 오찬을 제안했지만 김 원내대표가 거절한 바 있다. 이에 문 대통령이 김 원내대표에게 직접 전화를 걸고 거듭 회동을 제안한 것이다.  김 원내대표는 이날 기자간담회에서 “거절이라기보다는 정중하게 양해를 구한 것”이라며 “언제든 대통령과 만나 이야기해야 한다고 생각하지만, 무엇을 의논해야 할지 고민하지 않고 만나서 아무 결론 없이 끝낸다면 국민에게 실망만 가중시킬 것”이라고 말했다. 이어 “차후 의제를 논의한 뒤 만날 수 있다”며 “일단 대통령과의 통화에서 야당이 생각하는 국정운영에 대한 입장을 전했다”고 말했다.  이 수석은 3일 국회에서 김 원내대표를 만나 축하를 전하고 조만간 문 대통령과의 회동을 재추진할 예정이다. 청와대 관계자는 “격식을 따지지 않고 야당과 허심탄회하게 소통하며 국정 운영 파트너십을 다지려는 취지”라며 “의제와 일정 등을 다시 조율할 계획”이라고 했다. 청와대는 이날 더불어민주당 새 대표가 선출됐고, 국민의힘도 이달 중으로 새 대표를 뽑는 만큼 곧 여야 대표 회동도 추진한다는 계획이다. 앞서 문 대통령은 4·7 재·보궐선거 2주 만인 지난달 21일 국민의힘 소속 오세훈 서울시장과 박형준 부산시장을 청와대로 초청해 오찬을 함께한 바 있다. 박효목 tree624@donga.com·윤다빈 기자 
"
17,17,2021-05-01 3:00,文대통령 지지율 30%선 첫 붕괴… 당청 지지율도 3주 연속 역전,동아일보,"황형준 기자 , 박민우 기자 ","

문재인 대통령의 지지율이 취임 후 처음으로 29%로 떨어지면서 심리적 마지노선으로 여겨지던 지지율 30%대가 붕괴됐다. 이 여파로 문 대통령 지지율이 더불어민주당 지지율보다 낮은 ‘당청 지지율 역전’ 현상이 최근 3주 연속 이어지면서 격차가 더 벌어지고 있는 것으로 나타났다. 정치권에선 당청 지지율 역전이 고착화하는 양상과 문 대통령의 30%대 지지율 붕괴가 함께 나타나자 레임덕(임기 말 권력누수 현상) 징후라는 분석이 나온다.30일 한국갤럽이 지난달 27∼29일 전국 만 18세 이상 남녀 1000명을 대상으로 조사한 4월 5주 차 여론조사 결과(자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조)에 따르면 문 대통령의 직무수행 긍정 평가는 지난주(31%)보다 2%포인트 하락한 29%로 나타났다. 반면 민주당 지지율은 33%로 지난주보다 1%포인트 상승하면서 당청 지지율 격차가 4%포인트 차로 벌어졌다. 4·7 재·보궐선거 직전인 이달 1주 차 여론조사 때만 해도 문 대통령 지지율은 32%로 민주당(31%)보다 높았지만 재·보선 이후 3주 차부터 3주째 역전 현상이 지속되고 있다. 특히 민주당과 문 대통령 간 지지율 역전의 격차는 재·보선 직후인 이달 3주 차와 4주 차 1%포인트에서 5주 차에 4%포인트로 늘어났다. 오차범위 이내이긴 하지만 격차가 벌어지는 추이가 나타난 것이다.  문재인 정부는 올해 초까지만 해도 40% 안팎의 공고한 지지율을 유지하면서 40%가 ‘콘크리트 지지율’이라는 평가를 받았다. 하지만 올해 3월 한국토지주택공사(LH) 임직원들의 땅 투기 의혹으로 부동산 민심이 폭발한 데 이어 2030세대 젊은층이 등을 돌리면서 문 대통령 지지율은 30%대로 추락했다. 이번 조사에서 20대(18∼29세)의 지지율은 21%에 불과했다. 장성철 공감과논쟁 정책센터 소장은 “심리적 마지노선인 지지율 30%가 깨졌다는 게 큰 의미”라며 “집권 세력이 국정 운영이 불가능하고 정권 재창출이 힘들 수 있다는 두려움과 공포감을 느낄 수 있다”고 했다.청와대는 “지지율에 일희일비하지 않겠다”는 반응이지만 내부적으로는 레임덕 현실화를 우려하는 분위기다. 윤태곤 더모아 정치분석실장은 “대통령이 국정을 청와대의 의지대로 끌고 갈 수 있는 지지율의 마지노선, 즉 ‘레임덕 저지선’이 무너지는 시점은 ‘당청 지지율 역전’이 나타날 때”라며 “문 대통령 지지율 하락은 부동산과 방역, 검찰개혁과 인사 등에 대한 ‘무능’ 프레임이 씌워진 것이라 만회하기 쉽지 않을 것”이라고 말했다. 4년 동안 대통령의 높은 지지율에 의지해 청와대 중심의 국정 운영을 선택했던 민주당이 대통령과의 거리 두기에 나설 수 있다는 전망도 나온다. 민주당 관계자는 “각종 선거에서 문 대통령의 높은 지지율에 의지해 선거를 승리했던 민주당이 차기 정권 창출에 대통령이 부담이 된다고 인식하는 시점이 다가오고 있는 것”이라고 말했다. 당청 지지율의 차이가 더 벌어질 경우 정책 방향과 입법을 놓고 당청 갈등이 본격화될 수 있다. 박근혜 정부에선 정부 출범 2년 차인 2014년 4월 세월호 참사 등을 겪으면서 박 전 대통령 지지율은 그해 7월 새누리당(현 국민의힘)과의 지지율 역전 현상이 처음 나타났고 2015년 1월 처음으로 30%대 지지율이 붕괴됐다. 이후 국회법 개정안을 놓고 당시 유승민 원내대표와 청와대가 충돌했다가 원내대표에서 사퇴하는 등 극심한 당청 갈등을 겪었다.  레임덕이 현실화되고 당청 갈등이 극심해지면 역대 정부에선 대통령의 탈당론이 당내 요구로 거세게 제기돼 왔다. 실제 이명박 전 대통령 이전 노태우 김영삼 김대중 노무현 전 대통령은 재임 중 모두 탈당하며 당과 거리를 뒀다. 신율 명지대 정치외교학과 교수는 “당내 대선주자들은 문 대통령을 밟고 가려는 현상이 나타나기 쉽다”며 “대선에 가까워질수록 당심도 문 대통령과 멀어질 수밖에 없다”고 말했다. 한 민주당 의원은 “조국 전 장관 사태 등 정권이 위기를 겪을 때마다 ‘아직은 문 대통령 지지도가 당보다 높다’는 말이 나왔다”며 “이제는 당청 관계가 새로운 국면에 접어들 수밖에 없다”고 말했다. 반면 한 친문 성향 중진 의원은 “내년 대선을 앞두고 당의 의견들을 더 많이 반영하려는 노력은 있겠지만 당청 갈등 구도가 벌어지진 않을 것”이라고 선을 그었다. 황형준 기자 constant25@donga.com·박민우 기자 
"
20,20,2021-05-01 3:00,文대통령 2차 접종… ‘백신 바꿔치기’ 논란 간호사 “마음고생 있었다”,동아일보,청와대사진기자단,"
문재인 대통령이 30일 오전 서울 종로구 보건소에서 아스트라제네카(AZ)의 신종 코로나바이러스 감염증(코로나19) 백신 2차 접종을 하고 있다. 문 대통령은 지난달 23일 1차 접종을 받았던 황모 간호사에게 이날 2차 백신 주사도 맞았다. 황 간호사는 1차 접종 때의 백신 바꿔치기 논란을 의식한 듯 이동식 트레이(원 안)를 놓고 공개된 장소에서 백신을 주사기로 옮겼다. 김정숙 여사가 “정말 고생이 많았죠”라고 하자 황 간호사는 “네, 마음고생이 조금 있었습니다”라고 답했다. 청와대사진기자단  
"
26,26,2021-04-30 3:00,"靑 “대통령 비방전단 내용 극악”… 文, 대리인 통해 모욕죄 고소",동아일보,"황형준 기자 , 전주영 기자 ","

2년 전 문재인 대통령과 여권 인사들을 비난하는 내용의 전단을 살포해 모욕죄 혐의로 최근 검찰에 송치된 30대 남성 A 씨 사건과 관련해 2019년 당시 문 대통령이 대리인을 통해 A 씨를 고소한 것으로 확인됐다. A 씨는 10차례 가까이 경찰에 출석해 조사를 받는 과정에서 경찰로부터 고소인이 누구인지 듣지 못한 것으로 전해졌다.  청와대 관계자는 29일 “전단 내용이 아주 극악해 당시에 묵과하고 넘어갈 수 없는 수준이라는 분위기가 강했다”며 “대통령이 참으면 안 된다는 여론을 감안해 (문 대통령의) 대리인이 고소장을 낸 것”이라고 밝혔다. 표현의 자유가 허용하는 범위를 넘었다고 판단했다는 의미로, 청와대가 이 같은 사실을 공식적으로 확인한 것은 이번이 처음이다. 모욕죄는 형법상 친고죄여서 피해자의 고소 의사가 있어야만 공소를 제기할 수 있다. 이 때문에 문 대통령이 A 씨를 상대로 직접 고소를 결정했는지가 관심이었다.  청와대와 서울 영등포경찰서 등에 따르면 A 씨는 2019년 7월 국회 분수대 부근에서 문 대통령 등을 비방한 전단 수백 장을 살포한 혐의(모욕죄 등)를 받고 있다. 해당 전단에는 문 대통령과 고 박원순 전 서울시장, 유시민 노무현재단 이사장 등의 선대(先代)가 일제강점기 어떤 관직을 지냈는지 적혔다. 전단의 다른 면에는 일본 음란물 이미지와 함께 “북조선의 개, 한국 대통령 문재인의 새빨간 정체”라는 문구가 있었다.  일각에서는 대리인을 통한 모욕죄 고소가 문 대통령의 발언과 배치된다는 지적도 제기된다. 문 대통령은 2020년 8월 교회 지도자들과의 간담회에서 “‘가짜뉴스’는 우리도 단호한 대응을 할 것”이라면서도 “정부를 비난하거나 대통령을 모욕하는 정도는 표현의 범주로 허용해도 된다. 대통령 욕해서 기분이 풀리면 그것도 좋은 일”이라고 말했다. 당시는 사랑제일교회 전광훈 목사 등이 광복절 집회를 강행한 직후 교회에 대한 비난 여론과 가짜뉴스가 확산되던 상황이었다. 야당은 29일 “겁박의 시대가 됐다”며 날을 세웠다. 국민의힘 김재섭 비상대책위원은 이날 비대위 회의에서 “대통령과 권력자를 비판하면 신성모독으로 처벌받는다”라며 “나도 이 자리에서 조국 전 법무부 장관의 딸 조민 씨를 공개적으로 비판해 명예훼손 혐의로 경찰에 입건됐다. 정말 숨 막히는 세상”이라고 비판했다. 정원석 비대위원도 “안타깝게도 이번 사건을 통해 대한민국 대통령의 그릇은 간장 종지에 불과했음을 목도하고 말았다”고 했다. 황규환 상근부대변인은 “국민에 대한 탄압을 즉각 중단하고, 사건에 대한 입장을 직접 밝히고 사과하라”고 했다.황형준 constant25@donga.com·전주영 기자 
"
28,28,2021-04-30 3:00,"文대통령, 鄭추기경 조문 “한국 천주교의 큰 기둥 잃어”",동아일보,동아일보,"
문재인 대통령과 김정숙 여사가 29일 서울 명동성당에 마련된 정진석 추기경의 빈소를 찾아 조문했다. 대통령 부부는 독실한 천주교 신자다. 문 대통령은 “한국 천주교의 큰 기둥을 잃었다. 진정한 행복의 삶, 청빈의 삶이라는 선물을 주신 데 감사드린다”고 애도했다. 프란치스코 교황은 “오랜 기간 한국 교회와 교황청에 봉사한 데 감사하며 고귀한 영혼을 주님의 연민 어린 사랑으로 인도하는 장례 미사에 함께한다”고 위로했다. 교황의 애도 메시지는 5월 1일 열리는 장례 미사에서 대독된다. 청와대사진기자단  
"
38,38,2021-04-29 3:00,文대통령 양산 사저 공사 일시중지,동아일보,박효목 기자 ,"

문재인 대통령이 퇴임 후 지낼 경남 양산의 사저 신축 공사가 인근 주민들의 반대로 잠시 중단됐다. 28일 청와대에 따르면 이달 초 착공했던 경남 양산시 하북면 지산리 평산마을의 문 대통령 사저 공사가 23일 임시 중단됐다. 공사가 시작되자 하북면이장단협의회 등 17개 단체가 사저 건립 반대 현수막을 내걸며 반발한 것에 따른 것으로 보인다. 이들은 청와대 경호처와 양산시가 교통, 소음 등 공사에 따른 문제를 제대로 협의하지 않았다고 주장했다. 청와대 관계자는 “공사로 인한 분진이나 소음 등 주민들에게 불편을 주는 일이 없는지 확실하게 점검하기 위해 잠시 공사를 멈췄다”며 “주민들과 소통하며 불편 사항을 점검한 뒤 공사를 재개할 방침”이라고 설명했다. 다만 사저 부지 변경 가능성에 대해서는 “현재로선 검토하고 있지 않다”고 일축했다.  문 대통령의 퇴임 후 사저는 그동안 수차례 논란에 휩싸였다. 사저 내 농지 형질변경 등을 이유로 야당의 집중 공격을 받기도 했다. 이에 문 대통령은 지난달 소셜네트워크서비스(SNS)에 글을 올려 “좀스럽고 민망하다”며 이례적으로 강하게 비판한 바 있다. 박효목 기자 tree624@donga.com  
"
50,50,2021-04-28 3:00,文대통령 “도보다리 풍경 눈에 선해… 다시 대화할 시간”,동아일보,"박효목 기자 , 권오혁 기자 ","

문재인 대통령은 4·27 판문점선언 3주년인 27일 “판문점선언은 누구도 훼손할 수 없는 평화의 이정표”라며 “이제 오랜 숙고의 시간을 끝내고 다시 대화를 시작해야 할 시간이 다가오고 있다”고 말했다. 임기 1년을 남겨 놓은 상태에서 2년 이상 교착 상태가 이어지고 있는 남북, 북-미 대화를 재개하겠다는 의지를 드러낸 것이다.  문 대통령은 이날 청와대에서 주재한 국무회의에서 “진통을 겪으며 얻은 교훈을 바탕으로 평화의 시계를 다시 돌릴 준비를 해야 할 때”라며 이같이 말했다. 이날 회의에서 “(2018년 판문점 회담에서 김정은 북한 국무위원장을 만났던) 도보다리의 풍경이 아직도 눈에 선하지만 (2019년) 하노이 북-미 회담 결렬 이후 교착 상태가 장기화되고 있어 매우 안타까운 심정”이라고 운을 뗀 문 대통령은 “지금의 평화는 미완의 평화다. 판문점선언의 토대 위에서 불가역적인 항구적 평화로 나아가야 한다”고 강조했다.  문 대통령은 “5월 하순으로 예정된 한미 정상회담이 한미동맹을 더욱 굳건하게 다지는 한편 대북정책을 긴밀히 조율하고 발전적으로 나아갈 방향을 정립하는 계기가 되길 기대한다”며 “우리 정부는 조 바이든 정부와 견고한 협력을 바탕으로 한반도 평화 프로세스를 진전시켜 나갈 길을 찾고자 한다”고 했다. 다음 달 바이든 대통령과의 첫 정상회담 때 북-미 대화의 조속한 재개를 설득하겠다는 것이다.  하지만 지난해, 2019년과 달리 이날 정부 차원의 판문점선언 기념행사는 열리지 않았다. 북한은 지난해에 이어 이날도 입장을 내놓지 않았다.  이인영 통일부 장관은 민족화해협력범국민협의회(민화협) 등 민간 주도로 열린 3주년 행사에서 판문점선언 국회 비준에 대해 “그동안 필요한 준비를 다시 시작했고 또 거의 완료한 상태이며 향후 정당, 국회, 국민적 합의 과정을 거쳐 적당한 시기에 다시 국회 동의 절차를 밟게 될 것”이라고 했다.박효목 tree624@donga.com·권오혁 기자 
"
83,83,2021-04-24 3:00,박범계 “새 檢총장 요건은 대통령 국정철학 상관성”,동아일보,"고도예 기자 , 황성호 기자 ","

“검찰총장은 대통령이 임명하게 돼 있다. 대통령의 국정 철학에 대한 상관성이 크겠다.” 박범계 법무부 장관은 23일 출근길에 차기 검찰총장 후보 인선 기준에 대한 질의에 이렇게 답했다. “친정부 성향으로 불리는 이성윤 서울중앙지검장도 후보군에 포함돼 있느냐”는 질문에 박 장관은 “후보가 누구라고 말씀드리기 곤란하고, (검찰총장 후보) 추천위원회에서 전적으로 정해야 할 것”이라며 “유력 후보 이런 것은 없다”고 했다.  하지만 29일 오전 10시로 예정된 검찰총장후보추천위에서 위원들이 3, 4배수의 후보군을 박 장관에게 추천하면 박 장관은 이 가운데 1명을 문재인 대통령에게 차기 검찰총장 후보로 제청하게 된다. 추천위원 9명 중 4명을 장관이 지명하고, 자신의 핵심 참모인 법무부 검찰국장이 당연직 추천위원인데, 박 장관이 문재인 정부의 마지막 검찰총장을 친정부 성향으로 인선하려는 가이드라인을 준 것 아니냐는 비판이 법조계에서 나오고 있다. 정치권에서는 “정치적 외풍을 막는 검찰총장의 역할과 독립성을 무시한 것”이라는 비판도 이어지고 있다. 야당인 국민의힘 김도읍 의원은 페이스북을 통해 “문재인 정권이 검찰총장마저 코드 인사를 하겠다는 것인지 되묻지 않을 수 없다”며 “차기 검찰총장에게 필요한 덕목은 문 대통령의 국정 철학에 대한 상관성이 아니라 검찰의 정치적 중립성과 독립성을 지키는 것”이라고 비판했다.  검찰총장 직무대행인 조남관 대검찰청 차장검사는 23일 오전 11시 40분경 이 지검장에 대한 기소 여부와 수사 계속 여부를 논의할 검찰 수사심의위원회(심의위)를 열기로 했다. 조 차장은 “피의자의 신분, 국민적 관심도, 사안의 시급성 등을 고려해 수원고검장의 요청을 받아들여 심의위를 소집하기로 결정했다”고 밝혔다. 심의위 개최 일정은 아직 정해지지 않았다. 법조계에서는 심의위 구성 및 소집에 2주 가까이 걸릴 것이란 관측이 우세하다. 29일로 예정된 검찰총장 후보추천위원회 이후에 이 지검장의 기소 여부를 논의할 심의위가 열리는 것이다. 만약 외부 인사로 구성된 심의위가 이 지검장에 대해 기소해야 한다고 결정한다면 인사권자인 문 대통령이 ‘피의자 검찰총장’을 임명해야 하는 부담을 지게 된다. 이 지검장도 심의위의 의결에 따라 리더십에 큰 타격을 입을 수 있다. 심의위가 후보추천위 전에 열릴 가능성도 배제할 수 없다. 심의위원들이 이 지검장을 기소해야 한다고 의결할 경우 이 지검장이 후보군에서 이탈할 수 있다.고도예 yea@donga.com·황성호 기자 
"
85,85,2021-04-24 3:00,"文대통령, ‘세월호 특별검사’에 이현주 변호사 임명",동아일보,박효목 기자 ,"

            문재인 대통령이 23일 ‘세월호 참사 진상규명 특별검사’로 이현주 변호사(62)를 임명했다. 국회 세월호 참사 진상규명 특별검사 후보추천위원회가 후보를 추천한 지 하루 만이다. 이 변호사는 민주사회를 위한 변호사 모임(민변) 대전·충청지부장 출신이다. 법무부 인권정책과장, 대전시 정무부시장 등을 지냈고 현재는 법무법인 새날에 몸담고 있다.  문 대통령은 이날 임명장 수여식 후 가진 환담에서 “7년이 지난 지금까지도 의혹이 남아 있는 것은 안타까운 일”이라며 “세월호 폐쇄회로(CC)TV 데이터 조작 의혹 등에 대해 한 치의 의문도 남지 않도록 수사해 진실을 밝히는 것이 필요하다”고 말했다. 특검 수사 기간은 60일로 대통령 승인에 따라 30일 연장할 수 있다.박효목 기자 tree624@donga.com 
"
105,105,2021-04-22 3:00,박형준 ‘두 전직 대통령 사면’ 건의… 文 “국민 공감대 생각해야”,동아일보,박효목 기자 ,"

문재인 대통령이 21일 이명박 박근혜 두 전직 대통령의 사면론에 대해 “국민 공감대를 생각하지 않을 수 없고 국민 통합에 도움이 되도록 작용돼야 한다”고 말했다. 1월 신년 기자회견에서 “국민 공감대 없는 사면은 시기상조”라고 한 데 이어 여전히 유보적인 입장을 밝힌 것이다.  문 대통령은 이날 오세훈 서울시장, 박형준 부산시장을 청와대로 초청해 함께한 오찬 간담회에서 “전직 대통령 두 분이 수감돼 있는 일은 가슴 아픈 일이고 두 분 모두 고령이고 건강도 안 좋다고 해서 안타깝다”며 이같이 말했다고 청와대 고위 관계자가 전했다. 이날 오찬은 문 대통령이 제안해 성사된 것으로 문 대통령이 야당 인사만 초청한 것은 처음이다.  이날 사면론은 박 시장이 제기했다. 박 시장은 “불편한 말씀을 드리겠다. 전직 대통령은 최고 시민이라 할 수 있는데 저렇게 계셔서 마음이 아프다”며 “오늘 저희 두 사람을 불러주셨듯이 큰 통합을 재고해주시기 부탁드린다”고 말했다. 청와대 고위 관계자는 “(사면에 대해) 동의나 거절 차원의 말씀은 아니었던 것 같다”며 “대통령이 사면권을 절제해 사용해온 만큼 이 문제도 그렇게 보고 계시는 것 같다”고 설명했다.  한편 문 대통령은 백신 접종과 관련해 “전체적으로 11월 집단면역이 가능하다고 보고 상반기에 1200만 명+α가 차질 없이 접종할 것이라 본다”면서도 “수급 불안보다는 우리가 갖고 있는 백신을 즉시에 속도감 있게 접종하지 못하는 게 더 문제다. 지금은 질병관리청이 양을 정해서 지방자치단체에 통보하는 방식이라 속도가 안 나는데 지자체가 자율성을 갖고 선정하고 방역당국은 물량을 공급하는 식으로 바꿀 생각”이라고 밝혔다.  문 대통령은 또 오 시장이 2032년 서울·평양 올림픽 공동 개최에 대해 “호주가 유력하다는 보도가 있는데 포기해야 되는 것이냐”고 묻자 “아직 포기하기엔 이르다”며 “이번 도쿄 올림픽에 북한이 최종 불참하면 (공동 개최가) 사실상 어려운 것이라고 봐야겠지만 막판에 몸값 올려서 참가할 수도 있어 물 건너간 것은 아니다”라고 답했다. 이어 “(다음 달 하순 예정된) 한미 정상회담에서 북한과의 대화를 위한 계기가 만들어질 수 있다”고 했다.박효목 기자 tree624@donga.com 
"
