,date,title,reporter,content,press
2,2021-01-27,"문 대통령, 박범계 법무부 장관 임명…28일 임기 시작",이완 기자 wani@hani.co.kr,"문재인 대통령이 27일 박범계 법무부 장관 후보자에 대한 임명안을 재가했다. 
강민석 청와대 대변인은 이날 오후 5시30분께 문 대통령이 임명안을 재가했다면서, 박 후보자의 임기가 28일부터 시작된다고 밝혔다. 
앞서 국회 법제사법위원회는 이날 여당 단독으로 전체회의를 열어 박 후보자에 대한 인사청문 경과보고서를 채택했다. 국민의힘 소속 법사위원들은 보고서 채택을 거부하며 회의에 불참했다. ",hankyoreh
11,2021-01-20,김현종 “뉴욕 촌놈이 두 대통령 모셔…난 운 좋은 사람”,이지혜 기자 godot@hani.co.kr,"20일 김현종 청와대 안보실 2차장은 1년 11개월 만에 직에서 물러나 대통령 외교안보특보를 맡게 됐다. 김 전 차장은 이날 인사 발표 직후 “미국 뉴욕 촌놈이 노무현·문재인 대통령을 모시며 조국을 위해 헌신할 기회를 두 번이나 누렸다”며 소회를 남겼다.
김 전 차장은 이날 페이스북에서 “오늘부로 청와대 국가안보실 공직생활을 마무리했다”며 “좋아하고 존경하는 두 대통령님, 노무현 대통령과 문재인 대통령을 모시며 조국을 위해 헌신할 수 있는 기회를 두 번이나 누렸다”고 이임사를 밝혔다. 스스로를 “참 운이 좋은 사람”이라고 밝힌 김 전 차장은 짤막한 글과 함께 노무현·문재인 대통령과 함께 찍은 사진을 올리기도 했다.
김 전 차장은 또 “통상과 안보의 중책을 맡아 국민들의 땀과 눈물에 보답하고자 노력해 왔다. 이익균형과 국익극대화 원칙에 따라 협상과 업무에 응해 왔다”며 “지난 어려운 시기를 이겨내고 대한민국이 다시 도약할 것을 확신하며 대한민국을 응원하겠다”고 말했다.
김 전 차장은 그동안 공격적인 업무 스타일로 인해 안보실 내부뿐 아니라 관계 부처들과 크고 작은 문제가 있다는 이야기가 돌았다. 앞서 강경화 외교부 장관 및 최종건 외교부 차관과의 불화설 불거지기도 했다.",hankyoreh
19,2021-01-18,"문 대통령 “위안부 판결, 솔직히 조금 곤혹스러운 게 사실”",김지은 기자 mirae@hani.co.kr,"문재인 대통령이 일본군 ‘위안부’ 피해자 배상 문제와 관련해 국제 관습법상 국가면제(주권면제) 원칙을 적용하지 않은 8일 법원 판결에 대해 “솔직히 조금 곤혹스러운 것이 사실”이라고 말했다. 또 한-일 갈등의 주요 계기가 된 2018년 10월 강제동원 피해자 배상 판결과 관련해선 “강제집행의 방식으로 현금화되거나 판결이 실현되는 방식은 바람직하지 않다”는 견해를 밝혔다. 지난해 9월 스가 요시히데 정권 출범 이후 보여온 한-일 관계 개선 의지를 좀더 분명히 한 것으로 평가된다.
문 대통령은 18일 청와대 춘추관에서 열린 새해 기자회견에서 한-일 간 풀어야 할 현안으로 일본의 수출 규제 문제와 강제징용 피해자 판결 문제를 짚으면서 “(문제 해결을 위한 외교적) 노력을 하고 있는 중에 위안부 판결 문제가 더해져서 솔직히 조금 곤혹스러운 것이 사실”이라고 말했다. 대법원의 강제동원 피해자 배상 판결로 2019년 하반기 한-일이 격한 대립을 거친 뒤 외교적 해결책을 모색하는 중에 예기치 못한 요인이 더해졌다는 뜻이다. 애초 정부는 우리 법원이 ‘타국의 주권 행위는 재판할 수 없다’는 국제 관습법상의 국가면제 원칙을 존중해 이 판결을 기각할 것이라 예상했던 것으로 알려져 있다. 특히 ‘위안부’ 문제의 경우 2015년 말 12·28 합의를 통해 일본 정부가 국가 예산 10억엔(약 108억원)을 투입해 ‘화해·치유재단’을 만들어 상당수 피해자에게 ‘위로금’을 전달한 상황이다. ‘위안부’ 배상과 관련해 현재 진행 중인 2개 재판의 원고 32명 중 상당수가 재단이 지급한 1억원의 위로금을 받은 것으로 전해졌다.
하지만 문 대통령은 외교적 해법을 도출하더라도 ‘원고의 동의’가 필요하다는 기존 입장을 재확인했다. 문 대통령은 “원고들이 동의할 수 있는 방법을 양국 정부가 협의하고 한국 정부가 그 방안을 가지고 원고들을 최대한 설득해내고 이런 방식으로 문제를 차근차근 해결해갈 수 있다고 믿는다”고 말했다. 일본 쪽에서는 강제징용 문제 해결 없이는 한-일 관계 개선이 어렵다는 태도를 고수하고 있다.",hankyoreh
28,2021-04-20,"대통령의 언어, 정의용의 고뇌",길윤형 기자 charisma@hani.co.kr,"후쿠시마 제1원전 오염수를 희석해 바다에 흘려버리겠다는 일본 정부의 지난 13일 결정이 나온 뒤, 한국 사회는 다시 한 번 발칵 뒤집혔다. 실제 방류는 2년 뒤 이뤄진다지만, 피해를 우려하는 어민들의 한숨이 깊고, 중국 등 주변국과 협력해 일본의 무책임한 결정을 저지해야 한다는 목소리가 울려 퍼진다. “모든 것을 다 바쳐 오염수를 막겠다”는 대학생 30명은 20일 오후 1시 일본대사관 앞에서 삭발했고, 같은 날 개최된 국회 외교통일위원회 현안질의에서 사회를 본 김영호 더불어민주당 간사는 일본 정부의 결정을 아예 ‘범법 행위’라고 단정했다.
 이 거대한 반발 흐름에 큰 영향을 끼친 것은 아마도 14일 공개된 문재인 대통령의 발언이었을 것이다. 문 대통령은 이날 신임장을 제출하러 청와대를 방문한 아이보시 고이치 주한 일본대사에게 “지리적으로 가장 가깝고, 바다를 공유한 한국의 우려가 매우 크다”고 말했고, 앞선 청와대 내부 회의에선 관계 부처를 향해 “국제해양법재판소에 일본의 원전 오염수 해양 방류 결정과 관련해 잠정 조치를 포함, 제소하는 방안을 적극 검토”할 것을 지시했다. 
 외교 정책적으로 볼 때 문 대통령의 이날 두 발언 사이엔 심연과 같은 간극이 있다. 오염수 방류라는 무책임한 결정을 내린 이웃 국가에게 ‘강한 유감’의 뜻은 얼마든지 밝힐 수 있지만, 그 국가의 결정을 뒤집기 위해 국제해양법재판소 등에 제소를 ‘적극 검토’하면 외교적 대립을 피할 수 없게 된다. 일본은 한국의 유감 표명은 수용하겠지만, 자신들이 국가 의사를 꺾으려는 ‘국제법적 시도’에는 거세게 응전할 것이 틀림없다. 게다가 일본은 현재 국제원자력기구(IAEA)와 미국이라는 거대한 우군을 확보한 상태다. 우리보다 덩치가 큰 일본을 상대로 싸우려면 유리한 전쟁터를 골라야 한다. 승산이 크지 않는 싸움에 나서는 것은 신중해야 한다. 한-일 군사정보보호협정(지소미아) 중단을 호기롭게 외쳤다가 석 달 만에 거둬들여 국민들을 실망하게 만든 게 불과 2년 전이다.
 그런 판단 때문이었을까. 정의용 외교부 장관은 19일 대정부 질의에선 충분한 과학적 근거를 제시할 것 등 정부가 일본에 요구하는 세 가지 조건이 충족되고, 오염수 방류가 “국제원자력기구(IAEA) 기준에 맞는 적합성 절차에 따라서 된다면 굳이 반대할 건 없다”고 말했다. 여러 복잡한 조건을 달았지만, “굳이 반대할 건 없다”며 일본의 방류를 용인하는 태도를 보인 것이다. 우리 정부가 달성해야 하는 외교적 목표를 ‘방류 저지’가 아닌 정확한 정보 공개와 치밀한 사후 모니터링을 통해 실제 국민 건강에 큰 영향이 없도록 관리하는 것으로 설정한 것이라 해석할 수 있다. 정부 당국자는 <한겨레>에 “일본이 정보 교환을 안 하고 몰래 방류하는 것에는 문제를 제기할 수 있지만, 오염수 방류가 국제법 위반이 명확하다는 전문가는 많지 않았다”고 말했다. 
 문 대통령이 지시한 ‘잠정 조처’를 끌어내려면 일본의 조처로 발생하는 “중대한 손상을 방지하기 위한 긴급한 필요성을 (한국 정부가) 입증해야”(정 장관 20일 발언) 한다. 스가 요시히데 총리는 13일 이번 결정을 공개하며 문제가 된 오염수 내의 삼중수소(트리튬) 농도를 일본 기준의 40분의 1로 만든 뒤 흘려보낸다고 했다. 만약 한국이 일본의 주장을 뒤집을 수 있다는 확신이 없다면, 법적 싸움을 섣불리 시작해선 안 된다. 
 외교부도 비슷한 판단을 내린 듯 보인다. 외교부의 속내는 20일 국회 외통위에 제출한 표지 포함 8장으로 구성된 ‘후쿠시마 원전 오염수 해양방류 결정 현황 보고’ 자료를 통해서 엿볼 수 있다. 불과 엿새 전 대통령이 “콕 집어서” 내린 지시를 제일 앞장이 아닌 마지막 장 끝에 “국제분쟁해결절차 회부 등 사법적 대응도 검토”하겠다며 추상적으로 언급하는데 그쳤다. 정 장관은 그렇게 자료를 만든 이유를 묻는 외교부 제1차관 출신 조태용 의원의 질의에 “해양법재판소를 바로 거론하는 것이 아직은 시기적으로 이르다는 판단을 했다. 대통령님이 말씀하신 것은 그런 방향까지 검토하라는 것이고. 외교부는 거기까지 가기 위한 단계적 조치를 거쳐야 한다”고 말했다. 
 그렇다면 대통령에게 ‘해양법재판소 제소’ 아이디어를 제공한 이는 누구였나. 대통령의 발언이 엿새 만에 사실상 뒤집히는 광경은 당혹스럽다. 이번 사태를 둘러싼 혼란을 하루 빨리 극복하고, 국민의 건강권을 위협하는 일본의 오염수 방류에 대한 ‘투명한 정보 공개’가 이뤄질 수 있도록 최대한의 외교 노력을 기울여주길 기원한다.",hankyoreh
30,2021-04-22,"자가격리 중인 안철수 “대통령, 화이자·모더나 방문하라”",김미나 기자 mina@hani.co.kr,"자가격리 중인 안철수 국민의당 대표가 22일 코로나19 백신 수급과 관련 “지금이라도 문재인 대통령이 직접 대한민국 백신 태스크포스(TF) 팀장의 각오로 나서야 한다”며 화이자·모더나 등 제약회사를 방문해 직접 가시적인 성과를 내야 한다고 촉구했다. 정부·여당을 향해서는 “빛바랜 케이방역 성과에만 집착해 백신 문제를 풀어내지 못한다면 역사는 문 대통령과 민주당을 과거만 파먹으며 정쟁만 일삼다가 대한민국을 후퇴시켰던 최악의 집권 수구세력으로 기록할 것”이라고 날을 세웠다.
안 대표는 이날 페이스북에 글을 올려 “지금 국민들에게 필요한 것은 계약서나 MOU 같은 ‘백신 어음’이 아니라, 미국처럼 누구나 어디서나 맞을 수 있는 ‘백신 현찰’을 원한다”며 이렇게 주장했다. 그는 이어 “백신 문제는 관료들에게만 맡겨 놓을 일이 아니다. 문재인 정권, 아직 정신 못 차렸다. 백신 수급을 장담하던 총리는 선거가 끝나자마자 대선 출마하겠다고 자리를 내놓았다. 정치 도의적으로 맞느냐”고 되물었다.
안 대표는 그러면서 5월 말 한미정상회담 때 백신 문제에 대해 가시적 성과를 보여줘야 한다고 강조했다. 그는 “민과 관의 네트워크를 총동원하고 바이든 대통령과 회담일정 이외에도 대통령이 직접 화이자·모더나를 방문하는 일정을 만들고 시이오를 만나야 한다”며 “우리는 언제쯤 마스크를 벗을 수 있느냐. 여기에 성실하게 대답하기 바란다”고 덧붙였다.
안 대표는 전날 광주 당원 간담회에서 만났던 인사 가운데 한 명이 확진자와 동선이 겹치는 것으로 확인돼, 이날부터 접촉자의 진단 검사 결과가 나올 때까지 자가격리에 들어갔다.",hankyoreh
32,2021-01-26,"페북 글 공유…문 대통령, 고립무원 홍남기 힘 실어주나",서영지 기자 yj@hani.co.kr,"문재인 대통령은 26일 지난해 한국의 경제성장률이 ‘마이너스 성장세’였으나 다른 선진국에 견줘 선방했다고 평가한 홍남기 경제부총리 겸 기획재정부 장관의 글을 자신의 페이스북에 공유했다. 여권 내부에서 코로나19 사태에서도 재정 지출 확대에 소극적이라는 비판을 받았던 홍 부총리를 격려하면서, 재정 문제를 둘러싼 당정청 불협화음을 최소화하려는 조처의 하나로 보인다. 
홍 부총리는 이날 오전 페이스북에 지난해 한국 경제성장률이 ‘-1%’를 기록한 것을 두고 “경제규모 10위권 내 선진국들이 -3%대에서 -10% 이상 역성장이 예상되는데 비하면 우리는 그 역성장 폭이 훨씬 작다”며 “우리 경제가 위기에 강한 경제임을 다시 입증한 결과”라고 밝혔다. 문 대통령은 이 글을 2시간 뒤 자신의 페이스북에 올렸고, 청와대는 이례적으로 대통령의 공유 사실을 기자들에게 알렸다. 강민석 청와대 대변인은 서면 브리핑에서 “세번에 걸친 코로나 팬데믹 상황에서 온 국민이 일상의 희생을 감내해 가면서 올린 값진 성과”라고 의미를 부여했다.
문 대통령이 ‘페이스북 공유’로 격려에 나선 것은 홍 부총리가 최근 재정 지출과 관련해 논쟁의 중심에 올라탄 상황과 무관하지 않아 보인다. 재난지원금 선별적 집중 지원을 강조한 홍 부총리는 ‘전국민 보편적 지급’을 주장한 이재명 경기지사와 재정 지출을 놓고 대립 구도에 놓이기도 했다. 또 코로나19로 인한 자영업자 등의 영업손실 보상의 제도화를 추진하는 여권과 재정 감당 능력을 우선시하는 기재부가 이견을 빚는 모양새가 표출되기도 했다. 
이런 상황에서 문 대통령이 홍 부총리를 신뢰하는 메시지를 보낸 이유는 코로나19로 민생경제 고통이 커지는 상황에서 재정 지출을 둘러싼 당정청 간 논란이 확대되고 기재부 불신이 커질 경우 위기 수습에도 별 실익이 없다는 판단에서다. 전날 정부 업무보고에서 영업 손실 보상과 관련해 “중소벤처기업부 등 관련 부처와 함께 당정이 검토해주기 바란다”는 문 대통령의 발언을 놓고, ‘기재부 빼고 중기부’라는 해석이 확산되자 이를 차단하기 위한 의도도 깔려 있다. 여권의 한 인사는 “우리나라 금고를 책임지는 장관에게 흔들리지 말고 일을 하라는 메시지를 대통령이 주는 것”이라고 해석했다. ",hankyoreh
51,2021-04-16,[갤럽] 문 대통령 지지율 30% 최저치…국민의힘 국정농단 이후 최고치,장나래 기자 wing@hani.co.kr,"문재인 대통령의 국정수행 지지율이 30% 선도 위태로워지면서 또다시 취임 후 최저치를 경신했다.
 한국갤럽이 지난 13~15일 전국 성인 1005명을 대상으로 대통령 국정 수행 평가를 조사(신뢰수준95%, 표본오차 ±3.1%포인트)한 결과, 문 대통령 국정수행 긍정 평가는 30%였다. 지난주보다 2%포인트 떨어진 것으로 최저치를 또다시 갈아치웠다. 3월 셋째주 37%를 기록한 뒤 하락세가 지속되고 있다.

   부정 평가는 지난주보다 4%포인트 오른 62%로, 취임 후 최고치를 기록했다. 부정평가 이유로는 ‘부동산 정책’이 31%로 가장 많았고, ‘경제·민생 문제 해결 부족’(9%), ‘코로나19 대처 미흡’(8%), ‘공정하지 못함·내로남불’(7%) 등 차례였다.
 정당 지지도는 더불어민주당 31%, 국민의힘 30%였다. 국민의힘 지지도는 2016년 국정농단 사태 이후 최고치를 경신했다. 두 정당 간 지지율 격차도 문재인 정부 출범 뒤 최소치다.
 원내 5개 정당을 대상으로 한 정당 호감도에서는 국민의힘이 34%로, 민주당(30%)을 제쳤다. 지난 4년간 8차례 조사에서 국민의힘이 호감도에서 민주당을 앞선 것은 이번이 처음이다. 정의당(24%), 국민의당(21%), 열린민주당(19%)이 뒤를 이었다.
 차기 대선 여론조사에서는 윤석열 전 검찰총장과 이재명 경기도지사의 양강 구도가 강화됐다. 윤 전 총장이 25%, 이 지사가 24%로 박빙이었다. 윤 전 총장은 2주 전보다 2%포인트 오른 반면, 이 지사는 답보 상태다. 중도층에서 윤 전 총장의 지지율(30%)이 이 지사(20%)에 크게 앞섰다. 이낙연 전 민주당 대표의 지지율은 5%로 떨어지면서 안철수 국민의당 대표(4%), 홍준표 의원·오세훈 서울시장(각각 2%)과 큰 차이가 없었다.
 이번 조사는 전화조사원 인터뷰 형식으로 진행됐으며 응답률은 17%다. 자세한 내용은 한국갤럽이나 중앙선거여론조사심의위원회 누리집을 참조하면 된다.",hankyoreh
53,2021-04-10,"문 대통령, 방역·경제 등 ‘국정 현안 다잡기’ 시동",조혜정 기자 zesty@hani.co.kr,"지난 8일 코로나19 극복과 경제 회복 등에 매진하겠다고 밝힌 문재인 대통령이 ‘코로나19 대응 특별방역 점검회의’ 등을 통해 국정 현안 다잡기에 나선다고 청와대가 밝혔다.
청와대는 10일 ‘긴급 일정’ 서면 브리핑에서 “문 대통령이 오는 12일, 코로나19 백신 수급계획 등을 포함한 코로나 대응 전략 점검차 ‘코로나19 대응 특별방역 점검회의’를 주재한다. 특별방역점검회의는 코로나 총력 대응 체계를 구축해 상황을 안정적으로 관리하기 위해 문 대통령이 긴급 소집하는 것”이라고 밝혔다. 회의엔 전해철 행정안전부 장관, 권덕철 보건복지부 장관, 구윤철 국무조정실장, 김강립 식품의약품안전처장, 정은경 질병관리청장이 참석한다. 
청와대는 또, 문 대통령이 사흘 뒤인 15일 확대경제장관회의를 소집해 경제 상황과 주요 전략산업 현황을 점검하고 대응 전략을 논의한다고 밝혔다. 참석 대상은 홍남기 경제부총리와 성윤모 산업통상자원부 장관, 이재갑 고용노동부 장관, 문성혁 해양수산부 장관, 권칠승 중소벤처기업부 장관 등이다.
강민석 청와대 대변인은 “문 대통령이 내주 특별방역점검회의와 확대경제장관회의를 잇따라 소집해 직접 챙기는 것은 국민께 밝힌 대로 국정 현안을 다잡아 나가기 위한 첫 번째 행보”라며 “문 대통령은 국민의 절실한 요구를 실현시켜 나가기 위해 더욱 낮은 자세와 보다 무거운 책임감으로 국정에 임할 것”이라고 설명했다.",hankyoreh
63,2021-03-08,"문 대통령 “LH 의혹, 검-경 유기적 협력 필요한 첫 사건”",이완 기자 wani@hani.co.kr,"문재인 대통령은 8일 한국토지주택공사(LH·엘에이치) 투기 의혹과 관련해 “국가가 가진 모든 행정력, 모든 수사력을 총동원해야 한다”고 강조했다. 검찰과 경찰을 향해선 수사를 위한 ‘유기적 협력’을 주문했다.
문 대통령은 8일 법무부·행정안전부 업무보고를 받은 뒤 엘에이치 직원의 광명·시흥 등 3기 신도시 토지 투기 의혹과 관련해 “국민을 실망시키는 일이 없도록” 철저한 수사를 지시했다고 강민석 청와대 대변인이 서면브리핑을 통해 전했다. 문 대통령은 “정부 차원에서 합동조사단이 광범위한 조사를 하고 있지만 조사를 먼저 하고 수사는 뒤에 할 필요가 없다. 조사와 수사는 함께 갈 수밖에 없다. 경찰 국가수사본부(국수본)가 발 빠르게 수사를 병행하고, 합조단 조사 결과는 그때그때 국수본에 넘기도록 해야 한다”고 말했다.
문 대통령이 앞서 3차례 ‘조사를 통한 발본색원’을 지시한 데 이어 이날 또다시 ‘발빠르게 수사를 병행하라’고 지시한 것은 신도시 투기 의혹에 대한 사회적 분노를 심각하게 받아들이고 있다는 뜻이다. 특히 총리실·국토부 등 정부기관이 주도하는 조사는 신뢰할 수 없다는 야당의 공세가 거센 상황에서, 수사기관의 강제 수사를 청와대도 더이상 미룰 수 없다고 판단한 것으로 보인다.
수사와 관련해 검찰과 경찰의 ‘유기적 협력’과 ‘긴밀한 협의’를 여러차례 언급한 대목도 눈에 띈다. 문 대통령은 “수사권 조정 과정에서는 두 기관이 입장이 다를 수 있었겠지만, 이제는 유기적 협력으로, 국가 수사기관의 대응역량을 극대화해야 한다”면서 “검찰과 경찰의 유기적 협력은 수사권 조정을 마무리 짓는 중요 과제”라고 말했다. 그러면서 검찰을 향해서 “수사 노하우, 기법, 방향을 잡기 위한 경찰과의 ‘유기적인 협력’”을 특별히 주문하기도 했다. 이번 사건이 검경 수사권 조정 뒤 처음으로 불거진 초대형 사건이어서, 수사 결과가 국민 눈높이를 충족시키지 못할 경우 수사권 조정 전반에 대한 불신이 확산될 수 있다는 우려로 풀이된다.",hankyoreh
72,2021-03-03,이용수 할머니 “국제사법재판소 회부 위해 문 대통령 만나게 해달라”,길윤형 기자 charisma@hani.co.kr,"일본군 ‘위안부’ 피해자인 이용수 할머니가 외교부를 방문해 “스가 요시히데 일본 총리를 설득해 (위안부 문제와 관련해) 국제사법재판소(ICJ)의 판단을 받을 수 있게 해달라”고 요구했다. 정의용 외교장관은 “신중히 잘 검토하겠다”는 원론적 답변에 그쳤다.
이용수 할머니는 3일 오후 서울 외교부 청사에서 정 장관과 면담한 뒤 기자들과 만나 “저는 이제 시간이 없다. 김학순 할머니가 (1991년 8월 첫 기자회견으로 위안부 운동을) 시작했고 이용수가 마지막을 해야 한다”면서 “바보같은 스가 총리를 설득해서 국제사법재판소에서 판결을 지을 수 있도록 장관님한테 와서 얘기 드린다. (이와 관련해) 문재인 대통령을 꼭 만나게 해 달라”고 요청했다. 
이에 대해 정의용 장관은 “그동안 할머니의 활동을 높이 평가한다”면서도 국제사법재판소 회부와 관련해선 “간단한 문제 아니기에 상당히 고민을 많이 하고 있다. 신중히 잘 검토 하겠다”고 답했다. 그러자 이 할머니는 일본에게 요구하는 것은 “돈이 아닌 사죄”라며 “사죄를 받으면 용서해 줄 수 있다. 일본은 이웃나라니까 학생들하고는 교류하겠다. 일본하고 교류하고 친하게 지내도록 역사관과 교육관을 짓도록 하겠다”는 평소 지론을 재차 언급했다.
일본 정부는 지난 2015년 말 위안부 합의를 통해 ‘군의 관여’를 인정하면서 “국가의 책임을 통감한다”는 뜻을 밝혔을 뿐, 위안부 문제가 국가가 저지른 ‘범죄’임을 인정하진 않았다. 이 할머니의 국제사법재판소 회부론은 한-일 양국 정부가 함께 이 문제를 국제 법정에 가져가 위안부 문제가 일본의 ‘국가 범죄’임을 명확히 인정받아 한-일 역사 갈등을 끝내자는 취지다. 하지만, 이 과정에서 1965년 한-일 청구권 협정과 2015년 위안부 합의 등이 걸림돌이 돼 뜻하지 않는 결과가 나올 수도 있다. 이 할머니는 앞선 2월16일 기자회견에서 국제사법재판소 회부론을 처음 주장했다.
정의기억연대 등은 신중한 입장이다. 위안부 문제와 관련해선 이미 일본의 국가 범죄라는 국제적 합의가 존재하기 때문에 굳이 다시 확인받을 필요가 없다는 것이다. 또, 일본이 독도 등 다른 문제까지 쟁점을 확대할 가능성이 크다며 정부에 ‘신중한 대응’을 주문하는 중이다. ",hankyoreh
