,date,title,reporter,content,press
0,2021.04.08,김영환 “문재인 대통령은 패배 뒤에 숨지 말고 ‘석고대죄’해야”,김명성 기자,"김영환 더불어민주당 전 의원은 7일 서울·부산 재보궐 선거에서 야권의 압승이 예상되는 것과 관련해 “문재인 대통령과 청와대는 박영선, 김영춘의 패배 뒤에 숨어 있서는 안된다”며 “국민들 앞에 석고대죄를 해야 한다”고 밝혔다.
김 전 의원은 이날 자신의 페이스북에 “이번 선거결과는 상식의 반란”이라며 “문재인 대통령과 민주당을 정치적으로 탄핵한 것”이라고 했다. 또 “상식의 반란군들이 위선의 방벽을 뚫고 후안무치의 성을 허물어 버렸다”고 평가했다.
그는 “(문 대통령이)지난 4년 동안 국민을 분열시키고 민주주의를 후퇴시켰으며 법치를 허물었고 상식과 합리를 버리고 독선과 독주의 정치를 한 것에 대해 용서를 빌어야 한다”고 했다.
이어 부동산, 임대차3법, 세금폭탄, 백신, 청년일자리, 재정적자, 최저임금 52시간제, 비정규직문제 등을 언급하며 “진보의 위선, 운동권들의 가면무도회도 끝낼 때가 되었다”고 질타했다.
그러면서 “2021년 4월 7일 상식의 반란군이 한강을 건너 2022년 3월9일 승리의 고지를 향해가고 있다”고 전망했다.",조선일보
22,2021.03.31,"김여정, 文대통령에 “미국산 앵무새”",김명성 기자,"북한 김여정 노동당 선전선동부부장이 30일 북한의 탄도미사일 발사에 우려를 표명한 문재인 대통령에 대해 “미국산 앵무새” ”뻔뻔스러움의 극치”라고 비난했다. 지난 15일 담화에서 ‘3년 전 봄날은 다시 돌아오기 어려울 것’이라며 대남 강경 메시지를 낸 김여정이 보름 만에 다시 문 대통령을 정면 비난한 것이다. 이는 추가 도발을 위한 계획적 명분 쌓기라는 관측이 나온다.
김여정은 이날 조선중앙통신을 통해 발표한 담화에서 “나는 남녘땅에서 울려나오는 잡다한 소리들에 접할 때마다 아연해짐을 금할 수 없다”면서 “‘남조선 집권자’가 직접 마이크를 잡고 우리에 대해 뭐라고 할 때가 더욱 그렇다”고 했다. 특히 문 대통령이 작년 국방과학연구소(ADD)를 찾아 ‘현무-4’미사일 시험발사를 참관하며 했던 발언을 거론하며 “저들이 한 것은 평화와 대화를 위한 것이고, 우리가 한 것은 남녘 동포들의 우려를 자아내고 대화 분위기에 어려움을 주는 바람직하지 않은 일이라니 그 철면피함에 경악을 금할 수 없다”고 했다.
국제법과 동일한 효력을 갖는 유엔 안보리 결의에 의해 금지된 자신들의 탄도미사일 발사를 한국의 탄도미사일 발사와 동일선상에서 비교한 것이다. 북한은 지난 27일 군부 2인자인 리병철 당중앙군사위 부위원장 담화, 28일 조철수 외무성 국제기구국장의 담화를 통해서도 ‘우리 자위권 행사가 왜 문제냐'는 주장을 폈다.
남성욱 고려대 교수는 김여정 담화에 대해 “추가 도발의 명분을 쌓으면서 한·미·일 안보실장회의와 미국의 대북 정책 발표를 앞두고 우리 정부에 바이든 정부를 설득해 미북 협상의 무대를 만들라는 압박”이라고 했다. 특히 김여정이 15일 담화에서 조평통 폐지, 남북 군사합의서 파기 등을 경고한 상태이기 때문에 조만간 수위를 높인 도발을 할 가능성이 높은 것으로 보인다.
청와대와 통일부는 이날 김여정의 담화에 “유감”을 표했다. 청와대는 “북한도 대화 의지를 보여야 한다”고 했고, 통일부는 “어떤 순간에도 최소한의 예법은 지켜져야 한다”고 했다.",조선일보
46,2021.04.13,"류호정 “與, 대통령 지키려 꼰대질 계속하면 청년들 완전히 외면”",주희연 기자,"정의당 류호정 의원은 13일 ‘조국 사태’에 반성한다는 더불어민주당 초선 의원들을 비판한 여권 강성 지지층과 민주당 의원들을 향해 “대통령을 지키기 위해 ‘꼰대질’을 계속한다면 청년 세대의 완전한 외면을 경험하게 될 것”이라고 했다.
류 의원은 이날 국회에서 열린 의원총회에서 “사과와 반성에도 ‘어른들’의 허락이 필요한 그곳에서 이의를 제기하고 발언의 기회를 가졌다는 이유로 집중포화를 받고 있는 청년 의원들의 용기를 성원한다”며 이같이 밝혔다. 민주당 장철민·장경태·전용기·이소영·오영환 등 초선 의원 5명은 지난 9일 ‘조국 사태’를 반성한다는 취지의 별도 입장문을 냈다는 이유로 강성 지지층의 반발을 샀다. 친문(親文) 의원들 사이에서도 “조 전 장관을 들먹일 필요가 있느냐”는 기류가 흘렀다.
류 의원은 초선 의원 5명의 기자회견에 대해 “조국 전 장관 한 사람이 ‘검찰개혁의 대명사’라고 생각했던 과거를 반성해서 반가웠다”고 했다. 이어 “다섯 의원은 ‘배은망덕한 초선 5적’이 됐다. 자당의 지지자로부터 문자폭탄을 받게 됐지만 ‘조소와 비난에 아프다’는 말밖에 할 수 없을 것”이라며 “반면에 무엇이 잘못이고 어떤 것을 성찰해야 하는지는 빼버린 채 ‘패배에 대한 책임은 우리에게 있다’고 에둘러 표현한 도종환 비대위원장에 대한 조롱은 찾기 어렵다”고 했다.
류 의원은 “민주당을 지지하는 시민을 ‘진보'로, 국민의힘에 투표한 국민을 ‘보수'로 전제한 경솔하고 게으른 분석”이라며 “변화에 대한 갈망이 대부분 국민의힘으로, 일부분 소수정당으로 표출됐을 뿐 청년 세대의 민심은 집권당의 반성을 요구하고 있다”고 했다.",조선일보
49,2021.03.29,"김상조 경질한 文대통령, 마스크엔 ‘부동산 부패청산'",김승현 기자,"문재인 대통령이 29일 오후 청와대 본관에서 열린 제7차 공정사회 반부패정책협의회에 ‘부동산 부패청산’이라는 문구가 인쇄된 마스크를 쓰고 참석했다. 문 대통령은 서울 강남구 청담동 아파트 현 세입자에게 지난해 7월 임대차 3법 시행 이틀 전 전세금을 14.1% 올려받은 사실이 드러난 김상조 청와대 정책실장을 이날 오전 경질했다.
문 대통령은 회의에서 “야단맞을 것은 맞으면서 국민의 분노를 부동산 부패의 근본적인 청산을 위한 동력으로 삼아주기 바란다”고 말했다.
문 대통령은 한국토지주택공사(LH) 직원들의 3기 신도시 투기 의혹에 대해서는 “이번 사건을 철저하고 단호하게 처리하고, 부동산 부패의 구조적·근본적 해결까지 나아가야 한다”며 “국가의 행정력과 수사력을 총동원해주기 바란다”고 했다.
이어 “조사와 수사 대상이 넓어지는 가운데 멈추지 말고, 정치적 유불리도 따지지 말고 끝까지 파헤쳐주기 바란다”고 했다.",조선일보
55,2021.04.27,文대통령 “판문점 선언 3년... 다시 대화의 시간 오고있다”,노석조 기자,"문재인 대통령은 27일 국회회의에서 “남·북 정상이 8000만 겨레 앞에서 판문점 선언을 한 지 어느덧 3년이 됐다”면서 “도보다리의 풍경이 아직도 눈에 선하지만, 하노이 북미회담 결렬 이후 교착 상태가 장기화되고 있어 매우 안타까운 심정”이라고 밝혔다.
문 대통령은 “판문점 선언은 누구도 훼손할 수 없는 평화의 이정표”라면서 “어떤 경우에도 판문점 선언이 약속한 평화의 길을 되돌릴 수 없다”고 했다. 그러면서 “대외 여건과 현실적 제약으로 판문점 선언의 성과를 발전시키는 데 어려움이 많지만, 남북관계의 크고 작은 악재 속에서도 군사적 충돌 없이 한반도 정세가 어느 시기보다 안정적으로 관리되고 있다”고 했다. “경색국면 속에서도 평화가 지속되고 있다”고도 했다.
문 대통령은 “하지만, 지금의 평화는 미완의 평화”라면서 “판문점 선언의 토대 위에서 불가역적인 항구적 평화로 나아가야 한다”고 했다. 그러면서 “이제 오랜 숙고의 시간을 끝내고 다시 대화를 시작해야 할 시간이 다가오고 있다”며 “진통을 겪으면서 얻은 교훈을 바탕으로 평화의 시계를 다시 돌릴 준비를 해야 할 때”라고 했다.
이어 “5월 하순으로 예정된 한미 정상회담이 한미동맹을 더욱 굳건하게 다지는 한편, 대북정책을 긴밀히 조율하고 발전적으로 나아갈 방향을 정립하는 계기가 되길 기대한다”며 “우리 정부는 바이든 정부와 견고한 협력을 바탕으로 한반도 평화 프로세스를 진전시켜 나갈 길을 찾고자 한다”고 했다. 그러면서 “남·북과 북·미 간에도 대화 복원과 협력의 물꼬가 트일 수 있기를 바란다”고 했다.
문 대통령은 대북 문제 전에는 국내외 경제 상황을 언급했다. 문 대통령은 “오늘 한국은행이 발표한 1분기 GDP 속보치에 따르면 우리 경제는 올해 1분기에 이미 코로나 이전의 경제 수준을 넘어선 것으로 나타났다”면서 “OECD 주요 국가들 가운데 가장 앞서가는 회복세로서, 우리 경제의 놀라운 복원력이라 하지 않을 수 없다”고 했다. 그러면서 “코로나의 어둡고 긴 터널을 벗어나 경제 성장의 정상궤도에 올라섰다고 말할 수 있게 됐다”며 “위기에 더욱 강한 한국 경제의 면모를 여실히 보여준 것”이라고 했다.
청와대 여민1관 영상회의실에서 열린 이날 국무회의에는 청와대 유영민 비서실장, 서훈 국가안보실장, 이호승 정책실장, 유연상 경호처장, 이철희 정무수석, 정만호 국민소통수석, 김진국 민정수석, 김제남 시민사회수석, 김외숙 인사수석, 임서정 일자리수석, 안일환 경제수석, 이태한 사회수석, 박복영 경제보좌관, 박수경 과학기술보좌관, 서주석 국가안보실 1차장, 김형진 국가안보실 2차장, 박경미 대변인, 이진석 국정상황실장, 탁현민 의전·신지연 제1부속·신동호 연설·배재정 정무‧이준협 일자리기획조정비서관이 참석했다.
정의용 외교부 장관, 박범계 법무부 장관, 홍남기 경제부총리 겸 기획재정부 장관, 유은혜 사회부총리 겸 교육부 장관 등은 화상 연결을 통해 회의에 참여했다.
국민의힘은 이날 문 대통령의 국무회의 발언에 대해 “현실을 외면한 대통령의 발언”이라며 “국민들 속은 오늘도 쓰리다”고 했다. 윤희석 당 대변인은 구두논평에서 “정부가 무능만 드러낸 백신 부족에는 다른 나라와 비교 말라며 목소리를 높이더니, 국민과 기업의 노력으로 얻어낸 1분기 GDP 성장률을 두고는 특유의 자화자찬에 더해 ‘경제의 정상궤도’를 섣불리 외쳤다”고 했다.
윤 대변인은 “물가상승률만 해도 당장 8.2%에 달한다”며 “지난해 연간 취업자는 22만 명 가까이 줄어들어 외환위기 이후 최대로 감소했다”고 했다. 이어 “그렇기에 경제부총리마저도 ‘마음 한편으로는 무거움을 느낀다'며 어려운 경제 상황을 실토했는데, 왜 유독 대통령의 인식만 딴 세상인가”라고 했다. 그러면서 윤 대변인은 고통받는 국민들의 삶을 직시하길 바랄 뿐”이라고 했다.",조선일보
126,2021.03.30,"김여정, 文대통령에 “미국산 앵무새” 비난",최규민 기자,"북한 김여정이 문재인 대통령에 대해 “미국산 앵무새”라고 맹비난했다.
김여정은 30일 조선중앙통신을 통해 발표한 담화에서 지난 26일 문 대통령의 ‘서해 수호의 날 기념식’ 연설을 거론하며 “북과 남의 같은 국방과학연구소에서 진행한 탄도미사일 시험을 놓고 저들이 한 것은 조선반도(한반도) 평화와 대화를 위한 것이고 우리가 한 것은 남녘 동포들의 우려를 자아내고 대화 분위기에 어려움을 주는 결코 바람직하지 않은 일이라니 그 철면피함에 경악을 금할 수 없다”고 했다.
그는 “나는 분계선 너머 남녘땅에서 울려나오는 잡다한 소리들에 접할 때마다 저도 모르게 아연해짐을 금할 수 없다”면서 “특히 ‘남조선 집권자’가 사람들 앞에 나서서 직접 마이크를 잡고 우리에 대해 뭐라고 할 때가 더욱 그렇다”고 했다. 이어 “비논리적이고 후안무치한 행태는 우리의 자위권을 유엔 ‘결의’ 위반이니, 국제사회에 대한 ‘위협’이니 하고 걸고드는 미국의 강도적인 주장을 덜함도 더함도 없이 신통하게 빼닮은 꼴”이라며 “미국산 앵무새라고 ‘칭찬’ 해줘도 노엽지 않을 것”이라고 비난했다.
김여정은 이번 담화를 ‘노동당 중앙위원회 선전선동부 부부장’ 명의로 발표해 현재 선전선동부에서 일하고 있는 것으로 확인됐다.",조선일보
135,2021.03.22,오늘 아스트라 접종 文대통령 “백신 안전성 의심 품지마시라”,김아진 기자,"문재인 대통령은 22일 아스트라제네카(AZ) 코로나 백신 안전성 문제와 관련해 “백신 불안감을 부추기는 가짜 뉴스는 아예 발붙이지 못하도록 국민들께서 특별한 경계심을 가져 주시기 바란다”고 했다. 문 대통령과 김정숙 여사는 오는 6월 영국에서 열리는 G7(주요 7국) 정상회의 참석을 앞두고 23일 AZ 백신을 공개 접종한다.
문 대통령은 이날 청와대 수석·보좌관 회의에서 “저와 제 아내도 아스트라제네카 백신을 맞는다. 정상회의 수행원들도 내일 함께 접종을 한다”며 “국민들께서도 백신의 안전성에 조금도 의심을 품지 마시고 접종 순서가 되는 대로 접종에 응해달라”고 했다. 문 대통령은 “백신 접종은 자신의 안전을 지키면서 집단면역으로 우리 사회 전체의 안전을 지키는 길”이라면서 “다른 나라들에 비해 초기 접종 속도도 빠른 편으로 상반기 중에 1200만 명 이상 접종할 계획”이라고 했다.
한편 문 대통령은 경제와 부동산에 낙관적 전망을 했다. 문 대통령은 “올해 예상보다 빠르고 강하게 경제 반등에 성공할 것”이라며 “국제기구들도 올해 한국의 경제성장률을 3% 중반대로 상향 전망하는 등 우리나라는 코로나 이전 수준의 경제를 가장 빨리 회복하는 선두 국가 그룹에 서게 될 것”이라고 했다. 그러면서 고용 상황에 대해서도 “이 추세대로라면 3월부터는 작년 수준 또는 그 이상으로 고용이 회복될 수 있을 것으로 기대된다”고 했다. 집값 문제에 대해서도 “최근 주택 가격 상승세가 꺾이며 부동산 시장이 서서히 안정세로 접어들고 있는 만큼 그 추세를 이어가고 있다”고 했다.
LH 직원들의 땅 투기 의혹과 관련해, 문 대통령은 이날도 “정부로서는 매우 면목 없는 일”이라면서도 재차 과거 정부의 적폐 청산을 강조했다. 문 대통령은 “개발과 성장의 그늘에서 자라온 부동산 부패의 고리를 끊어낼 수 있는, 쉽지 않은 기회”라며 “정면으로 부딪쳐 문제를 근원적으로 해결하지 않으면 안 된다”고 했다.",조선일보
141,2021.04.19,"文대통령, 22일 바이든 주재 기후 정상회의 참석",김승재 기자,"문재인 대통령이 조 바이든 미국 대통령 초청으로 오는 22일 화상으로 열리는 기후정상회의에 참석한다. 이번 회의에는 중국 시진핑 국가주석도 참가한다.
박경미 청와대 대변인은 19일 브리핑에서 이같이 밝히면서 “이번 참석은 한미동맹 강화와 기후 대응 선도국 입지를 더욱 공고히 하는 계기가 될 것”이라고 했다.
세계기후정상회의는 세계 40여개 나라 정상들이 참석하는 다자회의다. 세계기후정상회의에서는 파리협정에 재가입한 바이든 행정부의 기후변화에 대한 리더십과 새로운 국제 연대의 틀이 제시될 전망이다.
박 대변인은 “문 대통령은 우리나라 기후행동 강화의지를 설명하고, 5월 말 우리나라 주최하는 P4G(녹색성장과 글로벌 목표 2030을 위한 연대) 성공적 개최를 위한 국제사회 참여를 당부할 계획”이라고 했다.",조선일보
159,2021.04.21,"文, 한국대통령 첫 中보아오 포럼 참석… 시진핑의 ‘구동존이’ 강조",김아진 기자,"문재인 대통령이 조 바이든 미국 대통령과의 만남을 앞두고 20일 중국에서 열리는 보아오 포럼에 화상으로 참석해 “개발도상국에 대한 백신 기부와 같은 다양한 코로나 지원 활동을 펼치고 있는 중국 정부의 노력을 높이 평가한다”고 했다. 보아오 포럼은 아시아판 다보스포럼으로 불리지만 실질적 주최자가 중국 정부라고 알려져 있다.
이날 포럼에 정상이 참석한 국가는 한국과 중국, 인도네시아, 뉴질랜드, 싱가포르, 캄보디아, 몽골 등이다. 미국 동맹국은 뉴질랜드와 우리나라뿐이다. 통상 이 포럼엔 총리가 참석해왔는데, 올해는 20주년을 맞아 대통령이 처음으로 참석했다는 게 청와대 설명이다. 문 대통령은 오는 22일~23일 화상으로 열리는 기후정상회의, 다음 달 하순 워싱턴에서 열리는 한미 정상회담에서 바이든 대통령을 만난다.
문 대통령은 이날 영상 메시지에서 “아시아 나라들은 보아오포럼을 통해 서로의 차이를 인정하며 공동의 이익을 추구하는 ‘구동존이’의 정신을 실천해왔다”며 말문을 열었다. ‘구동존이’는 시진핑 중국 국가주석의 외교 정책을 상징하는 사자성어다. 문 대통령은 그러면서 “그동안 세계는 어느 누구도 배제하지 않는 아시아의 포용 정신에 주목해왔다”며 포용성이 강화된 다자주의 협력, 아시아부터 코로나 공동대응, 녹색 회복을 위한 공동행동 등을 밝혔다. 또 “자국 우선주의와 보호무역주의가 확산되고 있다”면서 “큰 나라와 작은 나라, 선진국과 개발도상국이 서로를 존중하며 동등하게 협력할 때 인류의 미래도 지속 가능해질 것”이라고 했다.
시진핑 주석은 개막식 화상 연설에서 미국의 내정간섭에 반대한다고 밝히며 미국을 향한 경고를 분명히 했다. 그는 “코로나는 우리에게 냉전과 제로섬 방식의 사고 방식을 거부하고, 신냉전과 이데올로기 대립에 반대해야 한다는 것을 분명하게 했다”고 말했다. 시 주석은 또 “걸핏하면 타국을 마음대로 부리고 내정에 간섭하는 것은 누구의 지지도 받지 못할 것”이라며 “한 국가나 몇몇 국가가 제정한 규칙을 다른 나라에 강요해서는 안 되며, 전 세계가 일부 국가의 일방주의 장단에 맞추도록 해 서도 안 된다”고 했다.",조선일보
166,2021.04.12,"김근식 “대통령님, 철지난 K방역 아닌 K백신 말할 때”",김동하 기자,"김근식 경남대 교수는 12일 문재인 대통령이 ‘백신수급의 불확실성을 현저하게 낮추고 있다’고 한 것에 대해 “백신 현실은 불확실 투성이인데, 대통령만 나홀로 달나라 인식에 유체이탈 화법”이라고 했다.
국민의힘 비전전략실장을 지낸 김 교수는 이날 페이스북에 “대통령님, 철 지난 ‘K 방역’ 우려먹을 때가 아니라 제대로 된 ‘K 백신’을 말하십시오”라며 이같이 밝혔다.
김 교수는 “지난해 부동산 폭등하는데 집값이 확실히 안정되고 있다던 달나라 화법, 시즌 2”라며 “도대체 무슨 근거로 백신수급이 안정적이라고 자랑하나”라고 했다. 이어 “그저 백신 접종을 ‘시작했다’는 표현이 정확한 현실”이라며 “지금까지 대통령이 호언장담한 대로 금년 백신수급이 제대로 진행된 적이 있나”라고 했다.
그는 “언제일지도 모를 백신접종만 부지하세월 기다리다 모두 지쳐간다”며 “더이상 희망고문하지 마십시오”라고 했다.
문 대통령은 이날 오후 청와대에서 코로나19 대응 특별방역점검회의를 주재하며 “대다수 나라들이 백신 수급에 어려움을 겪고 있지만 우리나라는 다방면의 노력과 대비책으로 백신수급의 불확실성을 현저하게 낮추고 있다고 자신 있게 말씀드린다”고 했다. 또 “우리 국내에 백신 생산 기반을 확보한 것이 백신 수급의 불확실성을 타개하는 데 큰 도움이 되고 있다”고 했다.",조선일보
