,press,reporter,title,content
1,서울경제,강동효,"美 전직관료들, 문 대통령에 '중국에 억류된 탈북민 지원해달라'","viewer  랴오닝성 단둥에서 바라본 북중 국경다리와 북한 신의주/연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });미국 전직 관료와 민간단체가 중국에 억류된 탈북민의 한국행을 지원해달라고 문재인 대통령에게 요청했다. 1일 미국의 소리(VOA) 방송에 따르면 리처드 앨런 전 백악관 국가안보보좌관과 윈스턴 로드 전 중국주재 미국 대사 등 전직관료 32명과 케네스 배 북한 릴리프 대표 등 민간단체 대표는 문 대통령에게 서한을 통해 “중국 구금시설에 탈북민이 최소 130명 이상 수감돼 있다”며 “이들이 북송되면 구금·고문·처형될 우려가 있다”고 언급했다. 이들은 이어 “코로나 19로 북한과 중국 간 국경이 봉쇄된 현재가 절호의 기회가 될 수 있다”며 “이들을 한국으로 보내달라”고 촉구했다.  (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  문 대통령에게 보내는 서한은 수잔 숄티 북한자유연합 대표가 지난달 30일 주미 한국대사관을 통해 전달한 것으로 알려졌다. /강동효 기자 kdhyo@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
15,서울경제,윤경환,문재인 대통령 '노동존중사회 실현할 것…더 많은 일자리 만들겠다',"viewer  문재인 대통령 페이스북 캡쳐googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });문재인 대통령은 1일 ""노동존중사회 실현이라는 정부의 목표는 절대 흔들리지 않는다""고 말했다.문 대통령은 노동절인 이날 페이스북에서 ""코로나 위기가 노동 개혁을 미룰 이유가 될 수 없다""며 이같이 밝혔다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });문 대통령은 ""ILO(국제노동기구) 핵심협약 비준도 노동권에 대한 보편적 규범 속에서 상생하자는 약속""이라며 ""우리 경제의 지속 가능한 발전을 위한 길이다. 잘 안착할수록 노동의 만족도와 생산성이 높아져 기업에도 도움이 될 것이라 확신한다""고 강조했다.문 대통령은 이어 ""일자리를 더 많이, 더 부지런히 만들고, 임금체불과 직장 내 갑질이 없어지도록 계속해서 정책적 노력을 기울이겠다""고 말했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  문 대통령은 ""집의 기초가 주춧돌이듯, 우리 삶의 기초는 노동이다. 필수노동자의 헌신적인 손길이 코로나의 위기에서 우리의 일상을 든든하게 지켜주었다""며 ""보건·의료, 돌봄과 사회서비스, 배달·운송, 환경미화 노동자들께 진심으로 감사드린다""고 밝혔다. 그는 그러면서 ""우리 모두 노동의 가치를 더욱 소중하게 생각하게 되었다""고 덧붙였다.문 대통령은 지난해 11월 고(故) 전태일 열사에게 국민훈장을 추서한 것을 기론, ""지난해 노동자 전태일 열사께 국민훈장 무궁화장을 드렸다. 정직한 땀으로 숭고한 삶을 살아오신 노동자와 노동존중사회를 만들기 위해 애써오신 모든 분들께 존경의 인사를 드린다""고 말했다.문 대통령은 그러면서 ""집으로 돌아가는 노동자들의 발걸음이 더욱 가벼워지도록 계속 노력하겠다""고 말했다./윤경환 기자 ykh22@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
24,서울경제,이진석,박범계 '내주 대통령께 검찰총장 후보 제청할 것…검찰개혁 화두',"viewer  박범계 법무부 장관/연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });박범계 법무부 장관은 30일 ""제 소임을 다하기 위해 충분한 시간을 갖겠지만 다음 주 중 어떤 형태로든 (검찰총장 후보자를) 대통령께 제청할 생각""이라고 밝혔다.박 장관은 이날 연합뉴스TV와의 인터뷰에서 ""총장 제청권은 대통령의 인사권을 절차적으로 보충하는 권한""이라며 이같이 말했다.박 장관은 ""검찰개혁과 정치적 중립성이 화두""라면서 ""검찰의 정치적 중립에 대한 대통령의 의지가 굉장히 높다""며 이를 기준으로 검찰총장 후보자를 낙점하겠다는 뜻을 내비쳤다. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });어느 후보를 염두에 두고 있는지에 대해서는 ""현재로선 유력한 후보는 없다고 생각한다""고 강조했다.유력한 후보로 꼽혔던 이성윤 서울중앙지검장이 빠진 점에 대해서는 ""추천위원들이 여러 역량이나 청렴성 등 여러 요소를 거론한 걸로 알고 있다""며 ""어떤 연유로 그런 결론이 나왔는지는 소상히 알지 못하지만, 추천위의 결론을 존중한다""고 말했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  피의사실 공표 문제점에 대해서도 지적했다. 그는 ""국민의 알권리 측면에서 공표가 순기능을 발휘해야 하는데, 표적수사나 수사동력을 얻기 위해, 또 정치적으로 활용하기 위해 이용되는 경우가 있다""며 ""수사기밀 보호나 피의자 인권보호 측면에서 일부 피의사실 공표 현상들은 우려할 만한 상황""이라고 꼬집었다.이어 ""5월 말까지 법무부와 대검이 합동감찰을 해서 실증적 데이터로 피의사실 공표 문제의 심각성을 지적하고 대책을 마련할 것""이라고 덧붙였다.또 법무부 장관과 검찰총장과의 관계를 두고 ""국가공무원법이나 검찰청법에 따르면 장관이 검찰 사무의 최고 감독자""라며 ""다만 검찰이 수사 주체고 독립성·정치적 중립성이 중요한 만큼 장관의 감독권이나 수사지휘권은 절제돼야 한다""고 했다.그는 ""취임 후 백척간두라는 비유처럼 상당히 힘든 시간도 있었는데 이제는 조금씩 저의 진정성을 알아주는 것 같다""며 ""장관을 마칠 때 검찰 조직문화 개선에 그나마 기여한 장관으로 기억되길 바란다""고 말했다./이진석 기자 ljs@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
29,서울경제,강지수,11~12주 간격으로 맞는 AZ백신…文대통령은 38일만에 2차접종,"viewer  아스트라제네카(AZ) 백신 /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });문재인 대통령이 아스트라제네카(AZ) 신종 코로나바이러스 감염증(코로나19) 백신 1차 접종 38일 만인 30일 2차 접종을 받았다. 이와 관련 홍정익 코로나19 예방접종대응추진단 예방접종기획팀장은 필수목적 출국자의 경우 코로나19 백신 2차 접종 시기를 앞당겨 4주차에 진행하고 있다고 설명했다.홍 팀장은 이날 AZ 백신 1·2차 접종 간격에 대해 “허가 사항은 4주~12주, 예방접종전문위원회 권고 주기는 8주~12주 사이”라며 “현재 11주~12주 사이로 운용하고 있다”고 말했다. 다만 필수목적 출국자의 경우 긴급한 출국이 인정되면 2차 접종 시기를 당길 수 있는 예외를 둔다. 홍 팀장은 “허가 사항이 준수하는 조건에서 4주째 접종을 진행하고 있다”며 “다수의 필수목적 출국자들이 조건에 따라 접종을 받고 있다”고 말했다. 문 대통령 역시 오는 5월21일 개최되는 한미 정상회담 참여를 위해 AZ 백신 2차 접종을 권고 주기보다 당겨 맞았다.  (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  홍 팀장은 “AZ 백신 허가 사항인 4주 간격에도 못 미치는 긴급한 출국이 예정된 경우는 3주 간격 접종이 허용되는 화이자 백신을 배정하고 있다”고 덧붙였다. 그는 백신 접종 간격이 코로나19 항체 형성에 미치는 영향을 대해서는 “AZ 백신의 경우에는 접종 간격이 길수록 항체 형성에 도움이 된다고 되어 있다”고 밝혔다. 이어 “그래서 표준적인 접종 간격은 11주~12주 사이로 운용하고 있다”며 “필요한 경우 허가사항에 따른 4주 간격도 허용하고 있는 것으로 이해하면 된다”고 부연했다./강지수 인턴기자 jisukang@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
60,서울경제,강지수,허은아 '文대통령·조국·김어준은 대한민국 '3대 존엄'…北김정은과 맞먹어',"viewer  허은아 국민의힘 의원 /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });허은아 국민의힘 의원은 30일 “북한에 ‘최고 존엄’ 김정은이 있다면 대한민국에는 ‘3대 존엄’이 있다”며 “참 무서운 정권”을 향해 비판의 목소리를 냈다.허 의원은 이날 자신의 페이스북을 통해 “바로 문재인 대통령, 조국 전 법무부 장관, 방송인 김어준씨가 대한민국 ‘3대 존엄’”이라며 이같이 말했다. 그는 “문 대통령을 비난한 청년은 대통령으로부터 ‘고소장’을 받고, 조 전 장관 딸의 의사 자격 문제를 지적한 우리당 김재섭 비상대책위원은 경찰의 ‘조사장’을 받았다”며 “그리고 교통방송(TBS) 라디오 ‘김어준의 뉴스공장’ 진행자 김씨의 편파성을 지적하는 정치인들은 극성 지지자들에게 댓글과 문자로 ‘엄포장’을 받고 있다”고 조목조목 지적했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  이어 “대한민국 ‘3대 존엄’의 특징은 전 정권의 최대 수혜자들이라는 점”이라며 “한 명은 대통령이 되고, 한 명은 법무부 장관이 되고, 또 한 명은 시급 100만원의 방송 진행자가 된 이 맛이 바로 ‘위선의 맛’인가”라고 직격탄을 날렸다. 그러면서 “북한의 최고 존엄 모독자에게는 ‘고사포’가 날라 오는데, 대한민국 ‘3대 존엄’ 모독자들에게는 ‘고’소장, 조‘사’장, 엄‘포’장이라는 또 다른 ‘고사포’가 난사되고 있다”고 꼬집었다./강지수 인턴기자 jisukang@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
64,서울경제,윤경환,文대통령 AZ 2차 접종...한미정상회담으로 2주 일찍 맞아,"viewer  문재인 대통령이 30일 오전 서울 종로구보건소에서 아스트라제네카(AZ)사의 신종 코로나바이러스 감염증(코로나19) 백신 2차 접종을 하고 있다. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });문재인 대통령 내외가 29일 1차 접종 5주 만에 아스트라제네카 백신 2차 접종을 받았다. 문 대통령 내외는 2차 접종 일정을 당초 오는 6월 11∼13일 영국에서 열리는 주요7개국(G7) 정상회의 참석에 맞춰 내달 중순께로 잡았으나 그 사이 5월21일 한미정상회담 일정이 잡히면서 이를 앞당기게 됐다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });문 대통령과 아내인 김정숙여사는 30일 오전 8시55분 서울시 종로구 보건소를 방문해 코로나19 2차 예방접종을 받았다. 문 대통령 내외는 앞서 지난 3월23일 1차 예방 접종을 받은 바 있다. 만 65세 이상 중에서는 첫 접종 사례였다. 문 대통령의 나이는 만 68세, 김 여사는 만 66세다.이날 접종에는 1차 접종을 함께 받았던 대통령비서실 직원 8명도 함께 접종을 받았다. 이번에도 1차 접종 때와 똑같은 간호사가 문 대통령 일행을 접종했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  당초 문 대통령의 2차 접종은 G7 일정에 맞춰 5월 중순으로 예정돼 있었다. 아스트라제네카 백신의 기존 1·2차 접종 간격이 8~12주였던 점을 고려한 일정이었다. 하지만 내달 21일 한미정상회담 일정이 구체화되면서 접종일을 2주가량 당기게 됐다. 2차 접종 이후 14일이 지나야 출국 전 충분한 항체가 형성된다는 점을 감안한 조치다. 질병관리청은 ‘필수목적 출국을 위한 예방접종 절차’ 지침에 따라 긴급한 해외 출국자에 한해 4주 간격으로 1·2차 접종을 허용하고 있다.문 대통령은 이번 한미정상회담에서 남북·북미 대화를 남은 임기 내에 조속히 재개하겠다는 의지를 다지고 있다. 우리 정부는 스가 요시히데 일본 총리는 지난 16일(현지시간) 바이든 대통령 취임 후 첫 대면 정상회담을 갖게 되자 정상회담을 서둘러 추진했다. 미국 정부가 대북 정책을 확정하기 전 일본의 강경책이 아닌 한국의 ‘평화프로세스’를 반영하기 위한 포석이라는 분석이다.실제로 문 대통령은 19일 청와대에서 수석·보좌관회의를 주재하며 “정부 출범 초기부터 일촉즉발의 전쟁 위기 상황에 직면했지만, 평화의 신념을 한순간도 놓지 않았다”며 “멈춰 있는 한반도 평화 시계를 다시 돌려야 한다”고 강조했다. 21일 미국 뉴욕타임스(NYT)와의 인터뷰에서도 도널드 트럼프 전 미국 대통령의 대북정책에 대해 “변죽만 울렸을 뿐 완전한 성공을 거두지 못했다”며 바이든 미국 대통령에게는 “싱가포르 합의를 폐기하는 것은 실수가 될 것”이라고 경고했다./윤경환 기자 ykh22@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
67,서울경제,윤경환,"[속보] 靑 '文대통령-美바이든, 5월21일 정상회담'","viewer  문재인 대통령이 지난 2월4일 청와대에서 조 바이든 미국 대통령과 정상통화를 하고 있다. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });문재인 대통령이 내달 21일 조 바이든 미국 대통령과 한미정상회담을 갖는다.정만호 청와대 국민소통수석은 30일 청와대 춘추관에서 “문 대통령이 바이든 대통령의 초청으로 워싱턴을 방문해 21일 한미정상회담을 개최할 예정”이라고 밝혔다. 정 수석은 “코로나19로 어려운 상황에도 대면 정상회담을 조기 개최하는 것은 한미동맹의 중요성을 잘 보여주는 것”이라며 “양 정상은 이번 회담을 통해 한미동맹의 굳건함을 재확인하고 양 정상과 국민들 간 우정을 바탕으로 포괄적이고 호혜적인 협력 관계를 확대·발전 시킬 것으로 기대한다”고 말했다. 정 수석은 특히 “이번 회담에서는 한반도의 완전한 비핵화 및 항구적 평화 정착 진전을 위한 한미 간 긴밀한 공조 방안을 비롯해 경제 통상 실질 협력과 기후 변화, 코로나19 도전 과제 대응 협력을 심도 있게 논의할 것”이라고 덧붙였다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  /윤경환 기자 ykh22@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
68,서울경제,곽윤아,"백악관 '文 대통령, 다음달 21일 미국 방문'","viewer  문재인(왼쪽) 대통령과 조 바이든 미국 대통령./연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });문재인 대통령이 다음달 21일 미국을 방문해 조 바이든 미국 대통령을 만난다.29일(현지 시간) 젠 사키 백악관 대변인은 성명을 통해 “미국은 다음달 21일 문 대통령의 방문을 기다리고 있다”고 밝혔다. 이어 “문 대통령의 방문으로 양국의 철통같은(ironclad) 동맹관계와 우리 정부와 국민, 경제 사이의 깊은 유대가 부각될 것”이라며 “한미동맹을 더욱 강화하고 긴밀한 협력을 확대해 나가기를 기대한다”고 덧붙였다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  이번 한미정상회담은 두 정상 간의 첫 대면 회담이다. 문 대통령은 지난 2월 4일 바이든 대통령과 첫 통화를 했으며, 지난 22일에는 바이든 대통령이 주재하는 기후정상회의에 화상으로 참석한 바 있다./곽윤아 기자 ori@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
71,서울경제,곽윤아,[속보]백악관 '문재인 대통령 내달 21일 방미'<로이터>,"viewer  문재인 대통령과 조 바이든 미국 대통령./연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });/곽윤아 기자 ori@sedaily.com (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
89,서울경제,윤경환,文대통령 '이건희 미술품 특별관 설치하라' 지시,"viewer  문재인 대통령. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });문재인 대통령이 고(故) 이건희 삼성 회장이 기증한 미술품을 국민들이 감상할 수 있게 별도 전시실이나 특별관을 설치하라고 지시했다.29일 청와대 고위관계자에 따르면 문 대통령은 지난 28일 청와대 참모들과의 회의에서 이 회장의 미술품 기증과 관련해 “고인이 기증한 정신을 잘 살려서 국민들이 좋은 작품들을 감상할 수 있도록 별도의 전시실을 마련하거나 특별관을 설치하는 방안 등을 검토하라”고 주문했다. 문 대통령은 이 과정에서 이 회장의 결정에 고마움을 표시하는 한편, 작품 면면을 들여다 보며 놀라워하기도 했다는 후문이다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  앞서 이 회장의 유족들은 지난 28일 삼성전자를 통해 보도자료를 내고 “고 이건희 회장 소유의 고미술품과 세계적 서양화 작품, 국내 유명 작가의 근대미술 작품 등 총 1만1,000여 건, 2만3,000여 점의 미술품을 국립기관 등에 기증한다”고 발표했다. 이에 따라 국립중앙박물관은 6월부터, 국립현대미술관은 8월부터 기증 받은 미술품들을 일반에 공개할 예정이다.다만 정부는 기증 물량이 방대해 국립중앙박물관, 국립현대미술관 등의 수장고가 부족한 실정이라 별도 미술관 신설 등을 검토할 방침이다. 주요 후보지로는 서울 송현동 옛 미국 대사관 직원 숙소 터와 용산 국립중앙박물관 인근이 거론된다. 이 회장이 기증한 미술품 중에는 겸재 정선의 ‘인왕제색도(국보 216호)’, ‘금동보살입상(국보 129호)’ 등 국보 14건, 보물 46건 등이 포함됐다./윤경환 기자 ykh22@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
