,Unnamed: 0,date,title,press,reporter,content
8,8,2021.05.03 17:32,문 대통령 “백신생산 허브 되기 위해 전폭적으로 기업 지원”,경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 3일 “백신생산 글로벌 허브가 되기 위한 입지·규제 완화와 세제 혜택 등 전폭적인 기업 지원을 아끼지 말라”고 말했다.문 대통령은 이날 청와대에서 주재한 제2차 특별방역점검회의에서 정은경 질병관리청장, 전해철 행정안전부 장관, 권덕철 보건복지부 장관으로부터 안건보고를 받은 후 이같이 말했다고 박경미 청와대 대변인이 서면브리핑을 통해 전했다. 오는 21일 미국 워싱턴에서 열리는 한·미정상회담에서 아시아 백신생산 허브로 한국을 지정하는 방안이 논의될 수 있다는 관측이 나오는 가운데, 이를 성사시키기 위한 정부 차원의 지원을 주문한 것으로 해석된다.이어 문 대통령은 “방역에 만전을 다함과 동시에 백신 물량 확보와 접종 속도를 내기 위해 모든 역량을 기울여 달라”면서 “올 여름휴가가 중요한 고비가 될 수 있고, 내년에 3차 접종이 필요한 상황이 올 수 있는 점을 감안할 때 충분한 백신 확보가 무엇보다 중요하다”고 강조했다.아울러 “국산 백신 개발을 위해 지금까지와 차원이 다른 과감이 지원이 필요하다”며 “경제도, 민생도 방역과 백신의 기반 위에 있는 만큼 그 어떤 정책적 과제보다 방역과 백신을 최우선 순위에 놓고 국가적 총력을 기울여야 한다“고 강조했다."
9,9,2021.05.03 16:22,"[속보]문 대통령, 검찰총장 후보에 김오수 전 차관 지명",경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 3일 신임 검찰총장 후보자에 김오수 전 법무부 차관(58)을 지명했다. 지난 3월 초 윤석열 전 검찰총장이 물러난 지 두달 만이다.청와대 박경미 대변인은 이날 브리핑에서 “문 대통령이 박범계 법무부 장관의 제청에 따라 김 전 차관을 검찰총장 후보로 지명했다”고 밝혔다.박 장관은 이날 오후 문 대통령을 직접 만나 김 전 차관을 제청했다고 청와대는 설명했다.김 전 차관은 전남 영광 출신으로 서울대 법학과를 졸업했다. 사법연수원 20기인 김 후보자는 서울중앙지검 특수1부장, 대검찰청 과학수사부장, 서울북부지검장, 법무연수원장, 법무부 차관 등을 지냈다.특히 문재인 정부 출범 후 법무부 차관으로 발탁돼 지난해까지 재직하며 박상기·조국·추미애 전 장관과 호흡을 맞춘 친정부 인사로 분류된다. 윤 전 총장(사법연수원 23기)보다 3기수 선배다.박 대변인은 김 후보자에 대해 “법무·검찰의 주요 보직을 두루 거치며 풍부한 경험을 쌓았고, 법과 원칙에 따라 주요 사건을 엄정 처리해왔다”며 “아울러 국민의 인권 보호와 검찰 개혁에도 앞장 서왔다”고 인선 배경을 설명했다.이어 “김 후보자가 적극적인 소통으로 검찰 조직을 안정화시키는 한편 국민이 바라는 검찰로 거듭 날 수 있도록 검찰개혁이라는 시대적 소임을 다해줄 것을 기대한다”고 덧붙였다."
11,11,2021.05.03 15:08,문 대통령 “백신 도입·접종 원활…상반기 목표 1300만명으로 높일수도”,경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 3일 “지금처럼 시기별 백신 도입 물량을 최대한 효과적으로 활용한다면 상반기 1200만명 접종 목표를 1300만명으로 상향할 수 있을 것이라는 보고도 받았다”며 “11월 집단면역 달성 목표도 계획보다 앞당길 수 있도록 총력을 다해주기 바란다”고 말했다.문 대통령은 이날 청와대에서 주재한 제2차 특별방역점검회의에서 “백신 도입과 접종은 당초의 계획 이상으로 원활하게 진행되고 있다”면서 이같이 밝혔다. 백신 1차 접종이 잇달아 지연되면서 ‘5월 백신 보릿고개’ 현실화에 대한 우려가 높아지는 점을 불식시키기 위한 발언으로 해석된다. 일시적인 수급 불균형에 대한 우려에도 불구하고 상반기 1200만명 접종→11월 집단면역 형성이란 백신 접종의 큰 스케줄은 여유있게 달성할 수 있다는 취지다.문 대통령은 “우리나라 인구 두 배 분량의 백신을 이미 확보했고, 4월 말까지 300만명 접종 목표를 10% 이상 초과 달성하는 등 접종도 속도를 내고 있다”면서 “5월에도 화이자 백신은 주 단위로 국내에 안정적으로 공급될 것이며, 아스트라제네카 백신은 당초 계획보다 더 많은 물량이 앞당겨 들어온다”고 강조했다.그러면서 “정부는 치밀한 계획에 따라 백신별 도입 물량을 1차 접종과 2차 접종으로 가장 효과적으로 배분하고 있다”며 “국민들께서 불안감을 가지지 않도록 백신에 대한 정보를 투명하게 알리고, 잘못된 정보가 유통되고 있는 것에 대해선 바로잡는 노력을 강화해주기 바란다”고 당부했다. 백신과 관련한 부정확한 정보가 확산되는 것을 경계하는 한편, 백신 수급 및 접종을 둘러싼 일부 언론 보도에 대해서도 우회적으로 불만을 표출한 것으로 풀이된다.문 대통령은 또 “대규모 백신 접종을 위한 인프라 구축도 신속하게 진행되고 있다. 전국에 257개의 예방접종센터가 설치됐고, 이달부터는 1만4000개의 민간위탁기관도 순차적으로 개소한다”며 “일선 보건소와 지자체가 백신 접종 업무부담 때문에 역학조사나 선별진료소 운영 등의 방역 활동에 어려움을 겪지 않도록 조직과 인력 증원 등의 지원책을 신속히 강구하고, 우수한 민간 의료자원을 백신 접종에 최대한 활용해 주기 바란다”고 말했다.이와 함께 “백신 확보를 위한 전 세계적인 무한경쟁 속에서 백신 주권 확보는 무엇보다 중요한 과제”라며 “개발비용의 부담이 매우 크기 때문에 성공 가능성이 높은 국산 제품들에 집중하여 과감하게 지원하는 등 내년에는 우리 기업이 개발한 국산 백신을 사용할 수 있도록 총력을 다해 주기 바란다”고도 했다.이어 문 대통령은 “우리나라는 백신 생산의 글로벌 허브가 될 수 있는 나라로 주목받고 있다. 세계 2위의 바이오의약품 생산능력을 보유한 국가이며, 현재 해외에서 개발된 코로나 백신 세 개 제품이 국내에서 위탁 또는 기술이전 방식으로 생산되고 있다”면서 “한국이 백신 생산의 최적지로서 글로벌 허브 국가가 된다면 국내 공급은 물론 아시아 등 전 세계 백신 공급지로서 크게 기여하게 될 것이다. 그 목표를 위해 민·관이 적극 협력하면서 필요한 행정적·외교적 지원을 다해주기 바란다”고 강조했다."
12,12,2021.05.03 14:06,"문 대통령, 송영길에 당부 “부동산·백신 해결이 최우선···당청 호흡 맞춰야”",경향신문,김상범 기자 ksb1231@kyunghyang.com,문재인 대통령은 3일 송영길 더불어민주당 신임 당대표에게 “부동산과 백신 문제 해결이 최우선 과제”라며 “당청이 호흡을 잘 맞춰 해결해 나가 달라”라고 당부했다.문 대통령은 이날 오전 송 신임 대표와의 당선 축하 통화에서 “송 대표를 중심으로 ‘원 팀’을 만드는 것이 중요하다”라며 이같이 말했다고 이용빈 민주당 대변인이 브리핑을 통해 밝혔다.문 대통령은 “송 대표가 화합적이니 잘 해 주실 것이라고 믿는다. 당원들도 그 점을 높이 평가해 (송 대표를) 지지한 것으로 안다”라며 “당정청이 함께 변화되는 모습을 보여줘야 한다. 송 대표가 앞장서 달라”라고 강조했다.그러면서 문 대통령은 “송 대표 이야기대로 부동산과 백신 문제 해결이 최우선 과제다. 당청이 호흡을 잘 맞춰 해결해 나가 달라”라며 “조만간 다시 만나 더 많은 대화를 나누길 바란다”라고 덧붙였다.송 신임 대표는 문 대통령에게 “(문재인 대선캠프)총괄선대본부장으로서 문재인 정부를 출범시킨 처음 그 자세 그대로 문재인 정부를 끝까지 성공시키겠다”라고 말했다.
23,23,2021.05.03 08:45,문 대통령·민주당 지지율 또 최저치···‘문자폭탄’ 영향?,경향신문,박홍두 기자 phd@kyunghyang.com,"문재인 대통령과 여당인 더불어민주당의 지지율이 또다시 최저치를 기록했다는 여론조사 결과가 3일 나왔다. 백신 수급·접종 문제부터 여당 내 강성 지지층의 ‘문자메시지 폭탄’ 등까지 다양한 하락 요인이 작용한 것으로 분석된다.3일 리얼미터가 YTN 의뢰로 지난달 26~30일 진행한 2523명 대상 조사 결과 문 대통령의 국정수행 지지율(긍정평가)은 33.0%였다. 지난주보다 0.8%포인트 하락한 것으로, 리얼미터의 주간집계 조사 중 최저치이던 4월 첫째주의 33.4%보다도 0.4%포인트 떨어진 것이다.부정평가는 역대 최고치를 기록했던 전주보다 0.3%포인트 내려간 62.6%로 집계됐다.연령대별로 보면 긍정평가는 20대(26.9%), 60대(26.2%), 70대 이상(27.9%)에서 20%대를 나타냈다. 상대적으로 여권 지지층이 강했던 40대에서는 40.9%, 30대는 40.2%를 기록했다. 이는 각각 8.0%포인트와 2.2%포인트 하락한 것이다.리얼미터는 문 대통령의 취임 4년간 평균 국정수행 평가는 긍정평가 55.0%, 부정평가 40.1%로 나타났다고 밝혔다. 이는 전직 대통령인 박근혜씨의 취임 4년 평균(긍정평가 49.4%, 부정평가 43.1%)과 이명박씨의 취임 4년 평균(긍정평가 36.0%, 부정평가 53.2%)와 비교하면 긍정은 높고 부정은 낮은 편이었다.민주당 지지율은 문재인 정부 출범 이후 최저치를 찍었다.민주당은 지난주에 비해 2.9%포인트 떨어진 27.8%를 기록했다. 국민의힘은 0.7%포인트 오른 37.3%였다.민주당 지지율은 연령대별로는 20대와 40대에서 낙폭이 컸다. 지역별로는 부산·울산·경남과 인천·경기에서 많이 떨어졌다.그 밖에는 국민의당 7.8%, 열린민주당 5.3%, 정의당 3.7% 등이 뒤를 이었다.이번 조사의 표본오차는 95% 신뢰수준에서 ±2.0%포인트다. 자세한 내용은 리얼미터나 중앙선거여론조사심의위원회의 홈페이지를 참조하면 된다."
48,48,2021.04.30 20:36,"문 대통령 국정지지율, 30% 무너졌다",경향신문,이주영 기자 young78@kyunghyang.com,"‘긍정 29%’ 취임 이후 처음부동산정책 혼선 등 영향문재인 대통령의 국정수행 지지도가 취임 후 처음 30% 밑으로 떨어졌다. 4·7 재·보궐 선거 참패 후 이어진 정부·여당의 부동산정책 혼선, 코로나19 백신 수급 논란, 여권의 미흡한 쇄신 움직임 등이 영향을 미친 것으로 분석된다.한국갤럽이 지난 27~29일 전국 만 18세 이상 남녀 1000명을 대상으로 조사한 결과 ‘문 대통령이 대통령으로서 직무를 잘 수행하고 있다고 보는가’라는 물음에 응답자의 29%가 긍정적으로 평가했다. 지난주보다 2%포인트 하락한 수치다.문 대통령의 지지율은 지난 3월 1주차 조사 당시 40%를 기록한 후 계속 떨어지고 있다. 문 대통령이 ‘잘 못하고 있다’고 응답한 사람은 지난주와 같은 60%였다.부정평가 이유로는 ‘부동산정책’이 28%로 가장 많이 꼽혔다. 한국토지주택공사(LH) 직원의 땅 투기 의혹, 여권 인사들의 부동산 ‘내로남불’ 이후 문 대통령이 거듭 ‘적폐청산’ 의지를 밝혔음에도 부동산 문제가 여전히 발목을 잡고 있는 것이다. 재·보선 후 보유세, 대출 규제 등을 놓고 오락가락해온 정부·여당의 정책 혼선도 영향을 준 것으로 분석된다.이어 ‘코로나19 대처 미흡’(17%), ‘경제·민생 문제 해결 부족’(9%), ‘인사 문제’(5%) 등이 지적됐다. 최근 화이자 백신 추가 구매 발표가 있었음에도 백신 안전성 논란이 이어지고, 이스라엘·미국 등 타국의 일상 복귀 소식이 전해지면서 민심의 상대적 박탈감이 커졌다는 분석이 제기된다.연령별로 보면 20대부터 60대 이상까지 전 연령층에서 긍정보다 부정 평가율이 높았다. 특히 20대에서 긍정평가는 21%에 그쳤다. 재·보선에서 확인된 20대 청년층의 민심 이반 흐름이 그대로 이어지고 있는 것이다.청와대는 당혹해하면서도 묵묵히 국정에 전념하는 것 외에는 지지율을 끌어올릴 만한 뾰족한 방법이 없다는 분위기다. 한 청와대 관계자는 “코로나19로 정상외교가 사실상 멈추면서 지난해부터 쏟아진 국내 악재들을 대통령이 모두 직접 맞은 측면이 없지 않다”며 “백신 접종이 계획대로 이뤄지고 경제 회복이 가시화되면 좀 나아지지 않을까 싶다”고 말했다.이번 조사의 포본오차는 95% 신뢰수준에 ±3.1%포인트다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다."
49,49,2021.04.30 20:36,"21일 첫 대면 문 대통령·바이든, 북·미 대화 이끌어낼지 주목",경향신문,이주영 기자 young78@kyunghyang.com,"미 정부, 대북정책 검토 막바지…문 정부의 한반도 구상 ‘분수령’청 “조기 개최로 한·미 동맹 굳건함 확인” 백악관 “긴밀한 협력”백신·반도체 협력, 한·일관계 논의…쿼드 참여 문제 거론 가능성문재인 대통령과 조 바이든 미국 대통령 간 첫 대면 정상회의 날짜가 5월21일로 확정됐다. 바이든 대통령 취임 후 처음 열리는 한·미 정상회담에선 북핵 문제를 비롯해 코로나19 백신 협력, 반도체 이슈, 한·일관계 등이 두루 논의될 것으로 예상된다. 특히 바이든 정부의 대북정책 검토가 막바지에 접어든 가운데 문 대통령이 바이든 대통령으로부터 북한과의 대화 재개와 관련한 긍정적 입장을 끌어낼 수 있을지 주목된다.정만호 청와대 국민소통수석은 30일 브리핑에서 “코로나19로 어려운 상황에서도 대면 정상회담이 조기 개최되는 것은 한·미 동맹의 중요성을 잘 보여주는 것”이라며 “양 정상은 한·미 동맹의 굳건함을 재확인하고 포괄적·호혜적 협력관계를 확대 발전시켜 나갈 것”이라고 밝혔다. 젠 사키 백악관 대변인도 성명에서 “바이든 대통령은 문 대통령과 동맹을 더욱 강화하고 긴밀한 협력을 확대하기 위해 함께하길 고대한다”며 “문 대통령의 방문은 양국 간 철통같은 동맹과 정부·국민·경제의 광범위하고 깊은 유대를 부각할 것”이라고 말했다.회담에서 두 정상은 한반도 비핵화 및 항구적 평화정착 진전을 위한 공조 방안, 경제·통상 분야 협력 방안, 기후변화와 코로나19 등 글로벌 도전과제에 대한 대응 방안을 논의할 예정이다.문 대통령은 멈춰 있는 북·미 대화를 재개하기 위해 바이든 대통령에게 북한의 비핵화 의지를 설명하고 북·미 싱가포르 공동선언을 토대로 실질적 진전을 이뤄야 한다는 점을 강조할 것으로 예상된다. 문 대통령은 지난 27일 “한·미 정상회담이 한·미 동맹을 더욱 굳건하게 다지는 한편 대북정책을 긴밀히 조율하고 발전적으로 나아갈 방향을 정립하는 계기가 되길 기대한다”고 말했다. 다만 인권·자유의 가치를 중시하는 바이든 대통령이 북한 인권 문제를 제기할 가능성도 있다.백신 스와프(미국으로부터 백신을 우선 지원받고 나중에 갚는 방식)를 비롯한 백신 도입 문제도 논의될 것으로 보인다. 일각에선 아시아 백신 생산 허브로 한국을 지정하는 방안이 논의될 수 있다는 관측도 제기된다. 한 청와대 관계자는 “글로벌 제약사들 입장에선 아시아 백신기지 구축 필요성을 느낄 것”이라며 “국내 상황이 안정적이고 정부 차원의 지원이 지속 가능한 한국을 좋은 후보지 중 하나로 생각할 수 있을 것”이라고 언급했다.한국의 쿼드 참여 문제가 의제에 포함될지도 주목된다. 쿼드는 중국 견제를 위한 미국·일본·호주·인도 4개국 협의체로, 미국은 이를 확대한 ‘쿼드 플러스’에 한국이 참여하길 원하고 있다. 토니 블링컨 미 국무장관은 지난달 방한 당시 “(한국과) 쿼드와 관련해서도 협조할 수 있는 방법을 찾을 수 있을 것”이라고 말한 바 있다. 정부는 중국을 의식해 원론적 입장을 유지하고 있다. 청와대 고위 관계자는 “쿼드와 관련해 정상회담 의제로 정해졌다는 것은 전혀 사실이 아니다”라면서 “양국 간에 의제에 대해 현재 논의 중이며, 개방성·포용성·투명성 등 우리의 협력 원칙에 부합하고 국익과 지역, 글로벌 평화·협력·번영에 기여한다면 어떠한 협의체와도 협력이 가능하다는 입장을 견지해오고 있다”고 말했다."
58,58,2021.04.30 14:57,문 대통령 “이해충돌방지법 통과 환영…공직부패의 싹 원천 차단”,경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 30일 공직자가 직무를 이용해 사적 이득을 취하는 것을 막는 이해충돌방지법이 지난 29일 국회를 통과한 데 대해 “청렴한 공직사회로 가는 제도적 틀이 구축됐다”며 환영의 뜻을 밝혔다.문 대통령은 이날 사회관계망서비스(SNS)에 글을 올려 “이 법이 시행되면 공직자의 부정한 부동산 투기는 물론 사적 이해관계를 활용한 거래나 계약 체결, 불공정 채용 등 공직부패의 싹을 원천적으로 차단하는 데 큰 역할을 하게 될 것”이라고 이같이 말했다.문 대통령은 “‘부정청탁금지법’이 공직자의 금품과 향응 수수를 금지하는 사후적 통제 장치라면, ‘이해충돌방지법’은 공직자의 직위와 정보를 이용한 사적 이익 추구를 미연에 방지하여 공직부패를 사전에 차단하기 위한 강력한 예방 장치”라며 “이로써 공직부패의 사후 통제와 사전 예방의 제도적 장치가 모두 마련되었다는 점에서 매우 큰 의미가 있다”고 평가했다.이어 “이해충돌방지법은 발의와 폐기를 거듭하며 국회의 문턱을 넘기가 쉽지 않았다”며 “우리 정부는 20대와 21대 국회에 정부안을 연속 제출하는 등 지속적인 노력을 기울여 왔다”고 했다. 그러면서 “이번에 결실을 맺게 된 데는 최근 국민적 공분을 일으킨 LH 사태가 강력한 입법 동력이 되었다”며 “‘다시는 이런 일이 반복돼서는 안 된다’는 반성과 개혁 의지가 뜻깊은 입법 성과를 이루는 힘이 된 것”이라고 강조했다.문 대통령은 “공직사회의 청렴 수준을 한 단계 더 높이고 우리 사회 전체의 투명성과 공정성을 강화하는 계기가 되리라 믿는다”면서 “공직자 모두가 공직윤리를 되새기며 새로운 각오로 출발하는 계기가 되도록 정부가 더욱 노력하겠다”고 다짐했다."
63,63,2021.04.30 10:37,문 대통령 국정지지율 30%선 붕괴…취임 후 최저치,경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령의 국정수행 지지도가 취임 후 처음으로 30% 아래로 떨어졌다. 부동산 정책 혼선, 코로나19 백신 수급 논란 등이 영향을 미친 것으로 분석된다.한국갤럽이 지난 27~29일 전국 만 18세 이상 남녀 1000명을 대상으로 조사한 결과 ‘문 대통령이 대통령으로서 직무를 잘 수행하고 있다고 보는가’라는 물음에 응답자의 29%가 긍정적으로 평가했다. 전주보다 2%포인트 하락한 수치다.문 대통령의 지지율은 지난 3월 1주차 조사(40%) 후 하락세를 지속했다. 문 대통령이 ‘잘못하고 있다’고 응답한 사람은 전주와 같은 60%를 기록했다.직무수행 부정평가 이유로는 ‘부동산 정책’이 28%로 가장 높았다. 재보궐 선거 참패 후 보유세, 대출 규제 등을 놓고 오락가락해온 정부·여당의 정책 혼선이 영향을 미친 것으로 분석된다. 이어 ‘코로나19 대처 미흡’(17%), ‘경제·민생 문제 해결 부족’(9%) 등의 순이었다.지역별로는 서울에서 ‘잘하고 있다’는 평가가 29%였고, ‘잘못하고 있다’는 61%로 나타났다.또 20대부터 60대까지 전체 연령대에서 긍정보다 부정 평가율이 높았다. 특히 20대에서 ‘잘하고 있다’가 21%로 평균보다 두드러지게 낮은 수치를 보였다.정당 지지도는 민주당이 전주보다 1%포인트 오른 33%, 국민의힘은 전주와 동일한 28%로 나타났다. 정의당과 국민의당이 각각 4%, 열린민주당 2%였다.이번 조사의 오차범위는 95% 신뢰수준에 ±3.1%포인트다. 자세한 내용은 한국갤럽 홈페이지나 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다."
64,64,2021.04.30 09:47,"문 대통령, AZ백신 주사 놓은 간호사에 “고생 많이 하셨다”",경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령이 30일 오전 서울 종로구 보건소에서 아스트라제네카(AZ) 백신 2차 접종을 받았다. 지난달 23일 1차 접종을 한 지 38일 만이다.문 대통령은 오는 6월 영국에서 열리는 주요 7개국(G7) 정상회의 참석 일정을 고려해 지난달 ‘필수목적 출국을 위한 예방접종 절차’에 따라 1차 접종을 받았다. 아스트라제네카 백신의 1·2차 접종 간격(12주)을 고려해 5월 중순 2차 접종에 나설 예정이었다.그러나 이후 한·미 정상회담 개최가 조율되고 5월 중 미국을 방문하는 일정이 구체화하면서 2차 접종 시기를 앞당겼다고 청와대는 설명했다. 질병관리청은 긴급 해외출국자에 한해 4주 간격으로 1·2차 접종을 하는 것도 허용하고 있다. 1차 접종을 함께 받았던 김정숙 여사와 대통령비서실 직원 등 8명이 동행해 함께 2차 접종을 받았다.이날 접종에는 지난달 문 대통령의 1차 접종을 담당했던 간호사가 2차 접종을 다시 맡았다. 이 간호사는 지난달 문 대통령에게 1차 접종을 한 후 일부 네티즌들로부터 ‘백신 바꿔치기’ 의혹과 협박에 시달렸고, 경찰이 허위사실 유포 관련 수사에 착수했다.문 대통령은 이 간호사에게 “(우리는) 고생하지 않았는데, 주사를 놓아준 우리 간호사 선생님이 오히려 고생을 많이 하셨다”고 위로했다. 김정숙 여사도 “정말 고생이 많았죠”라고 했다. 이에 이 간호사는 “네 마음고생이 조금 있었습니다”라고 답했다."
