,date,title,reporter,content,press
2,2021.03.25,[강인선·배성규의 모닝라이브] 박영선의 수성이냐 오세훈의 탈환이냐…막오른 서울시장 선거전 판세,강인선 부국장,"조선일보 데일리팟캐스트 ‘강인선·배성규의 모닝라이브’가 25일 더불어민주당 박영선 대 국민의힘 오세훈 후보 양자 대결 구도로 짜인 4·7 서울시장 보궐선거를 두고 이야기를 나눕니다.
오세훈 후보가 국민의당 안철수 대표와의 여론조사 경선에서 승리해 야권 단일후보로 결정되면서 사실상 박영선 후보와 양자 대결을 벌이게 됐습니다.
오 후보는 야권 후보 단일화 레이스가 유권자의 관심을 끌면서 여론 지지율 조사에서 상승세를 타고 있습니다. 민주당도 선거전 초반 박 후보의 열세를 인정하고 있습니다.
오 후보는 안 대표가 공동선대위원장을 맡는 등 단일화 여세를 몰아 서울시장직을 탈환하겠다고 벼르고 있지만, 박 후보는 이제 전선이 명확해진 만큼 남은 2주간 오 후보를 향한 거센 공세를 통해 전세를 뒤집겠다고 했습니다.
10년만에 서울시장직 탈환에 나선 오 후보와 최초의 여성 서울시장을 꿈꾸며 시장직 수성에 나선 박 후보의 열전(熱戰)이 어떻게 전개될지 두 후보의 장단점과 판세 분석을 통해 전망해봅니다.",조선일보
25,2021.03.23,"임종석의 박원순 예찬에, 박영선 “요즘 연락 안해” 꼬리자르기",안준용 기자,"박영선 더불어민주당 서울시장 후보는 23일 임종석 전 대통령 비서실장이 페이스북에 올린 고(故) 박원순 전 서울시장 관련 글에 대해 “최근에 연락한 적이 없어서 무슨 뜻으로 그런 이야기를 했는지 잘 모르겠다”고 말했다. 앞서 임 전 실장은 이날 “박원순은 정말 그렇게 몹쓸 사람이었나”라는 글을 올렸다.
박 후보는 이날 서울 목동 한국방송회관에서 열린 한국기자협회·방송기자연합회·한국PD연합회 공동 주최 토론회에서 ‘오늘 임 전 실장 글을 비롯해 민주당 주요 인사에게 박원순 관련 발언 자제를 요청할 생각이 없느냐’는 질문에 이같이 답했다.
박 후보는 “그분(임 전 실장)은 지금 당에 오지도 않고, 저는 그분이 비서실장을 그만두고 나서 전화를 한 적도 없다”며 “(박 전 시장 관련해선) 상식, 집단지성이 발휘될 것”이라고 했다.
이에 정치권에선 “박 후보가 직접 박원순 성추행 피해자에게 사과하면서 사태 수습에 안간힘을 쓰고 있는데, 임 전 실장 글로 다시 2차 가해 등에 관한 비판 여론이 일면서 불쾌감을 표한 것 아니냐”는 해석이 나왔다.
박 후보는 이날 “피해 여성에게 진심으로 사과하고 용서받고 싶다는 입장은 변함없다”면서 “민주당의 서울시장 후보로서 저는 선장이기 때문에 제게 주어진 모든 일을 제가 짊어지고 제가 해결해야 할 일이라고 생각했다”고 했다.
또 피해자를 ‘피해 호소인’이라 불렀던 고민정 의원이 캠프에서 사퇴한 것과 관련해선 “고 의원이 사과하려고 했던 시점과 피해 여성이 호소한 시점이 굉장히 비슷했고, 고 의원의 진심이 전달되지 않았다는 생각에 마음이 아팠다”고 했다.
앞서 임 전 실장은 이날 오전 페이스북에서 박 전 시장을 언급하며 “박원순은 정말 그렇게 몹쓸 사람이었나”라며 “박원순은 내가 아는 가장 청렴한 공직자였다” “미래 가치와 생활 이슈에 가장 민감하고 진취적인 사람이었다”고 했다. 또 “호텔 밥 먹지 않고 날 선 양복 한 번 입지 않고 업무추진비를 반 이상 남기는 쪼잔한 공직자였다” “그의 열정까지 매장되진 않았으면 한다”고 했다.
이에 SNS(소셜미디어)에선 “대통령 비서실장까지 했다는 이가 엉뚱하게 ‘쪼잔한 공직자’, ‘열정’을 운운하며 2차 가해에 나섰다” 등의 비판 글이 이어졌다.
임 전 실장은 2014년 박원순 시장 후보 캠프 총괄본부장을 거쳐 2014~2015년 서울시 정무부시장으로 박 전 시장을 보좌했다.",조선일보
41,2021.03.25,오세훈 55% vs 박영선 36%… 20대 60%가 “吳 지지”,노석조 기자,"서울시장 야권후보 단일화 이후 실시된 첫 여론조사에서 국민의힘 오세훈 후보가 더불어민주당 박영선 후보를 20%포인트 가까이 앞선다는 결과가 25일 나왔다.
특히 60세 이상 및 노인층을 제외하고 20대의 오 후보 지지율이 가장 높게 나와 눈길을 끈다.
리얼미터가 오마이뉴스 의뢰로 단일화 성사 다음 날인 24일 서울 거주 18세 이상 806명에게 어느 후보에게 투표할 것인지를 물은 결과 응답자의 55.0%가 오 후보라고 답했다. 응답자 36.5%는 박 후보라고 대답했다.
두 후보 간 격차는 18.5%포인트이다. 오차범위(95% 신뢰수준에 ±3.5%포인트)를 크게 벗어났다.
연령별로 보면 오 후보가 20대(만 18~29세)에서 큰 격차로 우위를 보였다. 20대에서 오 후보는 60.1%, 박 후보는 21.1%로 나타났다. 3배 가까운 차이가 난 것이다.
20대의 박 후보 지지율(21.1%)은 야당 지지 성향이 강한 60세 이상 및 노인층(26.7%)보다도 낮았다.
전 연령대에서는 유일하게 40대가 박 후보(57.9%)에게 더 많은 지지를 보냈다.

오 후보의 40대 지지율은 34.7%에 그쳤다.1980년대 민주화운동을 주도한 50대에서는 오 후보가 47.1%, 박 후보가 45.2%로 접전 양상을 나타냈다. 거주 지역을 기준으로 보면 오 후보가 서북권(53.1%), 동북권(49.4%), 강서권(56.6%), 강남권(62.8%) 등 모든 지역에서 박 후보를 앞섰다.
이번 선거에 반드시 투표하겠다는 적극 투표층에서는 오 후보 57.9%, 박 후보 36.4%의 지지율을 보였다.
투표 의향 조사에서는 투표할 것이라는 응답이 95.5%였다.
반드시 투표하겠다는 응답이 82.0%, 가능하면 투표할 것이라는 응답이 13.5%였다.
정당 지지도는 국민의힘이 37.7%, 민주당이 30.1%, 국민의당이 9.1%, 정의당은 5.0%, 열린민주당은 3.7%였다.
문재인 대통령의 국정수행을 어떻게 평가하느냐는 질문에는 긍정 평가가 35.0%, 부정 평가가 61.3%로 나타났다.
자세한 여론조사 내용은 리얼미터나 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다.",조선일보
47,2021.04.02,김상조·박주민 논란에 박영선 “안 했어야 되는 일”,김승재 기자,"더불어민주당 박영선 서울시장 후보가 2일 여권 인사들의 전세 계약금 인상 문제에 대해 “아프게 받아들이고 있다”며 “그렇게 안 했어야 되는 일이라고 생각한다”고 했다.
박 후보는 이날 MBC라디오에서 ‘김상조 전 청와대 정책실장과 민주당 소속 일부 의원들의 전세 계약 문제’에 대해 묻자 이같이 답했다.
이어 “공직자라는 것이 얼마만큼 자기 관리가 힘든지에 대해서 그것을 보고 한 번 더 생각하게 됐다”며 “저희가 좀 더 성찰하고 반성하고 또 두 배로 잘해야 되겠구나 생각을 했다”고 말했다.
윤석열 전 검찰총장이 이날 사전투표를 한다는 예고에 대해선 “일종의 정치적 행동을 시작했다고 본다”고 했다. 박 후보는 “그리고 검찰 내부에서도 공직자가 그러면 정치할 것을 염두에 두고 그동안 행동을 했었느냐에 대한 비판이 있지 않을까 생각한다”고 했다.
‘윤 전 총장이 정치하는 것으로 판단한다는 말씀이냐’는 질문엔 “사전투표해야지만 그 일정을 기자들에게 알린다는 것 자체는 정치적 행동을 시작하는 것으로 해석한다”고 답했다.
국민의힘 오세훈 후보와 여론조사 지지율 격차가 더 벌어진 것과 관련, “벌어진 것도 있고 좁혀진 것도 있다”며 “그런데 저는 따박따박 올라가고 있다고 생각한다”고 했다.",조선일보
59,2021.03.24,"오세훈 48%, 박영선 29%... 吳, 서울 전지역서 앞섰다",김동하 기자,"서울시장 후보 지지율 조사에서 국민의힘 오세훈 후보가 48.9%로 더불어민주당 박영선 후보(29.2%)를 20%포인트 가까이 앞서는 것으로 24일 집계됐다.
리얼미터가 YTN과 TBS 의뢰로 지난 22∼23일 서울 거주 18세 이상 1042명에게 ‘서울시장 선거에서 후보단일화로 다음 후보들이 출마한다면 누구에게 투표할 것인지’를 물은 결과다. 두 후보간 격차는 19.7%포인트로, 오차범위(95% 신뢰수준에 ±3.0%포인트) 밖이다.
다만 이 조사는 오 후보와 국민의당 안철수 후보 간 야권 단일화 조사가 시작된 22일부터 단일화 발표 당일인 23일에 걸쳐 이뤄져 ‘단일화 결과’가 완전히 반영되지는 않았다.
오 후보는 국민의힘 지지층(93.3%), 보수층(76.0%), 60세 이상(70.2%), 가정주부(62.8%) 등에서 상대적으로 높은 지지를 받았다. 박 후보는 민주당 지지층(88.9%), 진보층(59.5%), 40대(53.5%)에서 비교적 높았다.
거주 지역을 기준으로 보면 오 후보가 강북서권(45.8%), 강북동권(50.1%), 강남서권(46.5%), 강남동권(53.1%) 등 모든 지역에서 박 후보를 앞섰다. 이번 선거에 반드시 투표하겠다는 적극 투표층에서는 오 후보 52.5%, 박 후보 29.6%의 지지율을 보였다.
정당 지지도는 국민의힘 32.7%, 민주당 23.5%였다. 이어 국민의당 13.4%, 정의당 3.5%, 열린민주당 3.1% 등이었다.
이번 재보궐선거의 의미로는 ‘정부여당 심판’이 59.2%, ‘안정적 국정 운영’이 32.9%였다. 차기 서울시장의 중점 현안으로는 ‘부동산시장 안정’을 꼽은 응답자가 41.8%로 가장 많았다. 이어 ‘민생경제 활성화 및 일자리 창출’ 27.4%, ‘강북·강남간 균형발전’ 7.8% 등이었다.
자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다.",조선일보
64,2021.03.31,"박영선·오세훈 다 때린 미친 존재감, 민생당 이수봉이 누구야?",김은중 기자,"4·7 서울시장 보궐선거에서 ‘제3후보’ 민생당 이수봉 후보가 의외의 주목을 받고 있다. 30일 서울시장 TV토론에서 더불어민주당 박영선 후보, 국민의힘 오세훈 후보 모두에게 공세를 펼치며 존재감을 보였다는 평가다.
이 후보는 이날 기조연설에서 박 후보를 향해 “민주당 박원순 시장 때문에 이 보선이 만들어졌다”며 “이 선거 때문에 580억원이 날아갔다”고 꼬집었다. 또 오 후보를 향해서는 “자신이 범야권 단일 후보라고 하셨는데 선거법 위반이다. 후보님 말고도 야권에서 나온 후보가 10명이 넘는다”고 했다.
이날 이 후보가 중앙선거방송토론위원회 주최 토론회에 참여하게 된 것은 민생당의 전신인 바른미래당이 지난 2018년 서울시장 선거에서 19.55% 득표율(안철수 당시 후보)을 기록했기 때문이다. 공직선거법에 따르면 최근 4년 이내 해당 선거구에서 실시한 선거에서 10% 이상 득표한 후보나 정당은 선거위 토론회 초청 대상이다.
이 후보는 이날 박·오 후보의 정책에 대해서도 조목조목 문제 제기를 했다. 1인당 10만원 지급을 공약한 박영선 후보에게는 “매표 논란을 떠나 기본소득에 대한 이해가 부족한 것 같다” “LH 임직원에게도 기본소득으로 똑같이 줄 것인가”라고 했다. 또 오 후보에 대해선 내곡동 땅 문제 관련 “국민을 우습게 아는 것 같다. 땅값이 100배 가까이 올랐다”고 했다.
민생당은 박·오 두 후보에게만 스포트라이트가 집중되면서 토론회 직전 남궁헌 언론특보 명의로 “제3지대 민생당 후보의 사진이 빠지는 일이 없도록 기억해 주시길 간절히 부탁드린다”고도 했었다. 하지만 이 후보가 예상치 못한 주목을 받으며 캠프 분위기가 고무된 것으로 전해졌다. 토론 직후 소셜미디어(SNS)와 인터넷 커뮤니티에서는 이 후보를 두고 “저 사람 누구냐” “공약이 신선하다”는 긍정적인 반응이 나왔다.
이 후보는 민노총 대변인, 정책연구원장 출신으로 2013년 안철수 국민의당 대표의 국회의원시절 보좌관을 지냈다. 2016년 국민의당 후보로 인천 계양갑에 출마해 낙선했다.",조선일보
70,2021.03.22,"野“박영선 팔았다는 도쿄아파트, 명의 그대로”… 박“잔금 남아서”",주희연 기자,"박영선 더불어민주당 서울시장 후보가 지난달 처분했다고 밝힌 ‘일본 도쿄 아파트’가 서류상으로는 아직 박 후보 남편 명의로 돼 있는 것으로 22일 나타났다. 박 후보 측은 “잔금을 아직 치르지 못 했기 때문”이라고 설명했다.
박 후보는 지난 19일 선관위에 일본 도쿄 소재 아파트(71㎡)를 9억7300만원에 신고했다. 도쿄 미나토구 아카사카에 위치한 이 아파트는 박 후보 남편 명의로 돼 있다. 이를 두고 야당이 “서울시장이 아닌 도쿄시장에 출마하라”며 공격하자, 박 후보는 이틀 뒤인 21일 도쿄 아파트를 지난달 처분했다고 밝혔다. 박 후보는 페이스북에 “남편은 이명박 대통령 취임 후 2008년 회사에서 쫓겨나 일본에 가서 직장을 구했고, 그래서 아파트를 구입했다”며 “재산 신고에 아직 들어있는 것은 작년 12월 말 기준으로 재산 신고 했기 때문”이라고 했다.
하지만 해당 아파트는 아직 박 후보 남편 소유로 돼 있는 것으로 나타났다. 국민의힘이 22일 등기부등본을 통해 확인한 이 아파트의 소유자는 박 후보 남편인 이원조 변호사의 일본명인 ‘다니에루 원조 리(ダニエル・ウォンゾ・リー)’였다. 헤이세이(平成) 21년(서기 2009년) 6월 매매 거래 이후 소유권 변동이 없는 것으로 나타났다. 국민의힘 관계자는 “박 후보가 선거를 의식해 아직 처분이 되지 않은 아파트를 처분했다고 주장한 것 아니냐”며 “계약서를 당장 공개해야 한다”고 했다.
이에 대해 박 후보 캠프 측 관계자는 “부동산 매수인이 아직 잔금을 치르지 않아서 명의가 넘어가지 않은 것”이라며 “절차가 마무리되면 자연스럽게 명의도 변경이 된다”고 했다. “선거 때문에 아파트를 처분한 척 하는 꼼수 아니냐”는 야당의 의혹 제기에는 “이미 계약을 철회할 수 있는 시점을 지나 계약을 무를 수도 없다”고 했다.",조선일보
75,2021.03.31,"민경욱, TV 속 박영선 얼굴 가린 채 “수건으로 보이지만 걸레”",김은중 기자,"4·7 보궐선거를 앞두고 야당이 ‘막말 경계령’을 내린 가운데 민경욱 전 미래통합당 의원이 박영선 더불어민주당 후보의 얼굴을 가린 채 “수건으로 보이지만 걸레”라고 말해 논란이 확산하고 있다.
민 전 의원은 30일 페이스북에 오세훈 국민의힘 후보와 토론을 하는 박영선 후보의 TV 화면 얼굴에 ‘걸레’를 덮은 사진을 올렸다. 그는 “서울시장 후보 토론회를 시청하는 깨인 시민의 참 자세”라며 “수건으로 보이지만 걸레라니까 오해 없으시길 바란다”고 했다. 여기에는 “모자이크도 안 되고 짜증 났는데 좋은 팁” “앞으로는 이런 식으로 TV를 봐야 겠다”는 반응이 나왔다.
이를 두고 여권 지지자들은 “박영선을 걸레라고 한 것”이라며 강하게 반발하고 있다. 일부 인터넷 커뮤니티, 소셜미디어(SNS) 등엔 민 전 의원의 방식에 착안해 오 후보의 얼굴을 걸레로 덮은 사진들이 올라오기도 했다.
민 전 의원은 지난해 12월 인천 연수구을 당협위원장직이 박탈됐다. 현재는 4·15 부정선거국민투쟁본부 대표로, 지난해 4월 총선에서 ‘부정 선거’가 이루어졌다며 한국과 미국을 오가고 있다.
여야 지도부는 현재 ‘막말 경계령’을 내린 상태다. 선거 막판 막말로 결과가 뒤집힌 사례가 부지기수이기 때문이다. 야당은 지난해 4월 총선을 앞두고 “30대 중반에서 40대는 논리가 아니라 막연한 정서다”는 김대호 후보 발언이나 ‘세월호 텐트 막말’을 쏟아낸 차명진 후보 등의 실언(失言)이 이어지면서 참패했다.",조선일보
117,2021.04.03,"박영선도 혼자 투표했는데…김남국 “尹, 배우자 껄끄러웠나”",김형원 기자,"더불어민주당 김남국 의원이 윤석열 전 검찰총장이 배우자 없이 사전투표했다는 점을 지적했다. 하지만 김 의원이 이 같은 게시물을 올린 날, 같은 당 박영선 서울시장 후보도 배우자 없이 홀로 사전투표했던 것으로 나타났다. 반면 국민의힘 오세훈 후보는 3일 배우자와 함께 투표소를 찾았다. 결과적으로 김 의원이 같은 당 박영선 후보를 윤 전 총장과 동시에 ‘저격'한 것이라는 지적이 나왔다.
김 의원은 지난 2일 타인의 게시글을 인용, 윤 전 총장과 국민의힘 박형준 부산시장 후보가 사전투표하는 사진을 올렸다. 게시물은 “부인이 없는 홀아비도 아닌데, 부인과 같이 나오면 껄끄러운 뭔 사정이 있나?”라는 내용이었다. 그러면서 “윤석열씨는 아버지가 연로하셔서 아버지 사시는 동네에 가서 아버지 모시고 사전 투표한다더니 부인 없이 혼자 나왔네”면서 “부인과 같이 연로한 아버지 모시고 투표하러 나오면 보기에도 좋았을 텐데, 왜 혼자 나왔을까? 부인과 같이 나오는 게 싫어서 아버지 핑계를 댄 걸까?”라고도 했다.
전날 부친인 윤기중 연세대 명예교수와 함께 투표소를 찾은 데 대해 윤 전 총장은 “아버님께서 기력이 예전 같지 않으셔서 모시고 왔다”고 했다.
하지만 같은 날 민주당 박영선 후보도 배우자 없이 홀로 서울 종로구 투표소를 찾았다. 당초 남편과 사전투표소에 동행할 예정이었지만 직전에 변경됐다. 박 후보는 ‘배우자 분과 같이 투표하기로 한 것 아니냐’는 취재진 물음에 “처음에 그런 생각도 했지만 우리 남편이 오늘 유세가 동쪽에 잡혀 있다”며 “(남편은)그래서 그곳에 가서 아마 동대문에서 할 확률이 높다”고 했다.
김 의원이 페이스북 게시글이 윤 전 총장 뿐만 아니라 같은 당 박영선 후보까지 비판하는 듯한 모양새가 것이다. 대조적으로 국민의힘 오세훈 후보는 아내인 송현옥 세종대 교수와 사전투표했다.
국민의힘 선거대책위원회 측은 “김남국 의원이 박 후보와 달리 오세훈 후보 내외가 사전투표했다는 점을 홍보해줬다”는 반응이다. 국민의힘 선대위 조수진 대변인은 페이스북에 “고민정, 김남국…여러분 고맙습니다”라고 썼다.",조선일보
137,2021.03.28,"진심인가, 조바심인가...박영선 “文정부 부동산, 잘했다고 생각안해”",원선우 기자,"더불어민주당 박영선 서울시장 후보는 28일 “문재인 정부가 부동산 정책을 잘했다고 생각하지 않는다”고 말했다.
박 후보는 이날 연합뉴스 인터뷰에서 “내가 서울시장이 되면 부동산 정책과 관련해서는 확실히 달라지는 부분이 많이 있고, 다를 것”이라며 이같이 말했다.
박 후보는 최근 ’35층 일률 규제' 완화, 재개발·재건축 찬성 등 현 정부의 부동산 정책 기조와 다소 다른 목소리를 내고 있다.
지난 26일엔 ‘서울선언’을 통해 9억원 이하 아파트의 공시지가 인상률을 10% 이내로 조정하자고 제안했다.
박 후보는 “우리가 그동안 했던 정책, 발표했던 공약 중 미진했거나 개선할 부분이 있는지 성찰한 내용을 ‘서울 선언’에 담고 있다”며 “유권자들의 반응이 확실히 느껴진다”고 했다.
박 후보는 강남 부동산 가격 상승 우려에 대해선 “그런 시각이 있을 수 있다”면서도 “강북에 있는 30년 이상 된 공공주택단지부터 재개발·재건축할 것이다. 도시를 개발하는 데는 순서가 있어야 한다”고 했다.
박 후보는 이달 초엔 한 라디오 방송에 출연, 서울 부동산 가격 상승 원인에 대해 “코로나라는 예상치 못한 일이 생기면서 돈이 많이 풀렸다”며 “그래서 부동산 정책에 차질이 빚어졌다고 생각한다”고 했다.
그러면서 “세계 주요 도시들 부동산값이 대부분 하늘을 치솟듯이 상승하고 있다”며 “약간의 거품이 끼어 있는 것이라고 보고 있다”고 했다. “집값은 연착륙시켜야 한다”며 “집값이 폭락하면 경제에 엄청난 충격을 주기 때문”이라고 했다.
하지만 박 후보는 국회의원 시절이던 2018년 9월 대정부 질문에 참석, “지금 문재인 정부는 보수정부 9년 ‘빚내서 집사라'는 잘못된 정책의 뒷감당을 하고 있는 셈”이라고 했다. 재건축 규제 완화에 대해선 “(집값 상승에) 기름 붓는 격”이라고 했었다.",조선일보
