,Unnamed: 0,날짜,제목,언론사,기자,본문
522,522,2021.04.07 22:39,박영선 “시민 회초리 겸허하게 받아들인다”,경향신문,김상범 기자 ksb1231@kyunghyang.com,박영선 더불어민주당 서울시장 후보는 7일 오후 방송 3사 출구조사 결과를 확인한 뒤 “겸허한 마음으로 모든 것을 받아들일 것”이라고 말했다.박 후보는 이날 오후 서울 여의도 민주당 당사에서 나오며 취재진과 만나 “진심이 승리하기를 바라면서 끝까지 응원해 주셨던 시민 여러분들께는 무한한 감사의 말씀을 드린다”라며 “회초리를 들어 주신 시민들께는 겸허한 마음으로 모든 것을 받아들이면서 가야겠다고 생각한다”라고 말했다.박 후보는 선거 패배의 원인과 향후 계획 등을 묻는 질문에는 별다른 답변을 하지 않았다.박 후보는 당사에 마련된 선거상황실을 찾기 전에는 서울 종로구 안국빌딩에 있는 선거캠프를 방문해 실무자들에게 “수고들 많으셨다”라고 일일히 주먹인사를 나누기도 했다.앞서 이날 오후 발표된 4·7 재보궐선거 방송 3사 출구조사에서는 박 후보의 예상 득표율이 37.7%로 오세훈 국민의힘 후보의 59%에 비해 21.3%포인트 뒤쳐지는 것으로 나타났다.
525,525,2021.04.07 21:59,"[4·7 재보선]오세훈, 서울 25개구 전체에서 박영선에 득표율 앞서",경향신문,박순봉 기자 gabgu@kyunghyang.com,"민주당 강세 강북권도 오세훈이 앞서 등돌린 민심 뚜렷오, 출구조사 결과 40대를 제외한 모든 연령대에서 우세4·7 서울시장 보궐선거에서 오세훈 국민의힘 후보가 8일 오전 1시10분 기준(개표율 78.0%) 서울 25개구 전체에서 박영선 더불어민주당 후보보다 우세했다. 오 후보는 보수 강세 지역인 ‘강남3구’(강남·서초·송파)에선 2~3배 차이를 벌렸다. 오 후보는 출구조사에서 40대를 제외한 모든 연령대에서 박 후보보다 지지율이 높았다. 국민의힘 ‘신지지층’으로 불리는 20대 이하도 출구조사에서 오 후보에게 높은 지지를 보냈다. 민주당의 콘크리트 지지층으로 불리는 40대만이 유일하게 박 후보를 많이 지지했다.8일 오전 1시10분 기준 오 후보는 서울 25개구 전 지역을 석권했다. 특히 강남구에선 73.8%를 받았다. 24.1%를 얻은 박 후보보다 3배 이상을 득표한 것이다. 오 후보는 서초구에서도 70.5%로 27.4%를 얻은 박 후보를 압도했고, 송파구에서도 64.1%를 얻어 33.0%인 박 후보의 2배 가까이를 득표했다. 보수 지지세가 강한 지역인 데다 부동산 보유세와 재건축·재개발 규제 등 문재인 정부 부동산 정책에 대한 불만이 반영된 것으로 해석된다.오 후보가 앞섰지만 가장 근소한 차이를 보인 지역은 강북구와 관악구였다. 강북구에선 오 후보가 48.7%, 박 후보가 48.0%를 얻어 0.7%포인트 차이가 났다. 관악구에선 오 후보(49.1%)와 박 후보(46.5%)의 차이가 2.6%포인트였다.오 후보는 서울을 4개 권역으로 나눠 발표한 방송 3사의 출구조사 결과에서도 모든 권역에서 높은 지지를 얻었다. 민주당 지지세가 강한 은평·마포·서대문구와 혼전 지역인 종로·용산구 등 강북서권에서도 오 후보는 58.0%, 박 후보는 38.3%로 19.7%포인트 차이가 났다. 강서·양천·영등포·동작·구로·금천·관악구가 포함된 강남서권에서는 오 후보가 56.9%, 박 후보가 40.0%의 지지를 각각 얻었다.연령대별로도 오 후보의 지지는 압도적이었다. 오 후보는 40대에서만 48.3%를 얻어 박 후보(49.3%)에 1%포인트 뒤처졌다. 20대 이하, 30대, 50·60대, 70대 이상의 모든 연령대에서 오 후보 지지가 높았다. 가장 많은 차이를 보인 연령대는 70대 이상으로 오 후보가 74.2%, 박 후보가 25.2%로 3배 가까이 차이가 났다. 60대에서도 오 후보(69.7%)가 박 후보(29.1%)보다 40.6%포인트 높았다. 20대에서 오 후보는 55.3%, 박 후보는 34.1%의 지지를 얻었다. 보수정당의 전통적 지지층인 노년층을 비롯해 청년층마저 여권에 등을 돌리면서 오 후보가 앞선 것으로 해석된다.다만 20대 이하에선 성별로 오 후보와 박 후보 지지가 엇갈렸다. 20대 이하 남성은 오 후보에게 72.5%, 박 후보에게 22.2% 지지를 보냈다. ‘이남자’(20대 남성)의 여권 이탈 현상이 확인됐다. 20대 이하 여성은 박 후보 44.0%, 오 후보 40.9%로 오히려 민주당 지지가 높았다. 20대 이하 여성은 민주당과 국민의힘이 아닌 군소정당에 15.1%의 지지를 보내기도 했다."
526,526,2021.04.07 21:51,"[4·7 재보선]박영선, 두 시간여 만에 패배 인정…여 중진 “대선도 위기”",경향신문,윤승민 기자 mean@kyunghyang.com,"등장 대신 등돌린 ‘샤이 진보’두 자릿수 격차 결국 못 좁혀더불어민주당은 4·7 서울·부산시장 보궐선거에서 참패할 것으로 전망되자 무거운 침묵에 휩싸였다. 누구 한 사람 쉽게 입을 떼지 못했다. ‘샤이 진보’ 등장에 따른 ‘박빙’ 승부를 기대했지만 방송 3사 출구조사에서 두 자릿수 격차로 뒤지는 결과가 그대로 유지된 때문이다. 1년도 채 남지 않은 대선의 ‘전초전’ 격인 이번 선거의 패배가 확실해지면서 쇄신 요구가 더 커질 것으로 보인다.7일 재·보궐선거가 끝나기 30분 전부터 여의도 민주당 당사 선거상황실에 모인 관계자들은 선거 패배를 직감한 듯 말을 아꼈다. 불리했던 선거 전황을 반영한 듯 김태년 민주당 대표 직무대행을 비롯한 당 관계자들은 선거운동 기간 착용했던 파란색 당 점퍼를 이날은 입지 않은 채 상황실을 찾았다.오후 8시15분 발표된 방송 3사 출구조사 결과 박영선 서울시장·김영춘 부산시장 후보가 국민의힘 후보에 득표율이 20%포인트 이상 뒤지는 것으로 나타나자 사무실 내 의원과 당직자들은 굳은 듯 움직이지 않고 TV 화면만을 응시했다. 화면을 지켜보던 김 직무대행은 한숨을 쉬기도 했다. 서로 대화도 거의 나누지 않은 채 침통한 듯 앉아있던 김 직무대행과 당 관계자들은 10분 정도 TV를 지켜보다 말없이 상황실을 떠났다. 내부 회의를 위해 자리를 잠시 비운 것이라고 민주당 관계자는 말했다. 상황실에 남은 일부 의원은 눈물을 보이기도 했다.여당 지지 강한 곳서도 밀려당 내부서도 “민심 떠났다”최인호 수석대변인은 “출구조사 결과만 갖고 입장이 나올 수 있는 게 아니다”라며 말을 아꼈다. 이날 다른 일정 없이 자택에서 머물던 박영선 서울시장 후보는 오후 9시쯤 종로구 선거캠프를 들른 데 이어 10시쯤 상황실을 찾아서 관계자들을 위로했다. 이낙연 상임선거대책위원장은 아내가 코로나19 확진자 밀접접촉자로 분류됐다는 이유로 집에서 개표 결과를 지켜봤다.민주당은 한국토지주택공사(LH) 사태 등 여파로 지지율이 떨어진 가운데 선거를 치렀다. 각종 여론조사에서 민주당 후보가 국민의힘 후보에 비해 지지율이 20%포인트 이상 차이가 날 때도 “지지율 격차는 한 자릿수로 줄었다”며 ‘샤이 진보’의 등장에 기대를 하면서 지지층에 투표 참여를 호소했다. 그러나 우려했던 지지율 격차가 출구조사 결과에 그대로 나타나자 민주당 관계자들은 말을 잃었다. 서울의 경우 민주당 지지세가 강한 것으로 알려진 서남권과 동북권에서도 오세훈 국민의힘 후보에 밀린 것으로 나타나자 망연자실한 표정이었다.이번 패배로 당내에서는 책임론 공방이 벌어지는 동시에 쇄신에 대한 목소리도 높아질 것으로 보인다. 한 중진의원은 “부동산 문제가 주로 부각됐지만 민심은 민주당이 유능하고 정직하지도, 민생에 도움을 주지도 못했다고 생각했다고 본다”며 “이대로는 대선에도 위기가 올 수 있다. 쇄신이 불가피하다”고 말했다. 다른 중진의원도 “민주당이 내세운 개혁은 결국 국민들의 신뢰가 유지돼야 성공하는 것인데, 민심이 떠났다”며 “당 내에서 서로 반성하면서 국민들에게 사과하고 몇일간은 자숙하는 모습을 보였으면 좋겠다”고 말했다. 민주당은 8일 오전 10시30분 화상 의원총회를 열기로 했다."
527,527,2021.04.07 21:45,"[4·7 재보선]서울시장 개표율 74% 상황서 오세훈 57.29%, 박영선 39.50%",경향신문,탁지영 기자 g0g0@kyunghyang.com,"8일 1시 기준 서울·부산시장 보궐선거 개표 결과 오세훈·박형준 국민의힘 후보의 당선이 확실시됐다.중앙선거관리위원회 선거통계시스템을 보면 서울시장 보궐선거 개표율 74.67%인 상황에서 오 후보는 57.29%를 득표해 박영선 더불어민주당 후보(39.50%)를 제쳤다. 부산시장 보궐선거는 개표율 96.19%인 상황에서 박형준 후보가 62.91%를 얻어 김영춘 더불어민주당 후보(34.17%)를 앞섰다.박영선 후보는 개표가 진행되던 중 서울 여의도 민주당 당사에서 나오며 취재진과 만나 “겸허한 마음으로 모든 것을 받아들일 것”이라며 “회초리를 들어주신 시민들께는 겸허한 마음으로 모든 것을 받아들이면서 가야겠다고 생각한다”고 말했다.김 후보도 “민심의 큰 파도 앞에서 결과에 겸허히 승복한다”며 “저와 민주당은 앞으로도 부산의 꿈을 결코 포기하지 않을 것”이라고 말했다. 당선이 확실해진 박형준 후보는 “압도적 지지를 보내주셔서 감사하다”며 “선거기간 내내 갖은 어려움에도 불구하고 흔들리지 않고 성원을 보내주신 시민 여러분의 그 마음, 시민을 섬기는 좋은 시정으로 보답하겠다”고 당선 소감을 말했다.앞서 오 후보는 KBS·MBC·SBS 방송 3사 공동 출구조사에서 59.0%를 기록해 박영선 후보(37.7%)보다 21.3%포인트 앞섰다. 박형준 후보는 64.0%를 기록해 김 후보(33.0%)를 제쳤다."
540,540,2021.04.07 20:25,"[속보]방송3사 출구조사, 서울시장 “박영선 37.7% - 오세훈 59.0%”",경향신문,박홍두 기자 phd@kyunghyang.com,"4·7 서울시장 보궐선거가 진행된 7일 KBS·MBC·SBS 등 방송 3사 공동 출구조사 결과 박영선 더불어민주당 후보가 37.7%, 오세훈 국민의힘 후보가 59.0%를 기록했다. 다만 이 예측 결과에는 지난 2~3일 사전투표는 반영되지 않았다."
552,552,2021.04.07 11:28,"박영선 “거짓말 심판, 정직한 서울” 오세훈 “정의·상식 통해야”···막판 SNS 호소",경향신문,김상범 기자 ksb1231@kyunghyang.com,"4·7 서울·부산시장 보궐선거가 시작된 7일 여야 후보는 사회관계망서비스(SNS)를 통해 마지막 지지 호소를 이어나갔다.이날 박영선 더불어민주당 서울시장 후보는 SNS에서 “저는 이미 사전투표를 마쳤지만 시민 여러분의 선택이 어떨지 설레고 두려운 마음으로 하루를 시작했다”라며 “MBC에서 기자와 앵커를 마치고 국회의원 16년, 그리고 중소벤처기업부 장관에 이르기까지 제 인생 고비 고비마다 함께 해준 소중한 분들이 떠올랐다”라고 적었다.박 후보는 그러면서 “BBK로 협박과 외압이 끊이지 않았을 때도 시민 여러분의 지지와 응원이 없었다면 저는 버티지 못했을 것이다. 한결같이 진실과 정의의 편에 함께 서주신 여러분들이 있었기에 저 박영선 여기까지 달려올 수 있었다”라고 썼다.박 후보는 “코로나19 극복과 민생회복, 일상회복, 선거운동 기간 동안 제가 수도 없이 외쳤던 지금 당장 우리 앞에 놓인 큰 숙제다”라며 “검증된 능력과 실력으로, 거짓 없는 정직과 서울의 미래를 향한 진심으로, 하루라도 빨리 천만 서울시민의 삶에 따스한 볕이 들고 봄이 올 수 있게 하겠다”라고 말했다.박 후보는 “거짓말을 심판하겠다! 정직한 서울을 만들겠다! 무능하고 무책임한 서울이 아닌 유능하고 신뢰할 수 있는 서울로 나아가겠다! 공동체 한 사람 한 사람을 아끼는 서울이 되어야 한다! 시민 여러분의 이런 진심이 모이고 있다”라며 “당신 마음도 다르지 않을 거라 믿는다”라고 덧붙였다.오세훈 국민의힘 후보도 이날 오전 SNS에 “환하게 웃어주시며 파이팅을 외쳐주시고, 꼭 당선되어 서울을 살리고 정권심판 해달라시던 열망 어린 표정의 시민 여러분들, 정말 죽을 때까지 잊지 못할 것”이라며 “저는 이번 선거과정을 통해 청년들의 분노를 보았고, 국민들이 원하는 희망을 보았고, 서울시민이 가진 저력을 보았고, 대한민국 회복의 가능성을 보았다”라고 적었다.오 후보는 “제가 잘나서 지지해주시는게 아니라는 것, 잘 안다. ‘위기에 빠진 대한민국을 살려라, 기회를 주겠다, 잘 하는지 지켜보겠다’는 국민 여러분의 그 마음, 잘 안다. 국민 여러분들의 시험대를 꼭 통과하겠다”라고 말했다.오 후보는 그러면서 “저는 우리 아이들과 청년들에게 기성세대가 만든 빚, 물려주지 않겠다. 암울한 미래와 분열의 시대를 물려주지 않겠다. 국민들을 절망 속에 내버려 두지 않겠다”라면서 “정의와 상식이 통하는 나라, 부끄럽지 않은 대한민국을 만들겠다”라고 썼다.오 후보는 “훌륭한 우리 국민들께 좋은 일머리 가진 유능한 일꾼으로서, 직접 보여드리고 싶다”라며 “정치에 응어리진 마음은 투표를 통해 풀어 달라”라고 호소했다."
560,560,2021.04.06 22:35,광화문서 유세 끝낸 박영선 “촛불 정신 되새겨…바람 늦게 불어 아쉬워”,경향신문,박광연 기자 lightyear@kyunghyang.com,"박영선 더불어민주당 서울시장 후보가 6일 광화문 앞에서 유세를 끝으로 공식 선거운동을 마무리했다. 박 후보는 ‘촛불 정신’을 언급하며 “겸허한 자세”를 강조했다. 아울러 지지세가 반등하는 ‘바람’이 불고 있다면서 바람이 늦게 불어 아쉽다고도 말했다.박 후보는 이날 오후 9시30분부터 10시까지 정부서울청사 맞은편에 있는 광화문 시민열린마당 앞에서 각계 시민대표 10명을 만나는 것으로 최종 유세 일정을 마무리했다. 박 후보는 “정말 뜨겁게 환영해주셔서 감사하다”며 “때때로 힘들때도 있었지만 여러분들의 외침에 힘입어 오늘 여기까지 왔다”고 소감을 밝혔다.이날 광화문에서 시작해 광화문에서 마무리한 유세 동선을 두고 박 후보는 “촛불 정신”을 언급하며 의미를 부여했다. 박 후보는 “광화문 광장은 촛불 정신이 대한민국의 민주주의와 미래를 지킨 장소”라며 “촛불 정신에 그 동안 민주당이 미흡했던건 없었는지 반성하고 성찰하는 시간이 반드시 필요하다고 생각했다”고 말했다. 그러면서 “반성과 성찰을 통해 우리가 더 겸손하고 겸허하게 더 잘해야겠다, 더 품이 큰 민주당으로 변화해야겠다고 생각했다”고 말했다.박 후보는 ‘선거운동을 하며 아쉬웠던 점 한가지를 꼽아달라’는 기자들 질문에 “지난 금요일부터 바람이 불기 시작한 것”이라고 답했다. 박 후보는 “바람이 조금 늦게 불은 아쉬움이 있다”며 “그렇지만 끝까지 최선을 다할 것”이라고 말했다. 박 후보는 “지난 금요일부터 매일매일 상승세를 타고 있다. 지금 이 시간에도 상승세를 타고 있다”며 지지자들에게 투표를 독려하기도 했다.박 후보는 광화문 최종 유세 직전에는 젊은층이 많은 마포구 홍익대 인근에서 당 지도부들과 ‘총력 유세’를 벌였다. 박 후보는 ‘20·30대의 지지율이 올랐다고 생각하나’라는 질문에 “그렇다”며 “홍대에 가기 전 경의선 숲길에서 1시간 정도 계속 젊은이들을 만났는데, 투표하신 분과 내일 투표하겠다는 분들이 상당히 많았다”고 말했다.박 후보는 그러면서 “제가 만난 사람이 100명도 넘는데 이들 중 아무 얘기도 안하고 가신 분들은 20~30% 정도”라며 “나머지 분들은 전부 ‘응원한다’ ‘내일 투표한다’ ‘투표했다’고 말했다”고 강조했다. 이를 두고 “많은 변화가 요 며칠 사이에 있었다고 생각한다”고 해석했다.박 후보는 서울시장으로 당선되면 ‘재난위로금 10만원 지급’ 공약을 가장 먼저 결재하겠다고 말했다. 박 후보는 “1호 결재로 10만원 재난위로금을 디지털 화폐로 지급하고 싶다”며 “물론 디지털화폐로 지급해야 하기에 약간 준비기간이 걸릴 것이다. 먼저 결재하고 준비해서 이것으로 소상공인들의 피눈물나는 어려움을 회복시키겠다”고 말했다. 또 “서울의 미래에 투자하면서 젊은이들을 위해 일자리를 만드는 그런 획기적인 정책이 되기를 바란다”고 말했다."
570,570,2021.04.06 21:05,박영선 “민주당의 부족함 반성할 것”…‘집 나간 집토끼’ 잡기 총력,경향신문,박광연 기자 lightyear@kyunghyang.com,"서부권 청년층 많은 곳 집중 유세6411번 ‘노회찬 버스’ 첫차 탑승정의당에 재차 지지 호소하기도박영선 더불어민주당 서울시장 후보는 선거운동 마지막 날인 6일 ‘민생’과 ‘청년’에 방점을 찍고 서울 서부권에서 유세를 벌였다. 이른 새벽부터 노동의 애환이 서린 민생 현장을 방문해 정의당 등 범여권 지지층 결집을 강조했다. 최근 민주당에 등을 돌린 2030세대가 많은 지역을 찾아서는 ‘반성과 쇄신’을 외치며 ‘미워도 다시 한번’ 지지를 호소했다.이날 박 후보 일정은 오전 4시 구로구에서 강남구로 향하는 6411번 버스 첫차 탑승으로 시작됐다. 이른바 ‘노회찬 버스’로 알려진 6411번 버스는 새벽부터 일터로 향하는 노동자들로 가득 차기로 유명하다. 40여분간 버스에서 시민들 애로사항을 들은 박 후보는 하차 뒤 동작구 노량진수산시장을 찾아 영업을 준비하는 상인들을 만났다. 박 후보는 “겸손하고 낮은 자세로 임해 서민들의 삶을 더 알뜰살뜰 챙겨야겠다고 생각했다”며 ‘민생 시장’ 이미지를 부각시켰다.‘노회찬 버스’ 탑승을 계기로 정의당에 지지를 호소하기도 했다. 박 후보는 “노회찬 의원이 동작에 출마했을 때 혼신의 힘을 다해 도와드렸다”고 말했다. 오후 기자회견에서도 “현장에 가면 정의당 당원이나 정의당을 했던 분들이 많이 계신다. ‘너무 염려하지 마라. 돕겠다’는 분들이 상당수 있다”고 말했다.이날 유세의 시작과 끝을 광화문으로 정한 것도 지지층을 겨냥한 메시지였다. 박 후보는 기자회견에서 “우리가 나아가야 할 방향이 촛불정신이라는 걸 다시 한번 생각해보는 시간이라는 의미가 있다”고 말했다. 유세 현장 곳곳에서 “투표하면 승리한다”고 강조하는 등 투표장으로 나가달라고 “간곡히 호소”했다.박 후보는 최근 민주당 지지 이탈세가 강한 젊은층의 마음을 돌리는 데에도 마지막까지 공을 들였다. 2030세대 직장인과 대학생 유동인구가 많은 영등포구 여의도역과 마포구 홍익대 인근에서 집중유세를 펼쳤다. 이낙연 상임선거대책위원장과 김태년 대표 직무대행 등 민주당 지도부가 홍익대 유세에 합류해 ‘총력전’에 힘을 보탰다.박 후보는 젊은층 등 이른바 ‘집 나간 집토끼’와 중도·무당층을 향해 ‘반성’과 ‘쇄신’을 여러 차례 약속했다. 종로구 유세에서 “그동안 민주당의 부족함이 있었다. 철저히 반성하며 내일 투표를 계기로 새롭게 태어나는 민주당이 되겠다”고 말했다. 은평구 유세에선 “더 품이 큰 민주당으로 변화하겠다”고 했고, 기자회견에선 “뼈를 깎는 심정으로 달라지겠다고 진심으로 약속드린다”고 강조했다.야당 후보가 당선되면 정쟁으로 안정적 시정이 어려워질 것이라며 ‘여당 후보’를 찍어달라고 호소하기도 했다. 박 후보는 기자회견에서 “많은 분이 코로나19로 벼랑 끝 위기에 내몰려 있다. 앞으로 1년이 정말 중요하다”며 “서울시와 정부가 빈틈없이 손발을 맞춰 이 위기를 극복해야 한다. 16년 의정활동과 중소벤처기업부 장관으로서의 성과와 성공, 추진력을 믿고 투표해달라”고 말했다."
574,574,2021.04.06 18:08,"유세 마지막날 박영선, 서울 곳곳서 “민주당 변하겠다”",경향신문,박광연 기자 lightyear@kyunghyang.com,"박영선 더불어민주당 서울시장 후보가 공식 선거운동 마지막날인 6일 서울 서부권을 훑으며 “민주당이 변하겠다”고 거듭 강조했다. 민주당의 기존 행보에 대한 ‘반성’과 ‘쇄신’을 외치며 등 돌린 지지층과 중도·무당층에 지지를 호소한 것이다. 서울시를 안정적으로 운영할 시장이 필요하다며 “내일 꼭 투표해달라”고 독려했다.박 후보는 이날 은평구 연신내역 유세에서 “그동안 많은 서울시민들을 만났다”며 “응원도 주셨지만 꾸지람도 있었다. 꾸지람을 더 경청하겠다”고 말했다. 박 후보는 “민주당이 바뀌어야 한다고 생각한다”며 “더 품이 큰 민주당으로 변화하겠다”고 말했다. 종로구 유세에서도 “민주당의 부족함이 있었다. 철처히 반성하고 더 뼈저리게 느껴서 내일 투표일을 계기로 새롭게 태어나는 민주당이 되자”고 강조했다.이날 종로구 선거캠프에서 가진 마지막 기자회견에서도 “반성과 성찰”을 언급했다. 박 후보는 “선거운동 기간 동안 서울시민들이 매서운 민심도 보여주셨다. 반성하고 성찰했다”며 “저는 물론 저희 당 또한 부족했고 뼈를 깎는 심정으로 달라지겠다고 진심을 다해 약속드렸다”고 말했다.박 후보는 경쟁자인 오세훈 국민의힘 후보에 비해 서울시정을 안정적으로 이끌 적임자임을 강조했다. 박 후보는 서대문구 홍제역 유세에서 “지금은 서울시정에만 전념할 시장이 필요하다”며 “민생 회복과 일상 회복을 위해 일분 일초가 아까울 때”라고 말했다. 그러면서 “(오 후보가 되면) 약자 차별과 투기 조장 정책으로 서울시의회와 정부와 부딪혀서 결국 서울은 정쟁의 도가니가 될 것”이라고 주장했다.박 후보는 기자회견에서도 “많은 분들이 코로나19로 벼랑끝 위기에 내몰려있고, 지난 1년간 누적된 피로감에 쌓여있다”며 “앞으로 1년이 정말 중요하다. 서울시와 정부가 빈틈없이 손발을 맞춰서 이 위기를 극복해야 한다”고 강조했다.박 후보는 7일 투표장으로 나서줄 것을 유권자들에게 거듭 호소했다. 박 후보는 영등포구 여의도역 유세에서 “깨어있는 시민들이 모두 투표장으로 갈 것”이라며 “한분 한분 투표해달라. 우리가 승리한다”고 말했다. 서대문구 홍제역 유세에서도 “내일 투표장에 한분이 열분씩만 모시고 가달라”며 “그러면 승리한다”고 목소리를 높였다.오 후보를 상대로 그간 열세였던 민심의 지지세가 점차 변하고 있다고 박 후보는 강조했다. 박 후보는 이날 기자들과 만나 “오늘 오후 유세를 하며 민심이 시시각각 바뀌는 듯한 느낌을 받았다. 굉장히 많은 시민들이 어제하고 또 다르게 호응을 많이 해준다”고 말했다. 그러면서 “상승세를 타고 있는건 분명하다”며 “저쪽은 멈춰있거나 하락세다. 끝까지 해봐야 아는 선거다”라고 말했다."
580,580,2021.04.06 11:38,정의당 여영국 “민주당은 범죄 비호…박영선 ‘노회찬 따라하기’론 안돼”,경향신문,윤승민 기자 mean@kyunghyang.com,"여영국 정의당 대표가 6일 박영선 더불어민주당 서울시장 후보의 선거운동 행보에 대해 ‘노회찬 의원 따라하기’라며 비판했다.여 대표는 이날 민주당 출신 정현복 전남 광양시장 일가의 ‘부동산투기·채용비리 의혹 진상규명 촉구 기자회견’에 참석한 뒤 사회관계망서비스에 이같은 글을 올렸다. 여 대표는 “오늘 전남 광양에 왔다. 부동산 투기, 채용 비리 의혹을 받고 있는 광양시장에 대한 철저한 수사를 촉구하기 위해서”라며 “광양시장의 비리가 불거지자 민주당은 꼬리자르듯 제명조치만 하고 책임은 회피하며 사실상 ‘범죄 의혹 시장’을 비호하고 있다”고 썼다. 민주당은 정현복 시장에 대한 부동산 투기 등 의혹이 불거지자 지난 2일 긴급 최고위원회를 열어 비상징계를 의결하고 제명조치를 내렸다.여 대표는 “이것이 민주당의 민낯”이라며 “박영선 후보님이 지금 할 일은 본인들의 이 민낯을 직시하는 것”이라고도 했다. 그러면서 “노회찬 의원 따라하기로 그 민낯을 가릴 수 없다는 걸 아셔야 한다. 그것이 시민들의 마음을 얻는 첫 걸음”이라고 썼다. 박 후보가 이날 오전 ‘노회찬 버스’로 알려진 6411번 버스 첫 차를 타고 선거운동을 벌였던 점을 가리키며, 민주당이 부동산 투기에 대해 엄정히 촉구하라고 한 것이다."
