,Unnamed: 0,date,title,press,reporter,content
20,20,2021-05-01 3:00,文대통령 2차 접종… ‘백신 바꿔치기’ 논란 간호사 “마음고생 있었다”,동아일보,청와대사진기자단,"
문재인 대통령이 30일 오전 서울 종로구 보건소에서 아스트라제네카(AZ)의 신종 코로나바이러스 감염증(코로나19) 백신 2차 접종을 하고 있다. 문 대통령은 지난달 23일 1차 접종을 받았던 황모 간호사에게 이날 2차 백신 주사도 맞았다. 황 간호사는 1차 접종 때의 백신 바꿔치기 논란을 의식한 듯 이동식 트레이(원 안)를 놓고 공개된 장소에서 백신을 주사기로 옮겼다. 김정숙 여사가 “정말 고생이 많았죠”라고 하자 황 간호사는 “네, 마음고생이 조금 있었습니다”라고 답했다. 청와대사진기자단  
"
22,22,2021-05-01 3:00,[단독]반도체 고리로 한미협력 강화… 백신-북핵 동맹이슈 시험대,동아일보,"황형준 기자 , 최지선 기자 , 워싱턴=이정은 특파원 ","

정부가 미국 주도의 반도체 글로벌 공급망 재편에 동참하겠다는 입장을 미국에 전달하면서 21일(현지 시간) 개최가 확정된 한미 정상회담에서 양국 간 반도체 협력이 핵심 의제로 떠오를 것으로 보인다. 미중 기술패권 경쟁 속에서 조 바이든 미 대통령이 국가안보 사안으로 다루겠다고 한 반도체 문제에서는 중국을 견제하는 미국 주도의 공급망 동참으로 우리 정부가 기조를 정한 것으로 풀이된다. 이번 한미 정상회담은 바이든 대통령이 1월 취임 후 스가 요시히데 일본 총리에 이어 두 번째로 백악관에서 진행되는 대면 회담이다. 미국이 중국을 견제하기 위해 인도태평양 지역에 외교안보 정책의 초점을 맞추고 있는 상황에서 한일과의 동맹관계를 그만큼 중시하고 있다는 메시지다. 다만 미국의 백신 지원, 대북정책, 미국의 중국 압박 동참, 한일 갈등 등 한미동맹 이슈에서 여전히 엇박자가 날 수 있는 대목이 적지 않다는 지적이 나온다. 정부가 미국에 요청한 한미 백신 스와프 등 단기적 백신 지원 문제는 정상회담 정식 의제에는 오르지 않을 가능성이 높은 것으로 알려졌다. 문재인 대통령이 바이든 대통령을 만나 동맹 이슈를 둘러싼 한미 간 간극을 줄이고 백악관이 강조한 ‘철통같은 한미동맹’을 어떻게 복원할지가 핵심 과제로 떠올랐다.  정부 관계자들은 “바이든 대통령이 2월 말 100일 동안 반도체, 자동차용 배터리, 희토류, 의약품 등 글로벌 공급망을 검토하라는 행정명령을 내린 만큼 미국이 자체 공급망을 갖추는 구상을 마무리하기 전에 미국에 동참 의사를 밝히는 것이 중요했다”고 설명했다. 미국이 6월 반도체 등의 글로벌 공급망 재편 방안을 결정해 구상을 발표한 뒤에는 참여가 더욱 어려워지고 국내 반도체 산업에 미칠 타격이 크다고 판단했다는 것.  이에 따라 바이든 행정부의 반도체 공급망 구상 발표에 앞서 21일 열리는 한미 정상회담에서 문 대통령이 공급망 재편에 동참하겠다는 뜻을 재확인하고 한미 정상회담 공동성명에도 양국 반도체와 자동차용 배터리 협력 등이 명시될 것으로 전망된다.  미국 주도의 글로벌 공급망 재편을 자국 견제를 위한 것으로 보는 중국이 불만을 제기할 가능성도 있다. 삼성 등의 중국에 대한 반도체 투자도 적지 않다. 정부는 미국의 공급망 재편이 중국과 반도체 협력을 완전히 단절하려는 것은 아니라고 보고 있다.  반도체가 주요 의제에 포함될 것으로 예상되는 반면 한미 백신 스와프 등 단기적 백신 지원은 의제에 오르기 어려울 것으로 보인다. 수급 계획에 따라 백신이 충분히 확보됐기 때문이라는 게 정부의 설명이다. 그 대신 장기적인 관점에서 미국 기업의 백신을 한국에서 위탁생산하는 한미 간 백신 기술·생산·공급 협력 방안 등 백신·방역에 대한 포괄적인 협력 논의 가능성이 제기된다. 정부는 열흘 전만 해도 “어려울 때 친구가 진정한 친구”라며 백신 지원을 요청했다. 문 대통령이 미국을 겨냥해 “백신 개발국의 자국 우선주의, 강대국의 백신 사재기” 등을 비판하면서 백신 협력에서 엇박자가 나는 것 아니냐는 지적도 나온다.  북핵 문제에서는 발표가 임박한 미국의 새 대북정책에 대해 한미 정상이 “함께 추진하자”는 합의를 내놓을 것으로 알려졌다. 워싱턴의 외교소식통에 따르면 바이든 행정부는 이르면 이달 초 이를 발표할 가능성이 높다. 문 대통령은 바이든 대통령에게 새 대북정책을 바탕으로 한 조속한 북-미 비핵화 협상을 강조할 것으로 전망된다. 다만 문 대통령이 강조해온 2018년 싱가포르 북-미 공동성명 계승 표현이 직접적으로 미국 대북정책에 포함될 가능성은 낮다. 바이든 행정부가 북한 비핵화를 강조하는 반면 우리 정부는 한반도 비핵화를 고수하고 있어 한미 정상이 공동으로 내놓을 성명에 비핵화 표현이 빠질 가능성도 있다.  바이든 대통령이 한일관계 개선을 주문하는 가운데 일본의 후쿠시마 오염수 방류 문제를 둘러싼 한미 간 이견이 큰 점도 걸림돌이다. 중국 견제 성격의 미국 일본 호주 인도 4국 협의체인 ‘쿼드’ 참여에 대한 명시적 요청이 없더라도 협력의 필요성을 바이든 대통령이 강조하며 우회적으로 압박할 가능성이 있다. 황형준 기자 constant25@donga.com·최지선 기자 / 워싱턴=이정은 특파원  
"
47,47,2021-04-28 3:00,이재명 “백신 남는게 낫다”… 정세균 “과도할까봐 걱정”,동아일보,"김지현 기자 , 윤다빈 기자 ","

“(신종 코로나바이러스 감염증 백신은) 부족한 것보다 남는 게 낫다.”(이재명 경기도지사) “지금 이미 그렇다. 후반기에 과도하게 들어올까 봐 걱정이다.”(정세균 전 국무총리) 여권 대선주자인 정 전 총리와 이 지사가 러시아산 스푸트니크V 백신 추가 도입 문제를 둘러싸고 연일 각을 세우고 있다. 정 전 총리는 27일 KBS 라디오에서 이 지사가 “부족한 것보다 남는 게 낫다”며 스푸트니크V 백신 추가 도입 주장을 거두지 않고 있는 것에 대해 “정부가 지금 이미 그렇게(남게) 한 것”이라고 일축했다.  그는 ‘이 지사가 상황을 잘 모르고 하는 얘기냐’는 질문에 “그럴 수 있다”며 “원래 국민 숫자보다 적은 4000만 명분 정도 계약할 생각이었는데 점차 늘어서 7900만 명분까지 갔다가 (현재) 9900만 명분으로 늘어난 것”이라고 강조했다. 이어 “정부는 (백신이) 남을 경우 내년으로 돌리는 계획까지 다 세웠다”고 했다. 정 전 총리는 전날 MBC 라디오에서도 “그분이 중대본 회의에 잘 참석했으면 그런(러시아 백신 도입) 말씀을 하기 어려울 것”이라고 이 지사를 겨냥했다. 그러자 이 지사도 페이스북에 “늑장보다 과잉이 나은 것처럼 생명과 안전에 관한 한 부족한 것보다 남는 것이 낫다”며 “국민 건강을 두고 백신 패권 대결에 편승하거나 이념 대결과 편 가르기에 나서면 안 된다”고 했다.  이를 두고 정치권에서는 문재인 대통령이 전날 야당을 향해 백신 정쟁화 중단을 요청했지만 도리어 여당 내 설전이 과열되고 있다는 지적이 나온다. 국민의힘 윤희석 대변인은 이날 구두논평에서 “대권 놀음에 백신까지 끌어들이는 행태는 책임 있는 여당 인사들의 자세가 아니다”라며 “백신 정치화로 국민 불안을 가중시켜서는 안 된다. 국민은 안전한 백신을 빨리 맞고 싶을 뿐”이라고 비판했다. 김지현 jhk85@donga.com·윤다빈 기자 
"
55,55,2021-04-27 3:00,한미정상회담 우선 이슈… “백신＞한일현안＞경제”,동아일보,곽도영 기자 ,"

            다음 달로 예정된 한미 정상회담을 앞두고 국민들은 무엇보다 신종 코로나바이러스 감염증(코로나19) 백신 확보 성과를 기대하는 것으로 나타났다. 26일 전국경제인연합회에 따르면 ‘한미 정상회담에 국민이 거는 기대’ 인식 조사(전국 성인 남녀 1004명 대상)를 진행한 결과 대통령이 방미 기간 중 정상회담 외 우선적으로 해야 할 활동으로 ‘백신 공급을 위해 직접 미국 민간기업과 소통’(71.7%)을 첫 번째로 꼽았다.  정상회담에서 한국이 얻어야 할 가장 주요한 성과로도 ‘백신 스와프’(31.2%)를 ‘한일 현안’(21.1%), ‘경제’(18.6%), ‘대북 이슈’(14.8%)보다 최우선적으로 꼽았다.  한국의 대외전략과 관련해서는 ‘일본, 호주와 같이 미국의 역내 리더십 움직임에 적극적으로 동참해야 한다’는 응답이 1위(44.3%)를 차지했다. ‘미중 관계 균형을 고려한 전략적 모호성 유지’(37.7%), ‘미국과 적당한 거리 두기 시행 및 친중국 포지션 확대’(9.9%)가 뒤를 이었다. 한미 경제 이슈 중 무엇이 우선시돼야 하는지에 대해서는 ‘미국 핵심 부품 공급망 재검토 기회 활용, 경제 실익 확보’(41.7%), ‘기술 선진국 간 5세대(5G) 이동통신 첨단기술 동맹 구축’(26.3%) 등 응답이 많았다. 곽도영 기자 now@donga.com 
"
56,56,2021-04-27 3:00,文 “각국 백신 각자도생… 연대도 공조도 뒷전”,동아일보,황형준 기자 ,"

            문재인 대통령이 26일 “신종 코로나바이러스 감염증(코로나19) 백신 개발국의 자국 우선주의와 강대국들의 백신 사재기 속에서 필요한 백신 물량을 확보했다”며 “모든 나라가 한목소리로 연대와 협력을 말했지만 자국 사정이 급해지자 연합도, 국제 공조도 모두 뒷전이 돼 국경 봉쇄와 백신 수출 통제, 사재기 등으로 각자도생에 나서고 있다”고 비판했다.  문 대통령은 이날 청와대 수석·보좌관회의에서 “다른 어떤 문제보다 국제적인 연대와 협력이 필요한데도 국제정치의 현실은 그렇지 않다”며 “그런 냉엄한 국제정치의 현실을 직시해야 한다. 우리도 내부적으로 단합해 지혜롭게 대응해 나가야 한다”고 말했다.  백신 개발국이면서 백신 수출을 통제하는 국가는 미국이다. 문 대통령이 특정 국가를 거론하지는 않았지만 사실상 미국을 겨냥한 셈. 다음 달 하순 한미 정상회담을 앞두고 문 대통령이 한미 백신 스와프 요청을 사실상 거부한 미국을 비판한 것으로 해석되면서 파장이 예상된다. 문 대통령은 또 “정부 계획대로 4월 말까지 300만 명, 상반기 중으로 1200만 명, 그 이상 접종이 시행될지 조금만 지켜보면 알 수 있다. 지금 단계에서 백신 문제를 지나치게 정치화해 백신 수급과 접종에 대해 막연한 불안감을 부추기는 일이 없도록 해달라”며 야당을 겨냥했다. 낮은 접종률에 대한 비판을 의식한 듯 “우리와 형편이 다른 나라와 비교할 것 없이 우리 형편에 맞게 계획대로 차질 없이 진행하는 게 무엇보다 중요하다”며 “정부는 11월 집단면역 목표를 제시했으며 이행을 자신하고 있다. 플러스알파로 집단면역 시기를 더 앞당기려는 목표도 갖고 있다”고도 했다.  문 대통령은 20일 중국 보아오포럼 화상 연설에서 “개발도상국에 대한 백신 기부 등의 활동을 펼치고 있는 중국 정부의 노력을 높이 평가한다”고 했다. 시진핑 중국 국가주석이 미국을 비판한 포럼에 참석해 중국의 백신 외교를 칭찬한 지 6일 만에 미국의 백신 통제를 비판하는 모양새를 보인 것. 중국 관영 글로벌타임스는 26일 미국의 백신 정책을 비판하면서 “도널드 트럼프 행정부의 미국 우선주의를 조 바이든 행정부가 그대로 실천하고 있다”는 진창룽 런민대 교수의 발언을 보도했다. 문 대통령의 “자국 우선주의” 비판과 겹친다.  이 때문에 가뜩이나 미중 갈등 격화 속 정부의 전략적 모호성에 대한 비판이 커지는 상황에서 문 대통령의 발언 수위나 시기가 적절했느냐는 지적이 나온다. 워싱턴에서 바이든 대통령을 만나 공고한 한미동맹을 재확인하고 북핵 협상 재개를 설득해야 하는 상황에서 불필요한 오해를 일으킬 필요가 없다고 전문가들은 지적했다. 황형준 기자 constant25@donga.com 
"
74,74,2021-04-24 3:00,"美日, 정상이 ‘쿼드 백신협력’ 합의… 韓은 “쿼드 없어도 협력 가능”",동아일보,"최지선 기자 , 박효목 기자 ","

            미국이 한국의 백신 스와프 요청을 사실상 거부한 가운데 정부는 “쿼드(Quad·미국 일본 호주 인도의 4자 협의체)에 참가하지 않고도 미국 정부 등 쿼드 국가들과 백신 협력을 할 수 있다”고 말했다. 일본이 최근 미일 정상회담에서 “쿼드 백신 파트너십”을 명시하고 이를 통한 백신 생산 협력을 강조한 뒤 스가 요시히데 일본 총리가 미국 백신 기업 화이자로부터 추가 백신 공급 약속을 얻어낸 것과 대비된다는 지적이 나온다. 한미 스와프도 미국의 ‘선의’에 기댈 게 아니라 쿼드 차원의 백신 협력에 동참했다면 ‘동맹의 기여’를 내세워 설득할 수 있었다는 것. 다음 달 하순 한미 정상회담에서 백신 스와프 등 당장 다음 달과 6월에 닥칠 ‘2분기 백신 가뭄’을 해결할 협력 방안은 의제에 오를 가능성이 낮은 것으로 알려졌다.  정부 당국자들은 23일 “꼭 쿼드라는 틀이 아니더라도 미국은 물론 일본 호주 인도 등 쿼드 참가국들과 개별적으로 백신 협력을 할 수 있다”고 말했다. 다만 쿼드 국가들과 양자 관계 차원에서 구체적으로 어떤 백신 관련 협력이 진행되는지는 밝히지 않고 있다. 반면 일본은 미국과 쿼드를 통한 백신 협력을 강조하고 있다. 백악관은 16일(현지 시간) 미일 정상회담 직후 발표한 ‘미일 간 경쟁력과 회복력의 파트너십’ 자료에서 “미일은 쿼드 백신 파트너십을 통해 인도태평양 지역에 안전하고 효과적인 코로나19 백신 생산과 조달을 제공하기 위해 긴밀히 협력할 것”이라고 명시했다. 정상 공동성명에서는 “양국은 팬데믹을 끝내는 데 필요한 글로벌 백신 공급과 생산에서 협력할 것”이라고 했다. 미국 언론은 중국이 아시아 지역에서 자국 생산 백신 지원을 통해 영향력을 확대하는 것을 견제하기 위해 미국이 ‘쿼드 백신 파트너십’을 구상했다고 본다. 쿼드 백신 파트너십은 쿼드 참여국들이 기술과 재정을 투입해 인도의 대량 백신 생산 시설을 통해 아시아 지역 개발도상국 등에 백신을 공급하겠다는 계획. 자국산 백신 물량을 선점해온 미국이 쿼드를 통해 세계에 대한 기여를 높이겠다는 외교적 계산도 깔려 있다.  백신 협력이 쿼드나 미중 갈등과 관련 없다는 정부 입장과 달리 미국은 백신을 외교안보 문제와 연계시킨 것. 외교부는 23일 “미국이 백신 여유분을 외국에 제공하는 것과 쿼드 참여는 관계가 없다”고 했지만 쿼드 백신 파트너십에 참여하지 않은 한국이 백신 스와프라는 ‘아쉬운 소리’를 하기가 쉽지 않다는 지적도 나온다. 최강 아산정책연구원 부원장은 “쿼드에 동참하지 않고 개별적으로 백신 협력만 하겠다는 건 현실성이 떨어진다”고 했다.  청와대는 다음 달 한미 정상회담에서 백신이 의제에 포함될지에 대해 말을 아끼고 있다. 일각에서는 한미 간 백신 스와프가 어려워진 상황에서 정상회담에서도 백신 관련 마땅한 성과가 나오지 않을 수 있다는 판단에 의제 공개를 꺼리는 것 아니냐는 관측도 나온다. 청와대 관계자는 “정상회담이 다음 달 하순 열리는 만큼 하반기 백신 물량을 논의할 수밖에 없다. 장기적인 백신 공급 방안이 논의될 것”이라고 했다. 정부가 당장 급한 2분기 백신 수급은 의제에 포함시키기 어렵다는 것. 다만 한국이 백신 생산 능력을 보유하고 있는 만큼 장기적 차원에서 미국산 백신의 위탁생산에 대한 논의가 진행되고 있는 것으로 알려졌다. 미국에 대한 여권의 불만을 반영한 듯 정세균 전 국무총리는 이날 CBS 인터뷰에서 미국이 화이자 등 자국산 백신의 수출을 금지할 수 있다는 우려에 대해 “미국이 그런 깡패 짓을 하겠느냐”며 “상당히 불평등하고 불공정한 계약임에도 국민들이 걱정하지 않도록 계약을 제때 했다”고 말했다. 최지선 aurinko@donga.com·박효목 기자  
"
86,86,2021-04-23 3:00,바이든 “백신 여유 없다” 희박해진 ‘한미 스와프’,동아일보,"워싱턴=이정은 특파원 , 박효목 기자, 이미지 기자 ","

조 바이든 미국 대통령이 21일(현지 시간) 미국이 보유한 신종 코로나바이러스 감염증(코로나19) 백신을 다른 나라에 보낼 만큼 충분하지 않다며 미국 내 접종에 집중하겠다고 밝혔다. 백신 부족을 겪고 있는 한국 정부가 미국에 ‘백신 스와프’를 요청했다는 사실이 알려진 지 이틀 만에 바이든 대통령이 이를 사실상 거부한 것이라는 해석이 나온다. 이날 바이든 대통령은 코로나19 백신 접종의 성과를 설명하는 백악관 연설에서 해외 백신 공유와 관련한 취재진의 질문에 “우리가 중앙아메리카를 비롯해 다른 나라들을 도울 수 있다고 확신하지만 지금은 백신을 줄 수 있을 정도로 충분히 보유하고 있지 않다”고 했다. 이어 “우리가 백신을 보내도 안전한지 확실히 해야 한다”고 덧붙였다. 네드 프라이스 미 국무부 대변인도 이날 브리핑에서 한국이 제안한 백신 스와프를 미국 정부가 신중하게 고려 중인지 묻는 질문에 “이 사안에 관해 한국이나 다른 나라의 비공개 외교적 대화를 언급하진 않겠다”면서도 “내가 말하고자 하는 것은 (미국) 국내에서의 백신 접종 노력이다. 우리는 이에 초점을 맞추고 있고, 미국인에 대해 그렇게 할 특별한 의무가 있다”고 답변했다. 바이든 행정부가 한국의 백신 스와프 제안을 사실상 거절한 배경에는 백신 수급 문제 외에 외교 안보적 상황에 대한 판단이 깔려 있는 게 아니냐는 해석도 나온다. 프라이스 대변인은 브리핑에서 백신 수급에 대해 “캐나다, 멕시코 및 ‘쿼드(QUAD·미국 일본 호주 인도 4개국 안보협의체)’와도 논의해 왔다”고 밝혔다. 미국이 중국을 견제하기 위해 구축한 쿼드에 동참하지 않고 있는 한국에 대한 압박용이라는 것이다. 일본은 미일 정상회담 다음 날(17일) 화이자로부터 백신 5000만 회분 추가 공급 약속을 받아냈다. 이에 대해 청와대 관계자는 “바이든 대통령의 발언은 자국민을 대상으로 한 것”이라며 “코로나19가 심각한 미국 국내 상황을 고려한 것”이라고 22일 말했다. 다른 청와대 관계자는 “백신 스와프 외에도 여러 경로를 통해 백신 확보를 위해 노력 중”이라고 말했다. 국내 전문가들은 코로나19 재확산과 백신 수급에 변수가 많은 만큼 동원 가능한 모든 방안을 마련해야 한다고 지적했다. 예컨대 웃돈을 주고서라도 도입 시기를 앞당기거나, 이미 백신을 다량 확보했고 접종률도 높은 이스라엘 등에서 여유분을 도입해야 한다는 것이다.워싱턴=이정은 특파원 lightee@donga.com / 박효목·이미지 기자 
"
88,88,2021-04-23 3:00,"美 “쿼드와는 백신 협력”… 한국, 백신 외교전서 설자리 좁아져",동아일보,"최지선 기자 , 이은택 기자 ","

정의용 외교부 장관이 “(백신 스와프를) 미국과 진지하게 협의하고 있다”고 밝힌 지 이틀 만에 조 바이든 미국 대통령이 요청을 사실상 거절하면서 백신 수급 문제가 계속될 것이라는 우려가 나온다. 미국은 자국의 신종 코로나바이러스 감염증(코로나19) 상황이 아직 안정되지 않았다며 당분간 국내에 물량을 쏟아붓겠다는 뜻을 밝혔다.  그러면서도 미국은 캐나다 등 인접국과 ‘쿼드(QUAD·미국 일본 호주 인도의 4자 협의체)’ 참가국과는 백신 협력을 논의했다고 밝혔다. 백신을 외교적 수단으로 활용할 수 있다는 뜻을 숨기지 않은 것. 우리 정부가 중국을 견제하는 쿼드에 참여하지 않고 미중 사이 ‘줄타기 외교’를 해왔지만 백신 사태로 한계가 드러났다는 분석이 나온다.미국이 백신 스와프와 관련해 거절 의사를 밝힌 표면적인 이유는 ‘미국 우선 접종’ 방침이다. 바이든 대통령은 21일(현지 시간) 연설에서 “백신은 공짜고, 안전하며 스스로와 가족 및 주변 사람들을 보호하는 일”이라면서 “지금은 (다른 나라에) 백신을 줄 만큼 충분히 보유하지 못했다”고 말했다. 미국에서는 ‘부스터 샷’(3차 접종)까지 접종하게 될 경우를 대비해 백신을 섣불리 해외에 나눠줘서는 안 된다는 의견이 상당수다. 그러나 이면으로는 백신 수급 문제를 외교 현안과 연결시킬 수 있다는 기류를 내비쳤다. 네드 프라이스 미 국무부 대변인은 이날 백신 수급 상황을 설명하던 중 “캐나다, 멕시코 및 ‘쿼드 국가’와도 논의해 왔다”고 했다. 백악관 국가안보회의(NSC)는 트위터를 통해 “어제 미국이 주최한 쿼드 백신 전문가 그룹 회의에서 전 세계에 2022년까지 최소 백신 10억 도스를 제공하고, 인도태평양 지역 백신 접종을 강화하는 다음 단계를 논의했다”고 밝혔다. 중국을 견제하는 안보협의체인 쿼드가 백신 협력으로도 연계, 확대되고 있음을 강조한 것이다. 문제는 정부가 미국의 줄기찬 쿼드 합류 요구에도 불구하고 미온적으로 대처해 왔다는 점이다. 정 장관은 전날 관훈클럽 토론회에서 미국과 백신 스와프를 하려면 쿼드에 가입해야 하지 않느냐는 질문에 “미중 갈등에서 우리 역할과 백신은 연관이 없다. 팬데믹 상황에서 양국 협력은 외교적 분야에서의 논의와는 별개”라고 했다. 다만 “분야에 따라서는 협력할 수 있다”고 했다. 외교부는 코로나19 방역이나 백신 분야에서는 쿼드 국가들과 협력할 수 있다는 입장이다. 그러나 미국이 백신 개발 기술을, 일본과 호주가 재정 지원을, 인도가 대량 생산을 맡으며 쿼드 내 백신 협력이 견고해지는 상황에서 참가국도 아닌 한국이 낄 자리가 없다는 지적이 나온다. 한미 외교가에서 “백신 문제의 핵심은 한미 동맹에 대한 백악관의 인식”이라는 말이 나오는 이유다.백악관의 부정적 반응에도 불구하고 정부는 계속해서 미국과 백신 공급 문제를 상의하겠다는 계획이다. 외교부 당국자는 22일 “정 장관이 관훈클럽 토론회와 국회 외교통일위원회에서 현실적으로는 미국 측이 자기네 상황도 여유가 있지 않다는 입장을 표명했다는 걸 두 차례 설명했다”고 말했다. 이어 “그럼에도 불구하고 우리 정부, 외교부 입장에서는 노력하고 있다”고 했다. 정부는 다음 달 하순경 한미 정상회담이 예정돼 있는 만큼 그때까지 최대한 물밑 협상을 통해 백신 논의를 진척시키고, 양국 정상 대화 테이블에 의제로 올리겠다는 계획이다. 청와대는 이날 NSC를 열고 “글로벌 백신 공급 상황을 면밀히 점검하고 백신 물량의 추가 확보와 신속한 도입을 위해 외교적 노력을 지속적으로 경주하기로 했다”고 밝혔다.  문재인 대통령에 앞서 미국을 찾았던 스가 요시히데(菅義偉) 일본 총리의 행보를 참고할 필요가 있다는 지적도 있다. 스가 총리는 방미에서 알베르트 부를라 화이자 최고경영자(CEO)와 통화해 백신 추가 공급을 약속받은 바 있다. 박원곤 이화여대 북한학과 교수는 “일본의 경우처럼 미 행정부가 직접 발을 담그지 않으면서도 기업에서 결정하는 형태로 만드는 접근 방법을 고려할 필요가 있다”며 “미국 정부를 직접적으로 끌어들이기보다는 비공개로 물밑에서 움직여야 한다”고 말했다.최지선 aurinko@donga.com·이은택 기자 
"
89,89,2021-04-23 3:00,美에 거절당한 ‘백신 스와프’… 대미외교 난맥상 드러내,동아일보,"박효목 기자 , 권오혁 기자 , 최지선 기자","

정의용 외교부 장관이 한미 간 ‘백신 스와프’를 거론한 지 이틀 만에 미국이 사실상 거절 의사를 밝히면서 문재인 정부의 누적된 대미(對美) 외교 난맥상이 고스란히 드러났다는 지적이 나온다. 갈수록 심화되는 미중 갈등 속에서 정부는 물론 여권 전체가 전략적 모호성만 강조해온 결과가 결국 최우방국인 미국의 우선 지원 순위에서 밀려난 것 아니냐는 우려도 커지고 있다.  조 바이든 미 대통령이 “해외로 보낼 만큼 신종 코로나바이러스 감염증(코로나19) 백신이 충분치 않다”는 입장을 밝힌 것에 대해 청와대 관계자는 22일 “미국 자국민을 대상으로 한 발언일 것”이라며 “한미 간 백신 협력을 위한 노력을 계속하고 있다”고 말했다. 여전히 낙관적인 전망을 유지하고 있다는 의미다.  그러나 전문가들은 이번 백신 문제가 대미라인의 실종과 대미전략의 부재로 인한 결과라는 지적이다. 청와대는 그동안 미국의 중국 압박에도 불구하고 미중 사이에서 계속 줄타기를 해 왔다. 청와대는 미국이 주도하고 있는 반(反)중국 연합체인 쿼드(Quad·미국 일본 호주 인도 4개국 참여)에는 계속 모호한 입장을 유지해 온 반면 20일 중국이 주도하는 보아오 포럼에는 미국 동맹국 중 유일하게 참석했다. 한 외교 소식통은 “미국 입장에서 청와대의 속내에 대한 근본적인 의문을 갖고 있을 것”이라며 “백신 스와프에 대한 사실상 거절 역시 그 연장선상으로 봐야 한다”고 했다.  윤덕민 전 국립외교원장도 “정 장관이 미국을 방문하는 등 쓸 수 있는 카드를 총동원해서라도 미국과의 신뢰를 쌓는 분위기를 만들어야 한다”며 “쿼드 가입은 부정적으로 얘기하면서 반도체와 배터리를 한미 백신의 지렛대로 삼는 외교 방식은 옳지 않다”고 말했다. 반도체와 배터리가 전 세계적으로 첨예한 전략 자산화되어 가는 건 맞지만, 그보다 한미 간의 근본적인 신뢰 회복이 중요하다는 의미다. 앞서 정 장관은 21일 관훈토론회에서 “우리 기업이 능력 있는 배터리 등의 분야에서 (미국과의) 협력을 확대한다면 미국 조야로부터 한국이 백신 때문에 어려움에 처했을 때 도움을 줘야겠다는 여론 형성에는 도움이 되지 않을까”라고 말한 바 있다.  또 현재의 외교·안보라인에 미국 전문가가 없다는 점도 대미 외교 난맥상의 한 원인으로 꼽힌다. 문재인 정부 출범 이후 미국과 접점이 있었던 이도훈 전 외교부 한반도평화교섭본부장과 김현종 전 국가안보실 2차장은 물러난 상황. 여기에 대미 외교의 최일선에서 뛰어야 할 이수혁 주미 대사는 지난해 국정감사에서 “70년 전에 미국을 선택했기 때문에 앞으로도 70년간 미국을 선택해야 하는 것이 아니다”라는 발언으로 논란의 중심에 선 바 있다. 신범철 경제사회연구원 외교안보센터장은 “통상 전문가인 정 장관을 비롯해 정부와 청와대의 최고 결정자들, 그리고 여당 내에도 미국 전문가가 없는 것이 문제”라고 했다. 여권 관계자 역시 “여당 의원들 가운데 ‘중국통’은 많지만 ‘미국통’은 찾기 어려운 것이 현실”이라고 전했다. 공식 외교 라인과 별도로 의회 외교 채널조차 구축하기 쉽지 않다는 의미다.  정 장관이 미국과의 충분한 협의 없이 백신 스와프를 수면 위로 끌어올려 미 행정부의 선택지가 더 좁아졌다는 지적도 있다. 박원곤 이화여대 북한학과 교수는 “아직 논의 중인 백신 스와프 문제를 공개한 것에 대해 미국에서는 난감했을 것”이라며 “화이자나 모더나 등 기업과 접촉을 하면서 물밑으로 미국 정부와 협상을 해야 미국도 부담을 줄일 수 있을 것”이라고 조언했다. 박효목 tree624@donga.com·권오혁·최지선 기자 
"
90,90,2021-04-23 3:00,"정부 “러시아 백신 도입, 유럽 허가 여부 참고”",동아일보,"김성규 기자 , 김민 기자 ","

정부가 유럽의 판단을 참고해 러시아 스푸트니크V 신종 코로나바이러스 감염증(코로나19) 백신 도입을 결정하겠다고 밝혔다.  손영래 중앙사고수습본부(중수본) 사회전략반장은 22일 브리핑에서 “유럽의약품청(EMA)이 스푸트니크V의 허가 심사에 착수한 지 꽤 됐다”며 “조만간 결론이 나올 것으로 보이는 만큼, EMA 데이터와 (식품의약품안전처 등) 허가당국의 의견을 참고할 것”이라고 밝혔다. 앞서 스푸트니크V 백신 개발 지원과 해외 생산 및 공급을 담당하는 ‘러시아직접투자펀드(RDIF)’는 1월 29일(현지 시간) EMA에 백신 등록 신청서를 제출한 바 있다. 식품의약품안전처는 이날 “외교부에 공문을 보내 재외공관을 활용한 정보 수집을 진행 중”이라며 “혈전 발생 등 이상반응과 관련한 안전성 정보를 수집하고 있다”고 전했다. 이런 상황에서 EMA 결과가 나오면 믿을 만한 데이터를 확보할 수 있어 객관적 검증이 수월하리란 기대가 나온다. 스푸트니크V는 현재 전 세계 61개국에서 사용되고 있다. 하지만 대부분 멕시코, 인도, 이집트, 몽골 등 개발도상국에서 쓰이고 있고, 유럽 등 선진국에서 사용한 사례는 한 건도 없다. 세르게이 베르시닌 러시아 외교차관은 이날 “5월에 2차 조사가 끝나면 스푸트니크V 백신이 세계보건기구(WHO)의 긴급 승인을 받을 것으로 기대한다”고 말했다.김성규 sunggyu@donga.com·김민 기자 
"
