,press,reporter,title,content
2,머니투데이,김영상,"화이자 공급 일시부족…국민의힘 ""바닥난 백신에 민심도 바닥"" - 머니투데이","(서울=뉴스1) 성동훈 기자 = 30일 오전 서울 마포구 예방접종센터에서 어르신들이 화이자 백신을 맞고 있다.  

국민의힘이 화이자의 코로나19 백신 공급 일시 부족을 두고 ""바닥난 백신에 민심도 바닥난다""고 비판했다. 

김예령 국민의힘 대변인은 1일 논평에서 ""충분한 물량도 확보하지 않은 채 11월 집단면역이라는 목표가 누구에 의해서 어떻게 나온 것인지 묻지 않을 수 없다""며 이같이 밝혔다. 

앞서 75세 이상 고령층을 대상으로 하는 코로나19 화이자 백신 1차 접종이 일부 지자체에서 중단됐다. 전국적으로 화이자 백신 부족 현상이 나타나자 우선 2차 접종에만 집중하기로 하면서다. 

김 대변인은 ""백신이 지연 공급된 사례는 단 한 건도 없었다는 홍남기 부총리의 말이 무색하게 결국 우려는 현실이 됐다""며 ""의료계와 야당이 지난해부터 신속하고도 충분한 물량 확보를 요구했지만 그때마다 정부는 천하태평 충분히 확보했다는 말만 되풀이했다""고 지적했다.

이어 ""언론과 야당이 백신 수급과 안전 문제 등을 거론할 때만 '가짜뉴스'라며 늑대같이 물어뜯으며 반응을 보이니 도리를 다하지 않고 생떼만 쓰는 천상천하 유아독존""이라며 ""코로나19가 국민 안전과 국민 건강을 넘어 민생경제까지 심각하게 훼손하는 절대적 위기에 봉착했기에 백신 정책을 비판했던 것""이라고 했다. 

김 대변인은 ""목표만 거창하고 과정은 없는 정부의 단세포적인 안일함과 무능이 바닥 난 백신마냥 민심까지 한계점에 도달시킨다는 것을 깨달아야 한다""며 ""국민 불식을 종식하려면 백신별, 월별 도입 물량과 재고 물량, 접종 계획이 담긴 구체적이고 세밀한 백신 로드맵을 내놓아야 한다""고 요구했다. 

그러면서 ""미국과 이스라엘 등은 마스크를 벗고 일상으로 회귀하는 중인데 우리 국민들은 과학적 근거도 없는 5인 이상 모임 금지 등으로 인간적 교류도 끊기고 경제적 손해도 막심하다""고 꼬집었다."
50,머니투데이,김지훈,文-바이든 첫 대면 회담…북핵·백신·기후변화 현안 산적 - 머니투데이,"(서울=뉴스1) 유승관 기자 = 문재인 대통령이 27일 청와대 여민관에서 열린 제18회 국무회의에서 발언하고 있다. 2021.4.27/뉴스1  

문재인 대통령이 다음달 21일(현지시간) 미국 백악관에서 조 바이든 미국 대통령과 한미 정상회담을 갖는다.   문 대통령과 바이든 대통령간 첫 대면 회담으로 '동맹 강화'를 중시하는 바이든 대통령과 회담이 조기에 성사됐다. 바이든 대통령 입장에선 스가 요시히데 일본 총리에 이어 외국 정상과 두 번째 대면 회담이 된다.  

이번 회담을 위해 코로나19 백신 접종을 보름 가량 앞당겨 마친 문 대통령은 바이든 대통령과 우선 북핵 문제를 비롯한 주요 안보 현안을 논의한다. 기후 변화 경제 협력 등 폭넓은 안건도 의제로 오른다. 

다만 청와대는 한국의 '쿼드(QUAD·미국 일본 호주 인도 4개국 협의체) 참여가 의제로 오를 예정이란 일각의 관측은 강하게 부인했다. 국내 백신 저변을 넓히기 위해 우리나라를 아시아의 백신허브로 삼는 안건이 논의될지에 대해선, ""세세한 세부 과정은 준비 단계""라며 여지를 남겼다. 미국의 반중연대 구축에 신중한 자세를 취하면서도 '백신외교' 성과를 확보하려는 고민을 드러내는 대목이다.

━韓美 동맹 과시 이벤트…한반도의 완전한 비핵화부터 경제협력 등 논의━
(덜루스 AFP=뉴스1) 우동명 기자 = 조 바이든 미국 대통령이 29일(현지시간) 취임 100일을 맞아 조지아주 덜루스의 인피니트 에너지 센터에서 열린 드라이브 인 스루 집회서 연설을 하고 있다.  (C) AFP=뉴스1  

정만호 청와대 국민소통수석은 이날  ""코로나19로 어려운 상황에서 대면 정상회담이 조기 개최되는 것은 한미동맹의 중요성을 잘 보여주는 것""이라고 밝혔다. 이어  ""양 정상이 이번 회담을 통해 한미동맹의 굳건함을 재확인하고 양 정상과 국민들 간 우정을 바탕으로 양국간 포괄적이고 호혜적인 협력관계를 확대 발전시킬 것""이라고 설명했다. 백악관도 이날 젠 사키 백악관 대변인 명의 성명에서 ""문 대통령의 이번 방문으로 한미의 철통같은 동맹관계와 우리 정부와 국민, 경제 사이의 광범위하고 깊은 유대가 강조될 것""이라고 밝혔다. 

정 수석은 회담 의제와 관련해서는, ""한반도의 완전한 비핵화 및 항구적 평화정책 진전을 위한 한미 긴밀한공조 방안을 비롯해 경제 통상 실질협력과 기후 변화 코로나 19 도전과제 대응 협력을 심도 있게 논의할 것""이라고 했다. 
━백신외교도 관건…경제 사절단은 축소 가능성━이날 청와대  고위 당국자는 쿼드가 정상회담 의제로 들어갈 것이란 일각의 관측과 관련, ""전혀 사실이 아니다""라고 말했다. 

다만 ""여러차례 말씀 드렸지만, 개방성, 포용성, 투명성과 같은 우리의 협력 원칙에 부합하고 국익과 지역 글로벌, 평화에 번영한다면 어떠한 협력도 가능하다""고 했다. 

 [서울=뉴시스]박영태 기자 = 문재인 대통령이 22일 청와대 상춘재에서 화상으로 열린 기후정상회의에 참석해 조 바이든 미국 대통령의 모두발언을 듣고 있다. 2021.04.22. since1999@newsis.com아시아 백신 허브국에 우리나라를 지정하는 방안과 관련해선 ""구체적인 내용들을 논의할 단계가 아니다""고 했다. 이어 ""(의제의) 큰 제목으로 코로나 대응 협력 방안이지만 세세한 세부 과정은 준비 단계""라고 했다. 

대규모 경제사절이 과거처럼 문재인 대통령과 동행할지도 확정되지 않았다.  이 관계자는 ""통상 과거에 (경제인들이 동행을) 했지만 코로나 상황 있어서 필요한 일정 있는지 내부적으로 검토하고 있다""며 ""양국 간 조율이 확정적이진 않지만 줄어들 가능성이 있다""고 했다. 

청와대에 따르면 문 대통령은 이날 오전 9시 서울시 종로구 보건소를 방문해 아스트라제네카 백신 2차 접종을 받았다. 1차 접종을 함께 받았던 김정숙 여사와 대통령비서실 직원 등 8명이 동행해 함께 접종을 받았다. 지난 3월 23일 1차 접종을 담당했던 간호사가 동일하게 문 대통령 일행의 2차 접종을 맡았다.

원래 문 대통령은 오는 6월 열리는 G7(주요7개국) 회의 초청을 받으면서 '필수목적 출국을 위한 예방접종 절차'에 따라 5월 중순까지 접종을 마무리하려 했다. 하지만 미국 방문계획이 구체적으로 잡히고 출국 전 충분한 항체 형성기간(2차 접종 후 14일 경과)이 필요함에 따라 당초 예정된 접종일 보다 일정을 앞당긴 것이다.""고 했다."
77,머니투데이,김지훈,文대통령 AZ백신 2차접종…한미정상회담으로 2주 앞당겨 - 머니투데이,"(서울=뉴스1) 유승관 기자 = 문재인 대통령이 3월 23일 서울 종로구보건소에서 신종 코로나바이러스 감염증(코로나19) 예방을 위한 아스트라제네카(AZ)사의 백신을 맞고 있다. 2021.3.23/뉴스1  

문재인 대통령이 30일  코로나19(COVID-19) 2차 예방접종을 마쳤다. 조 바이든 미 대통령과 정상회담을 비롯한 방미 일정이 구체화되면서  5월 중순 받으려던 2차 접종을 예정보다 보름여 앞당겨 받았다.  

청와대는 문 대통령이 이날 오전 9시 서울시 종로구 보건소를 방문해 아스트라제네카 백신 2차 접종을 받았다고 밝혔다. 1차 접종을 함께 받았던 김정숙 여사와 대통령비서실 직원 등 8명이 동행해 함께 접종을 받았다. 지난 3월 23일 1차 접종을 담당했던 간호사가 동일하게 문 대통령 일행의 2차 접종을 맡았다.

앞서 문 대통령은 오는 6월 열리는 G7(주요7개국) 회의 초청을 받으면서 '필수목적 출국을 위한 예방접종 절차'에 따라 5월 중순까지 접종을 마무리하려 했다.

하지만 최근 문 대통령의 미국 방문계획(5월 중)이 구체화되고 출국 전 충분한 항체 형성기간(2차 접종 후 14일 경과)이 필요함에 따라 당초 예정된 접종일 보다 일정을 앞당긴 것이라고 청와대는 설명했다. 

청와대와 미 백악관에 따르면 이날 문 대통령이 현지시각 기준으로 21일 미 워싱턴에 있는 백악관을 방문해  조 바이든 미 대통령 취임 이후 첫 정상회담을 갖는다. 이는 바이든 대통령의 초청에 따른 것이다. 문 대통령이 한미 양자정상회담을 위해 방미하는 건 이번이 네 번째다. 
질병관리청은 긴급한 해외 출국자에 한하여 4주 간격으로 1·2차 접종을 허용하고 있으며 아스트라제네카 백신은 국내·외에서 4~12주 접종 간격으로 허가돼 사용되고 있다."
132,머니투데이,이지윤,"'접종 다급한' 일본, 다음달 모더나 혹은 AZ 백신 승인 - 머니투데이","고노 다로  일본 행정개혁장관/사진=[도쿄=AP/뉴시스] 

일본의 백신 예방접종을 총괄하는 고노 다로 행정개혁장관이 다음달 두 번째 코로나19 백신 승인이 완료된다고 밝혔다.

29일 니혼게이자이신문 등에 따르면 고노 장관은 이날 니혼TV에 출연해 ""아마 오는 5월 말 모더나 혹은 아스트라제네카(AZ)가 승인될 것""이라고 말했다. 일본에선 현재 화이자 백신만 승인을 받은 상태로 다른 백신이 추가적으로 승인을 받을 경우 접종에 더 속도가 붙을 전망이다. 

고노 장관은 백신 접종을 가속화하기 위해 광역지방자치단체가 대규모 접종장을 운영할 것이라고도 언급했다. 

도쿄올림픽을 3개월도 남겨두지 않은 일본은 경제협력개발기구(OECD) 회원국 중 가장 낮은 백신 접종률을 기록하고 있다. 블룸버그통신의 집계에서 일본의 백신 접종률은 전체 인구 대비 1.3%로 미국(36.5%)이나 영국(35.6%) 비해 크게 떨어지고 중국(8.4%)과 한국(2.6%)에도 뒤처져있다. 

아울러 고노 장관은 진료시간 이외에 접종에 나선 의료진을 위한 지원금을 검토하고 있다며 ""곧 발표될 것""이라고 했다.

최근 일본에서 간호사를 중심으로 도쿄올림픽 파견 반대 목소리가 높아지는 분위기를 고려한 것으로 보인다. 트위터 상으로 '#간호사의올림픽파견은곤란하다'(#看護師の五輪派遣は困ります)는 해시태그가 확산하고 있으며, ""올림픽에 나눠줄 인력은 없다"" 등의 불만이 잇따르고 있다. 

일본은 지난 12일부터 65세 이상 고령층에 대한 백신 접종을 시작했는데 당시 접종권이 한 번에 발송되면서 각 지방자치단체에 예약이 쇄도하는 혼란이 벌어졌다. 이와 관련 고노 장관은 ""(다음 백신 접종 대상자인) 기초질환자의 경우 지방자치단체와 협의해 대응하겠다""고 덧붙였다."
149,머니투데이,최경민,"'코로나 백신 휴가' 도입 초읽기…""자영업자 등 사각지대도 보완"" - 머니투데이","(서울=뉴스1) 박세연 기자 = 전용기 더불어민주당 의원이 9일 오전 서울 여의도 국회 소통관에서 '더불어민주당 2030의원 입장문' 발표를 하고 있다. 2021.4.9/뉴스1     

이르면 올 하반기부터 '코로나19 백신 휴가'가 도입될 가능성이 높아졌다.

29일 더불어민주당 전용기 의원실에 따르면 '감염병의 예방 및 관리에 관한 법률 일부개정법률안'이 지난 27일 국회 보건복지위원회 법안소위를 통과했다. 이 법안은 지난 3월 전 의원이 발의한 것이다.

대통령령으로 정한 감염병의 백신을 접종할 경우 사업주가 이틀간의 유급휴가 비용을 지원해야 한다는 내용을 담고 있다. 백신 유급휴가 대상, 감염병 범위, 비용 지원 등은 대통령령으로 위임하기로 했다.

법안은 빠르면 다음달 국회 본회의에서 통과될 예정이다. 부칙에 따라 법 시행 후 3개월 이후부터 적용될 가능성이 높다.

코로나19 백신 접종 뒤 1~2일 동안 유급으로 쉴 수 있는 '백신 휴가'를 도입해야 한다는 여론이 꾸준히 제기돼 왔다. 백신 접종이 시작된 뒤 즉각적인 업무 복귀가 힘들 정도로 고열이나 통증에 시달렸다는 접종 후기가 적지 않게 신고됐기 때문이다.

전용기 의원은 ""대기업 노동자나 공무원은 휴가 사용이 가능하지만 자영업자, 아르바이트생, 프리랜서, 특수고용자 등 법의 적용을 받지 못하는 사각지대에 놓인 분들이 훨씬 많다""며 ""백신 휴가 적용이 또 다른 불평등을 야기하지 않도록 보완 방안을 강구해 나가겠다""고 말했다."
154,머니투데이,황시영,"바이든 ""미국은 이륙 준비 끝…타국 위한 '백신 무기고' 될 것"" - 머니투데이","[워싱턴=AP/뉴시스]조 바이든 미국 대통령이 취임 100일을 하루 앞둔 28일(현지시간) 워싱턴의 국회의사당에서 열린 연방 상·하원 합동회의에 참석해 연설하고 있다. 2021.04.29.

조 바이든 미국 대통령이 미국이 코로나19 팬데믹과의 싸움에서 ""코너를 돌았다""고 말했다. 코로나19 문제를 어느 정도 극복했다는 뜻을 보인 그는 다른 나라를 돕겠다는 의지도 강조했다. 

바이든 대통령은 28일 밤(현지시간) 취임 후 처음으로 가진 상·하원 합동 연설에서 ""미국이 다시 움직이고 있다. 위험이 가능성으로, 위기가 기회로, 좌절이 강인함으로 바뀌고 있다""며 이같이 밝혔다. 자신이 최악의 전염병과 경제위기, 민주주의 공격 속에 취임했지만 ""미국은 100일간 구조와 재건 이후 이륙할 준비가 됐다""면서 한 말이다. 

미국의 지난 1년여 코로나19와 전쟁에 대해 그는 ""최대 보급의 성취 중 하나""(one of greatest logistical achievements)라고 했다. 지난해 12월부터 지금까지 미국 내 수송된 3억1500만도스의 코로나19 백신 보급을 의미하는 것이다. 백신 성과를 내세우며 코로나19로 어려움을 겪는 국가에 대한 백신 지원도 언급했다. 그는 ""미국이 2차 세계대전에서 민주주의(국가)의 무기고였던 것처럼""이라며 미국이 다른 나라를 위한 백신의 무기고가 될 것이라고 말했다.

바이든 대통령은 ""우리의 필요에 맞게 우리의 백신 공급이 증가함에 따라 우리는 그것들을 충족시키고 있다""며 미국의 백신 상황이 타국 지원이 가능한 상태임을 강조했다. 앞서 그는 인도에 코로나19 백신을 지원하겠다고 밝힌 바 있다. 

이날 그는 '미국 구조계획'이라 명명된 1조9000억달러 규모의 전염병 대유행 경기부양안, 2억회 이상의 백신 접종 등 코로나19 극복을 자신의 성과로 부각시키기도 했다.

바이든 대통령은 자국 경제 활성화와 미래를 위해, 1차와 2차를 합쳐 총 4조500달러(약 4500조원) 규모의 초대형 인프라 투자 예산 처리를 의회에 촉구했다. 

우선 지난달 말 제안한 2조2500억달러(약 2500조원) 규모의 '미국 일자리 계획'(1차 인프라 부양안) 예산 처리를 요구했다. 그는 '미국 일자리 계획'이 교통 인프라, 식수 개선 등 전통적 인프라는 물론 초고속 인터넷, 기후변화, 첨단산업 육성을 위한 투자라고 호소했다. 

또 ""미국 일자리 계획에서 창출된 인프라 일자리의 약 90%는 대학 학위가 필요 없다""며 ""미국을 건설하기 위한 블루칼라의 청사진""이라고 말했다. 

이 자리에서 바이든 대통령은 보육과 교육 지출을 대폭 확대하는 1조8000억달러 규모의 '미국 가족 계획'(2차 인프라 부양안)도 발표하며 관련 예산 확보 필요성 역시 호소했다. 여기에는 3~4세 유치원 무상 교육, 2년간 커뮤니티 칼리지 무상 교육, 가족돌봄과 의료 목적의 유급 휴가 확대, 보험료 지원, 자녀세액공제 2025년까지 연장 등이 포함됐다.

재원 마련을 위한 '부자 증세' 추진 입장도 분명히 했다. 그는 ""이제 미국의 기업과 가장 부유한 1% 미국인이 그들의 공정한 몫을 지불할 때""라며 법인세와 소득세, 자본이득세 세율 인상 등 '부자증세' 필요성을 강조했다.

중국과 관련해서 바이든 대통령은 ""시진핑 중국 국가주석과 이야기했는데, 중국은 '세계에서 가장 중요하고 중대한 국가'가 되기 위해 필사적으로 노력하고 있는 것이 분명하다""고 말했다. 

또 ""중국과 다른 나라들이 빠르게 우리를 추격하고 있다""면서 ""우리는 미래의 제품과 기술(반도체, 배터리, 생명공학 등)을 개발하고 지배해야 한다""고 강조했다.

북한과 이란의 핵 위협에 대해서는 '동맹국과 협력'을 강조했다. 바이든 대통령은 ""미국의 안보와 세계 안보에 심각한 위협이 되는 이란과 북한의 핵 프로그램에 대해 우리는 동맹국들과 긴밀히 협력해 외교와 엄중한 억지(stern deterrence)를 통해 양국이 제기하는 위협에 대처할 것""이라고 말했다.

그러면서 테러리즘과 핵 확산, 대규모 이주, 사이버안보, 기후변화, 전염병 대유행을 예로 들며 ""어떤 나라도 우리 시대의 위기를 홀로 대처할 수는 없다'고 밝혔다."
216,머니투데이,김근희,"7월부터 하루 최대 150만명, 코로나19 백신 접종 가능 - 머니투데이","15일 오전 서울 양천구 해누리타운에 마련된 코로나19 백신 예방접종센터에서 관내 만 75세 이상 어르신들이 화이자 백신 접종을 받고 있다. /사진=이기범 기자 leekb@

방역당국이 오는 7월부터 코로나19(COVID-19) 백신 접종이 하루에 최대 150만명까지 가능해질 것이라고 봤다.

홍정익 코로나19 예방접종대응추진단 예방접종기획팀장은 28일 온라인으로 열린 백브리핑에서 ""산술적으로 1만개 위탁의료기관과 260여개 예방접종센터 기관당 하루에 100명 접종을 한다고 가정하면, 보수적으로 잡아도 하루 최대 150만명까지 접종이 가능할 것""이라고 밝혔다.

홍 팀장은 ""다만 150만명 접종은 예방접종이 집중되는 날이고, 지난 1~2주간 70~40% 수준의 방문 예약 접종자가 백신을 맞았다""고 설명했다. 이어 ""하루 50만명씩 2주일 정도만 접종이 이뤄지면 상당한 수준의 접종이 이뤄지게 될 것""이라고 했다. 

홍 팀장은 ""지금 중요한 것은 예방접종에 대해 국민이 얼마나 동참하느냐에 달렸다""며 ""안정적이고 꾸준하게 예방접종이 잘 이뤄지도록 관리하는 게 목표""라고 강조했다.

앞서 정은경 질병관리청장도 지난 26일 열린 국회 보건복지위원회 전체회의에서 ""오는 7월이면 하루에 100만명~150만명 접종이 가능할 것""이라고 전망했다.

정 청장은 국회 복지위 전체회의에서 허종식 더불어민주당 의원 질의에 ""5월부터 속도가 날 것으로 판단한다. 3분기 (백신) 도입량이 상당히 많아서 그때부터 본격적으로 확대해서 접종할 계획""이라고 말했다."
257,머니투데이,최경민,"성일종 ""화이자·모더나가 '백신 구매' 졸랐다? 박능후는 구속감"" - 머니투데이","(서울=뉴스1) 신웅수 기자 = 성일종 국민의힘 의원. 2021.4.13/뉴스1  

성일종 국민의힘 의원은 화이자·모더나 등 글로벌 제약사들이 우리 정부에 코로나19 백신을 공급하기 위해 줄을 섰다는 취지로 말을 한 박능후 전 보건복지부 장관을 겨냥해 ""구속감""이라고 밝혔다.

성 의원은 28일 CBS라디오 '김현정의 뉴스쇼'에 출연해 지난해 11월 박 전 장관의 코로나19 백신 관련 국회 보고를 거론하며 ""모더나, 화이자가 와서 사달라고 조르고 있다고, 그래서 가격을 깎고 있다고 그랬다""고 말했다.

이어 ""대국민보고에서 가짜뉴스였다. 증권시장으로 얘기를 하면 거짓 공시한 것""이라며 ""거짓 공시를 하면 구속하고 상장폐지가 된다. 정부가 상장폐지할 일""이라고 강조했다. 진행자가 ""구속감인가""라고 묻자 성 의원은 ""그렇다""고 답했다.

지난해 11월 박능후 당시 보건복지부 장관은 화이자와 모더나의 백신에 대해 ""두 회사에서도 일반적인 예상과 달리 오히려 그쪽에서 우리에게 빨리 계약을 맺자고 하는 상황""이라고 언급했다. 이 언급을 바탕으로 친여 성향 커뮤니티에서는 화이자·모더나가 한국 정부의 바짓가랑이를 붙잡고 있는 만평까지 만들어 유포했던 바 있다.

성 의원은 문재인 대통령이 지난해 12월 모더나 최고경영자(CEO)와 통화한 후 올해 2분기부터 모더나 백신이 국내에 들어올 것이라고 밝힌 것에 대해서도 ""이 화상통화를 하도록 만들었던 책임자들 다 문책해야 한다. 홍남기 경제부총리는 국회에 나와서 2분기에 못 들여온다고 그랬다""고 설명했다.

성 의원은 ""미리 확보를 안 한 걸 가지고 '우리는 코로나19 환자 수가 적게 나오기 때문에 늦어도 괜찮다'는 것은 있을 수 없는 얘기""라며 ""확진자가 나오든 안 나오든 국가의 운명을 걸고 해야 하는 것이다. 이것을 안 해 놓고 와서 지금은 미국 탓하고, 야당 탓하는 것은 있을 수 없다""고 말했다.

그는 ""백신에 대해 '화이자·모더나 안 산 게 잘한 것'이라고 했던 기모란 같은 사람을 청와대 방역기획관으로 갖다 놨다""며 ""이것에 대한 총체적인 책임을 지고, 여당이 국민한테 미안하다고 해야 한다. 가짜뉴스 양산하지 말고 제대로 된 공시하라""고 밝혔다."
262,머니투데이,유효송,"홍남기 ""늦어도 내년 초 국산 백신 개발되도록 총력 지원"" - 머니투데이","홍남기 국무총리 직무대행이 28일 오전 서울 종로구 정부서울청사에서 열린 신종 코로나바이러스 감염증(코로나19) 중앙재난안전대책본부(중대본) 회의에서 모두 발언을 하고 있다/사진=뉴스1

국무총리 직무대행을 맡고 있는 홍남기 경제부총리 및 기획재정부 장관은 28일 ""정부는 올해 말이나 늦어도 내년 초 국산 백신이 개발될 수 있도록 전임상·임상·생산 전주기에 걸쳐 총력 지원 중""이라고 말했다. 

홍 총리대행은 이날 정부서울청사에서 열린 코로나19(COVID-19) 중앙재난안전대책본부 회의에서 ""백신수급문제 근본해법중 하나가 백신 자주권 확보, 즉 국산백신의 개발""이라며 이같이 밝혔다. 

그는 ""정부가 발표한 계획백신이 차질없이 도입돼 공급되도록 최우선적으로 대응해 나갈 것""이라며 ""현재 국내 백신은 5개 기업에서 임상시험을 진행 중으로 이중 2개 백신이 임상 2상을 개시해 하반기 3상 진입이 예상된다""고 설명했다. 

그러면서 ""특히 어제(27일) 대통령께서 노바백스 CEO와 면담을 갖고 백신도입 협의와 함께 기술이전 생산방식 계약을 내년 이후까지 연장하는 방안을 추진하기로 합의했다""며 ""향후 우리 백신개발 원천기술 확보 및 발전에도 크게 기여할 것으로 기대된다""고 말했다. 

홍 총리대행은 ""어제까지 259만명이 1차 접종을 받았으며 접종에 협력해주신 국민 여러분과 고군분투 중인 의료진께 감사의 말씀을 드린다""며 ""앞으로 3일간 백신접종을 착실히 진행해 4월 300만명 접종 약속 부터 일단 정부는 꼭 지키도록 할 것""이라고 강조했다. 

방역수칙 준수도 거듭 강조했다. 홍 총리대행은 ""정부는 이번 주를 '특별 방역관리주간'으로 정해 집중 방역점검 중""이라며 ""이틀간 24개 부처에서 2148개소 긴급 점검 결과, 거리두기 미준수, 마스크 미착용 등 방역지침 위반건수만 238건""이라고 전했다."
276,머니투데이,정진우,"노바백스CEO 만난 文대통령 ""백신 기대 커…SK와 협력하길"" - 머니투데이","문재인 대통령이 27일 스탠리 어크 노바백스 CEO를 만난 자리에서 ""한국 국민들은 노바백스 백신에 큰 기대를 걸고 있다""며 ""노바백스 백신은 임상시험 과정에서 아주 탁월한 면역 효과 보여줬고, 특히 영국 변이 바이러스와 남아공 변이 바이러스가 출연한 이후에도 임상이 이뤄졌기 때문에 그 두 변이 바이러스에 대해서도 높은 효과가 있다는 것이 확인됐다고 들었다""고 밝혔다.

박경미 청와대 대변인은 이날 오후 춘추관에서 브리핑을 통해 문 대통령이 오후 3시 청와대 본관에서 어크 회장을 접견하고, 노바백스에서 개발 중인 코로나19 백신과 관련한 협력 방안 등에 대해 의견을 나눴다고 말했다.  문 대통령과 어크 회장은 지난 1월20일 영상회의 이후 두 번째 만남이다.

문 대통령은 모두발언에서 ""노바백스 백신은 실제 사용에 있어서도 보관에서 별도의 콜드체인(저온 유통체계)이 필요 없이 일반 냉장고의 온도로 보관하면 되고, 유통기간이 아주 길어서 실제 접종에 사용하기에 아주 편리하다고 들었다""며 ""그 점에서 더욱 기대가 크다""고 높이 평가했다.

이에 어크 회장은 ""문 대통령께서 저보다 노바백스에 대해 더 잘 알고 계시다""고 화답했다. 그러면서 ""앞으로 노바백스를 독감 백신과 결합시켜 코로나까지 한 번 접종으로 예방효과가 있을 것""이라고 강조했다.

그러자 문 대통령은 ""우리 국민은 매년 독감 백신을 접종하는데, 코로나와 한번에 맞을 수 있다면 매우 편리할 것이라고 기대한다""고 말했다.

어크 회장은 ""노바백스와 SK바이오사이언스사가 1년 전부터 협력해오며 서로 배우고 있는데, SK바이오사이언스는 백신 제조 역량이 뛰어난 훌륭한 협력사다""고 했다. 이어 ""원자재 확보에 대한 한국의 전폭적인 지원에 감사드린다""고 덧붙였다.

문 대통령은 ""노바백스는 세계적인 백신 제조회사이고, SK바이오사이언스사는 바이오·의약품 생산 능력이 뛰어난 만큼 두 회사가 좋은 협력 관계가 지속되도록 정부가 지원하고, 식품의약품안전처에 전담심사팀을 신설해 노바백스 백신 도입에 신속한 허가가 이뤄질 수 있도록 협력하겠다""고 말했다.
박 대변인은 ""앞으로 백신 분야에서 노바백스와 한국의 협력을 통해 전 인류의 생명보호와 건강증진에 함께 기여해 나가자는 데 뜻을 모으며 접견을 마쳤다""고 설명했다.

청와대 핵심 관계자는 ""양쪽이 굉장히  화기애애하고 덕담이 오가는 그런 분위기였다""며 ""어떤 사안에 대해서 이견이 있다거나 그런 것은 전혀 없었다""고 말했다. 

한편 이날 접견엔 노바백스사에서 존 헤르만 최고법무경영자가, SK측에서는 최창원 SK디스커버리 부회장, 안재용 SK바이오사이언스 사장이 참석했다. 정부에선 성윤모 산업통상자원부·권덕철 보건복지부 장관이, 청와대에서는 이태한 사회수석과 류근혁 사회정책비서관, 이호준 산업정책비서관, 기모란 방역기획관 등이 자리했다."
