,Unnamed: 0,date,title,press,reporter,content
8,8,2021.05.03 17:32,문 대통령 “백신생산 허브 되기 위해 전폭적으로 기업 지원”,경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 3일 “백신생산 글로벌 허브가 되기 위한 입지·규제 완화와 세제 혜택 등 전폭적인 기업 지원을 아끼지 말라”고 말했다.문 대통령은 이날 청와대에서 주재한 제2차 특별방역점검회의에서 정은경 질병관리청장, 전해철 행정안전부 장관, 권덕철 보건복지부 장관으로부터 안건보고를 받은 후 이같이 말했다고 박경미 청와대 대변인이 서면브리핑을 통해 전했다. 오는 21일 미국 워싱턴에서 열리는 한·미정상회담에서 아시아 백신생산 허브로 한국을 지정하는 방안이 논의될 수 있다는 관측이 나오는 가운데, 이를 성사시키기 위한 정부 차원의 지원을 주문한 것으로 해석된다.이어 문 대통령은 “방역에 만전을 다함과 동시에 백신 물량 확보와 접종 속도를 내기 위해 모든 역량을 기울여 달라”면서 “올 여름휴가가 중요한 고비가 될 수 있고, 내년에 3차 접종이 필요한 상황이 올 수 있는 점을 감안할 때 충분한 백신 확보가 무엇보다 중요하다”고 강조했다.아울러 “국산 백신 개발을 위해 지금까지와 차원이 다른 과감이 지원이 필요하다”며 “경제도, 민생도 방역과 백신의 기반 위에 있는 만큼 그 어떤 정책적 과제보다 방역과 백신을 최우선 순위에 놓고 국가적 총력을 기울여야 한다“고 강조했다."
11,11,2021.05.03 15:08,문 대통령 “백신 도입·접종 원활…상반기 목표 1300만명으로 높일수도”,경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 3일 “지금처럼 시기별 백신 도입 물량을 최대한 효과적으로 활용한다면 상반기 1200만명 접종 목표를 1300만명으로 상향할 수 있을 것이라는 보고도 받았다”며 “11월 집단면역 달성 목표도 계획보다 앞당길 수 있도록 총력을 다해주기 바란다”고 말했다.문 대통령은 이날 청와대에서 주재한 제2차 특별방역점검회의에서 “백신 도입과 접종은 당초의 계획 이상으로 원활하게 진행되고 있다”면서 이같이 밝혔다. 백신 1차 접종이 잇달아 지연되면서 ‘5월 백신 보릿고개’ 현실화에 대한 우려가 높아지는 점을 불식시키기 위한 발언으로 해석된다. 일시적인 수급 불균형에 대한 우려에도 불구하고 상반기 1200만명 접종→11월 집단면역 형성이란 백신 접종의 큰 스케줄은 여유있게 달성할 수 있다는 취지다.문 대통령은 “우리나라 인구 두 배 분량의 백신을 이미 확보했고, 4월 말까지 300만명 접종 목표를 10% 이상 초과 달성하는 등 접종도 속도를 내고 있다”면서 “5월에도 화이자 백신은 주 단위로 국내에 안정적으로 공급될 것이며, 아스트라제네카 백신은 당초 계획보다 더 많은 물량이 앞당겨 들어온다”고 강조했다.그러면서 “정부는 치밀한 계획에 따라 백신별 도입 물량을 1차 접종과 2차 접종으로 가장 효과적으로 배분하고 있다”며 “국민들께서 불안감을 가지지 않도록 백신에 대한 정보를 투명하게 알리고, 잘못된 정보가 유통되고 있는 것에 대해선 바로잡는 노력을 강화해주기 바란다”고 당부했다. 백신과 관련한 부정확한 정보가 확산되는 것을 경계하는 한편, 백신 수급 및 접종을 둘러싼 일부 언론 보도에 대해서도 우회적으로 불만을 표출한 것으로 풀이된다.문 대통령은 또 “대규모 백신 접종을 위한 인프라 구축도 신속하게 진행되고 있다. 전국에 257개의 예방접종센터가 설치됐고, 이달부터는 1만4000개의 민간위탁기관도 순차적으로 개소한다”며 “일선 보건소와 지자체가 백신 접종 업무부담 때문에 역학조사나 선별진료소 운영 등의 방역 활동에 어려움을 겪지 않도록 조직과 인력 증원 등의 지원책을 신속히 강구하고, 우수한 민간 의료자원을 백신 접종에 최대한 활용해 주기 바란다”고 말했다.이와 함께 “백신 확보를 위한 전 세계적인 무한경쟁 속에서 백신 주권 확보는 무엇보다 중요한 과제”라며 “개발비용의 부담이 매우 크기 때문에 성공 가능성이 높은 국산 제품들에 집중하여 과감하게 지원하는 등 내년에는 우리 기업이 개발한 국산 백신을 사용할 수 있도록 총력을 다해 주기 바란다”고도 했다.이어 문 대통령은 “우리나라는 백신 생산의 글로벌 허브가 될 수 있는 나라로 주목받고 있다. 세계 2위의 바이오의약품 생산능력을 보유한 국가이며, 현재 해외에서 개발된 코로나 백신 세 개 제품이 국내에서 위탁 또는 기술이전 방식으로 생산되고 있다”면서 “한국이 백신 생산의 최적지로서 글로벌 허브 국가가 된다면 국내 공급은 물론 아시아 등 전 세계 백신 공급지로서 크게 기여하게 될 것이다. 그 목표를 위해 민·관이 적극 협력하면서 필요한 행정적·외교적 지원을 다해주기 바란다”고 강조했다."
12,12,2021.05.03 14:06,"문 대통령, 송영길에 당부 “부동산·백신 해결이 최우선···당청 호흡 맞춰야”",경향신문,김상범 기자 ksb1231@kyunghyang.com,문재인 대통령은 3일 송영길 더불어민주당 신임 당대표에게 “부동산과 백신 문제 해결이 최우선 과제”라며 “당청이 호흡을 잘 맞춰 해결해 나가 달라”라고 당부했다.문 대통령은 이날 오전 송 신임 대표와의 당선 축하 통화에서 “송 대표를 중심으로 ‘원 팀’을 만드는 것이 중요하다”라며 이같이 말했다고 이용빈 민주당 대변인이 브리핑을 통해 밝혔다.문 대통령은 “송 대표가 화합적이니 잘 해 주실 것이라고 믿는다. 당원들도 그 점을 높이 평가해 (송 대표를) 지지한 것으로 안다”라며 “당정청이 함께 변화되는 모습을 보여줘야 한다. 송 대표가 앞장서 달라”라고 강조했다.그러면서 문 대통령은 “송 대표 이야기대로 부동산과 백신 문제 해결이 최우선 과제다. 당청이 호흡을 잘 맞춰 해결해 나가 달라”라며 “조만간 다시 만나 더 많은 대화를 나누길 바란다”라고 덧붙였다.송 신임 대표는 문 대통령에게 “(문재인 대선캠프)총괄선대본부장으로서 문재인 정부를 출범시킨 처음 그 자세 그대로 문재인 정부를 끝까지 성공시키겠다”라고 말했다.
14,14,2021.05.03 11:41,송영길 “봉하마을 참배 미루고 정책 리뷰…부동산 백신 ‘엇박자’ 피해야”,경향신문,윤승민 기자 mean@kyunghyang.com,"송영길 더불어민주당 신임 대표는 3일 “현 정부가 ‘민주당 정부’라고는 했지만 정책 주도권은 당보다 청와대가 쥘 때가 많았다”며 “차기 정부를 효과적으로 운영할 수 있게 하기 위해서라도 당 차원에서 정책을 잘 준비하고 당 중심으로 대선을 준비해야 한다”고 말했다.송 대표는 이날 취임 후 첫 기자간담회에서 이같이 말했다. 송 대표는 “당을 쇄신하려면 대외적으로는 부동산·백신 문제를 잘 해결해야 하고, 당내에서는 당내 민주주의 강화, 공정한 대선 경선 경쟁, 원팀 완성을 과제로 꼽는다”며 “이것들을 잘 진행해야 국민들이 저희에게 정권을 다시 맡겨줄 수 있지 않겠냐”고 말했다.송 대표는 “내일(4일) 봉하마을과 5·18 묘역을 참배할 예정이었지만 이를 6일로 미루는 대신, 부동산·백신 정책을 리뷰하려고 한다”며 “부동산 등 문제에 대해 당 의원들이 개인 의견을 말하다 보면 ‘엇박자’ 소리를 들을 수 있으므로, 당 차원의 정리된 메시지가 나가는 것이 필요하다”고도 말했다.다음은 송 대표와 기자들간의 일문일답.- ‘문자폭탄’에 대해 “다른 것을 틀린 것으로 규정하며 상대방의 의견을 진압하는 행태”라고 규정한 바 있다. 당 의원들도 문자메시지 관련 새 기준을 마련해야 한다고 논의중인 것으로 안다. 어떻게 생각하는가.“서로 상처주지 않고, 의견을 선의로 해석하면서 민주적으로 토론하고 집단적인 지성이 발휘되는 민주당으로 문화 풍토를 바꿔야 한다고 본다. 어제 전당대회 때 문 대통령께서도 그런 말씀을 하셨다.”-‘성 평등 정당 실현 제안’에 서명했다. 여성 공천비율 30%를 의무화해야 한다는 내용에 대한 반대 목소리도 있었는데 약속대로 추진할 생각인가.“의견을 쭉 수렴해가겠다. 초·재선 의원들과 소통하고, 당직 인선 마무리되는대로 의원들 선수별 소통, 대면 의총도 빨리 준비하겠다. 그러면서 당 중심적으로 새 기준을 만들어가겠다.”-김용민 최고위원이 수사·기소권 분리를 골자로 한 검찰개혁을 계속 추진하고 개혁 법안을 통과시켜야 한다고 말했다. 검찰개혁에 대한 입장은 어떤가“윤호중 원내대표와 논의할 시간을 잡아놓고 있다. 진행된 과정에 대한 경과 보고를 들어보고 당 차원에서 언론·검찰개혁에 대한 단계적 토의를 하겠다.”-당내 일각에서 ‘당헌·당규를 고치지 않고 대선 경선 일정을 연기할 수 있다’는 의견이 있다. 동의하는가.“체계적으로 당무보고를 받겠다. 그 과정에서 당헌·당규 문제도 살펴보겠다.”-강성 지지자들의 ‘문자폭탄’에 대한 구체적인 조치는 취하지 않아도 된다고 보나.“저는 ‘강성 당원’이 아니라 ‘열성 당원’이라는 표현 쓰고 싶다. 그분들의 열정이 시스템으로 잘 수렴돼 개혁 에너지로 승화되도록 노력하겠다.”-‘민주당을 당명 빼고 다 바꾸겠다’고 하셨다. 가장 먼저 바뀌어야 할 부분은.“우리가 ‘무능한 개혁, 내로남불’ 소리를 들었다. 바꾸려면 ‘유능한 개혁, 언행일치’여야 한다. ‘유능한 개혁’을 하려면 많은 이야기를 들어야 한다. 자신들이 좋아하는 논리만 취합해서 자기 강화하는 구조가 아니라 민심과 유리되지 않도록 다양한 정보를 균형있게 수렴해야 한다. 이게 되려면 당내 민주주의가 강화돼야 한다. 당내 민주주의 소통이 죽으면 민심이 당내 토의구조에서 반영이 안된다. 틈이 생겼다가 점점 벌어지는 중에도 자기 교정이 안된다. 그 점이 4·7 재·보궐선거에서 확인되지 않았나. 혹자들은 ‘다 알고 있었는데 민주당만 몰랐다가 선거 후 깨달았다’고 지적한다. 당심과 민심이 유리되더라도 당내 토론이 있으면 자기 교정이 가능하다고 생각한다. 이를 중요 과제로 삼겠다. 또 20·30대 의견을 경청하고 의원 워크샵 때 쓴소리 듣는 시간도 가지려고 한다.”-민주당 지지율이 문재인 정부 출범 후 가장 낮았다. 무엇이 문제이고, 어떻게 극복해야 하나.“중요한 현안은 백신과 부동산 문제다. 문재인 정부가 11월 집단면역 가능하도록 현재 계약된 백신 물량이 차질없이 인도되도록 뒷받침하겠다. 한국을 백신 생산 후보국으로 발전시키는 방안도 추진하겠다. 그러면 국민들을 안심시킬 수 있다고 생각한다. 부동산 문제는 제대로 해결방안을 제시해서 내집 마련하고픈 서민들 마음, 청년들의 주거문제 해결하고 싶다. 그러면 민심 회복할 수 있다.”“또 대선 경선 진행되면 후보자와 지지자간 상호 경쟁 격화될 것이다. 어떻게 공정하게 관리해서 ‘원팀’으로 만들어낼 것인지가 과제다. 정책 과제와 당내 민주주의 강화·원팀 완성 등 과제가 완수되면 국민들이 저희에게 정권 맡겨줄 수 있지 않겠나.”-임혜숙 과학기술정보통신부 장관 후보자 논란이 끊이질 않는데 어떻게 보는가.“당대표 경선 치르느라 제대로 팔로업을 못했다. 보고 들어보겠다.”-차기 대선을 어떻게 준비할 것인가. 민주당 대선주자는 어떤 시대정신을 담아야 하나.“당대표 경선 후보 세명 모두 ‘당이 중심되는 대선을 치러야 한다’고 했다. 후보 캠프 중심이 아닌 당 중심 대선이 돼야 한다. 현 정부가 ‘민주당 정부’라고는 했지만 정책 주도권은 당보다 청와대가 쥘 때가 많았다. 당에서 미래 차기 정부에 대한 정책도 잘 준비하도록 하겠다. 차기 정부 출범시 효과적으로 운영할 수 있도록 당이 미리 준비해서 중심을 잡겠다.”-반도체를 둘러싼 미·중 갈등이 한창인데, 이에 대한 복안이 있나.“양향자 의원이 반도체 특별위원회를 임시로 맡아하고 있는데, 비상대책위원회 체제에서 출범한 반도체, 부동산, 백신 등 3개 특위를 재구성하겠다. 그간 경과 보고를 듣고, 우리 반도체 산업이 경쟁력 발휘할 수 있도록 뒷받침하겠다.”-1주택자 세금 유예, 공시가격 속도조절 등을 당대표 경선 과정에서 언급했다. 어떻게 추진할 것인가.“일단 의원들이 생각하는 문제의식을 듣고 당원들의 의견도 구하겠다. 또 정부 의견도 충분히 듣겠다. 정부 의견을 따라가겠다는 건 아니다. 정부가 구체적인 통계를 갖고 고민한 과정을 정확히 숙지하고 이해해야 보완점을, 사실과 빗나가지 않는 합리적인 대안을 낼 수 있다고 본다. 내일중으로 부동산·백신 정책 리뷰를 할 생각이다. 원래 내일 봉하마을과 5·18 묘역을 참배하려고 했지만, 일정을 6일로 미루고 정책 리뷰를 먼저하겠다. 최고위원 등의 개인 생각이 그대로 흘러나가면 ‘엇박자’ 소리가 나올 수 있지 않나. 국민들께도 당 차원의 정리된 메시지가 나가야 한다.”-언론개혁을 요구하는 목소리도 큰데, 어디에 중점을 둘 생각인가. 또 야당에서 TBS의 편향성 문제를 계속 제기하는데, 개선할 필요가 있다고 보는가.“언론개혁은 징벌적 손해배상 법은 있지만 ABC 제도, 바우처 제도 등 법안이 어떻게 진행되고 있는지 살펴보겠다. 다만 진보언론이든 보수언론이든 사실관계를 왜곡해서 허위로 쓰는 것에 대해서는 엄격한 통제가 필요하다. 그간 허위사실이 보도되더라도 그것을 진실로 믿을만한 사유가 있으면 면책이 됐다. 그러나 지금처럼 조금만 검색해도 정보를 알 수 있고, 당사자 전화해도 알 수 있는 점에 대해서도 허위사실을 제보도하는 행위에 대해서는 문제가 있다고 본다. 언론 자체의 노력도 필요하겠지만 통제할 필요는 있다. TBS의 경우, 사실관계가 잘못된 부분은 통제해야하지만, 본인의 시각과 견해에 대한 부분은 언론의 자유가 보장되지 않았나. 김어준씨뿐 아니라 보수언론도 편향적으로 잘못된 사실을 쓸 때가 있다. 균형있게 봐야 한다.”"
17,17,2021.05.03 10:36,송영길 민주당 대표 “백신 확보 노력 뒷받침해 11월 집단면역 형성”,경향신문,곽희양,"송영길 더불어민주당 신임 당 대표가 3일 “민주당이 정부의 백신확보 노력을 뒷받침해서 11월 집단면역을 가능토록 하겠다”고 밝혔다.송 대표는 이날 국회에서 열린 취임 후 첫 최고위원회의에서 “국민들께서 삶이 어려움에도 이렇게 정부 방역에 협조해주셔서 감사드린다”며 이 같이 말했다.송 대표는 “부동산 문제도 당정이 긴밀한 협의를 통해 대안을 만들도록 노력하겠다”고 말했다. 또 “당내 민주주의를 더 강화시키고 국민과 소통을 화대해 민심을 받드는 민주당이 되도록 노력하겠다”고 말했다. 송 대표는 당 경선을 치르는 동안 당내 민주주의를 복원하는 방안으로 청년 최고위원을 2명으로 늘리고, 공천에서도 청년·여성·정치신인 가산점을 확대하겠다고 밝힌 바 있다.송 대표는 “원내대표와도 긴밀히 상의해서 우리 민주당이 집권여당으로 국민의 삶 책임진다는 자세로 노력하겠다”고 말했다. 그는 “당·정·청도 긴밀히 협의해 국민 목소리가 당청에 제대로 반영되도록 노력하겠다”고 말했다.송 대표는 “4·7 보궐선거 통해 매서운 회초리 내린 민심을 잘 수용해서 민주당 변화 발전토록 노력하겠다”고 말했다."
35,35,2021.05.02 18:30,"청 오찬 거절 이어 ""백신 국조"" 요구...김기현, 대여 '강경모드'",경향신문,심진용 기자 sim@kyunghyang.com,"김기현 국민의힘 신임 원내대표가 취임 후 연일 정부·여당을 향해 강경한 목소리를 내고 있다. 청와대의 오찬 제안까지 거부하며 취임 직후부터 긴장 관계를 예고하고 있다. 김 원내대표의 선출로 ‘김종인 비대위’ 이후 공백 상태였던 당 지도부 선출도 이르면 다음달 초 전당대회에서 이뤄질 것으로 전망된다. 당권 구도는 지역안배론과 세대교체론 등이 맞부딪치며 경쟁이 치열해지고 있다.김 원내대표는 2일 국회에서 기자간담회를 열고 청와대 오찬 제안을 거부한 사실과 관련해 “정중하게 양해를 구했다는 표현이 맞는 것 같다”면서도 “아무 준비도 없이 무작정 식사만 하자고 될 일이 아니다”라고 말했다. 김 원내대표는 당선 직후인 지난달 30일 이철희 청와대 정무수석을 통해 문재인 대통령과의 오찬을 제안받았지만 사전 의제가 조율되지 않은 만남은 의미가 없다는 차원에서 완곡히 거절했다는 것이다.김 원내대표는 더불어민주당과의 최우선 협상과제로 코로나19 백신 확보를 꼽았다. 그는 “책임은 책임대로 따지고, 대책은 대책대로 가야 한다”며 백신 확보 실패의 책임을 묻기 위한 국정조사도 요구했다. 국회 법제사법위원장 배분과 관련해선 “국회의 정상화가 필요하다”며 국민의힘으로 넘길 것을 재차 촉구했다. 김 원내대표는 오는 6~7일 인사청문회가 열리는 김부겸 국무총리 후보자를 두고 “민주당 출신 의원에 민주당 대표 경선까지 나선 분을 총리로 지명한 것은 매우 부적절한 인사”라며 “대통합 총리가 아니다”라고 비판했다.김 원내대표의 선출로 당 지도부 선출 작업도 시동이 걸릴 것으로 보인다. 신임 당대표는 대선을 앞둔 만큼 경선을 관리해야 하는 중책이 주어져 있다. 김 원내대표는 차기 전당대회 개최와 관련해 “이르면 다음달 초에는 열 수 있을 것”이라고 말했다.현재 가장 유력한 주자는 전임 원내대표인 5선의 주호영 의원이다. 그러나 김 원내대표 당선으로 부각된 ‘도로 영남당’ 우려가 변수로 작용할 것으로 전망된다. 울산 출신의 김 원내대표에 이어 대구가 지역구인 주 의원이 당권을 차지한다면 ‘영남당’ 이미지가 굳어질 수 있다는 것이다. 지역안배론에 따라 수도권 출신의 나경원 전 원내대표가 주 의원 대항마로 부상하고 있다. 당원들 지지도가 높아 나 전 원내대표도 유력주자로 분류된다. 호남 출신에 서울이 지역구인 초선의 김웅 의원도 ‘쇄신론’을 앞세워 지지세를 모으고 있다.퇴임 후 연일 ‘외곽 훈수’를 두고 있는 김종인 전 비상대책위원장은 KBS <일요진단>에서 “초선 의원이 당대표를 못하란 법은 없다”며 “초선이 당대표가 되면 국민의힘이 근본적으로 변화했음을 국민에 보여주는 모습이 될 수 있다”고 말했다. 김웅 의원에게 힘을 실은 것으로 해석된다.다만 당내에선 지역안배론을 두고 반론도 거세다. 김 원내대표는 “4·7 재·보선 때 서울에서 압도적으로 지지를 받았는데, 우리당이 영남당이라는 프레임 자체가 전혀 근거가 없다”고 선을 그었다. 조경태 의원도 “시대착오적인 지역주의 프레임”이라고 반박했다.김 원내대표는 당대표 선거를 100% 국민여론조사 방식으로 치르자는 당내 일각의 주장에 대해서도 “당대표는 당원들의 의사를 물어서 하는 것”이라고 답했다."
64,64,2021.04.30 09:47,"문 대통령, AZ백신 주사 놓은 간호사에 “고생 많이 하셨다”",경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령이 30일 오전 서울 종로구 보건소에서 아스트라제네카(AZ) 백신 2차 접종을 받았다. 지난달 23일 1차 접종을 한 지 38일 만이다.문 대통령은 오는 6월 영국에서 열리는 주요 7개국(G7) 정상회의 참석 일정을 고려해 지난달 ‘필수목적 출국을 위한 예방접종 절차’에 따라 1차 접종을 받았다. 아스트라제네카 백신의 1·2차 접종 간격(12주)을 고려해 5월 중순 2차 접종에 나설 예정이었다.그러나 이후 한·미 정상회담 개최가 조율되고 5월 중 미국을 방문하는 일정이 구체화하면서 2차 접종 시기를 앞당겼다고 청와대는 설명했다. 질병관리청은 긴급 해외출국자에 한해 4주 간격으로 1·2차 접종을 하는 것도 허용하고 있다. 1차 접종을 함께 받았던 김정숙 여사와 대통령비서실 직원 등 8명이 동행해 함께 2차 접종을 받았다.이날 접종에는 지난달 문 대통령의 1차 접종을 담당했던 간호사가 2차 접종을 다시 맡았다. 이 간호사는 지난달 문 대통령에게 1차 접종을 한 후 일부 네티즌들로부터 ‘백신 바꿔치기’ 의혹과 협박에 시달렸고, 경찰이 허위사실 유포 관련 수사에 착수했다.문 대통령은 이 간호사에게 “(우리는) 고생하지 않았는데, 주사를 놓아준 우리 간호사 선생님이 오히려 고생을 많이 하셨다”고 위로했다. 김정숙 여사도 “정말 고생이 많았죠”라고 했다. 이에 이 간호사는 “네 마음고생이 조금 있었습니다”라고 답했다."
109,109,2021.04.28 12:19,"군, 30세 이상 장병 백신 접종 시작 “접종 다음날까지 전투휴무”",경향신문,박성진  안보전문기자 longriver@kyunghyang.com,"30세 이상 군인에 대한 코로나19 백신 접종이 28일 전국 군 접종기관에서 시작됐다.국방부는 이날 “오늘부터 각 군 병원과 군단접종센터, 사단급 의무대 등 92곳에서 30세 이상 장병과 군무원 등 12만 6000명 중 접종 동의자를 대상으로 아스트라제네카(AZ) 백신 접종을 진행한다”고 밝혔다. 전날 기준 접종 동의율은 83%로 10만 5000명 수준이다. 이 수치는 희망 장병이 추가 신청하면 늘어날 전말이다.국방부는 정부의 사회필수인력 조기 접종 계획에 따라 애초 5월 초 접종 예정이었으나 최근 집단감염이 연속해서 발생하는 등 군내 코로나19 확산 위험이 증가해 준비가 완료된 접종기관부터 먼저 시작하게 됐다고 설명했다.국방부는 오는 30일까지는 군내 84개 접종기관에서 우선 접종을 진행하며 5월에는 군내 92개 전 접종기관이 부대별 계획에 따라 접종을 시행할 예정이다.국방부와 각 군은 임무 수행상 제한되는 일부 부대를 제외하고 접종 개시 후 1∼2주 이내 접종 완료를 목표로 하고 있다.  또 접종 기간 군사대비태세 유지 등 부대 임무 수행과 운영상 공백을 최소화하기 위해 부대별로 2∼3회 분산 접종을 하거나 임무 교대 이후 접종을 할 계획이다.국방부는 근육통, 발열·오한과 같은 경증 반응 시 빠른 회복을 위해 증상 유무와 관계없이 접종 후 다음날까지 전투휴무를 부여하고 개인이 희망하면 청원휴가 시행도 적극적으로 조치하기로 했다.군에서는 지금까지 병원급 의료기관에서 근무하는 군의관, 간호장교 등 군 의무인력 2400명과 해외 파병과 출장 인원 등 일부만 접종이 이뤄졌다.군 당국은 아스트라제네카 백신 접종 대상에서 보류된 30세 미만 장병 45만 5000여 명에 대해서는 화이자 백신을 접종하는 방안이 검토 중이다. 이들에 대한 백신 종류와 접종 시기 등 구체적 일정은 범정부 차원의 조율과 함께 향후 백신 수급 여건에 따라 결정될 전망이다."
118,118,2021.04.27 21:11,문 대통령 “노바백스 백신 빨리 도입되도록 협력”,경향신문,이주영 기자 young78@kyunghyang.com,"CEO 만나 “SK와 발전 기대”기술이전 국내 생산 내년까지문재인 대통령은 27일 미국 제약사 노바백스의 스탠리 어크 최고경영자(CEO)를 만나 “식품의약품안전처에 전담심사팀을 신설해 노바백스 백신 도입에 신속한 허가가 이뤄질 수 있도록 협력하겠다”고 말했다. SK바이오사이언스가 노바백스의 백신 기술을 이전받아 국내에 백신을 공급하는 방식이 내년까지 연장될 것으로 보인다.문 대통령은 이날 청와대에서 어크 회장을 접견한 자리에서 “노바백스사는 한국의 SK와 기술이전을 통한 위탁생산 계약을 체결했고, 지금 실제로 한국에서 생산이 이뤄지고 있어 우리에게는 매우 의미가 깊다”며 “정부는 양사의 협력 관계가 앞으로도 계속 유지되고, 더욱더 발전해 나가기를 바란다”고 말했다.정부가 노바백스로부터 도입하는 백신은 총 2000만명분으로, SK바이오사이언스가 국내 공장에서 전량 생산한다. 기술이전 방식으로 국내에서 생산되는 첫 코로나19 백신이다. 청와대 핵심 관계자는 “올해까지였던 노바백스의 백신 생산 기술이전 직접생산 계약을 내년까지로 연장하는 방안을 적극 검토하고 있다”고 전했다.문 대통령은 “노바백스 백신은 임상시험 과정에서 아주 탁월한 면역효과를 보여주었고, 영국과 남아공의 변이 바이러스에 대응할 뿐 아니라 일반 냉장 온도에서 유통할 수 있고 유효기간이 길다”며 “더욱 기대가 크다”고 말했다. 이에 어크 회장은 “문 대통령께서 저보다 노바백스에 대해 더 잘 알고 계신다”며 “앞으로 노바백스를 독감 백신과 결합시켜 코로나까지 한 번 접종으로 예방효과가 있을 것”이라고 말했다. 문 대통령은 “우리 국민은 매년 독감 백신을 접종하는데, 코로나와 한 번에 맞을 수 있다면 매우 편리할 것”이라며 기대감을 보였다.어크 회장은 또 “노바백스와 SK바이오사이언스가 1년 전부터 협력해오며 서로 배우고 있는데, SK바이오사이언스는 백신 제조 역량이 뛰어난 훌륭한 협력사”라면서 “원자재 확보에 대한 한국의 전폭적인 지원에 감사드린다”고 했다. 문 대통령은 “두 회사가 좋은 협력 관계가 지속되도록 정부가 지원하겠다”고 말했다.이날 접견에는 존 헤르만 노바백스 최고법무경영자, 최창원 SK디스커버리 부회장, 안재용 SK바이오사이언스 사장, 성윤모 산업통상자원부 장관, 권덕철 보건복지부 장관 등이 참석했다."
129,129,2021.04.27 16:26,노바백스 CEO 만난 문 대통령 “백신 기대 크다…SK와 협력 더 발전하길”,경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령이 27일 미국 제약사 노바백스의 스탠리 어크 최고경영자(CEO)를 만나 코로나19 백신 협력 문제를 논의했다. 정부가 노바백스로부터 도입하는 백신은 총 2000만명분으로, SK바이오사이언스가 국내 공장에서 전량 생산한다. 기술이전 방식으로 국내에서 생산되는 첫 코로나19 백신이다.문 대통령은 이날 청와대에서 어크 CEO를 접견한 자리에서 “노바백스사는 한국의 SK와 기술 이전을 통한 위탁생산 계약을 체결했고, 지금 실제로 한국에서 생산이 이뤄지고 있어 우리에게는 매우 의미가 깊다”며 “정부는 양사의 협력 관계가 앞으로도 계속 유지되고, 더욱 더 발전해 나가기를 바란다”고 말했다.이어 “우리 정부는 노바백스가 원자재 수급에 어려움을 겪는다는 얘기를 듣고 기업과 협력해 상반기 백신 생산에 충분한 원부자재를 확보한 바 있다”면서 “앞으로도 양사 협력이 발전하도록 정부가 노력할 것”이라고 약속했다.문 대통령은 “노바백스 백신은 임상시험 과정에서 아주 탁월한 면역 효과를 보여 주었고, 특히 영국 변이 바이러스와 남아공 변이 바이러스가 출연한 이후에 임상시험이 이루어졌기 때문에 그 두 변이 바이러스에 대해서도 높은 효과가 있다는 것이 확인되었다고 들었다”고 했다. 또 “실제 사용에 있어서도 보관에서 별도의 콜드체인 필요없이 일반 냉장고의 온도로 보관하면 되고, 유통기간이 아주 길어서 실제 접종에 사용하기에 아주 편리하다고 들었다. 그 점에서 더욱 기대가 크다”고도 했다.그러면서 “우수한 기술력으로 훌륭한 백신을 신속하게 개발, 코로나19 퇴치에 기여할 수 있게 된 데 대해 축하와 감사를 드린다”고 말했다.문 대통령은 “이제 남은 것은 사용허가”라며 “관련 절차가 신속하게 이뤄지길 바라고, 그 과정에서 백신의 효과와 안전성이 충분히 증명되기를 바란다”고 강조했다."
