,Unnamed: 0,date,title,press,reporter,content
207,207,2021-04-14 3:00,오세훈 “공시가 급등 부담 커져…제도 개선을” 홍남기 “일부 지자체 잘못된 근거로 문제 제기”,동아일보,강승현 기자 ,"

            취임 후 첫 국무회의에 참석한 오세훈 서울시장이 공시가격 제도 개선 등을 정부에 건의했다. 오 시장은 13일 국무회의 직후 서울시청에서 가진 언론 브리핑에서 “여러 사안에 대해 토론했고 공시가격 결정에 대한 문제제기를 했다”고 밝혔다. 서울시장은 지방자지단체장 중 유일하게 국무회의에 참석한다. 이날 회의에는 문재인 대통령과 각 부처 장관들이 자리했고 1시간가량 진행됐다. 오 시장은 주택 공시지가와 관련해 기존 입장에서 한발 물러선 모습이었다. 그동안 전면 재조사와 동결을 주장해 정부와 각을 세웠다. 오 시장은 “공시가격이 오르면서 늘어난 국민 부담을 줄이기 위해 법령 개정과 국토교통부의 제도 개선이 필요하다”며 “공동주택 공시지가 결정 과정에 지자체가 참여할 수 있도록 해달라”고 요청했다. 이에 변창흠 국토교통부 장관은 “취지에는 동의한다”면서도 “2019년 논의가 있었지만 서울 경기 제주 외에는 모두 반대했다”고 했다. 홍남기 경제부총리 겸 기획재정부 장관은 일부 지자체에서 제기한 공시가격 오류 등에 대해 부정적 입장을 보였다. 홍 부총리는 “한국부동산원이 전수조사를 통해 산정한 가격”이라며 “일부 지자체의 문제 제기가 잘못된 사실관계에 근거한 것이 많다”고 지적했다. 부동산 정책을 둘러싸고 오 시장과 정부가 다른 목소리를 내면서 당분간 갈등은 이어질 것으로 전망된다. 오 시장은 기자들 앞에서 “문제는 공시가격 상승이 아니라 속도”라면서 “공시가격 상승이 가계에 미치는 영향까지 고려해 입체적인 판단을 해주길 바란다고 했다”고 전했다. 국무회의 참석 여부에 대해선 “민심을 전달하는 통로로 삼을 것”이라고 말했다. 오 시장은 이날 한 언론과의 인터뷰에서 규제 완화에 따른 집값 상승 우려에 대해 “주변 집값을 자극할 가능성이 있으면 토지거래허가지역으로 묶는다든가 하는 행정수단을 동원하겠다”며 적극적인 대응 의지를 내비쳤다.강승현 기자 byhuman@donga.com 
"
209,209,2021-04-14 3:00,각의 참석 오세훈 “간이진단키트 허가를”… 복지장관 “정확도 담보못해”,동아일보,"이미지 기자 , 박창규 기자 , 허동준 기자","

            정부가 오세훈 서울시장이 추진하는 독자 방역 행보에 사실상 제동을 걸었다. 13일 열린 국무회의에서 오 시장이 신종 코로나바이러스 감염증(코로나19) 자가검사키트 도입과 방역체계 개편을 다시 강조했지만 관련 부처 장관들은 반대 의사를 나타냈다. 하루 전까지 ‘조율과 협력’에 방점이 찍히던 분위기가 사뭇 달라지는 모양새다. 여야 정치권도 오 시장과 방역당국의 힘겨루기에 가세하면서 ‘방역의 정치화’ 우려가 커지고 있다.오 시장은 취임 후 처음으로 13일 국무회의에 참석했다. 그는 이날도 △간이진단키트 신속 허가 △서울형 거리 두기 도입 등 새로운 방역 도입 주장을 이어갔다. 오 시장은 국무위원들에게 “지금 방역체계를 그대로 유지하기 버겁다. 새로운 시도, 아이디어로 발상의 전환을 해야 한다”고 강조했다. 오 시장은 그동안 유흥시설 등 다중이용시설의 영업제한을 완화하는 대신 입장할 때 ‘간이진단키트’를 활용하자고 주장해 왔다. 그러자 곧바로 반박이 이어졌다. 권덕철 보건복지부 장관은 “(자가검사키트는) 신속성이 장점이지만 양성인 사람이 음성으로 나올 수 있다. 이들이 마스크를 벗고 사회적 거리 두기를 지키지 않으면 코로나 확산이 우려된다”고 말했다. 권 장관은 “유흥시설이나 식당 등에서 쓸 수 있는지도 전문가 협의가 필요하다”고 덧붙였다. 김강립 식품의약품안전처장은 ‘간이진단키트’ 용어를 문제 삼았다. 김 처장은 “‘간이진단키트’의 신속한 허가를 요청했는데, 의료진이 진단하는 것이 아니기 때문에 ‘자가검사키트’라고 할 수 있다”고 말했다. 전해철 행정안전부 장관은 “(방역을 총괄하는) 중앙재난안전대책본부(중대본) 2차장이다. 지방자치단체가 새 아이디어를 낼 경우 중대본과 협의해 달라”며 공개 경고하기도 했다. 회의 막바지에 문재인 대통령은 “서울시와 관계 부처가 국무회의 이후에도 충분히 소통해달라”고 당부했다. 방역당국 역시 이날부터 오 시장 방역 구상에 명확한 반대 의사를 나타냈다. 이상원 중앙방역대책본부 역학조사분석단장은 이날 브리핑에서 자가검사키트를 식당, 카페 등의 출입 용도로 쓸 수 있느냐는 기자의 질문을 받자 “정확도가 높지 않아 현재로서는 바람직하지 않다”고 답했다. 오 시장은 국무회의가 끝난 뒤 브리핑을 열고 방역 논란에 대해 설명했다. 오 시장은 “새 방역체계의 시행 방법과 시기 등은 전부 중대본과 협의해 진행할 것”이라며 “서울시가 무엇을 강행하는 것처럼 비치는 것은 정확하지 않다”고 강조했다. 그는 또 “(자가검사키트가) 유흥업소에서 가장 유용한 것처럼 (보도) 제목이 뽑히는 것도 사실은 아니다”라며 “보급이 충분히 되면 정상적인 학습활동을 하지 못하는 학생들도 사용할 수 있을 것”이라고 덧붙였다.오 시장의 구상에서 시작된 새로운 방역체계 도입은 이날 여야 공방으로 번졌다. 더불어민주당은 오 시장이 내놓은 방역 대책에 대해 날 선 비판을 쏟아냈다. 민주당 강선우 대변인은 논평을 통해 “지금의 확산세를 차단하기 위해서는 정부와 지자체, 국민 모두의 강력한 연대와 협력이 필요하다”며 “우려스럽게도 오 시장은 서울만의 별도의 방역 방안을 추진하겠다고 발표했다”고 밝혔다. 반면 국민의힘은 오 시장이 국무회의에서 장관들의 비판을 받은 것에 대해 “각료들의 반응이 의아하다”고 맞섰다. 국민의힘 윤희석 대변인은 “오 시장의 건의는 소상공인, 자영업자들의 어려움을 대변한 것”이라며 “(장관들이) 마치 정쟁을 하려는 듯한 태도의 날 선 비판으로 일관한 것은 민생에 대한 무한한 책임을 망각한 것”이라고 날을 세웠다.이미지 image@donga.com·박창규·허동준 기자 
"
210,210,2021-04-14 3:00,"서울시의회, 오세훈 ‘내곡동 땅’ 조사 잠정 보류",동아일보,이청아 기자 ,"

서울시의회 더불어민주당 소속 의원들이 오세훈 시장의 내곡동 땅 행정사무조사를 잠정 보류하기로 했다. 시의회 민주당은 의원총회를 열어 오 시장 내곡동 땅 행정사무조사 안건을 19일 예정돼있는 본회의에 상정하지 않기로 했다고 13일 밝혔다. 또 임시회에서 진행하기로 했던 시정질문도 6월 예정된 정례회로 미루기로 했다. 시의회 민주당 관계자는 “선거 결과에서 나타난 시민들의 뜻을 헤아려 정쟁으로 비칠 우려가 있는 부분은 최대한 자제하고, 시정이 빨리 안정되도록 이같이 결정했다”고 말했다. 오 시장과 관련된 의혹과 관련해 이미 검찰 수사가 진행된 상황에서 수사에 영향을 줄 수 있다고 판단해 당분간 보류한 것으로 보인다. 이에 따라 오 시장은 시정을 충분히 파악한 뒤 시의회 시정질문에 나설 수 있게 됐다. 시정질문은 시의원들이 시장 등 시 집행부에 시정 현안과 관련된 질의를 하는 자리다.  앞서 시의회는 막바지 선거운동이 한창이던 5일 국회에서 기자회견을 열고 내곡동 땅 의혹과 관련해 행정사무조사를 진행하겠다고 발표했다. 이에 오 시장은 당선 다음 날인 8일 시의회 민주당 소속 김인호 의장과 김기덕 부의장 등을 찾아 시의회의 협조를 부탁했다. 현재 서울시의원 110명 중 101명이 민주당 소속이다.이청아 기자 clearlee@donga.com 
"
223,223,2021-04-12 3:00,오세훈-원희룡 ‘부동산 공동전선’ 선포,동아일보,"최우열 기자 , 강승현 기자 ","

            국민의힘 오세훈 서울시장과 원희룡 제주도지사 등 야당 소속 지방자치단체장들이 11일 “함께 정부의 부동산정책을 바로잡겠다”고 나서면서 대여(對與) 공동전선을 내걸었다. 국민의힘은 이날 오 시장과 함께 부동산정책협의회를 열어 대선을 겨냥한 ‘부동산 실정 심판’ 프레임을 이어갔다. 원 지사는 11일 페이스북에 “오 시장과 통화했다. 공시가격 검증과 부동산정책 바로잡기에 함께 나서기로 했다”면서 “내로남불 하는 정부의 위선적 부동산정책에 맞서 싸우겠다”고 썼다. 그러면서 여야 각 당 차원의 ‘공시가격 검증위원회’ 설치를 제안했다. 앞서 5일 원 지사와 기자회견을 열어 공시가 산정 근거 공개 등을 요구했던 국민의힘 소속 조은희 서초구청장도 이날 “전국적 재조사로 정부의 엉터리 공시가를 바로잡아야 한다”고 했다. 국민의힘은 이날 오 시장과의 첫 회의 주제를 부동산정책으로 잡고 서울 여의도 당사에서 중앙정부와 서울시의회를 압박했다. 오 시장은 회의에서 “서울시 자체 공시가 조사를 통해 조정의 기준점을 모색하겠다. 재건축·재개발은 (집값을 올리지 않도록) 신중하지만 신속하게 추진하겠다”면서 시의회엔 한강변 재건축 35층 규제 완화, 국토교통부엔 안전진단 기준 완화를 요구했다. 오 시장은 13일로 예정돼 있던 서울시 주택건축본부 업무보고를 앞당겨 12일에 받기로 했다.최우열 dnsp@donga.com·강승현 기자 
"
226,226,2021-04-12 3:00,[단독]오세훈-안철수 ‘서울시 공동정부’ 신경전,동아일보,"윤다빈 기자 , 강승현 기자 ","

오세훈 서울시장이 야권 후보 단일화의 한 축이었던 국민의당 안철수 대표에게서 서울시 정무부시장 후보로 김도식 국민의당 대표 비서실장과 이영훈 전 국회부의장 비서실장을 추천받고 고심 중인 것으로 11일 확인됐다. 하지만 오 시장 측에서는 부정적인 기류가 강해, 4·7 서울시장 보궐선거 후보 단일화 과정에서 양측이 합의한 서울시 공동경영 구상이 인사에 대한 신경전으로 삐걱대는 게 아니냐는 해석도 나왔다. 오 시장과 안 대표 측 관계자에 따르면 안 대표 측은 정무부시장 등 고위 별정직 인사 명단 일부를 오 시장 측에 전달했다고 한다. 안 대표 측이 정무부시장으로 추천한 김 비서실장은 안 대표의 최측근 그룹으로 2012년 안 대표의 대선후보 캠프인 진심캠프 때부터 호흡을 맞춰왔다. 21대 총선에서는 국민의당 비례대표 6번을 받기도 했다. 이 전 비서실장은 박주선 전 국회부의장 비서실장 출신으로 ‘오세훈-안철수’ 단일화 실무협상에 참여한 숨겨진 안 대표의 측근 그룹 중 한 명으로 알려져 있다. 안 대표 측은 “정무부시장은 전통적으로 언론이나 시의회와의 가교 역할만 했었지만 이제는 공동시정을 위한 가교 역할까지 맡아야 한다”며 “더불어민주당 구청장, 시의원들과 소통이 되면서도 안 대표의 의중을 이해하고 그를 대신해서 역할을 할 인물이 필요하다”고 했다. 이에 대해 오 시장 측은 “아직 구체적으로 논의해보지 않았다”면서도 “어느 정도 능력이 검증된 인물이 맡아야 하는 것 아니겠냐”고 유보적인 반응을 보였다. 국민의힘 관계자는 “앞으로 대선을 위한 야권 통합 논의를 이어가야 하는데 안 대표 측의 무리한 인사 요구 등은 야권 통합에 악영향을 끼칠 수 있다”고 했다. 이런 가운데 오 시장과 안 대표는 10일 만찬회동을 갖고 서울시 인사안을 논의했다고 한다. 오 시장은 이날 기자들과 만나 “안 대표와 식사를 하면서 여러 가지 논의를 했다”며 “다음 주 (서울시) 인사가 시작되면 자연스럽게 공개될 것”이라고 했다. 양측은 정무부시장 이외에도 안 대표 측 인사가 정무·정책 라인을 포함해 시 인사 구성 전반에 참여하는 문제를 두고도 협상을 벌이고 있는 것으로 전해졌다. 안 대표 측 인사가 시청 내 보직 외에 서울시 산하 출연·투자기관의 기관장을 맡을 가능성도 있다. 현재 서울주택도시공사(SH) 사장과 서울연구원장 등 기관장 여러 자리가 비어 있는 상태다. 안 대표의 경우 직접 시정 업무를 맡기보다 정책고문 등의 형식으로 후방 지원 역할을 할 가능성이 높다.윤다빈 empty@donga.com·강승현 기자 
"
229,229,2021-04-12 3:00,"오세훈, 13일 국무회의서 부동산정책 비판할듯",동아일보,강경석 기자 ,"

            오세훈 서울시장은 13일 오전 문재인 대통령 주재로 청와대에서 열리는 국무회의에 참석해 ‘정부의 부동산 정책 실패 문제’ 등을 제기할 것으로 보인다.  오 시장 측은 11일 동아일보와의 통화에서 “첫 국무회의 참석에서 오 시장은 그동안 강조해왔던 문재인 정부의 부동산 정책 실패와 신종 코로나바이러스 감염증(코로나19) 대응 실패 등에 대해 발언하는 방안을 검토하고 있다”고 말했다. 서울시장 보궐선거 과정에서 내놓았던 부동산 공약 실천 과정에서 정부의 비협조 등을 경고하는 목소리를 낼 가능성도 있다. 앞서 오 시장은 “국무회의에서 꼭 필요한 사항이면 민심을 전달하는 창구 역할을 할 생각”이라고 밝힌 바 있다. 국무회의 규정에 따르면 서울시장은 국무위원은 아니지만 대통령비서실장, 국가안보실장, 국무조정실장 등과 함께 배석자로 명시돼 있다. 광역 지방자치단체장 중 유일하게 배석할 수 있고, 의결권은 없지만 발언 권한이 있다. 박원순 전 서울시장은 2011년 서울시장 당선 이후 이명박·박근혜 정부 국무회의에 참석해 왔다. 박 전 시장은 2016년 11월 국정농단 이슈가 불거졌을 당시 국무회의에 참석해 황교안 당시 국무총리 등 국무위원들이 일괄 사퇴해야 한다고 요구해 논란이 일기도 했다.강경석 기자 coolup@donga.com  
"
253,253,2021-04-09 3:00,"정부, 오세훈 시장 취임 첫날 ‘부동산 견제구’",동아일보,"세종=주애진 기자 , 강승현 기자 ","

            국민의힘 소속 오세훈 서울시장이 취임한 8일 홍남기 경제부총리 겸 기획재정부 장관이 “주택 공급은 지방자치단체 단독으로 할 수 있는 것이 아니다”며 견제에 나섰다. 오 시장은 이날 민간 재건축 사업의 규제 완화에 대한 의지를 재차 내비쳐 취임 후 부동산정책을 둘러싸고 중앙정부와 서울시의 힘겨루기가 예상된다. 홍 부총리는 이날 정부서울청사에서 ‘부동산시장 점검 관계장관회의’를 주재하며 “여야를 떠나 ‘부동산시장 안정’과 주택 공급 확대를 통한 ‘서민 주거 안정’이라는 지향점은 결코 다르지 않다”고 밝혔다. 선거를 앞두고 야당은 물론이고 여당까지 기존 정책과 다른 방향의 규제 완화 공약을 쏟아낸 점을 거론하며 급격한 정책 기조 변화는 없을 것이란 점을 못 박은 발언으로 풀이된다. 홍 부총리는 “주택 공급은 후보지 선정, 지구 지정, 심의·인허가 등 일련의 행정절차상 중앙정부, 광역지자체, 기초지자체 단독으로 할 수 있는 것이 아니며 상호협력이 뒷받침되어야 한다”면서 “앞으로 이런 협력이 더 긴밀하고 견고해지기를 기대한다”고 덧붙였다. 오 시장의 당선으로 공공주도 개발 등 기존 정부 정책이 흔들리고 민간 재건축 규제가 풀릴 수 있다는 시장의 기대를 차단하기 위해 선을 그은 것이다.  오 시장은 이날 첫 출근길에 “재건축·재개발 (규제를) 일주일 안에 풀 수 있느냐”는 취재진의 질문을 받고 주먹을 움켜쥐며 “의지”라고 답했다. 후보 시절 “취임 일주일 안으로 주요 재건축 단지 안전진단에 착수하겠다”고 밝힌 대로 민간 재건축·재개발을 통한 공급 확대를 속도감 있게 추진하겠다는 의지를 강조한 발언으로 해석된다.세종=주애진 기자 jaj@donga.com / 강승현 기자 
"
261,261,2021-04-09 3:00,"오세훈, ‘마용성’ 등 한강벨트서 3년전 野보다 득표율 껑충",동아일보,"최혜령 기자 , 이새샘 기자 , 허동준 기자","

오세훈 서울시장이 큰 격차로 더불어민주당 박영선 후보를 앞선 데에는 강남, 서초, 송파구 등 ‘강남 3구’를 비롯해 ‘마용성(마포, 용산, 성동구)’과 광진, 강동구 등 한강을 끼고 있는 이른바 ‘한강 벨트’ 지역의 득표율 상승이 큰 영향을 미친 것으로 나타났다.  또 오 시장은 서울 25개 구는 물론이고 서울 425개 동(洞) 전체에서 40% 이상의 득표율을 기록했고, 마포구 성산1동 등 5개 동을 제외한 420개 동에서 승리했다.8일 중앙선거관리위원회 선거통계시스템에 따르면 2018년 시장선거 당시 보수 진영인 자유한국당 김문수 후보, 바른미래당 안철수 후보의 득표율 합은 42.9%였다. 반면 오 시장은 이번 선거에서 이보다 약 15%포인트 늘어난 57.5%를 얻었다.  이번 선거에서 보수 진영은 서울 25개 구 전체에서 2018년보다 많은 표를 얻었다. 특히 가장 크게 늘어난 곳은 강남구로, 오 시장은 강남구에서 73.5%를 얻어 2018년 보수 진영이 얻은 표보다 18.6%포인트 높았다.  2위는 성동구로 집계됐다. 오 시장은 성동구에서 59.8%를 얻어 2018년 보수 진영(41.3%)보다 18.4%포인트 높은 득표율을 보였다. 특히 성동구 내 17개 동 가운데 오 시장의 득표율이 가장 높은 곳은 옥수동(68.9%)이었다. 옥수동은 한강변을 끼고 있어 재건축과 재개발에 민감하고, 성동구에서도 부동산 가격이 높은 편에 속한다.  3, 4위는 서초, 송파구가 차지했다. 이 지역들은 전통적인 야당 강세 지역이지만, 2018년에 비해 이번에 야당으로 더 결집한 것이다. 이어 광진구(17.4%포인트) 강동구(16.2%포인트) 용산구(15.9%포인트) 마포구(15.8%포인트)도 2018년과 비교해 득표율 차이가 컸다. 마포구는 2018년 보수 진영에 40%가 채 안 되는 39.3%의 표를 줬지만 이번 오 시장에게는 55.1%를 몰아줬다.  ‘마용성’에서 야당 지지표가 쏟아진 것은 현 정부 부동산정책에 대한 반감 때문이라는 분석이 나온다. 한국부동산원 월간동향 기준으로 서울시에서 2018년 6월 대비 3월 현재 집값이 가장 많이 오른 구는 영등포(11.33%) 마포(10.89%) 노원(10.56%) 용산(9.91%) 성동구(9.6%) 순이었다.  특히 올해 성동구 공동주택 공시가격은 전년 대비 평균 25.27%, 마포구는 20.36%, 용산구는 15.24% 올라 강남, 서초구의 상승률을 뛰어넘었다.  심교언 건국대 부동산학과 교수는 “마용성 지역은 올해부터 본격적으로 공시가격 상승으로 인한 보유세 부담을 체감하고 있을 것”이라며 “양도세 등 세금 부담이 전방위적으로 높아지며 집을 팔기도, 이사하기도 힘든 상황”이라고 지적했다. 여론조사 전문가인 배종찬 인사이트케이 소장도 “지난해 총선 때 용산에서 국민의힘 권영세 의원이 당선될 때부터 이미 부동산 관련 민심이 꿈틀대고 있었던 것”이라고 했다. 동별 득표율 분석에서도 오 시장은 서울 전체에 걸쳐 고른 득표율을 보였다. 이번 선거 기간 내내 오 시장의 ‘셀프 보상’ 의혹과 측량 방문 여부를 놓고 뜨거운 관심을 불러일으켰던 서초구 내곡동에서 오 시장은 박 후보(33.4%)의 두 배에 가까운 64.4%의 표를 얻었다.  오 시장은 지난해 4·15총선에서 고배를 마셨던 광진을에서도 명예 회복에 성공했다. 광진을 지역 중 야당 지지세가 상대적으로 강한 것으로 평가받는 화양동에서 오 시장은 56.7%의 득표율을 기록했다. 반면 박 후보는 내리 3선을 했던 구로을에서도 오 시장에게 패했다. 구로을 지역 중 인구가 가장 많은 신도림동에서 박 후보는 39.0%를, 오 시장은 58.6%를 각각 얻었다. 오 시장은 2030세대가 많이 거주하는 서대문구 신촌동에서도 박 후보를 24.2%포인트 차로 누르며 젊은 유권자들의 선택을 받았다. 노원구는 박 후보가 선거 기간에 가장 공을 들였던 곳 중 하나다. 그러나 노원구 중계1동에서도 박 후보는 오 시장에게 패했다. 서대문구(2석)와 노원구(3석)는 지난해 총선에서 민주당이 석권했지만, 불과 1년여 만에 상황이 바뀐 것이다. 정치권 관계자는 “오 시장 압승의 배경에 2030세대의 지지와 성난 부동산 민심이 자리 잡고 있다는 것을 보여주는 지역”이라고 했다.  2018년 선거에서 보수 진영은 서울 96개 동에서 30%대 득표율을 기록했고, 관악구 신림동에서는 29.9%에 그쳤다. 그러나 오 시장은 가장 낮은 득표율을 기록한 구로구 구로3동에서도 44.4%를 얻는 등 서울시내 모든 동에서 40% 이상을 얻었다.  오 시장이 가장 높은 득표율을 기록한 동은 강남구 압구정동으로, 이곳에서 88.31%의 득표율을 기록했다. 특히 압구정동 현대아파트 주민들이 투표하는 압구정동제1투표소에서 오 시장의 득표율은 93.8%에 달했다. 최혜령 herstory@donga.com·이새샘·허동준 기자 
"
272,272,2021-04-08 3:00,오세훈 “위중한 시기 다시 일할 기회 받아”,동아일보,전주영 기자 ,"

            “이 위중한 시기에 다시 일할 기회를 주신 것은 빠른 시일 내에 서울의 과제들을 해결하라는 지상명령으로 받들겠다. “ 8일 0시 국민의힘 오세훈 서울시장 후보가 서울 여의도 국민의힘 당사의 개표상황실에 들어와 소감을 밝히자 환호와 함성이 쏟아졌다. 하루 종일 긴장된 표정이었던 오 후보도 이제야 긴장이 풀리는 듯 이완된 목소리였다. 전날 오후 8시 15분 지상파 방송3사 출구조사 결과가 나왔을 땐 오 후보는 눈을 질끈 감고 이내 고개를 떨구더니 혼자 눈물을 삼킨 듯 눈가가 촉촉했었다. 약 4시간 뒤 비로소 당선이 확정되자 그는 기쁨을 감추지 못했다. 오 후보는 “지난 5년 동안 일할 땐 머리로 일을 했다. 그러나 약속드린 대로 앞으로 시장으로서 일할 땐 뜨거운 가슴으로 일하겠다”며 “꼭 보듬고 챙겨야 할 분, 절실한 분들을 찾아뵙고 현안 사항을 가장 먼저 해결하겠다”고 소감을 밝혔다. 이 자리에는 국민의힘 김종인 비상대책위원장, 주호영 원내대표 등 당 지도부가 참석해 함께 환호와 박수를 보냈다. 김 위원장은 “서울과 부산 시민의 상식의 승리라고 생각한다”며 “국민의힘은 국민들의 정서에 부합하는 정당으로서 최대한 노력을 경주해 내년 대선에서 정권을 창출할 수 있는 기반을 다져나가겠다”고 했다. 국민의당 안철수 대표도 국민의힘 당사 개표상황실에 등장했다. 안 대표는 “이제 시작이라고 생각한다”며 “저를 포함한 야권의 책임 있는 분들이 정권 교체를 위해 혁신하고 단합하고 함께 힘을 합치는 것이 무엇보다 중요하다고 생각한다”고 말했다. 전주영 기자 aimhigh@donga.com  
"
273,273,2021-04-08 3:00,"오세훈, 서울 25개 자치구 전 지역서 승리… 2018년 與 싹쓸이와 정반대",동아일보,유성열 기자 ,"

 4·7 서울시장 보궐선거에서 승리한 국민의힘 오세훈 후보는 서울 25개 모든 자치구에서 더불어민주당 박영선 후보를 이긴 것으로 나타났다. 2018년 지방선거 때 민주당 박원순 후보가 서울 전 지역을 석권한 지 3년 만에 여야의 득표가 정반대로 뒤집힌 결과가 나온 셈이다. 특히 야당 강세 지역인 ‘강남 3구’의 60%를 넘은 투표율 등의 영향으로 오 후보는 서울 대부분 지역에서 우세를 보이며 압승의 발판을 마련한 반면, 박 후보는 이른바 ‘금관구’(금천 관악 구로구) 등 민주당 강세 지역인 서남벨트 지역 투표율이 저조하게 나오면서 지지층 결집에 실패한 것으로 분석된다.7일 투표 종료 직후 발표된 KBS MBC SBS 공동 출구조사에 따르면 오 후보는 강북동권(55.6% 대 40.3%), 강북서권(58% 대 38.3%), 강남서권(56.9% 대 40%), 강남동권(67.2% 대 30.5%) 등 4개 권역에서 박 후보를 전부 이긴 것으로 조사됐다. 8일 새벽 끝난 개표에서도 오 후보는 57.5%의 득표율로 39.18%를 얻은 박 후보를 여유 있게 앞섰고, 접전을 펼치던 강북구도 역전에 성공하면서 서울 전 지역을 석권했다. 2018년 지방선거 당시 민주당 박원순 후보도 서울 전 지역을 석권하며 자유한국당(현 국민의힘) 김문수 후보를 29.45%포인트 차로 따돌리고 서울시장에 당선됐다. 오 후보 압승의 가장 큰 원동력으로는 예상보다 높아진 투표율이 꼽힌다. 국민의힘 관계자는 “선거 초반만 해도 보궐선거의 특성상 투표율이 50%를 넘으면 다행이라고 생각했다”며 “오후 7시 서울 투표율이 54.4%로 나온 순간 이미 승리를 확신했다”고 말했다. 중앙선거관리위원회에 따르면 서울 25개 자치구 가운데 서초구의 투표율이 64%로 가장 높았고, 강남 61.1%, 송파 61%, 양천구 60.5% 순으로 집계됐다. 재건축 대기 아파트들이 밀집해 있는 ‘강남 3구’와 양천구가 투표율 1~4위를 나란히 기록한 것. 강남 3구는 여당이 압승한 지난해 총선에서 국민의힘이 8석 중 7석을 석권할 정도로 야당의 텃밭이기도 하다. 특히 서초와 강남의 투표율은 2018년 지방선거(각각 63.1%, 58.5%)보다도 각각 0.9%포인트, 2.6%포인트 높아졌다. 당시 강남구 투표율은 서울 전체 평균(59.9%)보다 낮았고, 25개 자치구 가운데 19위였지만, 이번 선거에선 2위까지 뛰어오르는 ‘파란’을 일으켰다. 국민의힘 관계자는 “당 소속 투표 참관인을 통해 강남 3구의 투표율을 동별로 쪼개서 분석해 봐도 우리 당 지지세가 강한 동의 투표율이 더 높은 것으로 파악됐다”고 했다. 반면 민주당 강세 지역인 ‘금관구’ 지역은 강남 3구보다 투표율이 낮은 것으로 집계됐다. 관악(53.9%)과 구로구(57.7%)는 서울 전체 평균보다도 낮았고, 금천구(52.2%)는 25개 자치구 중 최하위를 기록했다. 중랑(53.9%), 강북(54.4%), 강서구(56.4%) 등 지난해 총선에서 민주당이 석권한 지역들 역시 낮은 투표율을 기록했다. 박 후보의 옛 지역구인 구로구도 2018년 지방선거 당시 투표율이 60.1%로 서울 전체 평균보다 높은 10위였지만, 이번에는 15위로 하락했다. 2018년 지방선거에서 박원순 전 시장을 뽑았던 민주당 지지층 중 상당수가 투표를 포기한 것으로 해석될 수 있는 대목이다. 실제 개표 결과 박 후보는 구로구에서 오 후보에게 9.48%포인트 뒤진 반면, 지난해 총선에서 광진구에서 낙선한 오 후보는 해당 지역에서 16.92%포인트 앞섰다. 특히 투표율이 가장 높은 서초구는 오 후보(71.02%)가 박 후보(26.74%)를 두 배 이상으로 앞섰다.평일 치러지는 재·보선임에도 투표율이 크게 올라간 것은 이번 선거가 차기 대선의 전초전 성격의 여야 양자 대결로 치러진 데다 현 정권의 부동산 실정에 대한 ‘심판 투표’의 성격을 지닌 점 등이 복합적으로 작용했기 때문이라는 분석이 나온다. 이번 선거에서 승리한 진영이 차기 대선의 주도권을 잡을 것으로 보는 유권자들의 참여가 높아졌다는 것이다. 정의당이 후보를 내지 않고, 야권이 후보 단일화에 성공하면서 사실상 진보와 보수의 진영 대결로 선거가 치러진 것 역시 투표율 상승의 원인으로 꼽힌다. 여기에 현 정권의 부동산 실정에 대한 ‘심판 투표’의 성격을 가지면서 공시가격 급등에 따른 ‘세금 폭탄’을 맞은 강남 3구의 유권자들이 대거 ‘분노의 투표’에 나섰다는 해석도 나온다. 김형준 명지대 교수(정치학)는 “샤이 진보층들이 민주당 후보에게 투표할 명분을 찾지 못한 것으로 보인다”며 “반면 중도층들은 ‘안철수 단일화 효과’가 흔들리지 않으면서 투표에 적극 참여한 것으로 분석된다”고 했다.유성열 기자 ryu@donga.com 
"
