,date,title,reporter,content,press
12,2021-03-30,오세훈 “내곡동땅 측량 장인만 서명”…현장 안갔다는 증거?,장나래 기자 wing@hani.co.kr,"오세훈 국민의힘 서울시장 후보 캠프는 2005년 내곡동 처가 땅 측량 당시 입회인 서명에 오 후보의 이름과 서명은 없었다고 밝혔다. 하지만 입회인 가운데 한 명만 서명을 받았기 때문에 측량 관련 자료만으로는 오 후보가 함께 현장에 가지 않았다는 것을 입증하기 힘들다. 더욱이 오 후보는 “기억 앞에 겸손해야 한다”는 애매모호한 해명을 내놓고, 국민의힘은 “측량 갔어도 문제가 없다”는 입장을 피력하고 있어 의혹이 말끔히 해소되지 않고 있다. 
오 후보 캠프는 30일 입장문을 내어 “어제 한국국토정보공사(LX)에서 발급받은 해당 서류에는 입회인으로 장인 한 분만 서명되어 있다”며 “당시 법률상 소유자가 아니더라도 서명할 수 있었다는 것이 한국국토정보공사 쪽의 설명”이라고 밝혔다. 
서류에는 오 후보 장인 1명만 ‘측량 입회인’으로 서명하고, 오 후보의 이름과 서명은 없었다는 설명이다. 오 후보 캠프 관계자는 <한겨레>에 “증인들이 현장에 2명이 있었다고 했는데, 한 사람은 처남이고, 서명은 장인이 했으니 오 후보는 없었다는 게 입증되는 것이 아닌가”라고 말했다. 그러나 당시엔 입회인 가운데 한 명만 서명을 받도록 했기 때문에 이 서류만으로 오 후보가 측량 현장에 없었다는 게 완전히 입증되는 것은 아니다. 
오 후보는 “기억 앞에서 겸손해야 한다”는 아리송한 말로 의구심을 더했다. 그는 전날 <문화방송>(MBC) 토론에서 박 후보가 내곡동 땅 측량에 직접 참여하는 것을 목격했다는 증인의 주장을 파고들자 “(측량 현장에) 가지 않았다. 그러나 기억 앞에서는 겸손해야 한다. 16년 전 일이 정확히 기억날 일이 없어서 여지를 두기는 하지만 삼인성호라고 했다. 세 명만 봤다고 해도 호랑이가 있는 게 된다”며 “박 후보 캠프가 본질은 어디로 보내고 지금 측량하는 곳을 갔느냐를 갖고서 초점을 옮겨가고 있다”고 말했다. 
민주당은 측량 문제를 고리로 ‘거짓말’ 공세를 퍼붓고 있다. 이낙연 민주당 상임선대위원장은 이날 <와이티엔>(YTN)라디오 인터뷰에서 “오 후보의 잇따른 거짓말은 치명적이다. 양심선언 같은 목격담이 연달아 나오니 ‘기억 앞에서 겸손하고 싶다’고 애매한 말을 했다”고 지적했다. 
국민의힘은 측량 입회 여부가 본질적 문제가 아니라는 입장이다. 유승민 국민의힘 공동선대위원장은 이날 <시비에스>(CBS) 라디오에서 “토지 측량에 후보가 있었냐 없었냐의 지엽적인 문제로 왜 그렇게 티브이(TV)토론회에서 전파를 낭비하는지 모르겠다”며 “오 후보를 흠집 낼 게 없으니 별 증거도 없는 걸 갖고 와서 너무 억지를 쓴다”고 말했다. 윤희석 대변인도 이날 <교통방송>(TBS)에 출연해 “측량하는데 갔으면 어쩔 거냐. 갔으면 무슨 상관이냐”라고 반문하며 “측량을 갔을 때 이해충돌 여부는 검토해야 된다”고 밝혔다. 하태경 의원도 같은 방송에서 “측량은 서울시장 되기 전인 2005년에 일어났던 일이라 이해충돌과 전혀 무관하다. 측량과 특혜는 무관하다”고 강조했다.",hankyoreh
17,2021-03-24,"오세훈, ‘MB 아바타’ 공세에 “박영선은 ‘독재자 문재인’ 아바타”",장나래 기자 wing@hani.co.kr,"오세훈 국민의힘 서울시장 후보가 전광훈 목사가 주최하는 태극기 부대 행사에 참여해 ‘문재인 대통령은 독재자’ 등의 발언으로 논란이 된 데 대해 “갈라치기와 반통합, 분열의 정치를 하고 있는 문 대통령이 독재자가 아닌가”라고 반박했다. 이어 “대통령의 독재자의 면모를 박영선 더불어민주당 후보가 그대로 답습할 가능성이 높다”며 박 후보를 겨냥하기도 했다.
오 후보는 24일 국회에서 열린 기자간담회에서 ‘민주당이 2019년 10월 전광훈 주도 태극기 집회 발언에서 후보의 문재인 대통령 독재자 등의 발언을 문제 삼은 데 대한 입장’을 묻는 질문에 “문 대통령이 민의를 존중하는 대통령이 맞나. 나라의 미래를 걱정하는 것이 맞나”며 이 같이 주장했다. 이어 “단 한번도 이 정부에 장관 수행했던 박 후보가 그런 문 대통령의 참으로 잘못된 행태에 대해서 단 한번도 비판한 적이 있냐. 박 후보는 잘못된 길을 가는 문 대통령에 동조한 셈밖에 되지 않는다”고 박 후보를 겨냥해 비판을 이어갔다.
오 후보는 또한 서울 시민 1인당 ‘재난위로금 10만원’을 지급하겠다는 박 후보의 공약을 두고는 “돈퓰리즘(돈과 포퓰리즘을 합친 말)”으로 비판하며 “박 후보에게, ‘실정과 무능 대명사, 문재인 아바타인가’라고 묻고 싶다”고 공세 수위를 높이기도 했다. 민주당이 자신을 ‘엠비(이명박 전 대통령) 아바타’라고 부른 데 대한 대응으로 보인다.
‘과거 태극기 집회에도 참석했는데, 지금도 극우 세력과 함께 가야 할 것으로 보냐’는 질문에는 “한 분이라도 문재인 정부 실정과 무능 독재에 분노하는 분들이라면 전부 동참해주실 것을 바라고 있다. 민주당이 어떤 프레임 씌우더라도, 언론에서 어떻게 부르더라도 문재인 실패 무능에 공감하는 건 같을 거라고 생각한다”며 함께 할 수 있다는 뜻을 내비쳤다. ",hankyoreh
62,2021-04-04,"안철수 손잡고 ‘세빛둥둥섬’ 산책한 오세훈, 이틀째 강남 집중",오연서 기자 loveletter@hani.co.kr,"4·7 서울시장 보궐선거 사흘 앞둔 4일, 오세훈 국민의힘 후보가 자신과 단일화 경쟁을 펼쳤던 안철수 국민의당 대표와 서울 서초구 세빛둥둥섬에서 손을 맞잡고 함께 걸었다. 그동안 ‘따로 또 같이’ 선거운동에 나섰던 두 사람은 선거일이 다가오면서 나흘째 손을 함께 유세 일정에 나서고 있다. 
 그동안 국민의힘 열세 지역인 강북구를 중심으로 선거운동을 펼쳤던 오 후보가 전날에 이어 이틀째 강남권에 집중하며 세빛둥둥섬까지 찾은 것은 그만큼 ‘앞서가는 자의 여유’이자 자신감의 표현으로 보인다. 
 세빛둥둥섬은 한강 반포대교 남쪽에 떠 있는 인공섬으로, 오 후보가 서울시장 시절 한강 르네상스 역점 사업으로 추진해 지난 2014년 개장했다. 도시의 디자인 경쟁력을 강조했던 오 후보가 랜드마크로 만들겠다며 야심차게 추진했지만 세빛둥둥섬은 사업자 특혜 논란, 안전성 문제 등으로 수년째 제대로 쓰임새를 찾지 못한 채 전시행정의 대표사례로 지적됐다. 특히 지난 2013년 대한변호사협회가 예산낭비의 책임을 물으며 오 후보 등 ‘세빛둥둥섬’ 조성 사업 관련자들을 업무상 배임 혐의로 수사의뢰를 하기도 했다.  
 이런 배경에도 불구하고 오 후보가 선거일 전 마지막 주말에 세빛둥둥섬을 찾은 건 자신의 시장 시절 성과를 과시하고 재평가하려는 의도가 다분해 보인다. 오 후보는 이날 세빛둥둥섬을 찾은 이유에 대해 “박원순 전 서울시장이 2년 동안 문을 닫아걸고 시민들의 이용을 제한하는 바람에 적자가 누적되기 시작했다”고 말했다. 또 “한강 시민공원과 세빛섬을 만들며 오해도, 비판도 꽤 있었다. 그러나 지금 한강변을 이용하는 산책 인구가 10억명을 훨씬 넘을 것이다. 시장이 되면 이런 길들을 더 만들어서 서울 시민 여러분이 산책을 즐기고 뛰도록 하겠다”고 말했다. 앞서 오 후보는 이날 오전엔 송파구 교통회관에서 택시·버스 기사들과 간담회를 갖고, 오후에는 서초구 사랑의교회에서 부활절 연합예배에 참석했다.  ",hankyoreh
86,2021-03-22,"안철수 “태극기 세력까지 대통합” 오세훈 “안, 실체 불분명한 신기루”",김미나 오연서 기자 mina@hani.co.kr,"‘대체 불가 제1야당 후보’ 역설한 오세훈
“실체가 불분명한 야권연대, 정권교체를 외치는 신기루 같은 후보로는 이번 서울시장 선거, 끝까지 불안할 수밖에 없다.”
 오세훈 국민의힘 후보는 22일 국회 소통관에서 기자회견을 열어 “능력과 경험이 검증된 후보, 실체가 있는 대체 불가한 후보가 나서야 한다”고 말했다. 그는 자신을 “집권 여당에 대적해서 서울을 탈환하고, 내년 정권교체를 이루는 데 필요한 든든하고 탄탄한 조직과 자금, 넓은 지지 기반까지 갖춘, 그래서 삼박자를 모두 갖춘 제1야당 후보”라고 표현한 반면, 안철수 국민의당 후보를 ‘신기루 같은 후보’라고 지칭했다.
 오 후보도 이번 4·7 재보선을 고리로 한 보수 진영의 통합을 강조했으나 ‘극우’까지 염두에 둔 안 후보와 달리 ‘개혁 보수’에 방점을 찍었다. 그는 “단일화가 되면 바로 윤석열·김동연·홍정욱·금태섭 등 유능하고 정의로우며 합리적인 중도우파 인사들을 넓게 삼고초려하여 명실공히 든든한 개혁 우파 플랫폼을 반드시 만들어내 선거를 승리로 이끌겠다”고 했다. 그러면서 “따뜻한 보수, 개혁적 보수를 주창하며 실용적 중도우파의 가치를 지켜온 오세훈만이 문재인 정권에 분노하는 보수와 중도의 지지를 고루 받아 승리할 수 있는 후보”라고 자평했다.
 오 후보는 이후 기자들과 만난 자리에서 안 후보가 이날 내곡동 땅 투기 의혹과 관련해 오 후보의 사퇴 가능성을 언급한 것을 놓고 “민주당이 제기하는 흑색선전에 편승하는 것은 단일화에서 바람직하지 않다고 생각한다”며 “경쟁은 치열하게, 화합은 확실하게 (해야 한다). 여론조사에 임하는 치열한 경쟁의 하나로 받아들이겠다”고 밝혔다. 이후 오 후보는 페이스북 글을 통해서도 “안 후보께서 또다시 내곡동 이야기를 하며 저를 걱정해주셨다”며 “(민주당에) 동조하시는 것은 단일화를 앞두고 도리도 아니며, 지지세 결집에 도움도 되지 않는다”고 날을 세웠다.
 국민의힘 지도부는 오 후보에 대한 지지를 전방위적으로 호소했다. 김종인 국민의힘 비상대책위원장은 책임당원들에게 문자메시지를 보내 “우리 당이 내년 대선에서 정권을 탈환하기 위해 오세훈 후보가 반드시 승리해야 한다”며 “지금 바로 서울 거주 연고자와 지인들께 전화와 문자로 우리 당 오세훈 후보를 적극 성원해달라”고 밝혔다. 

중도 탈피 ‘우파 끌어안기’ 날세운 안철수
“내곡동 문제 확산으로 야권 후보가 사퇴한 상태로 선거를 치를 수 있다.”
 “서울시장 후보가 되면 범야권 대통합을 하겠다. (우파 태극기 세력도) 다 포함된다.”
 22일 안철수 국민의당 후보는 단일화 경선 상대인 오세훈 국민의힘 후보를 겨냥한 날 선 표현과 보수층을 의식한 강경한 발언을 이어갔다.
 안 후보는 이날 오전 기자회견을 열어 “내곡동 문제가 확산되고 있다”며 “새로운 사실이 더 밝혀지고 당시 일을 증언하는 사람이 나타나면, 야권 후보가 사퇴한 상태에서 선거를 치를 수도 있다”고 말했다. 앞서 오 후보가 “(내곡동 땅이 국민임대주택지구로 지정되는 데 오세훈 시장이) 직간접적으로 압력을 가했다는 양심선언이 나오면 후보를 사퇴하겠다”고 한 것을 겨냥한 것이다. 이어 “저는 야권 단일화를 위한 충정으로 불리함도 모두 수용하겠다고 했지만, 국민들께서는 서울에서 야권의 8연패가 더 이상 이어지는 것을 수용해서는 안 된다”며 “아무런 문제가 없는 안철수 후보를 선택해달라”고 지지를 호소했다.
 안 후보는 이날 보수 성향 유튜브 채널 ‘이봉규 티브이(TV)’에 출연해선 이전까지 쌓아온 ‘중도’ 이미지와 사뭇 다른 태도를 취했다. 그는 “(서울시장 후보가 되면) 당을 통합해서 하나가 되고 윤석열 전 검찰총장, 금태섭 전 의원을 포함해 시민단체를 다 모으는 범야권 대통합을 하겠다”며 우파 태극기 세력도 포함되냐는 질문에 “다 포함된다”고 답했다. 일부 극우 세력이 주장하는 지난해 4·15 총선 부정선거 의혹과 관련해서도 “지난 총선만큼 관리가 부실한 선거가 없지 않았냐”며 “관리 부실만으로도 책임이 크고 조사에 들어가야 한다. 다만 전략적으로 접근했어야 한다”고 했다. 그러면서 “이번 보궐선거에서도 조심해야 한다. 감시의 눈을 집중해줬으면 한다”고 밝혔다. 안 후보는 또한 일본에 아파트를 구입했던 박영선 더불어민주당 후보를 겨냥해 “도쿄에 아파트 가진 아줌마는 (서울시장 선거에서) 충분히 상대 가능하다”고도 말했다. 상대 여성 후보에게 중년 여성을 낮춰 부르는 ‘아줌마’ 호칭을 사용한 것이 부적절하다는 지적이 일자 안 후보는 이후 기자들과 만나 “저는 집 없는 아저씨”라는 답으로 갈음했다. ",hankyoreh
87,2021-03-19,벼랑 끝 안철수 “오세훈쪽 단일화 방식 수용…22일 후보 확정”,장나래 기자 wing@hani.co.kr,"안철수 국민의당 서울시장 후보가 “김종인 국민의힘 비상대책위원장과 오세훈 후보가 요구한 단일화 방식을 수용하겠다”고 19일 밝혔다. 단일화가 늦어질수록 불리해지는 건 오 후보가 아니라 자신이라는 위기감에 결단을 내린 것으로 보인다. 김종인 위원장은 “너무 늦지않게 응해줘서 다행”이라고 화답했다.
안 후보는 이날 국회에서 긴급 기자회견을 열어 “제게 불리하고 불합리하더라도 단일화를 조속히 이룰 수 있다면 감수하겠다. 시민의 선택과 평가에 맡기겠다”며 이같이 말했다. 또한 “오 후보 쪽이 제안한 안을 수용하는 만큼 실무적 부분에서도 큰 이견은 없을 것이다. 이번 주말 조사에 착수하면 월요일에는 (후보를) 결정할 수 있을 것”이라며 “27일 투표용지 인쇄 전날이 아닌 25일 공식선거일부터 단일 후보가 나서도록 해야 된다”고 강조했다.
김 위원장도 안 후보의 결단에 대해 이날 중진연석회의가 끝난 뒤 기자들과 만나 “너무 늦지 않게 응해줘서 다행이라고 생각한다”고 말했다.
안 후보의 ‘유선전화 10% 포함’ 전격 수용으로, 양당의 실무협상은 이날 다시 재개될 예정이다. ",hankyoreh
101,2021-03-26,민주당 연일 ‘오세훈·박형준 때리기’…“이명박 시즌2” “최악의 후보”,노현웅 기자 goloke@hani.co.kr,"4·7 보궐선거 선거전에서 고전 중인 더불어민주당이 야권 후보 때리기에 열중하는 모양새다.
민주당 지도부는 26일 부산시장 김영춘 후보 사무실에서 중앙선거대책위원회 회의를 열고 연이틀 부산을 방문해 김 후보에 힘을 실었다. 이날 회의에서 김태년 원내대표는 “자고 나면 숨겨진 비리 의혹이 매일 새롭게 터져 나와, 1일 1의혹이라는 기네스북에 오를 새로운 흑역사를 써가고 있다”며 “이명박(MB) 정권 4대강 사찰 연루 논란, 엘시티(LCT) 실거주 목적 의혹, 고급 빌라 의혹, 홍익대 입시 청탁 의혹 등 열거하기도 힘들 정도로 많다. 박 후보는 부산시민을 부끄럽게 할 최악의 후보로 기록될 것”이라고 말했다.
김 원내대표는 특히 엘시티 의혹에 대해 “경찰 국가수사본부가 수사하고 있지만 미진할 경우 특검을 도입해 비리를 낱낱이 드러낼 것”이라며 특검 도입 가능성을 시사하는 발언도 내놨다.
이낙연 상임선대위원장도 박 후보 비판에 힘을 보탰다. 그는 “박 후보가 공직을 맡고 있을 때 국정원 사찰을 사주한 증거가 속속 드러나고 있고, 최근에는 재산과 관련해서 수많은 의혹들이 연일 쏟아지고 있다”며 “그런데 본인은 기억이 안난다, 모른다, 실수였다, 우연이었다고만 일관하고 있다”고 지적했다. 그러면서 “야당 후보가 돈 욕심이 많고 의혹도 많은데 거기에 더해 모르는 게 많은 데다 기억력은 부족하고, 공직관도 희박한 사람”이라고 맹비난을 했다.
박영선 서울시장 후보는 이날 오세훈 후보의 ‘내곡동 땅 셀프 보상’ 의혹에 대해 공세를 이어갔다. 그는 <와이티엔>(YTN) 라디오 ‘황보선의 출발 새아침’에서 “내곡동 문제를 몰랐다고 하는데 ‘위치를 몰랐다’, ‘국장 전결 사항이다’, ‘노무현 대통령 시절에 결정된 일이다’ 세 가지 (해명이) 모두 거짓말로 드러난 상황”이라며 “오 후보의 분명한 입장 표명이 있어야 한다”고 강조했다. 
박 후보는 그러면서 “(이명박 대통령에게) 비비케이(BBK) 의혹의 핵심 펀드였던 ‘마프 펀드’를 아시냐고 질문하면, ‘마포 해장국이요’라며 넘어가곤 했는데, 지금 내곡동 문제가 그렇다”며 “(오 후보는) 이명박 시즌2”라고 덧붙였다.",hankyoreh
103,2021-02-22,[리얼미터] 나경원·오세훈 오차 범위 내 접전…범야권에선 안철수 앞서,김미나 기자 mina@hani.co.kr,"서울시장 보궐선거에 출마한 국민의힘 나경원 예비후보와 오세훈 예비후보가 22일 발표된 여론조사에서도 팽팽한 접전을 벌이는 것으로 조사됐다. 국민의힘 최종 후보를 선출할 경선 여론조사는 1주일 앞으로 다가왔다. 
 <문화방송>(MBC) ‘백분토론’ 팀이 리얼미터에 맡겨 지난 19일부터 이틀간 서울 지역에 거주하는 18살 이상 1030명을 대상으로 조사한 결과(신뢰수준 95%, 표본오차 ±3.1%포인트), ‘국민의힘 서울시장 후보로 누가 적합한지’를 묻는 질문에 나 후보의 적합도가 25.2%, 오 후보가 22.0%로 오차범위에서 경합을 벌이는 것으로 나타났다. 이어 조은희 후보가 6.5%, 오신환 후보가 5.5%였다. 본선에서 적용되는 10%의 여성가산점을 가상으로 부여하면 나 후보가 27.2%, 조 후보가 7.1%를 받게 된다. 나 후보는 ’보수 성향’ 응답층에서, 오세훈 후보는 ‘20대 이하’ 연령층에서 지지세가 뚜렷했다고 리얼미터는 밝혔다. 

   다만 ‘2차 단일화’를 하게 될 안철수 국민의당 후보와의 경쟁구도에서는 안 후보가 국민의힘 후보들에 앞서는 것으로 조사됐다. 범야권 서울시장 후보로 누가 적합한지를 묻는 ’양자 가상 대결’에서 안 후보(39.4%)가 오차범위 밖에서 나 후보(24.8%)에 앞섰다. 안 후보(40.0%)는 오세훈 후보(23.3%)와의 범야권 양자 대결에서도 우세했다. 
 여야 후보 전체를 놓고 서울시장 후보 적합도를 다시 물었더니 박영선 더불어민주당 후보가 31.1%로 앞섰고, 이어 안 후보(23.2%), 나 후보(14.2%), 오세훈 후보(9.4%), 우상호 민주당 후보(7.3%) 차례였다. 
 이번 서울시장 보궐선거의 의미를 묻자 응답자의 45.5%가 ‘정부·여당의 책임을 묻기 위해 야당에 힘을 실어줘야 한다’고 답했다. ‘안정적인 국정운영을 위해 정부·여당에 힘을 실어줘야 한다’는 응답은 44.0%였다. 자세한 내용은 중앙선거여론조사심의위원회 누리집을 참조하면 된다. ",hankyoreh
161,2021-04-13,"국무회의 ‘나홀로 야당’ 오세훈, 방역·공시가 첫날부터 ‘설전’",이완 기자 wani@hani.co.kr,"오세훈 서울시장이 13일 코로나19 방역과 공시지가 산정 개선 등을 놓고 국무위원들과 설전을 벌였다. 13일 문재인 대통령이 주재하고 청와대와 정부서울청사·세종청사를 화상으로 연결해 진행한 국무회의에서다. 오 시장은 정부서울청사에서 화상으로 참석해 대면으로 문 대통령과 만나지는 않았지만 배석자 자격으로 발언할 수 있었다. 문재인 정부 들어 국무회의에 참석한 첫 야당 단체장이었기에 이날 회의 전부터 그의 발언 내용에 관심이 쏠렸다. 
 시작은 순조로웠다. 문 대통령은 국무회의 머리발언 뒤 오 시장을 소개하고 “당선을 축하한다. 국무회의에 처음 참석한 것을 환영한다”고 했다. 전날 문 대통령한테서 축하난을 선물받은 오 시장은 “영상으로나마 감사 인사를 전하겠다”고 답했다. 
 오 시장은 회의 말미에 발언권을 얻어 코로나19 방역 아이디어를 내고 부동산 공시지가 산정의 문제점을 지적했다. “간이 진단키트에 대해 식약처가 빠른 시일 내에 사용 허가를 해줄 것”을 촉구했고 “공동주택 가격 결정 과정이 지방자치단체가 권한을 갖고 참여할 수 있도록 해 달라”고 요구했다.   
 오 시장 발언이 끝나자 방역 주무 장관들은 곧 반격을 시작했다. 권덕철 보건복지부 장관은 “유흥시설이나 식당 등 일회성으로 찾는 곳에 자가진단키트를 쓸 수 있는지는 전문가와 협의가 필요하다”며 신중한 태도를 보였다. 김강립 식품의약품안전처장은 “자가검사키트는 100명의 양성 환자가 검사 받으면 최대 10명까지는 밝히지 못하는 제품이 허가돼 사용될 수 있다”며 “부작용을 충분히 염두에 두면서 중대본과 같이 협의해서 진행한다면 유용하게 사용될 것으로 기대한다. 심사에 속도를 내겠다”고 말했다. 전해철 행정안전부 장관은 “지자체가 새로운 아이디어를 낼 경우 중대본과 협의해 달라. 협의를 거치지 않으면 방역 혼선을 초래할 수 있다”며 ‘사전 협의’를 강조했다. 
 부동산 공시가 급등으로 국민 부담이 가중되고 있어 제도 개선이 필요하다는 오 시장의 주장에 대해서 홍남기 부총리는 “일부 지자체의 문제제기가 잘못된 사실관계에 근거한 것이 많다”고 선을 그었다. 홍 부총리는 “부동산가격공시법에 따라 산정한 가격이다. 정부가 임의로 조정할 여지가 없다”며 “공시가격 현실화율도 많이 반영이 안돼 있는 상황”이라고 답했다. 변창흠 국토교통부 장관도 “2019년 9월 시도별로 결정권을 지자체로 이관하는 내용의 공시지가와 관련한 법률 개정안을 논의한 적이 있는데 서울·경기·제주만 찬성하고 다른 지자체는 모두 반대했다. 전국적 통일이 필요하다”고 거들었다. 
 이에 오 시장은 진단키트 문제는 이번주 서울시 방안을 마련해 다음주 중대본에 건의하겠다고 밝혔고, 공시지가에 대해선 “상승속도가 급격하다. 공시가격이 올라 세금이 오르면 가처분 소득이 줄어 경제효과 면에서 바람직하지 않다”고 맞받았다. 청와대 관계자는 “격론이 오간 것은 아니고 차분하게 의견을 나눴다”고 분위기를 전했다. 전임 박원순 서울시장도 박근혜 정부 시절 야당 정치인으로는 유일하게 국무회의에 참석해, 누리과정과 청년수당 문제를 놓고 국무위원들과 설전을 벌이기도 했다. 
 문 대통령은 국무회의를 마치며 ‘충분한 소통’을 당부했다. 문 대통령은 “서울시장께서 제안하고 관계 부처에서 답변을 했는데 요약된 제안과 짧은 답변만으로는 충분한 소통이 됐다고 볼 수 없다”며 “서울에서부터 문제를 해결해야 전국적 해결이 가능한 만큼 충분한 소통으로 각 부처와 서울시가 같은 입장을 가질 수 있도록 노력해달라”고 말했다.  ",hankyoreh
166,2021-03-19,오세훈 “안철수 어떤 안을 받겠다는지 불투명”…다시 평행선,장나래 기자 wing@hani.co.kr,"오세훈 국민의힘 서울시장 후보는 19일 안철수 국민의당 후보가 ‘김종인·오세훈의 단일화 방식을 수용하겠다’는 입장에 대해 “새로운 내용이 없어 더 혼란스러워졌다”며 부정적인 입장을 밝혔다. 안 후보의 선언으로 재개를 기대했던 야권의 단일화 협상이 다시 평행선을 달리고 있다.
오 후보는 이날 오후 국회 소통관에서 기자회견을 열어 “안 후보가 수용하겠다고 한 것은 다시 협상 재개를 저희한테 요청한 정도일 뿐이고, 이태규 사무총장과 내용도 달라 더 혼란스러워졌다”며 이같이 말했다. 오 후보는 “이태규 사무총장의 백브리핑 내용을 들어보니 경쟁력만 받겠다고 해 적합도는 사라졌다. 여론조사 유·무선 비율도 협상하겠다고 표현했다”며 “어떤 안을 100% 받겠다는 건지 오히려 불투명해졌다”고 밝혔다. 
안 후보의 수용 선언으로 재개를 기대했던 단일화 협상이 다시 안갯속에 빠져드는 모양새다. 이날 오후 2시로 예정됐던 실무협상도 재개되지 않았다. 국민의힘 실무협상단장인 정양석 사무총장은 “오전에 만나겠다고 한 것은 안 후보가 우리의 제안을 수용한다는 전제였다. 오세훈·김종인 안이 아닌 다른 안이라면 만날 이유는 없다”고 강조했다.",hankyoreh
182,2021-04-07,"오세훈 “국민 여러분의 시험대, 꼭 통과하겠다”",오연서 기자 loveletter@hani.co.kr,"서울시장 보궐선거 투표일인 7일 오세훈 국민의힘 후보는 “상생의 서울을 만들겠다”며 마지막 지지를 호소했다.
오 후보는 이날 페이스북에 글을 올려 지난 13일 동안 이어진 선거운동의 소회를 밝혔다. 오 후보는 이 글에서 “꼭 당선돼 서울을 살리고 정권심판 해달라시던 열망어린 표정의 시민 여러분들, 정말 죽을 때까지 잊지 못할 것”이라며 “이번 선거과정을 통해 청년들의 분노, 국민들이 원하는 희망, 서울시민이 가진 저력, 대한민국 회복의 가능성을 봤다”고 썼다. 그러면서 “제가 잘나서 지지해주시는 게 아니라는 것을 잘 안다. ‘위기에 빠진 대한민국을 살려라, 기회를 주겠다, 잘 하는지 지켜보겠다’는 여러분의 마음 잘 안다. 국민 여러분의 시험대를 꼭 통과하겠다”고 말했다.
오 후보는 “우리 아이들과 청년들에게 기성세대가 만든 빚, 암울한 미래, 분열의 시대를 물려주지 않겠다”며 “공정과 정의를 다시 세우고 상생의 서울, 반드시 만들겠다는 약속도 꼭 지키겠다”고 말했다. 그는 또 “좋은 일머리 가진 유능한 일꾼으로서 서울시장으로서의 경륜과 경험을 제대로 다시 써서 시민 여러분들께 자부심으로 돌려드리겠다”고 다짐했다.
오 후보는 마지막으로 “미래를 바꾸는 힘은 투표에서 나온다. 정치에 응어리진 마음은 투표를 통해 풀어달라”며 “반드시 투표하셔서 국민의 힘을 보여달라”고 지지를 호소했다.",hankyoreh
