,date,title,reporter,content,press
2,2021.03.25,[강인선·배성규의 모닝라이브] 박영선의 수성이냐 오세훈의 탈환이냐…막오른 서울시장 선거전 판세,강인선 부국장,"조선일보 데일리팟캐스트 ‘강인선·배성규의 모닝라이브’가 25일 더불어민주당 박영선 대 국민의힘 오세훈 후보 양자 대결 구도로 짜인 4·7 서울시장 보궐선거를 두고 이야기를 나눕니다.
오세훈 후보가 국민의당 안철수 대표와의 여론조사 경선에서 승리해 야권 단일후보로 결정되면서 사실상 박영선 후보와 양자 대결을 벌이게 됐습니다.
오 후보는 야권 후보 단일화 레이스가 유권자의 관심을 끌면서 여론 지지율 조사에서 상승세를 타고 있습니다. 민주당도 선거전 초반 박 후보의 열세를 인정하고 있습니다.
오 후보는 안 대표가 공동선대위원장을 맡는 등 단일화 여세를 몰아 서울시장직을 탈환하겠다고 벼르고 있지만, 박 후보는 이제 전선이 명확해진 만큼 남은 2주간 오 후보를 향한 거센 공세를 통해 전세를 뒤집겠다고 했습니다.
10년만에 서울시장직 탈환에 나선 오 후보와 최초의 여성 서울시장을 꿈꾸며 시장직 수성에 나선 박 후보의 열전(熱戰)이 어떻게 전개될지 두 후보의 장단점과 판세 분석을 통해 전망해봅니다.",조선일보
5,2021.03.23,[이동훈의 촉] ‘오세훈 돕겠다'는 안철수 진심이다,,"역시 국민의힘 지지층의 결집이 컸다고 볼 수밖에 없습니다.
제1야당, 전국 선거 4연패로 아무리 상황이 좋지 않아도, 역시 썩어도 준치, 제1야당이었습니다.
4월 서울시장 보궐선거에 출마하는 야권 단일 후보로 오세훈 국민의힘 후보가 결정됐습니다.
정치를 잘 아는 분에게 오세훈-안철수 중 누가 단일후보가 될지 물어본 적이 있습니다.
2002년 노무현 정몽준 단일화를 얘기하더 군요. 정몽준이 기세를 타고, 여론조사에서도 우위를 보였지만 막상 거대정당을 배경으로 한 노무현과 경선을 붙여보니 결과가 다르더라. 거대정당의 힘을 무시할 수 없더라.
이번 서울, 부산 보궐선거는 전국 선거에 못지 않습니다. 국민의힘은 중요선거 4연패를 끊어낼 수 있는 절호의 기회를 잡았습니다.
이번 단일화는 정치사적으로 상당한 의미가 있습니다. 그간 진보진영과 중도진영 단일화는 많았습니다. 보수진영과 중도진영 단일화는 거의 없었습니다. 단일화 하면 떠오르는 2002년 노무현 정몽준 단일화, 2011년 서울시장 보궐선거당시 박원순 안철수 단일화, 이 모두 진보와 중도의 단일화였습니다.
사실 보수진영은 그동안 대한민국에서 진보에 비해 여러면에서 우위였기 때문에 굳이 단일화 시도를 하지 않았던 겁니다. 그런데 박근혜 대통령 탄핵사태 이후 그 구도가 변했습니다. 중도가 대거 이탈해 진보쪽으로 가버렸습니다. 2017년 대선을 앞두고 보수와 중도간 단일화 얘기는 오갔지만 제대로 된 시도도 못했습니다. 이번에 중도 안철수와 보수 오세훈이 여론조사 경선을 통해 실제로 단일화를 해냈습니다.
가지 않았던 길입니다. 단일화까지 밀고 온 힘은 사실 서울시장을 탈환하고 대선승리를 향해 나가야 한다는 보수와 중도층의 열망이었습니다.
‘반 문재인' 정서가 강하게 작동하고있다고 보입니다. 그 열망이 가보지 않은 길을 가도록 한겁니다. 이 보수 중도 연합을 내년 3월 대선까지 끌고 갈 수 있을지도 지켜볼 일입니다. 단일화 경선에서 패배한 안철수가 이번에 힘을 제대로 합쳐줄까요?
2012년 대선 당시 문재인 안철수 단일화 이후 안후보는 제대로 힘을 합치지 않았습니다. 바로 미국으로 가버리죠. 반쪽의 단일화라고 했습니다. 이번에도 그런 일이벌어질까요. 저는 이번에는 그런 일은 없을거라고 봅니다. 안 후보가 오늘 입장문에서 “야권의 승리를 위해 열심히 돕겠다”고 했는데 말로만 그치지는 않을 거라고 봅니다. 이번 서울시장 선거는 차기 대선까지 영향을 미치는 선거입니다. 대선과 바로 연계된 선거입니다.
주호영 국민의힘 원내대표가 이런 말을 했죠. “야권 서울시장 후보가 단일화되는 순간이 정계 개편이다”
안철수 후보는 비록 단일화 경선에서 졌지만 이후 정계개편의 한축이 되려고할 겁니다.
대선에서 중요한 역할을 할려고 할겁니다.
윤석열 전 검찰총장은 오세훈 후보를 도울까요? 윤 전 총장이 4월 재보선 이후 본격적으로 움직일거라는 전망이 우세하죠.
그러나 윤 전 총장이 이번 선거에 적극 개입은 하지 않더라도 어떤 식으로든 오후보를 지지하는 메시지는 낼 거라고 봅니다. 언론을 통해 메시지를 내는 것을 넘어서 오후보와 만나는 그림도 가능하다고 봅니다. 이번 서울시장 보궐선거 과정에 윤 총장이 오세훈 후보를 돕는다면 그건 윤총장에게는 본격적인 정치 행보가 될겁니다.
보수 중도 연합을 내년 대선까지 끌고 갈 수 있느냐가 이번 보궐선거에 달렸습니다. 윤 총장이 보궐선거 승리로 보수중도 연합이 대선까지 가는데 한 역할을 한다면, 그의 입지는 더 탄탄해지겠지요.
과거 단일화 실패 사례를 보면 단일화 과정에서 감정싸움이 실패의 중요한 원인이 된 경우가 많습니다. 이번에도 마지막까지 감정싸움이 있었습니다. 지루한 단일화 룰 협상도 있었습니다. 밀고 당기다보니 단일화 시너지가 떨어지는 것 아니냐는 얘기도 나옵니다. 그렇지만 이제 결과가 나오고나면 컨벤션 효과에 따른 시너지가 나올 겁니다. 지지율이 꽤 올라갈 겁니다. 과거에 주목받은 단일화 사례를 보면 그랬습니다. 아마 몇몇 여론조사기관이 오세훈 대 박영선, 여론조사를 해서 내일 결과를 내놓을건데 격차가 이전보다 커질 거라고 예상됩니다.
그렇다고 해서 그것이 바로 오세훈 후보, 야권의 승리보장은 아닙니다.
서울은 사실 여당의 독무대입니다. 박원순 시장이 3선을 했습니다. 2018년 지방선거에서 여당은 서울시 25개 구청장 중 24개를 석권합니다. 서울시의원 100석 중 97석을 차지하고, 구의원은 369석 중 219석을 가져갑니다. 2020년 총선에서는 국회의원 49석 중 41석을 여당이 가져갑니다.
이 막강 조직의 화력은 단일후보를 충분히 위협합니다. 이해찬 대표가 “선거 거의 이겼다”고 했습니다. 이걸 두고 여러 해석이 나오지만 어쨌든 쉽게 봐선 안됩니다. 서울은 야권에겐, 보수진영에게는 구조적으로 어려운 곳입니다.
일방독주는 민주주의에는 독입니다. 기울어진 정치 지형이 너무 오래가면 나라가 기울어집니다.
이번 야권후보 단일화 성사가 한국 정치에 다시 견제와 균형을 불어넣는 봄바람이 될까요.",조선일보
16,2021.03.23,"김태년, 오세훈 향해 “MB 아바타다운 거짓말 정치인”",안준용 기자,"김태년 더불어민주당 대표 직무대행 겸 원내대표는 23일 원내대책회의에서 오세훈 국민의힘 서울시장 후보의 ‘내곡동 땅 보상 의혹’과 관련, “오 후보의 거짓말을 입증할 증거 자료는 차고도 넘친다”고 했다. 그러면서 오세훈 후보를 가리켜 “MB 아바타다운 거짓말 정치인”이라고 비판했다.
김 대표대행은 “오 후보의 거짓말 스무고개가 점입가경이다. 오 후보는 진실을 고백하는 대신 책임회피와 말 바꾸기로 일관하고 있다”며 이같이 말했다.
그는 “우리 사회는 이미 거짓말로 국민을 속이고 대통령이 된 MB의 몰락을 잘 안다”면서 “모든 서류와 문서는 오 후보가 했던 일을 또렷이 기록하고 있다. 그런데도 오 후보는 어설픈 말 바꾸기로 국민을 속일 수 있다고 착각하고 있다. MB 아바타다운 거짓말 정치인”이라고 했다.
김 대표대행은 “오 후보는 자신의 말 바꾸기 거짓말에 대해 책임을 져야 한다”며 “거짓말했던 분이 공직을 탐해선 안 된다”고 했다.
특히 “MB의 거짓말 국정농단은 한 번으로 족하다. 가벼운 입은 서울시장이란 막중한 공직에 어울리지 않는다”면서 “오세훈 후보는 시민의 삶을 외면한 채 전시행정에만 몰두하다 실패한 전직 시장”이라고 했다.
이어 “오 후보는 재임 시절 각종 토건사업에 예산을 물쓰듯하면서 정작 우리 아이들의 친환경 무상급식을 저지하겠다며 직을 내던졌던 전직 시장”이라며 “유치원 무상급식은커녕 이미 시행 중인 초중고 무상급식도 좌초시키려 할지도 모른다”고 했다.
그는 박형준 국민의힘 부산시장 후보를 향해서도 “불법사찰부터 특혜 분양 의혹까지 파도 끝이 없는 막장 의혹에 국민이 허탈하다”며 “깨어 있는 시민의 행동으로 부패와 비리로 얼룩진 실패한 이명박 토건 부패세력의 부활을 막아야 한다”고 했다.",조선일보
41,2021.03.25,오세훈 55% vs 박영선 36%… 20대 60%가 “吳 지지”,노석조 기자,"서울시장 야권후보 단일화 이후 실시된 첫 여론조사에서 국민의힘 오세훈 후보가 더불어민주당 박영선 후보를 20%포인트 가까이 앞선다는 결과가 25일 나왔다.
특히 60세 이상 및 노인층을 제외하고 20대의 오 후보 지지율이 가장 높게 나와 눈길을 끈다.
리얼미터가 오마이뉴스 의뢰로 단일화 성사 다음 날인 24일 서울 거주 18세 이상 806명에게 어느 후보에게 투표할 것인지를 물은 결과 응답자의 55.0%가 오 후보라고 답했다. 응답자 36.5%는 박 후보라고 대답했다.
두 후보 간 격차는 18.5%포인트이다. 오차범위(95% 신뢰수준에 ±3.5%포인트)를 크게 벗어났다.
연령별로 보면 오 후보가 20대(만 18~29세)에서 큰 격차로 우위를 보였다. 20대에서 오 후보는 60.1%, 박 후보는 21.1%로 나타났다. 3배 가까운 차이가 난 것이다.
20대의 박 후보 지지율(21.1%)은 야당 지지 성향이 강한 60세 이상 및 노인층(26.7%)보다도 낮았다.
전 연령대에서는 유일하게 40대가 박 후보(57.9%)에게 더 많은 지지를 보냈다.

오 후보의 40대 지지율은 34.7%에 그쳤다.1980년대 민주화운동을 주도한 50대에서는 오 후보가 47.1%, 박 후보가 45.2%로 접전 양상을 나타냈다. 거주 지역을 기준으로 보면 오 후보가 서북권(53.1%), 동북권(49.4%), 강서권(56.6%), 강남권(62.8%) 등 모든 지역에서 박 후보를 앞섰다.
이번 선거에 반드시 투표하겠다는 적극 투표층에서는 오 후보 57.9%, 박 후보 36.4%의 지지율을 보였다.
투표 의향 조사에서는 투표할 것이라는 응답이 95.5%였다.
반드시 투표하겠다는 응답이 82.0%, 가능하면 투표할 것이라는 응답이 13.5%였다.
정당 지지도는 국민의힘이 37.7%, 민주당이 30.1%, 국민의당이 9.1%, 정의당은 5.0%, 열린민주당은 3.7%였다.
문재인 대통령의 국정수행을 어떻게 평가하느냐는 질문에는 긍정 평가가 35.0%, 부정 평가가 61.3%로 나타났다.
자세한 여론조사 내용은 리얼미터나 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다.",조선일보
56,2021.03.23,김종인 “두 후보 용단에 감사… 오세훈이 될 것”,송혜진 기자,"국민의힘 김종인 비상대책위원장은 22일 “오세훈 국민의힘 서울시장 후보와 안철수 국민의당 후보가 용단을 내려 단일화에 합의했다”면서 “두 후보에게 감사한다”고 했다.
김 위원장은 이날 당 회의에서 “국민에게 약속했던 시일 내 단일화를 이루지 못해 일시나마 불편을 안겨드렸던 것에 대해 대단히 송구하게 생각한다”며 이같이 말했다. 4·7 서울시장 보궐선거 야권 후보 단일화 여론조사가 진행되는 상황에서 공연한 논란을 줄이려는 취지로 해석됐다. 김 위원장은 단일화 협상 과정에서 안 후보를 강하게 비판해왔다.
그러나 김 위원장은 이날 당 지도부와 당원들에게 여러 차례 결집을 강조하며 “오 후보로 단일화가 될 것”이라고 했다. 그는 오 후보와 안 후보가 이날 오후 회동할 예정이라는 보고를 듣고 “여론조사 기간에는 굳이 만날 필요가 없다. 지금은 민심과 당심을 결집해야 할 때”라고 한 것으로도 알려졌다. 그러자 양 캠프는 “오늘 저녁 오 후보와 안 후보의 만남은 여론조사가 진행되고 있는 상황을 감안해 단일화 후보 확정 이후로 연기했다”고 밝히면서 회동을 취소했다.
김 위원장은 이날 오전 10시 여론조사가 시작된 직후에도 당원들에게 “우리 당이 내년 대선에서 정권을 탈환하기 위해 우리 당 오세훈 후보가 반드시 승리해야 한다”는 내용의 문자메시지를 보냈다. 그는 이날 기자들과 만나서도 “오 후보가 확실히 단일 후보가 될 것”이라며 “여론조사를 냉정하게 분석해보면 결과를 예측할 수 있는데, 박빙으로 나오든 10%포인트 차이로 나오든 이기는 사람은 정해져 있다”고 했다. “단일화 여론조사에서 안 후보가 이겨도 승복할 것이냐”는 질문에는 “나는 그런 가정(假定)의 질문에 답하지 않는다”고 했다.",조선일보
59,2021.03.24,"오세훈 48%, 박영선 29%... 吳, 서울 전지역서 앞섰다",김동하 기자,"서울시장 후보 지지율 조사에서 국민의힘 오세훈 후보가 48.9%로 더불어민주당 박영선 후보(29.2%)를 20%포인트 가까이 앞서는 것으로 24일 집계됐다.
리얼미터가 YTN과 TBS 의뢰로 지난 22∼23일 서울 거주 18세 이상 1042명에게 ‘서울시장 선거에서 후보단일화로 다음 후보들이 출마한다면 누구에게 투표할 것인지’를 물은 결과다. 두 후보간 격차는 19.7%포인트로, 오차범위(95% 신뢰수준에 ±3.0%포인트) 밖이다.
다만 이 조사는 오 후보와 국민의당 안철수 후보 간 야권 단일화 조사가 시작된 22일부터 단일화 발표 당일인 23일에 걸쳐 이뤄져 ‘단일화 결과’가 완전히 반영되지는 않았다.
오 후보는 국민의힘 지지층(93.3%), 보수층(76.0%), 60세 이상(70.2%), 가정주부(62.8%) 등에서 상대적으로 높은 지지를 받았다. 박 후보는 민주당 지지층(88.9%), 진보층(59.5%), 40대(53.5%)에서 비교적 높았다.
거주 지역을 기준으로 보면 오 후보가 강북서권(45.8%), 강북동권(50.1%), 강남서권(46.5%), 강남동권(53.1%) 등 모든 지역에서 박 후보를 앞섰다. 이번 선거에 반드시 투표하겠다는 적극 투표층에서는 오 후보 52.5%, 박 후보 29.6%의 지지율을 보였다.
정당 지지도는 국민의힘 32.7%, 민주당 23.5%였다. 이어 국민의당 13.4%, 정의당 3.5%, 열린민주당 3.1% 등이었다.
이번 재보궐선거의 의미로는 ‘정부여당 심판’이 59.2%, ‘안정적 국정 운영’이 32.9%였다. 차기 서울시장의 중점 현안으로는 ‘부동산시장 안정’을 꼽은 응답자가 41.8%로 가장 많았다. 이어 ‘민생경제 활성화 및 일자리 창출’ 27.4%, ‘강북·강남간 균형발전’ 7.8% 등이었다.
자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다.",조선일보
64,2021.03.31,"박영선·오세훈 다 때린 미친 존재감, 민생당 이수봉이 누구야?",김은중 기자,"4·7 서울시장 보궐선거에서 ‘제3후보’ 민생당 이수봉 후보가 의외의 주목을 받고 있다. 30일 서울시장 TV토론에서 더불어민주당 박영선 후보, 국민의힘 오세훈 후보 모두에게 공세를 펼치며 존재감을 보였다는 평가다.
이 후보는 이날 기조연설에서 박 후보를 향해 “민주당 박원순 시장 때문에 이 보선이 만들어졌다”며 “이 선거 때문에 580억원이 날아갔다”고 꼬집었다. 또 오 후보를 향해서는 “자신이 범야권 단일 후보라고 하셨는데 선거법 위반이다. 후보님 말고도 야권에서 나온 후보가 10명이 넘는다”고 했다.
이날 이 후보가 중앙선거방송토론위원회 주최 토론회에 참여하게 된 것은 민생당의 전신인 바른미래당이 지난 2018년 서울시장 선거에서 19.55% 득표율(안철수 당시 후보)을 기록했기 때문이다. 공직선거법에 따르면 최근 4년 이내 해당 선거구에서 실시한 선거에서 10% 이상 득표한 후보나 정당은 선거위 토론회 초청 대상이다.
이 후보는 이날 박·오 후보의 정책에 대해서도 조목조목 문제 제기를 했다. 1인당 10만원 지급을 공약한 박영선 후보에게는 “매표 논란을 떠나 기본소득에 대한 이해가 부족한 것 같다” “LH 임직원에게도 기본소득으로 똑같이 줄 것인가”라고 했다. 또 오 후보에 대해선 내곡동 땅 문제 관련 “국민을 우습게 아는 것 같다. 땅값이 100배 가까이 올랐다”고 했다.
민생당은 박·오 두 후보에게만 스포트라이트가 집중되면서 토론회 직전 남궁헌 언론특보 명의로 “제3지대 민생당 후보의 사진이 빠지는 일이 없도록 기억해 주시길 간절히 부탁드린다”고도 했었다. 하지만 이 후보가 예상치 못한 주목을 받으며 캠프 분위기가 고무된 것으로 전해졌다. 토론 직후 소셜미디어(SNS)와 인터넷 커뮤니티에서는 이 후보를 두고 “저 사람 누구냐” “공약이 신선하다”는 긍정적인 반응이 나왔다.
이 후보는 민노총 대변인, 정책연구원장 출신으로 2013년 안철수 국민의당 대표의 국회의원시절 보좌관을 지냈다. 2016년 국민의당 후보로 인천 계양갑에 출마해 낙선했다.",조선일보
80,2021.04.09,[이동훈의 촉] ‘윤석열 사직서'가 ‘오세훈 부적’됐다,,"이번 선거에서 민주당이 어떤 후보를 내고, 어떤 전략을 구사했더라도 민주당은 이번 선거에서 참패를 면하기 어려웠을 거라 생각합니다. 그래서 앞으로도 민주당이 이번 패배를 쉽게 극복할 수 있을지 솔직히 의문입니다. 하루이틀 혁신 한다고 쇼해서 될일이 아니기때문입니다.
4년간 이렇게 누적된 불만과 분노에 부동산투기, 선거를 앞두고 LH사태가 불씨를 던졌습니다.
경실련 등 시민단체가 기자회견을 갖고 LH 직원들의 부동산투기의혹을 제기한게 3월 2일입니다. 이틀뒤인 3월 4일 윤석열 검찰총장이 사퇴했습니다. “헌법과 법치가 파괴되고 있다” “상식과 정의가 무너지고 있다”고 했던 그날입니다. 같은날인 3월 4일 국민의힘은오세훈 박형준을 단일후보로 선출합니다. 이후 안철수와의 단일화 협상이 시작됩니다. 줄다리기와 경선 끝에 23일 오세훈이 범야권 단일후보로 선출됩니다.
서울시 정책보좌관을 지낸 최병천, 민주당쪽 전략가입니다. 이렇게 분석을 했더군요. “나는 세 가지 사건 중에서도, 윤석열 사퇴가 가장 중요한 변곡점이었다고 생각한다” 세가지 사건이라 하면 LH, 오세훈 안철수 단일화, 윤석열 사퇴를 말합니다. 그 중에서 가장 중요한 사건이 윤석열 사퇴란 겁니다.
그는 이렇게 말합니다. “미얀마 시민이 300명 넘게 죽었다고 한다. 그런데, 만일 미얀마에 ‘아웅산 수치’가 없었다면 어땠을까? 그래도 미얀마 시민들이 죽음을 각오한 투쟁을 할 수 있었을까? 나는 없었다고 본다. 미얀마 시민들이 죽음을 각오한 투쟁을 하는 것은 ‘투쟁의 구심’ 역할을 해주는 ‘정치 리더’가 있기 때문이다.”
저는 윤 총장의 사퇴가 ‘볼록렌즈’ 역할을 했다고 생각합니다. 돋보기 아시지 않습니까. 윤석열이 사퇴하는 그 순간, 윤석열을 초점으로 민주당과 문재인 정권에 불만이 있던 사람들이 광범위하게 결집한 겁니다.
작년부터 시작됐던 이번 시장 선거 여론조사를 유심히 지켜보셨다면 이런 점을 발견하실 수 있었을겁니다. 작년말부터 여야 서울시장 누구를 찍을 거냐는 여론조사가 나왔는데요. 야당, 국민의힘에 대한 지지와 윤석열 총장에 대한 지지가 연동이 되고 있었습니다. 야당 지지가 가장 떨어진 건 지난 1월 문재인 대통령이 신년기자회견에서 “윤총장은 문재인 정부 검찰총장”이라고 하고 나서입니다. 윤총장 지지율도 떨어졌지만 이번 보선에서 국민의힘을 찍겠다는 지지도도 같이 떨어집니다. 윤석열 사퇴 이전, 여야 서울시장 후보 지지도는 접전이었습니다. 그런데 윤석열 사퇴 이후, 박영선 후보는 보수 단일 후보와의 가상대결에서 15%~20%로 ‘격차’가 벌어집니다.
정치에서 구심이 있고 없고의 차이는 사실 8할 이상입니다. 다음 대통령이 될 수 있는 지도자가 있느냐 없느냐, 국민의 정당 지지는 여기서 크게 갈립니다. 국민의힘이 지금까지 국민 지지를 받지 못하고 지리멸렬했던 이유, 구심이 없었기 때문입니다. 다음 대통령이 될 수 있겠다, 국민이 그렇게 생각하는 차기 지도자가 국민의힘에 없었습니다. 당의 간판 유력 차기 주자가 없다는 것은 곧 그 당의 미래가 없다는 얘기입니다. 국민이 지지할 이유가 없습니다. 지금까지 국민의힘이 그랬습니다.
오늘 아침 중앙일보에 김종인 비대위원장 인터뷰가 실렸습니다. 김 위원장, 윤석열 총장에 대해 이렇게 말합니다. “윤 전 총장은 과거에 정치했던 사람이 아니다. 그는 특이한 사람이니 나중에 국민의힘이 모셔올 수 있다고 생각하지만 그러기 위해선 당이 더 내부적으로 결속을 해줘야 한다” 홍준표·유승민·안철수·원희룡 등 다른 야권 대선 주자들에 대해서 이렇게 말합니다. “그 사람들은 자기네들이 그런 생각이 있으면 국민에게 어필을 해야 하는데, 국민에게 어필을 해도 시원한 반응이 안 나오면 알아서들 판단해야 한다.”
김종인 위원장 생각은 이런 것 같습니다. 기존 야권 대선주자들은 아무리 해도 안되니 비켜서고 빨리 윤 총장 데려와서 당의 간판으로 세워라. 그게 국민의힘이 대선에서 승리할 수 있는 길이다.
윤석열 총장은 과연 어떤 선택을 할까요? 정치 참여 선언은 언제 할까요? 정치 참여를 선언하고 나면 제3지대에서 계속 남아있을까요? 최종적으로는 국민의힘과 함께 움직일까요?

",조선일보
91,2021.04.06,與 “오세훈·박형준 당선 무효형 가능성” 野 “협박 당장 멈춰라”,안준용 기자,"더불어민주당은 5일 “국민의힘 오세훈 서울시장 후보와 박형준 부산시장 후보가 당선되더라도 거짓말 등으로 인해 ‘당선 무효형’을 받을 가능성이 있다”고 주장했다. 민주당은 이날 허위 사실 공표 혐의로 오 후보를 검찰에 추가 고발하고, 박 후보 의혹과 관련해선 검찰에 수사 의뢰했다. 이에 국민의힘은 “협박, 흑색선전을 당장 멈추라”고 했다.
최인호 민주당 중앙선대위 수석대변인은 이날 선대위 회의 후 “오 후보와 박 후보의 해명이 거짓말로 드러나고 있고, 그 거짓말로 당선된다면 사법 당국이 당선무효형으로 판단할 가능성이 크다는 (민주당) 법률위원회 보고가 있었다”고 했다. 그는 “또 다른 야당발(發) 시정 공백을 우려하지 않을 수 없다는 내용도 함께 공유했다. 그렇게 되는 것조차 불행한 일”이라고 했다. 국민의힘 후보들이 당선되더라도 추후 선거법 위반 등과 관련한 검찰 수사와 법원 판결로 당선무효형을 받을 수 있다고 공개 언급한 것이다.
민주당은 오 후보가 내곡동 땅 관련 의혹을 부인하는 과정에서 한 말, 박 후보가 국정원 사찰과 재산 신고 누락, 자녀 입시 비리 의혹 관련해 한 발언 등이 허위 사실 공표(공직선거법 위반)에 해당할 수 있다고 주장한다. 민주당 김경협 의원은 이날 라디오에서 “오 후보의 계속된 거짓말 릴레이는 선거 당락을 결정지을 수 있는 허위 사실 공표죄”라며 “당선돼도 시장직을 유지하기 어려울 것이고, 수사받고 재판받다 임기가 끝날 것”이라고 했다.
민주당 서울 시의원들은 오 후보의 내곡동 처가땅 의혹 규명을 위한 ‘행정사무조사 특위’ 구성도 추진하겠다고 했다. 이들은 기자회견을 열고 “특위는 오세훈 일가의 내곡동 토지 측량 경위, 보금자리주택지구 지정 제안과 토지 보상 적정성 등 8가지 사항에 대해 특별 조사를 실시할 것”이라고 했다. 서울시 의회는 전체 109명 중 101명이 민주당 소속이다. 오 후보가 시장이 되더라도 내곡동 땅 문제를 계속 따지겠다는 것이다.
이에 대해 국민의힘 주호영 원내대표는 “여당 주장은 선거에서 패할지도 모른다는 불안감 때문에 선거 후 권력의 힘을 이용해 끝없이 해코지하겠다는 협박”이라며 “대한민국 민주주의, 법치주의를 무너뜨리고 있는 여당은 당장 흑색선전을 멈춰야 한다”고 했다.",조선일보
103,2021.04.07,"이십대남 72.5%가 오세훈 선택, 60대 남성보다 높았다 [출구조사]",김승현 기자,"지상파 3사의 4·7 서울시장 보궐선거 공동 출구조사 결과, 20대 남성의 72.5%가 국민의힘 오세훈 후보에게 투표한 것으로 나타났다. 반면 더불어민주당 박영선 후보의 득표율은 22.2%로 예측됐다. 20대 남성의 오 후보에 대한 지지는 보수 성향이 강한 60세 이상 남성(70.2%)보다 높았다.
KBS·MBC·SBS 지상파 3사로 한국방송협회 산하 방송사공동예측조사위원회(KEP)의 이날 공동출구조사 결과 발표에 따르면, 더불어민주당 박영선 후보가 37.7%, 국민의힘 오세훈 후보가 59.0%를 얻을 것으로 예상됐다.
연령별로 보면 40대를 제외한 모든 연령대에서 오 후보가 박 후보를 앞섰다. 20대(18·19세, 20대) 에서는 오 후보 55.6%, 박 후보 33.6%를 얻었고 30대에서는 오 후보 56.5%, 박 후보 38.7%를 얻었다.
40대에서는 박 후보가 49.3%를 기록해 오 후보 48.3%를 오차범위 내에서 앞섰다. 그러나 50대에서는 오 후보 55.8%, 박 후보 42.4%를 기록했고, 60대에서는 오 후보가 69.7%를 얻어 29.1%를 얻은 박영선 후보에 크게 앞선 것으로 예측됐다. 70대는 오 후보가 74.2%, 박 후보가 25.2%를 기록했다.
연령과 성별로 보면 20대 남녀가 두드러진 성향 차이를 보였다. 20대 남성은 오 후보(72.5%)에 압도적인 지지를 보냈다. 박 후보 지지율은 22.2%로 가장 낮았다. 반면 20대 여성은 박 후보가 44.0%로 오 후보(40.9%)를 앞섰다. 20대 여성은 기타 정당 후보 지지율이 15.1%로 가장 높았다.
20대 남성의 투표 성향은 60세 이상과 유사했다. 60세 이상 남성은 오 후보 70.2%, 박 후보 28.3%였고, 60세 이상 여성은 오후보 73.3%, 박 후보 26.4%였다.
박 후보는 40대 남성층에서 유일하게 오 후보를 꺾은 것으로 조사됐다. 40대 남성의 51.3%가 박 후보에게 지지를 보냈다. 오 후보 지지율은 45.8%였다. 40대 여성층에서는 오 후보(50.2%)가 박 후보(47.8%)에 오차범위 내에서 앞섰다.
30대 남성은 오 후보 63.8%, 박 후보 32.6%였고, 30대 여성은 오 후보 50.6%, 박 후보 43.7%였다. 50대에서도 남녀 모두 오 후보가 과반의 지지를 얻은 것으로 조사됐다. 50대 남성은 오 후보 52.4%, 박 후보 45.1%, 50대 여성은 58.5%, 박 후보 40.3%였다
이번 출구조사는 서울 50곳, 부산 30곳 투표소에서 실시됐다. 입소스주식회사, 코리아리서치인터내셔널, 한국리서치 등 3개 조사기관에 의뢰, 투표 시작 시간인 오전 6시부터 오후 7시까지 시행했다. 표본오차는 95% 신뢰수준에서 ±1.7%포인트(서울) ±2.3%포인트(부산)이었다.",조선일보
