,press,reporter,title,content
215,머니투데이,박진영,'정쟁' 보다 '정책' 택했다...돌아온 오세훈의 '능숙한 실리주의' - 머니투데이,"지난 7일 열린 서울시장 재보선 선거를 앞두고 '첫날부터 능숙하게'라는 슬로건이 적힌 오세훈 당시 서울시장 후보 포스터를 서울시민이 바라보고 있다. /사진=머니투데이 DB

""첫날부터 능숙하게!""

10년 만에 다시 시정에 복귀한 오세훈 서울시장의 취임 초반 행보가 '합격점'을 받고 있다. 전임 시장 행정을 무조건 뒤엎기 보다 시민들이 납득할만한, 합리적이고 실용적인 정책 결정들을 내리고 있어서다. 자신이 핵심 공약으로 내걸었던 부동산 정책과 관련해서도 규제완화 일변도가 아니라 '토지거래허가제' 등의 카드를 써가며 '속도 조절'을 적절히 하고 있다는 평가를 받는다. 선거운동 기간 내걸었던 '첫날부터 능숙하게'라는 슬로건이 무색하지만은 않다는 분위기다.
━전임자 흔적 지우기 아닌 '행정 연속성' 강조...민주당 101석인 시의회서도 ""잘한 선택""━28일 서울시 등에 따르면 전날 오 시장이 고 박원순 전 시장이 시작한 광화문광장 재조성 공사를 '보완해' 완성시키기로 한 결정에 대해 무조건 전임자 흔적을 지우려 하는 일반적인 선출직들과 달리 '신선하다'는 평가가 나오고 있다.  

지금의 광화문광장은 오 시장이 재임 중이던 2009년 8월1일 준공됐다. 하지만 고 박 시장의 취임 이후 광장 형태에 대한 재검토가 이뤄졌고, 보궐선거 전인 지난해 말 서정협 서울시장 권한대행 체제 하에서 광화문광장 재조성 공사가 시작됐다. 오 시장은 선거 과정에서 광화문광장 재조성 사업에 대해 비판적인 의견을 내고 '재검토하겠다'고 밝혀 왔다. 

이 때문에 오 시장 당선으로 공사 중단이 예상됐지만 오 시장은 '다른 카드'를 꺼냈다. 원상복구시 최소 400억원의 매몰 비용이 발생하고, 전면 재검토할 경우에도 시민들이 불편을 겪고 소모적 논쟁이 발생할 것이라는 판단에서다.  특히 '행정의 연속성'을 중시하겠다고도 강조했다. 

박성민 정치컨설팅 민 대표는 ""본인이 시장을 두 번째 하고 있는 만큼 행정의 연속성에 대해 잘 알고 있는 것""이라며 ""'바뀌면 다 뒤집는' 행태를 답습하기 보다 현실을 인정해가며 할 수 있는 선에서 합리적 선택을 하는 것 같다""고 말했다. 

더불어민주당 의원이 110석 중 101석을 차지한 시의회도 반색했다. 한 서울시의원은 ""매우 잘한 선택""이라며 ""취임 첫날 오 시장에게 시민 불안을 가중시키지 말 것, 전임 시장의 과업을 무조건 지우려고만하지 말 것을 시의회에서 주문했는데 그런 맥락에 부합하는 합리적인 선택으로 본다""고 말했다. 이어 ""본인 입장에서도 가장 실용적인 선택이라고도 본다""고 말했다. 
(서울=뉴스1) 박정호 기자 = 오세훈 서울시장이 27일 오전 서울 중구 서울시청 브리핑룸에서 광화문광장 조성 관련 입장을 발표하고 있다.  ━'부동산 규제 완화' 앞서 집값 안정 '예방책'부터...""신선하다"" 평가 ━오 시장은 재보궐선거 전 자신의 핵심 공약 중 하나였던 부동산 규제 완화에 있어서도 균형점을 찾아가고 있다는 평가다. 

오 시장은 지난 21일 대표적인 재건축 단지들이 몰려 있는 압구정, 여의도, 목동, 성수 지역을 토지거래허가구역으로 추가 지정했다. 이들 지역은 오 시장의 규제 완화 공약에 기대를 걸고 시장선거 때 표를 몰아 준 '텃밭'이기도 하다. 하지만 오 시장은 이들 지역에서 집값 과열 조짐이 보이자 발빠르게 규제안을 내놓고 지난 27일부터 전격 시행했다. 

하지만 지역 민심을 잃지만은 않았다. 오히려 집값 안정을 전제로 규제 완화를 빠르게 추진할 것이란 기대를 심어줬다. 압구정 지역 재건축 조합장은 ""불가피 (규제로) 묶을 부분을 묶는 것은 감내할테니, 향후 불필요한 재건축 규제만 합리적인 선에서 없애주면 된다""고 말했다. 

시민들의 반응도 나쁘지 않다. 온라인상에서는 ""합리적으로 잘 하고 있는 것 같다"", ""진짜 보수란 이런 것"", ""신 보수의 품격""이란 표현들도 나온다. 

오 시장의 이런 태도로 앞으로 정부와 시의회도 오 시장의 정책에 있어 무조건 대립각을 세우기만은 어려울 것이란 관측도 나온다. 신율 명지대 정치외교학과 교수는 ""사실 오 시장의 행보는 지극히 현실적이고, 합리적이고, 당연한 것""이라며 ""현 정권에서 뭐든 과거(전 정권) 행정이면 지우려 하는 모습들을 보다 보니 오 시장의 이런 모습이 굉장히 신선하게 와 닿는 것""이라고 분석했다. 이어 ""정쟁을 뛰어넘고, 소속 정당을 뛰어넘어야 정책 연속성이 있는 합리적인 판단을 할 수 있다""고 말했다."
226,머니투데이,김성진,"오세훈 ""TBS 보고 아예 안 받아…스스로 비판 부끄러워할 것"" - 머니투데이","오세훈 서울시장. 2021.4.27./사진제공=뉴스1

오세훈 서울시장이 취임 후 TBS에 대해 ""아예 보고를 받지 않고 있다""며 ""(TBS가) 비판의 대상이 된 것을 스스로 부끄러워할 것이라 생각한다""고 밝혔다. 

조수진 국민의힘 의원은 28일 페이스북에 전날 오 시장과 나눈 일문일답을 정리하며 이같이 전했다. 보궐선거 기간에 편향성 논란을 일으킨 '김어준의 뉴스공장'을 문제삼으며, TBS 지원중단 가능성을 내비쳤던 오 시장이 당선 후에는 오히려 TBS에 '노 터치'를 하고 있다는 의미다.

조 의원에 따르면 오 시장은 '김어준의 뉴스공장'의 정치 편향성, 고액 출연료 등 문제에 관해 ""방송이 중립성, 객관성을 잃으면, 책임이 그 방송사로 돌아가는 것 아닌가""라고 답했다. 

이어 ""선거 때 많은 국민이 우리 공영방송과 교통방송의 현 주소, 문제점, 나아갈 방향 등을 생각했을 것""이라며 ""공영방송 등 방송의 보도가 선거에 전혀 영향을 미치지 않았다""고 했다.

또 TBS 관련 보고를 받지 않고 있다고 강조하며 ""오히려 TBS가 (자신의 입장을) 무척 궁금해하는 것 같다""고 말한 것으로 전해졌다.

오 시장은 자신의 집무실 책상이 서류를 높게 쌓은 박원순 전 서울시장의 책상 사진과 비교된다는 조 의원 말에 웃으며 ""책상이 깔끔해야 일도 효율적으로 하지 않느냐""고 답했다. 

또 서울시장 공관을 쓰지 않는 것에 관해서는 ""박 전 시장이 쓰던 공관이 지난 1월로 임차 계약이 끝났다. 공관 매입과 임대에 예산을 쓰지 않기로 했다""며 ""광진구 자양동 집에서 통근한다. 만약 집으로 찾아와 민원을 처리해달라 요구한다면, 슬기롭게 풀어갈 생각""이라고 밝혔다."
265,머니투데이,김지영,"김기현 ""MB·朴사면, 오세훈·박형준 독자 견해…당은 건의 안해"" - 머니투데이","김기현 국민의힘 의원이 18일 오후 서울 여의도 국회 소통관에서 국민의힘 원내대표 출마 선언을 하고 있다. /사진=뉴스1

국민의힘 원내대표 경선에 나선 김기현 의원은 문재인 대통령에게 이명박·박근헤 전 대통령의 사면을 건의한 오세훈 서울시장과 박형준 부산시장의 입장에 대해 ""당하고 의논한 것이 아니라 독자적인 견해를 가지고 한 것""이라고 밝혔다. 

김 후보는 28일 CBS 라디오 김현정의 뉴스쇼와 인터뷰에서 원내대표가 되면 두 전 대통령 사면을 공식적으로 건의할 지 묻는 질문에 ""이 문제는 결자해지의 차원에서 대통령의 결단 사항이라고 이해를 하는 것이지 우리가 사면을 건의할 생각도 없고 그렇게 한 바도 없다""고 선을 그었다. 

이어 ""사면론은 이번에 불거져 나온 것이 아니고 금년 초에 이낙연 전 대표가 새해 첫 화두로 제안을 한 것""이라고 강조했다. 

이 대표가 사면론 제안 후 지지율이 떨어졌다는 분석에 대해선 ""그건 민주당 쪽 얘기고 사면 주장이 나왔을 때 국민 대통합이나 국격 차원에서 대통령이 결단해야 될 사안이라 입장을 밝혔던 것""이라며 ""지금도 마찬가지고 그 당시에 우리 당 지지율이 떨어지고 큰 악영향이 있었던 것은 아니""라고 일축했다. 

김 후보는""전직 대통령이 한결같이 다 감옥에 가거나 극단적 선택을 하는 게 선진국의 모습이냐, 그럼 현직 대통령 과연 앞으로 어떻게 될 것인지 우리가 장담할 수 있느냐, 언제까지 불행한 역사를 반복할 거냐. 이런 차원에서 사안을 봐야 된다는 말""이라고 설명했다. 

이와 함께 ""다만 탄핵이 정당한 것이냐 아니냐에 대해서 논쟁을 시작을 한 일부 의원이 있었다. 그것때문에 여러 가지 여러 가지 영향을 받았던 것이 아닌가 싶은데 사면 문제하고 사실 별개의 문제이기 때문에 구분해서 볼 필요가 있다""고 했다."
354,머니투데이,이사민,"추미애도 오세훈도 ""외눈""…'장애비하' 반복하는 정치권 - 머니투데이","장애인의 날인 지난 20일 오전 서울 여의도 국회 앞에서 장애우권익문제연구소, 정신장애동료지원센터 관계자들이 장애인 차별구제 청구소송 기자회견을 열고 국회의원들에게 장애 비하 발언을 멈출 것을 촉구하고 있다. 2021.4.20/뉴스1  

추미애 전 법무부 장관이 방송인 김어준씨를 감싸려다 '외눈'이란 표현을 써 이를 두고 정치권 공방이 펼쳐지고 있다. '외눈'이란 표현도, 추 전 장관과 같은 '장애인 비하' 논란도 둘 다 처음은 아니다.
━秋 ""외눈 언론, 양눈 뉴스공장""…""비하가 맞다""vs""비하가 아니다""━추 전 장관을 둘러싼 '장애인 비하' 논란은 23일 그가 TBS라디오 '김어준의 뉴스공장'을 두둔하고자 올린 글에서 비롯됐다. 추 전 장관은 '뉴스공장'의 정치 편향성을 비판하는 주장이 제기되자 23일 페이스북에 ""자유로운 편집권을 누리지 못하고 외눈으로 보도하는 언론들이, 시민 외에 눈치 볼 필요가 없이 양눈으로 보도하는 '뉴스공장'을 타박하는 것은 잘못""이라 썼다.

추 전 장관의 '외눈' 표현을 두고 장혜영 정의당 의원이 나섰다. 중증 발달장애인 동생이 있는 장 의원은 24일 ""('외눈'은) 명백한 장애 비하 발언""이라며 ""장애를 비하하는 표현을 쓰지 않아도 얼마든지 자신의 정치적 견해를 표현할 수 있다""며 추 전 장관의 사과를 요구했다. 이에 이상민 민주당 의원도 25일 ""설마 추 전 장관께서 장애인 비하 의도를 갖고 그런 수준 이하 표현을 한 것은 아닐 것이라 애써 짐작한다""면서도 ""하지만 잘못한 게 틀림없는 만큼 서둘러 사과하기 바란다""고 했다.

논란이 확산되자 추 전 장관은 26일 페이스북에 ""국어사전을 보면 접두사 '외-'는 '혼자인'의 뜻도 있지만 '한쪽으로 치우친'이란 뜻도 있다. 이런 맥락에서 볼 때 '외눈만 쌍꺼풀이 있다' '외눈으로 목표물을 겨누다' '외눈 하나 깜짝 안 하다'는 표현의 '외눈'은 시각장애인을 지칭한 것이 아니며 장애인 비하는 더더욱 아니다""라고 해명했다.

그러나 이러한 해명에 장 의원은 같은 날 ""사전적 의미가 중요한 것이 아니라 '외눈'을 '양눈'보다 가치가 덜한 것, 편향적인 것을 비유하는 표현으로 사용했다""며 ""(추 전 장관이) 예로 든 '외눈만 쌍꺼풀이 있다' '외눈으로 목표물을 겨누다' '눈 하나 깜짝 안 하다'는 표현은 장애 비하 표현이 아니다. 추 전 장관의 글에서 '외눈'이라는 단어는 사전적 의미가 아니라 정상성의 기준으로 제시된 '양눈'이라는 표현에 대비되어 비정상성의 비유로 사용됐다""고 반박했다.
━""외눈박이 공세"" ""꿀 먹은 벙어리"" ""조현병 환자""…반복되는 논란━정치인의 혐오표현 논란은 잊을만하면 제기되는 문제다. 특히 '외눈'이라는 표현은 불과 한 달 전 지금은 서울시장이 된 당시 오세훈 국민의힘 후보가 써 논란이 되기도 했다. 그는 야권단일후보로 선출된 지난달 23일 기자회견에서 여권을 향해 ""진실에는 눈 감고 거짓만을 앞세우는 외눈박이 공세에 저는 절대로 굴복하지 않겠다""고 말했다.

시각장애인 뿐만 아니라 농인(청각장애 등으로 말하지 못하는 언어장애가 있는 장애인)을 비하하는 '벙어리'란 표현도 흔히 쓰인다. 유승민 국민의힘 전 의원은 지난달 4일 ""문재인 대통령과 이재명 경기도지사는 오거돈 전 부산시장 일가의 가덕도 땅 투기에 대해서는 왜 꿀 먹은 벙어리인가""라고 했지만 비교적 논란 없이 지나갔다. 2019년 8월 황교안 자유한국당 전 대표는 ""(문 대통령이) 북한 미사일 도발에는 벙어리가 돼버렸다""고 해 장애인단체의 거센 비판을 받은 바 있다.

이해찬 민주당 전 대표는 지난해 1월 민주당 유튜브채널 '씀'에서 ""선천적인 장애인은 어려서부터 장애를 가지고 나와 의지가 약하다고 한다""고 말해 인권위의 '권고' 조치를 받았다. 그는 2018년 12월에도 ""정치권에서 말하는 거 보면 저게 정상인가 싶을 정도로 정신장애인들이 많이 있다""고도 했다. 

이광재 더불어민주당 의원은 지난해 7월 홍남기 경제부총리에게 ""경제부총리가 금융 부분을 확실하게 알지 못하면 정책 수단이 절름발이가 될 수밖에 없다""고 비판했다가 사과한 바 있다."
491,머니투데이,기성훈,"1986년 韓서 결혼한 美대사 대리 만난 오세훈 ""서울 관심 부탁"" - 머니투데이","오세훈 서울시장(왼쪽)과 로버트 랩슨 주한미국대사 대리가 23일 서울시청 시장 집무실에서 만나 악수하고 있다. /사진=뉴스1

오세훈 서울시장이 로버트 랩슨 주한 미국대사 대리와 면담하고 서울을 향한 관심을 요청했다.

23일 서울시에 따르면 오 시장은 이날 오후 2시 서울시청 6층 시장집무실에서 랩슨 대사대리와 서울시와 미국 도시 간 우호교류 협력방안을 주로 논의했다. 서울시는 호놀룰루·샌프란시스코·워싱턴DC·로스앤젤레스·휴스턴 등 미국 5개 도시와 자매·우호도시 협약을 맺고 있다.

오 시장은 랩슨 대사 대리에게 ""방문해 주셔서 정말 감사하다""며 ""이전에 서울시청에 들어와 본 적이 있는가""라고 물었다. 이에 랩슨 대사 대리는 ""여러 차례 와본 적이 있는데 첫 방문은 1986년""이라며 ""결혼 관련 증빙 때문에 아내와 구 청사를 방문했고 다시 돌아와서 좋다""고 답했다.

랩슨 대사 대리는 1984~1986년 주한미국대사관 및 부산미국영사관 부영사로 근무했다. 1986년 서울 신라호텔에서 결혼식을 올린 바 있다.  그는 이후 1997~2000년 주한미국대사관 경제과 부참사관·선임무역담당서기관, 2012~2015년 국무부 한국과장을 지냈다. 주한 미국대사대리직은 미국의 정권교체에 따라 1월 20일 해리 해리스 전임 대사가 귀국하면서 맡고 있다. 아직 정식 대사는 정해지지 않았다.

오 시장은 ""서울에 오셔서 많은 변화를 보셨을 것""이라며 ""한국에 대한 이해과 애정이 깊다고 들었는데 계속해서 대한민국 서울에 많은 관심을 부탁드린다""고 말했다. 랩슨 대사 대리는 ""큰 변화가 있었으나 한미가 긴밀한 관계이고, 서울시와 이곳의 미국인은 긴밀한 관계라는 점은 변하지 않는다""며 ""대사관과 가족들은 서울시민과 같은 느낌으로 산다""고 밝혔다.

랩슨 대사대리는 이날 방명록에 ""시장 당선을 진심으로 축하한다""며 ""미국 대사관은 위대한 도시 서울과 가깝고 지속적인 관계를 계속하길 기대한다""라고 적었다."
500,머니투데이,이창명,"'수도권 매립지' 논의한 한정애-오세훈, 인천 설득할 방안 나오나 - 머니투데이","오세훈 서울시장(왼쪽)과 한정애 환경부 장관이 23일 서울시청에서 수도권 매립지에 대해 논의하고 있는 모습/사진=환경부 

한정애 환경부 장관과 오세훈 서울시장이 23일 오전 서울특별시청에서 만나 수도권매립지 현안에 대해서 논의했다. 이번 면담은 지난 15일에 있었던 환경부·서울시·인천시·경기도간 4자회의 결과의 후속조치로 이뤄졌다. 수도권 매립지의 2025년 종료를 선언할 인천시를 설득할 수 있는 방안이 나올 수 있을 지 주목된다.

한 장관과 오 시장은 수도권 주민들이 폐기물 매립지 문제로 걱정을 하지 않도록 환경부와 3개 시·도의 공동노력이 중요하다는데 인식을 같이 했다. 오 시장은 ""수도권 폐기물의 안정적인 처리를 위해서는 3개 시·도의 협력이 필수적""이라면서 ""환경부가 중심에 서서 3개 수도권 단체장이 함께 노력해 나가도록 협조를 요청했다""고 밝혔다.

이에 한 장관은 ""실무급 논의체와 함께 수도권 단체장과 만나 논의할 수 있는 자리를 만들어 시·도간의 입장 차이를 줄이고 상생할 수 있는 대안이 도출될 수 있도록 적극적인 중재·조정 역할을 하겠다""고 말했다.

이번 면담에서 환경부와 서울시는 수송부문 탄소중립을 앞당기고 무공해차 수요 증가에 부응하기 위해 전기차 구매보조금 확보, 수소충전소 구축 확대, 수소 버스·청소차 등 공공부문 수소상용차 도입과 폐기물 재활용 촉진 및 감량 등을 지속적으로 협의해 나가기로 했다."
524,머니투데이,이사민,"우원식 ""오세훈 취임후 '김어준 죽이기'…MB 언론장악과 흡사"" - 머니투데이","우원식 더불어민주당 의원 2021.4.20/뉴스1  

우원식 더불어민주당 의원은 지난 22일 감사원이 정식감사에 앞서 TBS에 사전조사를 진행한 것과 관련해 ""국민의힘, 감사원은 김어준 죽이기의 명분과 구실을 찾기 위한 일련의 행동을 즉각 중단하기 바란다""고 말했다.

우 의원은 이날 페이스북에 ""아무리 김씨 방송 내용이 마음에 들지 않는다고 그래 봐야 일개 방송국 진행자에 대해 국민의힘, 국민의힘 관련 인사가 주도하는 단체, 감사원까지 차례차례 등장하고 있는 이 상황은 정상적이지 않다""며 이같이 말했다.

우 의원은 ""김씨 때문에 감사원이 TBS를 방문했다는 소식을 들었다. 감사원이 국민의힘 국회의원실에 TBS가 감사대상이라는 답변을 제출한 직후 진행된 방문""이라며 ""2008년 정연주 (전 KBS) 사장을 쫓아내기 위해 KBS를 감사한 이후 13년 만에 처음 있는 일이라 놀랍다. 감사원이 국민의힘 하명감사 요구라도 받은 것인가""라고 했다.

이어 ""여기에 우파단체도 가세했다""며 ""광고 불매, 버스 방송 중단 요구 및 고발, 출연하면 야당의원도 낙선운동 하겠다고 한다""고 말했다.
그러면서 ""이 모든 게 다 오세훈 서울시장이 취임 직후부터 진행되고 있는 일""이라며 ""이명박 정부 언론장악사태 때 기획되고 실행된 시나리오와 너무나 흡사하다""고 말했다.

우 의원은 ""오 시장이 '첫날부터 능숙하게' 할 일이 이명박 정부 언론장악 시도 같은 것이어서는 안 된다""며 ""시민의 바람대로 시민의 삶에 전념하기를 바란다""고 덧붙였다.

한편 김씨는 지난 22일 TBS라디오 '김어준의 뉴스공장'에서 감사원이 정식 감사에 앞서 TBS에 사전조사를 진행한 사실을 밝히면서 ""특정 정치 세력이 마음에 안 드는 진행자 하나를 방송에서 퇴출시키겠다는 거 아닌가""라고 말한 바 있다."
656,머니투데이,기성훈,文대통령 만난 오세훈 건의는...대통령 사면·쓰레기 매립지 문제 - 머니투데이,"문재인 대통령이 21일 청와대 상춘재에서 열린 4·7 시도지사 보궐선거 당선인 초청 오찬에 앞서 오세훈 서울시장, 박형준 부산시장과 환담하고 있다. 왼쪽부터 유영민 대통령 비서실장, 박 시장, 문 대통령, 오 시장, 이철희 정무수석. /사진=뉴스1 

오세훈 서울시장이 21일 문재인 대통령을 만나 전직 대통령 사면문제와 수도권 쓰레기 매립지 문제를 공식화했다.

오 시장인 이날 오찬 간담회 참석 후 가진 기자브리핑에서 ""전직 대통령 사면문제를 언급했다""고 말했다.  오 시장은 이날 박형준 부산시장과 함께 문 대통령과 오찬을 가졌다.  이번 오찬은 대한민국 제1·제2 도시인 서울과 부산의 현안에 대해, 야당 소속 지방자치단체장과 함께 머리를 맞대고 힘을 모으는 것이 매우 중요하기 때문에 마련됐다.

오 시장은 이 자리에서 ""오찬 참석 전 마음 속으로 재건축 안전진단 기준완화와 두 전직 대통령 사면문제를 마음 속으로 건의드리려고 했었다""면서 ""박 시장님이 먼저 (사면문제)를 말씀하셔서 저 역시 같은 건의를 드리려고 생각하고 있었다는 말씀만 드렸다""고 했다.  오 시장은 이어 ""그에 대한 (대통령의) 답변은 원론적인 내용의 답변이었다""고 덧붙였다.

그는 또 수도권 매립지의 안정적인 운영을 위한 중재를 건의했다. 환경부와 수도권 3개 광역자치단체에 따르면 지난 1월 14일부터 90일간 진행한 수도권 대체매립지 입지 후보지 공모에 단 한 곳의 기초자치단체도 응모하지 않았다. 앞으로 약 4년 후 포화상태에 이르는 인천 서구 수도권매립지를 대신할 대체매립지를 확보하지 못하면서 '쓰레기 대란' 가능성에 대한 우려가 커졌다. 인천시는 지난 30년간 서울과 경기도의 매립지 오명에서 벗어나겠다는 의지가 강하다. 

이에 오 시장은 ""현재 사용하고 있는 3-1 수도권매립지가 예상과 달리 2027년까지 매립할 수 있다는 게 전문가들의 예상""이라면서 ""올해 중으로는 잔여부지 사용에 대해서 가닥이 잡혀야하는데 조만간 환경부가 중심에 서서 각 지자체장이 함께 협의하는 기회를 가지게 돼 청와대의 협조와 도움을 요청했다""고 설명했다.

오 시장은 이 외에도 2032년 '서울-평양 올림픽' 공동개최 논의, 코로나19 (COVID-19) 백신수급 상황에 대한 정부 측의 현재 상황 인식 등을 물었다고 말했다."
664,머니투데이,기성훈,"文 대통령 만난 오세훈 ""수도권 쓰레기 매립지 문제, 중재해달라"" - 머니투데이","문재인 대통령이 21일 청와대 상춘재에서 열린 4·7 시도지사 보궐선거 당선인 초청 오찬에 앞서 오세훈 서울시장, 박형준 부산시장과 환담하고 있다. 왼쪽부터 유영민 대통령 비서실장, 박 시장, 문 대통령, 오 시장, 이철희 정무수석. /사진=뉴스1 

오세훈 서울시장이 21일 열린 청와대 초청 오찬 관련 브리핑에서 ""수도권 매립지의 안정적인 운용을 위한 중재 지원을 요청했다""고 말했다.

오는 2025년부터 서울과 인천을 제외한 수도권에 쓰레기 대란이 벌어질 것이란 우려가 커지고 있다. 인천시가 2025년부터 서구 쓰레기 매립지에 서울과 수도권에서 나온 쓰레기는 받지 않겠다고 나선 가운데 대체 쓰레기 매립지 선정이 최근 불발됐다."
666,머니투데이,기성훈,"文 대통령 만난 오세훈 ""전직 두 대통령 사면해달라"" 건의 - 머니투데이","문재인 대통령이 21일 청와대 상춘재에서 열린 4·7 시도지사 보궐선거 당선인 초청 오찬에 앞서 오세훈 서울시장, 박형준 부산시장과 환담하고 있다. 왼쪽부터 유영민 대통령 비서실장, 박 시장, 문 대통령, 오 시장, 이철희 정무수석. /사진=뉴스1

오세훈 서울시장이 21일 열린 청와대 초청 오찬 관련 브리핑에서 ""전직 두 대통령 사면에 대해 건의했다""고 말했다."
