,press,reporter,title,content
175,서울경제,박경훈,"오세훈 시장, 정책·정무수석에 이광석·박찬구 내정...특보는 두지 않기로","viewer googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });서울시 정책수석비서관과 정무수석비서관에 이광석 전 서울시 정책비서관과 박찬구 전 서울시의원이 각각 내정됐다. 전임 고(故) 박원순 시장 재임 기간 9명에 달했던 특별보좌관은 두지 않을 것으로 알려졌다. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });28일 서울시에 따르면 오세훈 서울시장은 이 전 비서관과 박 전 시의원에 대한 신원조회 등의 절차가 끝나는 대로 정식 임명할 예정이다. 이 전 비서관은 오 시장의 과거 서울시장 임기 당시 정책비서관을 지냈다. 이번 재보궐선거에서도 오 시장의 공약 분석과 정책 수립 과정 전반을 보좌했다.  (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  박 전 시의원은 2006∼2010년 서울시의원을 지냈다. 시의원 때는 예산결산특별위원회·도시관리위원회 위원으로 활동했다. 2014년에는 여의도연구원 자문위원을 지냈고 재보궐선거에서는 경선 과정부터 오 시장을 도왔다. 전임 시장 재임 기간 서왕진 정책특보 등 시민단체 출신 인사들이 잇달아 특보로 임명됐던 것과 다르게 오 시장이 특보를 두지 않기로 한 것은 짧은 임기 동안 성과를 내기 위해 필요한 분야에 집중하겠다는 판단에 따른 결정으로 분석된다. /박경훈 기자 socool@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
402,서울경제,박경훈,"오세훈 시장, 오늘 싱하이밍 中대사 만나 교류협력 논의","viewer  오세훈 서울시장이 지난 23일 청사에서 로버트 랩슨 주한 미국대사 대리를 만나고 있다. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });오세훈 서울시장이 26일 오후 집무실에서 싱하이밍 주한 중국대사와 면담한다고 서울시가 밝혔다.오 시장과 싱 대사는 2021∼2022년 '한중 문화교류의 해'와 내년으로 다가온 한중 수교 30주년을 맞아 서울시와 중국 도시 간 우호 교류 협력방안 등에 관해 대화할 예정이다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  /박경훈 기자 socool@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
418,서울경제,박경훈,'광화문 광장·무상급식' 시험대 선 오세훈,"viewer  오세훈 서울시장이 지난 19일 오후 서울 중구 서울시의회에서 열린 업무협약식에서 발언하고 있다. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });오세훈 서울시장이 시의회·자치구의 견제 속에 협치의 시험대에 올랐다. 광화문광장 재구조화 사업, 유치원으로 무상급식 확대, 도시계획 분야 시·자치구 간 사무 권한 조정이 최근 주요 과제로 떠올랐다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });25일 서울시의회에 따르면 김인호 의장은 지난 9일 “지금 광화문광장 공사를 중단하면 혼란만 초래한다”고 언급한 데 이어 19일 임시회 본회의에서 “유치원 무상급식을 고민해야 한다”고 발언했다. 오시장이 광화문광장 재구조화 사업에 대해 선거운동 기간 비판적인 입장을 밝혔고 지난 2011년 초·중·고교 전면 무상급식 도입 문제로 시의회와 대립하다 시장직을 사퇴했다는 점에서 최근 김 의장의 발언은 견제 의도가 다분하다는 해석이다.오 시장은 취임 후 광화문광장 재구조화 사업에 대한 검토를 지시했고 유치원 무상급식 실시 여부는 담당 부서의 보고를 받고 결정을 내릴 것으로 알려져 있다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  시의회는 최근 서울시 실·국장급 인사에 대해서도 비판을 이어가고 있다. 서울시는 오는 29일자로 도시교통실장·행정국장·상수도사업본부장에 대한 전보 인사를 단행한다고 19일 발표했다. 이에 대해 시의회 민주당은 “집행부(서울시)와 안건을 논의해야 하는 회기 중 굳이 주요 실·본부·국장을 바꾸면 의정활동에 큰 불편을 초래하며 매우 유감”이라는 입장을 나타냈다. 같은 당 소속 김정태 운영위원장도 “의회 민주주의에 대한 명백한 부정”이라고 비판했다.서울시구청장협의회(이하 협의회)는 지난 14일 오 시장과 상견례에서 ‘서울시-자치구 사무권한 재정립을 위한 연구’ 용역 결과를 근거로 도시계획 사무에서 자치구 권한 확대를 요청했다. 주변 지역에 미치는 영향이 적은 지구단위계획 재정비, 용도지역 변경에 대한 서울시의 권한을 자치구로 넘겨 달라는 것이다. 이에 서울시는 담당 부서별 검토를 진행 중이다. 협의회는 지방자치 원칙 구현을 위해 지난해 말부터 진행한 학술 용역 결과에 따른 요청으로 정치적 고려는 반영되지 않았다는 입장이다. 그러나 일각에서는 내년 6월 지방선거를 앞두고 지역개발사업 권한을 확대하려는 목적이라는 평가가 나온다.시의회·자치구가 오 시장에 대한 견제를 이어가겠지만 극단적인 대립으로 치닫지는 않을 것이라는 전망이 우세하다. 시의회의 한 관계자는 “오 시장이 25개 구 전체에서 모두 승리한 만큼 내년 지방선거 여론을 의식하면 대립을 지속하는 것은 부담 요인”이라며 “오 시장과 시의원·구청장 모두 지방선거 전까지 성과를 내야 하기 때문에 대립보다는 협력 가능성이 높다”고 말했다./박경훈 기자 socool@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
485,서울경제,박경훈,"오세훈 시장, 한정애 환경부장관 만나 수도권 매립지 문제 논의","viewer  오세훈(왼쪽) 서울시장과 한정애 환경부장관이 23일 서울시청에서 대화하고 있다. /사진 제공=서울시googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });한정애 환경부 장관과 오세훈 서울시장이 23일 오전 서울시청 청사에서 만나 수도권 매립지 문제에 대해 논의했다.googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });서울시에 따르면 이날 양측은 수도권 주민들이 폐기물 매립지 문제로 걱정하지 않도록 환경부와 서울·인천·경기 등 수도권 3개 시·도의 공동노력이 중요하다는 인식을 공유했다.오세훈 서울시장은 ""수도권 폐기물의 안정적인 처리를 위해서는 3개 시·도의 협력이 필수적""이라며 ""환경부가 중심에 서서 3개 수도권 단체장이 함께 노력해 나가도록 협조를 요청했다""고 밝혔다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  이에 한정애 환경부 장관은 ""실무급 논의체와 함께 수도권 단체장들과 만나 논의할 수 있는 자리를 만들겠다""며 ""시·도 간의 입장 차이를 줄이고 상생할 수 있는 대안이 도출될 수 있도록 적극적인 중재·조정 역할을 하겠다""고 말했다.환경부 등은 올해 1월 14일부터 90일간 현 수도권 대체 매립지 입지 후보지를 공모했으나 한 곳의 지자체도 응모하지 않았다. 이에 대한 대책을 마련하기 위해 환경부는 지난 15일 서울시·인천시·경기도 간의 정기적인 국장급 4자 회동을 개최하고 환경부 장관은 서울시장·인천시장·경기도지사와의 양자 또는 다자 회동을 추진하기로 해 이번 면담이 성사됐다. 한편 이번 면담에서 환경부와 서울시는 수송부문 탄소중립을 앞당기고 무공해차 수요 증가에 부응하기 위해 전기차 구매보조금을 확보하기로 협의했다. 수소충전소 구축 확대, 수소 버스·청소차 등 공공부문 수소상용차 도입과 폐기물 재활용 촉진 및 감량 등도 지속해서 협의해 나가기로 했다./박경훈 기자 socool@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
504,서울경제,김경훈,"'오세훈, 취임하자마자 김어준 죽이기' 주장한 우원식 '김어준은 일개 진행자'","viewer  방송인 김어준씨/서울경제DBgoogletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });감사원이 정식감사에 앞서 TBS에 사전조사에 나선 것과 관련, 더불어민주당 당권 도전에 나선 우원식 의원이 ""국민의힘과 감사원은 '김어준 죽이기'의 명분과 구실을 찾기 위한 일련의 행동을 즉각 중단하기 바란다""고 날을 세웠다. 우 의원은 22일 자신의 페이스북에 올린 글을 통해 ""아무리 김씨 방송 내용이 마음에 들지 않는다고 그래봐야 일개 방송국 진행자""라며 ""국민의힘, 국민의힘 관련 인사가 주도하는 단체, 감사원까지 차례차례 등장하고 있는 이 상황은 정상적이지 않다""면서 이렇게 목소리를 높였다.    viewer  우원식 더불어민주당 의원/연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });그러면서 우 의원은 ""김씨 때문에 감사원이 TBS를 방문했다는 소식을 들었다""면서 ""감사원이 국민의힘 국회의원실에 TBS가 감사대상이라는 답변을 제출한 직후 진행된 방문이다. 2008년 정연주 사장을 쫓아내기 위해 KBS를 감사한 이후 13년 만에 처음 있는 일이라 놀랍다. 감사원이 국민의힘 하명감사 요구라도 받은 것인가""라고 거듭 강한 어조의 비판을 이어갔다. 우 의원은 또한 ""여기에 우파단체도 가세했다""면서 ""광고 불매, 버스 방송 중단 요구 및 고발, 출연하면 야당의원도 낙선운동 하겠다고 한다""고도 했다.  (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  아울러 우 의원은 ""이 모든 게 다 오세훈 서울시장이 취임 직후부터 진행되고 있는 일이다. 이명박 정부 언론장악사태 때 기획되고 실행된 시나리오와 너무나 흡사하다""며 ""오 시장이 '첫날부터 능숙하게' 할 일이 이명박 정부 언론장악 시도 같은 것이어서는 안 된다""고 비판의 수위를 끌어올렸다. 앞서 김씨는 전날 자신이 진행하는 TBS 라디오 '김어준의 뉴스공장'에서 감사원이 정식 감사에 앞서 TBS에 사전조사를 진행한 사실을 밝혔다. 이에 대해 김씨는 ""특정 정치 세력이 마음에 안 드는 진행자 하나를 방송에서 퇴출시키겠다는 거 아닌가""라고 했다. /김경훈 기자 styxx@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
564,서울경제,김인엽,"與 이수진 “오세훈의 박원순 피해자 사과, 진정성과 책임 있는 사과”","viewer  이수진 더불어민주당 의원(동작을)/연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });이수진 더불어민주당 의원(동작을)이 22일 오세훈 서울시장이 박원순 전 서울시장의 성추행 피해자에 대해 사과한 것을 두고 “진정성 있고 책임 있는 사과”라고 평가했다.이 의원은 이날 국회에서 열린 당 정책조정회의에서 “지난 (4·7 재보궐선거에서) 20대 여성 15% 이상이 민주당과 국민의힘을 모두 외면했다”며 이같이 말했다. 그는 “우리 정치권이 20대 여성의 마음을 잘 헤아려야 한다”며 “두 정당을 외면한 것은 정치권의 미온적인 대처 때문”이라고 지적했다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  이 의원은 “개혁은 진정한 반성과 개혁에서 출발한다”며 “민주당은 참으로 부족했다”고 했다. 그러면서 “근본적인 재발 방지책을 만들어야 한다. 민주당도 돕겠다”고 목소리를 높였다.오 시장은 지난 20일 “전임 시장 재직 시절 있었던 성희롱·성폭력 사건에 대해 현직 서울시장으로서 진심으로 사과드린다”고 말했다. 그러자 피해자는 “무엇이 잘못이었는가에 대한 책임 있는 사람의 진정한 사과였다”며 “제 입장을 헤아려 조심스럽게 말씀하시는 모습에 눈물이 났다”는 심경을 전했다./김인엽 기자 inside@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
636,서울경제,박경훈,오세훈·박형준 文대통령에 '두 분 전직 대통령 사면 건의',"viewer  오세훈 서울시장이 21일 오후 서울시청 기자실에서 문재인 대통령과의 오찬 간담회와 관련해 브리핑하고 있다./연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });오세훈 서울시장과 박형준 부산시장이 문재인 대통령에게 이명박·박근혜 전 대통령의 사면을 건의했다. googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });오 시장은 21일 청와대에서 문 대통령, 박 시장과 함께 한 오찬 후 서울시청에서 브리핑을 통해 “두 분 전직 대통령의 사면 문제를 언급했다”고 설명했다. 오 시장은 ""마음속으로 이 주제에 대해 생각하고 식사 자리에 임했는데, 박형준 부산시장께서 먼저 말씀하셨다""고 밝혔다. 그러면서 ""두 전직 대통령 사면에 대한 원론적인 내용의 (문 대통령) 답변이 있었다""고 덧붙였다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  오 시장은 서울·부산시장 재보궐선거를 앞두고 있던 올해 1월 자신의 페이스북에 두 전직 대통령의 사면이 필요하다는 입장을 밝혔다. 그는 “국정농단 및 국가정보원 특수활동비 상납사건 등으로 재판에 넘겨졌던 박 전 대통령이 징역 20년형을 받았다”면서 “대법원의 최종 선고가 나옴에 따라 박 전 대통령은 이제 사면 요건을 갖췄다”고 적었다. 이어 “문 대통령이 천 갈래 만 갈래 갈라져 있는 국민들의 마음을 모으고, 국민 통합으로 생성된 에너지를 모아 코로나19 위기를 넘기고 미래로 나아가기 위해서 박 전 대통령을 사면하는 용단을 내려주길 바란다”면서 “그것이 대통령에게 대한민국 헌법이 사면권을 준 이유일 것”이라고 했다./박경훈 기자 socool@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
637,서울경제,김민혁,[속보] 오세훈 '두 전직 대통령 사면 文대통령에 건의',"viewer  문재인 대통령이 21일 청와대 상춘재에서 오세훈 서울시장, 박형준 부산시장과의 오찬 간담회에 앞서 인사하고 있다. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });
오세훈 서울시장이 21일 문재인 대통령에게 이명박·박근혜 전 대통령의 사면을 건의했다고 밝혔다.
오 시장은 이날 청와대 오찬 후 서울시청에서 브리핑을 통해 ""여러 가지 현안에 대해 말씀 나눴고 중점적으로 몇 가지를 건의드렸다""며 ""두 분 전직 대통령의 사면 문제를 언급했다""고 전했다.
오 시장은 ""마음속으로 이 주제에 대해 생각하고 식사 자리에 임했는데, 박형준 부산시장께서 먼저 말씀하셨다""며 ""두 전직 대통령 사면에 대한 원론적인 내용의 답변이 있었다""고 덧붙였다./김민혁 기자 minegi@sedaily.com (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
638,서울경제,박경훈,(속보) 오세훈·박형준 文대통령에 '두 전직 대통령 사면 건의',"(속보) 오세훈·박형준 文대통령에 ""두 전직 대통령 사면 건의""/박경훈 기자 socool@sedaily.com (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
640,서울경제,김민혁,"文, 오세훈·박형준과 오찬…野인사와 이례적 단독회동(종합)","viewer  문재인 대통령이 21일 청와대 상춘재에서 오세훈 서울시장, 박형준 부산시장과 오찬 간담회에 앞서 환담하고 있다. 왼쪽부터 유영민 대통령 비서실장, 박 시장, 문 대통령, 오 시장, 이철희 정무수석. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1558947979364-0'); });문재인 대통령이 21일 낮 청와대 상춘재에서 4·7 재보궐선거에서 당선된 오세훈 서울시장과 박형준 부산시장과 함께 오찬을 함께 했다.오 시장과 박 시장은 모두 국민의힘 소속으로, 문 대통령이 야당 인사만을 초청해 오찬하는 것은 극히 이례적인 일이다. 이날 오찬은 문 대통령이 제안하고 두 시장이 응해 성사된 첫 대면 만남이다.   viewer  문재인 대통령이 21일 청와대 상춘재에서 오세훈 서울시장, 박형준 부산시장과의 오찬 간담회에 앞서 인사하고 있다. /연합뉴스   viewer  문재인 대통령이 21일 청와대 상춘재에서 오세훈 서울시장, 박형준 부산시장과의 오찬 간담회에 앞서 인사하고 있다. /연합뉴스googletag.cmd.push(function() { googletag.display('div-gpt-ad-1567043459465-0'); });오 시장과 박 시장은 이철희 청와대 정무수석의 안내로 상춘재 앞뜰에 먼저 자리했으며, 문 대통령이 유영민 대통령 비서실장과 함께 들어서자 각각 주먹인사를 나눴다.문 대통령은 두 시장에게 ""날씨가 좋다. 두 분 반갑다""며 ""취임을 축하드린다. 당선되자마자 곧바로 취임하셨다. 저도 당선되고 곧바로 취임했다""며 인사말을 건넸다. (function(d,a,b,l,e,_) {if(d[b]&&d[b].q)return;d[b]=function(){(d[b].q=d[b].q||[]).push(arguments)};e=a.createElement(l);e.async=1;e.charset='utf-8';e.src='//static.dable.io/dist/plugin.min.js';_=a.getElementsByTagName(l)[0];_.parentNode.insertBefore(e,_);})(window,document,'dable','script');dable('setService', 'sedaily.com');dable('sendLogOnce');dable('renderWidget', 'dablewidget_V7aeGx7B');  이에 박 시장은 ""귀한 자리 감사하다""고 화답했다. 문 대통령과 두 시장은 상춘재 앞뜰에서 선 채로 5분가량 담소를 나눈 뒤 오찬을 위해 건물 안으로 들어섰다.비공개로 이어진 오찬에서는 신종 코로나바이러스 감염증(코로나19) 사태, 부동산 문제, 민생경제 회복 등 서울시·부산시의 주요 현안에 대한 의견이 오간 것으로 전해졌다. 박경미 청와대 대변인은 이날 서면 브리핑에서 ""오늘 오찬은 대한민국 제1·제2 도시인 서울과 부산의 현안에 대해 야당 소속 단체장과 머리를 맞대고 힘을 모으는 협치의 자리""라고 설명했다.앞서 문 대통령은 지난 19일 청와대 수석·보좌관회의에서 “방역과 부동산 문제는 민생에서 가장 민감한 사안”이라며 “방역 관리에 허점이 생기거나 부동산 시장이 다시 불안해지지 않도록 중앙정부와 지자체가 충분히 소통하고 긴밀히 협력해 달라”고 주문했다. 13일 국무회의에서는 서울형 상생방역과 공시가격 개선 방안을 두고 야당 인사로는 처음 참석한 오 시장과 국무위원 간 이견이 속출하자 “서울시와 관계 부처가 국무회의 이후에도 충분히 소통해달라”고 당부하기도 했다.오 시장은 민생과 방역을 모두 지키겠다는 목표로 규제방역에서 벗어난 서울형 상생방역을 내세우고 있다. 이에 업종별 영업시간 차등, 자가진단 키트 적극 도입 등을 거론했다, 또 오 시장은 지난 13일 문 대통령과 화상으로 마주한 국무회의에서 부동산 공시가격 상승에 따른 국민 부담 경감을 위해 관련 법령을 개정하고, 공동주택 가격 결정 과정에의 지자체 참여를 건의한 바 있다.이에 일각에서는 오 시장 취임 이후 정부와 서울시의 방역에 혼선이 빚어지는 것 아니냐는 우려가 있다.한편 박영선 전 후보와 김영춘 전 후보는 20일 저녁 이미 문 대통령과 만찬을 가진 것으로 알려졌다. 청와대 핵심관계자는 “문 대통령이 어제 저녁에 비공개로 낙선자 분들과도 만찬을 함께 했다”고 말했다./김민혁 기자 minegi@sedaily.com

                                    < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >"
