,Unnamed: 0,date,title,press,reporter,content
44,44,2021.05.01 15:23,"오세훈 ""위험한 일 하는 노동자에게 단단한 안전판 제공해야""",경향신문,박용필 기자 phil@kyunghyang.com,"오세훈 서울시장은 장위동 철거 현장 매몰 사고와 관련해 1일 “위험하고 힘든 일을 하는 노동자일수록 더욱 단단한 안전판을 만들어주는 것이 공정”이라고 했다.오 시장은 이날 자신의 사회관계망서비스(SNS)에 “노동자의 날을 하루 앞둔 날에 일어난 장위동 사고는 많은 생각을 하게 한다. 더이상 소중한 생명이 안전장치도 없는 환경에서 일을 하다가 목숨을 잃는 일은 없어야 한다”며 이같이 말했다.전날 오후 3시30분쯤 성북구 장위동 재개발지역 철거공사 현장에서 건물이 무너지면서 철거 작업 중이던 현장 작업자 1명이 지하 3층으로 추락해 매몰됐다. 오 시장은 전날 오후 7시10분쯤 사고 현장을 찾아 사고수습 과정 등을 점검했다.오 시장은 “사고현장에 직접 가보니 너무나도 착찹했다. 왜 이런 일들이 반복되고 또 반복되는지 답답한 마음이었다”며 “작년 한 해 동안만 해도 882분, 하루에 두세명 꼴로 일터에서 목숨을 잃으셨다. 이는 법적·제도적  안전망의 사각지대 문제가 지속적되고 있음을 의미한다”고 했다.이어 “위험하고 힘든 일을 하는 노동자일수록 더욱 단단한 안전판을 만들어주는 것이 공정이고, 위험하고 힘든 일을 하는 노동자가 더 손해보지 않게 사회가 힘쓰는 것이 상생”이라며 “청소노동자의 근무환경을 좋게 만들어 드리는 것이 공정이고, 택배기사와 아파트 간의 분쟁 해결이 상생”이라고 했다.또 “서울시는 사각지대 노동자에 대한 ‘그물망 지원’을 기치로, 노동자 안전과 건강보호를 위하여 최선을 다하겠다”며 “비정규직, 감정노동자, 특수고용노동자 등 취약계층노동자 권익보호도 지속적으로 확대하고 강화해, 사각지대 없는 노동환경 조성에 더욱 힘쓰겠다”고 했다."
232,232,2021.04.22 10:57,"민주 이수진 “오세훈의 ‘박원순 성추행’ 사과, 진정성 있어···민주당이 참으로 부족”",경향신문,김상범 기자 ksb1231@kyunghyang.com,"이수진 더불어민주당 의원(동작을)은 오세훈 서울시장이 박원순 전 시장 성추행 피해자에게 사과한 데 대해 22일 “진정성 있고 책임 있는 사과”라며 높게 평가했다.민주당 원내부대표인 이 의원은 이날 오전 국회에서 열린 정책조정회의에서 “오세훈 시장이 고 박원순 전 시장 성폭력 사건 피해자에게 사과했다”라며 “진정성 있고 책임 있는 사과라고 생각한다”라고 말했다.이 의원은 “지난 4·7 재·보궐선거에서 20대 여성 15% 이상이 민주당과 국민의힘 모두 외면했다”라며 “양당 모두를 심판한 것”이라고 말했다. 그러면서 “우리 정치권은 20대 여성들의 마음을 잘 헤아려야 한다”라며 “두 정당 모두 외면한 것은 (박 전 시장 사건에 대한)정치권의 미온적 대처 때문”이라고 지적했다.이 의원은 “(성폭력 사건과 관련해)민주당이 참으로 부족했다”라며 “근본적 재발방지책을 만들어야 한다”라고 말했다. 이 의원은 “피해자가 안정과 일상을 회복하길 바란다”라고 덧붙였다.앞서 지난 20일 오세훈 시장은 “전임 시장 재직 시절 있었던 성희롱, 성폭력 사건에 대해 현직 시장으로서 진심으로 사과한다. 사건 발생 즉시 즉각적인 대처는 물론 2차 가해에 대해서도 서울시 대처는 매우 부족했다”라고 사과한 바 있다."
250,250,2021.04.21 12:53,"[경향포토]문 대통령, 오세훈·박형준 시장과 오찬",경향신문,강윤중 기자,"문재인 대통령이 21일 청와대 상춘재에서 오세훈 서울시장·박형준 부산시장과 오찬 간담회를 갖기 앞서 환담하고 있다. 청와대는 문 대통령의 뜻에 따라 오 시장과 박 시장을 초청하고, 두 시장이 흔쾌히 응하여 이뤄진 것이라고 밝혔다. 대통령비서실에서는 유영민 비서실장과 이철희 정무수석이 배석했다. 2021.04.21"
251,251,2021.04.21 12:51,[경향포토]문 대통령 초청으로 청와대 방문한 오세훈 서울시장과 박형준 부산시장,경향신문,강윤중 기자,문재인 대통령 초청으로 21일 청와대를 방문한 오세훈 서울시장과 박형준 부산시장이 상춘재로 들어서고 있다. 2021.04.21
253,253,2021.04.21 12:35,[경향포토]인사하는 문 대통령과 오세훈 시장,경향신문,강윤중 기자,문재인 대통령이 21일 청와대 상춘재에서 오세훈 서울시장과 인사하고 있다. 대통령은 이날 오 시장과 박형준 부산시장을 청와대로 초청해 오찬 간담회를 가졌다.
254,254,2021.04.21 12:32,[경향포토]오세훈·박형준 시장과 환담하는 문재인 대통령,경향신문,강윤중 기자,"문재인 대통령이?21일 청와대 상춘재에서 신임 오세훈 서울시장·박형준 부산시장과 오찬 간담회를 갖기 앞서 환담하고 있다. 청와대는 ""이 자리는 문 대통령의 뜻에 따라 오 시장과 박 시장을 초청하고,?두 시장이 흔쾌히 응하여 이뤄진 것""이라고 밝혔다. 대통령비서실에서는 유영민 비서실장과 이철희 정무수석이 배석했다. 2021.04.21"
257,257,2021.04.21 12:18,"[경향포토]문 대통령, 오세훈 서울시장·박형준 부산시장과 오찬",경향신문,강윤중 기자,"문재인 대통령이 21일 청와대 상춘재에서 신임 오세훈 서울시장·박형준 부산시장과 오찬 간담회를 갖기 앞서 환담하고 있다. 청와대는 ""이 자리는 문 대통령의 뜻에 따라 오 시장과 박 시장을 초청하고, 두 시장이 흔쾌히 응하여 이뤄진 것""이라고 밝혔다. 대통령비서실에서는 유영민 비서실장과 이철희 정무수석이 배석했다. 2021.04.21"
262,262,2021.04.21 09:48,"문 대통령, 오세훈·박형준 시장과 오찬…“협치의 자리”",경향신문,이주영 기자 young78@kyunghyang.com,"문재인 대통령은 21일 청와대 상춘재에서 오세훈 서울시장, 박형준 부산시장과 오찬을 함께 한다.4·7 재보궐선거에서 당선된 오·박 시장은 모두 국민의힘 소속으로, 문 대통령이 야당 인사만 초청해 오찬간담회를 하는 것은 이례적이다. 재보선 참패로 민심 이반을 확인한 문 대통령이 최근 개각 등을 통해 비주류·비문 인사들을 핵심 보직에 전면 배치한 데 이어 야당과의 소통에도 적극 나서는 등 민심에 다가가는 모습을 보이겠다는 취지로 읽힌다. 이날 오찬에는 유영민 대통령 비서실장과 이철희 청와대 정무수석이 배석한다.박경미 청와대 대변인은 서면 브리핑에서 “대한민국 제1·제2 도시인 서울과 부산의 현안에 대해 야당 소속 지방자치단체장과 함께 머리를 맞대고 힘을 모으는 것이 매우 중요하기 때문에 마련된 자리”라며 “야당 소속 단체장과 협치의 자리”라고 설명했다.문 대통령은 이 자리에서 두 시장의 취임을 축하하고 코로나19 방역, 부동산 문제, 민생경제 회복 등에 대해 의견을 교환할 예정이다.특히 서울이 코로나 방역과 부동산 문제에서 가장 큰 비중을 차지하고 있는 가운데 오 시장이 부동산 공시가격 산정, 방역 정책에서 중앙정부와 다른 목소리를 내고 있어 논의 결과가 주목된다.앞서 문 대통령은 지난 19일 청와대 수석·보좌관회의에서도 “방역과 부동산 문제는 민생에서 가장 민감한 사안”이라며 “선거로 단체장이 바뀐 지자체와도 특별한 협력체제를 구축해주기 바란다”고 지시한 바 있다.한편 문 대통령은 재보선에서 낙선한 박영선 전 서울시장 후보와 김영춘 전 부산시장 후보를 지난 20일 청와대로 초청해 만찬을 함께 했다고 청와대는 전했다."
401,401,2021.04.14 11:21,부산 찾은 도종환 “2029년 가덕도신공항 완공”···오세훈 시장 방역대책도 비판,경향신문,곽희양 기자 huiyang@kyunghyang.com,"도종환 더불어민주당 비상대책위원장이 4·7 보궐선거에서 참패한 부산을 찾아 “ 2029년까지 가덕신공항 완공, 동남권 메가시티 구축, 2030 부산월드엑스포 유치에 힘을 모으겠다”고 말했다. 민주당은 업종별로 영업제한 시간을 달리하는 오세훈 서울시장의 방역 대책도 비판했다.도 위원장은 14일 민주당 부산광역시당에서 열린 비대위 회의에서 “선거 과정에서 부산시민들께 약속드린 사항들은 흔들림 없이 추진해나가겠다”며 이 같이 말했다. 도 위원장은 “민심의 회초리가 매서웠던 만큼 제일 먼저 찾아가야 할 곳도 바로 부산이라고 생각했다”면서 “반성과 성찰을 바탕으로 더 책임 있는 집권 여당으로 거듭나겠다”고 말했다.도 위원장은 “이해충돌방지법을 비롯해 부동산거래법, 범죄수익은닉규제법 등을 4월 임시국회에서 반드시 통과시켜 부동산 부패를 근절하겠다”고 말했다. 또 “코로나19 피해지원을 위한 상생연대3법, 미래성장동력 마련을 위한 K-뉴딜 10대 입법과제 등도 신속히 처리해 나가겠다”고 말했다.오세훈 서울시장의 ‘서울형 상생방역’에 대한 비판도 나왔다. 오 시장의 방역 대책은 다중이용시설 업종별 영업 제한 시간을 달리하고 자가진단키트를 보급하자는 내용을 담았다.도 위원장은  “지금 가장 경계해야 할 것은 중앙정부와 지자체 간 방역체계 엇박자”라며 “주요 지자체의 현명하고 책임 있는 판단이 절실하다”고 말했다.최인호 수석대변인도 비대위 회의 전 “오 시장 방역대책이 아슬아슬해보인다. 방역 전문가들은 심각한 상황을 초래할 가능성이 높다고 우려하고 있다”며 “오세훈식 방역대책이 코로나 4차 대유행을 불러올지도 모른다는 걱정이 커지고 있다”고 비판했다.최 수석대변인은 “코로나 방역 만큼은 무한책임의 자세로 임해야 한다”며 “여야가 따로 없고, 정부와 지자체가 따로일 수는 없다”며 “지금 서울이 대한민국 자가검사 키트 효능을 실험할 상황이 아니다”라고 지적했다."
408,408,2021.04.13 21:15,“유흥업소보다 학교·종교시설에 자가진단키트 도입”…하루 만에 말 바꾼 오세훈,경향신문,류인하 기자 acha@kyunghyang.com,시장 취임 후 대책 마련 지시전문가들 잇단 우려에 ‘선회’서울시가 코로나19 ‘신속 자가진단키트’ 중점 적용 대상을 노래방 등 유흥업소에서 대학·학교·종교시설 등으로 전환하려는 모양새다. 오세훈 서울시장이 취임 후 자가진단키트 도입 등 ‘서울형 방역’을 꺼내든 것에 대해 방역에 혼란을 초래할 수 있다는 방역당국과 전문가 등의 우려를 의식해 적용 대상을 전환하려는 게 아니냐는 지적이 나온다.13일 경향신문 취재를 종합하면 서울시는 항원검사 방식의 신속 자가진단키트 도입을 정부와의 협의를 전제로 추진하되 중점 적용 대상을 학교·종교시설 등으로 확대하기로 했다. 당초 노래방 등 유흥업소를 중심으로 하는 시범실시 계획을 밝혔던 서울시가 하루 만에 기존 입장을 번복한 것이다.신속 진단키트 도입은 오 시장이 지난 9일 취임한 후 처음 가진 코로나19 종합대책회의 모두발언에서 처음 언급했다. 이후 비공개로 진행된 대책회의에서도 오 시장은 신속 진단키트 도입과 관련해 각 실·국장에게 실행 가능한 대책 마련을 지시한 것으로 전해졌다. 서울시 관계자는 “주무부서인 시민건강국 외 타 실·국에도 관련 대책 마련을 요구하며 강력한 도입 의지를 보였다”고 말했다.오 시장은 12일 첫 기자 브리핑에서도 ‘서울형 상생방역’을 강조하면서 “영업장의 자가진단키트 활용을 전제로 서울형 거리 두기 매뉴얼이 시행된다면 업종별 특성을 반영한 영업시간 연장이 가능해지는 등 큰 시너지 효과를 낼 것”이라고 밝혔다. 이날 오후에는  관련 보도 자료를 내고 “노래연습장 등 다중이용시설을 대상으로 신속항원검사 시범사업을 진행할 예정”이라고 했다.그러나 불과 하루 만인 13일 오 시장은 국무회의 참석 후 언론 백브리핑에서 “마치 식당이나 유흥업소에서 (신속 진단키트가) 가장 유용한 것처럼 (언론에서) 제목들이 뽑히고 있다”며 “그것은 사실이 아니다”라고 밝혔다. 오 시장은 국무회의에서도 비대면 수업 장기화로 기초학력 저하 등 학습격차를 겪고 있는 학생과 학부모들을 위해 신속 진단키트 즉시 도입을 건의했다. 종교시설도 진단키트 도입 대상으로 제안했다.적용 대상을 바꾼 것을 놓고 일각에서는 비난을 최소화하면서 ‘오세훈의 성과’로 만들기 위한 전략이 아니냐는 분석이 나온다. 방역당국이 신속 자가진단키트 도입에 긍정적인 태도를 취하고 있는 상황이어서 굳이 ‘유흥업소’로 적용 대상을 한정지을 필요가 없어졌기 때문이다. 이상원 질병관리청 중앙방역대책본부 역학조사분석단장은 이날 브리핑에서 “자가검사키트의 활용을 전제로 해서 유흥업소라든가 이런 다중이용시설의 방역조치를 완화하는 것은 현재로서 판단하기 어려운 상황으로 보인다”며 부정적인 입장을 밝히기도 했다. 서울시 관계자는 “12일 브리핑에서 언급된 노래방은 일종의 예시”라며 “구체적으로 어떤 곳을 중점 적용 대상으로 할지는 지속적으로 협의를 거쳐 걸정할 것”이라고 말했다.
