,Unnamed: 0,date,title,press,reporter,content
18,18,2021-05-01 3:00,정세균 “20세 맞은 청년에 1억씩 지급” 첫 공약… 이낙연 ‘아동수당-공공임대 확대’ 與 정책과제로,동아일보,김지현 기자 ,"

            여권 대선 주자들이 이재명 경기도지사의 ‘기본소득’에 대응하기 위한 복지 정책 및 공약들을 제시하고 나섰다. 더불어민주당 5·2 전당대회가 임박하면서 당 대표 선출 후 본격화될 대선 레이스를 염두에 둔 주자들의 어젠다 경쟁도 막이 오르는 양상이다. 정세균 전 국무총리는 첫 대선 공약으로 ‘20살 청년을 위한 1억 원 적립형 통장’을 내놓으며 2030세대 표심 잡기에 나섰다. 정 전 총리는 30일 YTN 라디오에서 “청년들이 너무 아프다. 청년들이 희망을 갖고 일할 수 있는 방안이 없을까 고민을 하고 있다”며 “재원 대책까지 마련된 완결된 정책을 만들어서 발표하겠다”고 했다. 정 전 총리는 전날 광주대 강연에서 “국가와 사회가 청년들의 자산 형성을 위해 사회적 상속 제도를 구축할 수 있도록 노력해야 한다”며 “미래씨앗통장 제도로 부모 찬스 없이도 (청년들이) 자립 기반을 구축할 수 있도록 20년 적립형으로 1억 원을 지원하는 정책을 설계 중”이라고 처음 언급했다. 정 전 총리 측은 “신종 코로나바이러스 감염증(코로나19) 이후 ‘더 나은 회복’을 위한 혁신경제와 돌봄사회 정책의 일환”이라고 했다.  이낙연 전 더불어민주당 대표의 ‘신복지 구상’도 구체화 단계에 돌입했다. 이 전 대표가 당 대표 시절인 2월 출범시켰던 당 내 국민생활기준 2030 범국민특별위원회는 30일 국회에서 중간보고 형태의 간담회를 열고 초등학생 온종일 돌봄제와 공공임대주택 확대, 아동수당 확대 등 국민 삶의 질을 높일 8개 정책 과제를 제시했다. 특위 공동위원장을 맡은 홍익표 민주당 정책위 의장은 “9월까지 구체적인 국민생활보장 최저기준과 적정기준을 마련하고, 국민 여론 수렴을 거쳐 이행 로드맵을 확정하겠다”고 했다. 함께 공동위원장을 맡은 김연명 전 대통령사회수석비서관은 “당과 협의를 거쳐 9월 확정될 대선 후보에게 보고하고 당 공약에 반영될 수 있도록 하겠다”고 했다.  이 전 대표는 8일 광주와 부산에서 열리는 ‘신복지2030’ 지역 포럼 창립총회에도 직접 참석해 대선 행보를 본격화할 것으로 전망된다. 이 전 대표 측은 “포럼을 통해 본인이 올해 2월 제시했던 대선 비전인 신복지제도를 구체화하고 지역 조직 관리에도 나설 것”이라고 했다.김지현 기자 jhk85@donga.com 
"
80,80,2021-04-24 3:00,"정세균 “尹, 검사밖에 해본게 없어”… 이낙연, 봉하마을 참배뒤 “사람사는 세상 중요”",동아일보,최혜령 기자 ,"

차기 대선 공식 도전을 앞두고 있는 정세균 전 국무총리와 더불어민주당 이낙연 전 대표가 사전 행보의 속도를 높여가고 있다. 정 전 총리는 각종 여론조사에서 선두권을 유지하고 있는 이재명 경기도지사와 윤석열 전 검찰총장을 동시에 겨냥했고, 이 전 대표는 경남 김해 봉하마을을 찾았다.  정 전 총리는 23일 CBS라디오에서 여론조사 지지율과 관련해 “(지지도는) 결정적일 때 있어야지 미리 지나가버리면 소용없다”며 “(과거 대선에서) 1년 전 높은 지지율을 보이다가도 그냥 순식간에 사라진 경우가 부지기수”라고 했다. 각종 여론조사에서 이 지사와 윤 전 총장만이 두 자릿수 지지율을 유지하고 있지만 이를 극복할 수 있다는 자신감을 내비친 것이다. 그는 윤 전 총장에 대해서는 “그분은 검사밖에 해보신 게 없다”고도 했다. 비공개 전국 순회 행보를 이어가고 있는 이 전 대표는 이날 오후 봉하마을을 찾아 노무현 전 대통령 묘소를 참배하고 권양숙 여사를 만났다. 여권 관계자는 “김대중 전 대통령의 권유로 정계에 입문한 이 전 대표가 노 전 대통령, 문재인 대통령으로 이어지는 민주당의 계보를 잇겠다는 뜻을 강조하기 위한 일정”이라고 말했다. 이 전 대표는 페이스북에 “당신이 추구하셨던 균형 발전과 사람 사는 세상은 여전히 가장 중요한 과제입니다”라고 적어 노 전 대통령을 계승하겠다는 의지를 드러냈다.  이 전 대표는 부산으로 이동해 24일에는 어민들을 만나 일본 후쿠시마 오염수 방류 대책 등에 대한 현장 의견을 들을 예정이다. 이 전 대표 측 인사는 “각종 민생 현장에서 다양한 분들의 의견을 경청하는 일정은 앞으로도 계속 가질 것”이라고 말했다. 최혜령 기자 herstory@donga.com 
"
115,115,2021-04-22 3:00,정세균 ‘민주당 직계’ 행보 vs 이낙연 ‘초심’ 행보,동아일보,김지현 기자 ,"

정세균 전 국무총리가 다음 달 초 공식 대선 출마 선언을 하고 대권 레이스에 뛰어든다. 정 전 총리는 21일 동아일보와의 통화에서 “다음 달 2일 더불어민주당 전당대회가 끝나는 대로 국민들에게 앞으로의 계획을 소상하게 밝히려고 한다”고 했다. 새 여당 지도부가 꾸려지고 당이 수습되고 나면 대선 출마 선언에 나서겠다는 뜻으로 풀이된다.  정 전 총리는 전당대회 기간 중에는 여의도와 거리를 둔 채 ‘민주당 직계’ 이미지를 강화할 수 있는 행보에 나선다는 계획이다. 정 전 총리는 “이번 주말 경남 김해 봉하마을을 찾아 노무현 전 대통령 묘소를 참배하고 권양숙 여사와 면담할 계획”이라고 했다. 정 전 총리 측 관계자는 “‘범친노(친노무현)’로서 민주당 내에서의 정통성을 내세우면서 당내 친노, 친문 인사들을 두루 접할 것”이라고 했다. 그가 16일 사임 후 첫 공식 일정으로 김대중(DJ) 전 대통령의 일산 사저를 찾은 것 역시 ‘DJ 후계자’라는 점을 강조하기 위해서인 것으로 풀이된다. 1995년 DJ의 제안으로 정계에 입문한 정 전 총리는 페이스북에 “‘다시 김대중’으로 돌아가기 위한 다짐”이라고 적었다.  정 전 총리가 본격 대선 행보에 나서면서 그동안 물밑에서 지원해 온 김영주 안규백 이원욱 의원 등 당내 이른바 ‘SK계’ 의원들도 본격적인 세력 구축에 착수했다. 정 전 총리와 가까운 한 의원은 “정 전 총리가 기업인 출신이라는 강점이 있기 때문에 ‘포스트 코로나’ 경제 재건에 대비할 수 있는 자질 등을 강조할 계획”이라고 했다. 정 전 총리의 전임자인 이낙연 전 대표도 물밑 행보를 이어가고 있다. 두 사람은 호남 기반의 여권 대선주자이자 문재인 정부 국무총리 출신이라는 공통점을 갖고 있다. 이 전 대표는 재·보선 참패 후폭풍 속에 호남을 시작으로 전국을 돌며 비공개 민생 순회 중이다. 이 전 대표 측근은 “전남지사와 총리 시절 찾았던 민생 현장을 다시 방문해 민심을 겸허하게 듣고 초심을 되찾겠다는 취지”라며 “이번 주에는 강원 고성·삼척, 경북 울진을 찾고 주말에는 부산·울산·경남으로 내려가 현장 목소리를 듣는 데 집중할 것”이라고 했다.  이 전 대표는 16일 자가 격리에서 해제된 직후 국립대전현충원을 찾아 세월호 사태 당시 순직한 고 김초원 교사의 부모를 위로한 것으로 알려졌다. 이어 고향이자 옛 지역구였던 전남 영광으로 향해 청년농업인 등을 만났다. 또 2020년 8월 집중호우로 피해를 입었던 섬진강 일대 현장도 다시 찾아 이재민들의 고충을 듣기도 했다. 한 여당 의원은 “총리 시절 현장 목소리를 직접 듣고 정책에 반영했듯이 다시 현장에서 반전의 계기를 만들겠다는 취지”라고 전했다.  두 사람의 경쟁에 대해 여권 관계자는 “정 전 총리는 여전히 한 자릿수로 미미한 지지율을 끌어올려야 하고, 이 전 대표는 연초부터 하락세로 접어든 지지율을 다시 반등시켜야 한다”며 “다음 달까지 두 사람 중 누가 먼저 눈에 띄는 지지율 변화를 만들어내는지가 첫 번째 승부가 될 것”이라고 했다. 김지현 기자 jhk85@donga.com 
"
173,173,2021-04-17 3:00,"정세균 “새로운 출발, 국민 큰뜻 받들겠다”… 이낙연 “죽는 한 있어도 文대통령 지킬 것”",동아일보,허동준 기자 ,"

정세균 전 국무총리가 16일 총리직에서 물러나며 여권의 차기 대선 레이스에 본격적으로 합류했다. 정 전 총리의 가세로 이재명 경기도지사, 더불어민주당 이낙연 전 대표의 3자 대결도 막이 올랐다.  정 전 총리는 이날 이임사에서 “국민의 큰 뜻을 받들어 더 크게 돌려드릴 수 있도록 끝까지 힘쓰겠습니다. 새로운 출발입니다”라고 했다. 사실상 대선 출마를 기정사실화한 것이다. 여권 관계자는 “국회의장, 총리까지 지낸 상황에서 남은 고지는 하나밖에 없지 않느냐”며 “정 전 총리는 이번 대선이 정치 인생의 마지막 도전이라고 생각하는 듯하다”고 전했다.  민주당이 다음 달 2일 전당대회를 앞두고 있는 만큼 정 전 총리는 당분간 당과는 거리를 두고 주변 조직 정비 등에 나설 것으로 보인다. 정 전 총리 측 인사는 “전당대회에서 특정 후보를 미는 일은 없을 것”이라며 “공식 도전에 앞서 새로운 화두 등을 고민하지 않겠느냐”고 했다. 정 전 총리의 핵심 지지 기반인 ‘광화문포럼’ 등은 4·7 재·보궐선거 참패 원인을 분석하는 등 정 전 총리의 등판을 준비해왔다.  3자 구도가 명확해지면서 다른 두 주자의 행보도 빨라지고 있다. 이 지사는 20일 서울 영등포구 여의도에서 국회의원 41명과 공동으로 ‘청소·경비노동자 휴게시설 개선 토론회’를 열고 여의도 행보를 재개한다. 다음 달 12일에도 부동산 관련 토론회를 준비하고 있다. 높은 지지율을 바탕으로 세 확산을 꾀하겠다는 의도다. 이에 맞서 이 전 대표는 다시 한 번 친문(친문재인) 지지층 결집에 나섰다. 이 전 대표는 전날(15일) 의원 20여 명과 모인 자리에서 “문재인 정부에서 절반 이상 2인자(총리)를 했는데 내가 다른 소리를 하는 것은 사기”라며 “죽는 한이 있어도 문 대통령을 지키고 가겠다”고 했다. 이 전 대표는 이날 페이스북에서도 “개인을 내려놓고 민주당 깃발 아래 하나가 됩시다”라며 “선당후사 마음으로 국민의 재신임을 받는 일에 집중합시다”라고 적었다. 허동준 기자 hungry@donga.com 
"
245,245,2021-04-10 3:00,속내 복잡한 與주자들… 이재명 “무거운 책임감” 이낙연 “성찰의 시간”,동아일보,김지현 기자 ,"

더불어민주당의 4·7 재·보궐선거 참패 이후 여권 내 대선주자들의 속내가 복잡해지는 모양새다. 선거 전면에 나섰던 이낙연 전 민주당 대표로선 패배 책임론을 딛고 재기의 발판을 마련하는 것이 시급한 과제다. 이달 중 사퇴가 유력시되는 정세균 국무총리의 ‘여의도 복귀’와 더불어 ‘1강’ 독주 체제를 이어가고 있는 이재명 경기도지사의 ‘당심(黨心) 회복’ 여부가 추후 당내 대선 판세의 흐름을 결정하는 관건이 될 것으로 보인다. “당의 일원으로서 무거운 책임감을 느낀다.” 이 지사는 선거 다음 날인 8일 페이스북을 통해 이렇게 밝혔다. 현역 지방자치단체장이란 신분 때문에 선거 전면에 나서지 않아 책임론에서 상대적으로 자유롭지만 ‘당의 일원’으로서 패배의 고통을 나눠지겠다고 강조한 것. 재·보선을 계기로 여권 안에선 이 지사의 독주 체제가 더욱 뚜렷해지는 형국이다. 이 지사는 엠브레인퍼블릭 케이스탯리서치 코리아리서치 한국리서치가 5∼7일 진행한 여론조사에서 24% 지지율을 유지하며 윤석열 전 검찰총장(18%)을 앞섰다. 다만 당내 견제를 극복하면서 지지율을 유지하는 과제가 남았다. 이 지사 측은 9일 “강성 친문 지지층 사이에선 한국토지주택공사(LH) 투기 의혹 폭로 배후를 이 지사와 엮어 선거 패배 책임을 물으려는 주장이 여전하다”며 “대선 경선을 앞두고 당 지지층의 여론을 살피지 않을 수 없겠지만 지금까지처럼 소신 있게 말하고 움직이는 것도 중요하다고 본다”고 했다. 이 지사는 당분간 당심을 살피며 ‘도정 챙기기’에 주력하되 의원들과의 개인적인 접점은 늘려나갈 것으로 보인다. 이 전 대표는 15일 자가 격리가 끝나는 대로 민생 현장을 직접 찾을 계획이다. 이 전 대표는 부인의 신종 코로나바이러스 감염증(코로나19) 확진자 접촉으로 7일부터 자택에서 자가 격리 중이다.  이 전 대표 측 관계자는 9일 “이 전 대표가 선거에서 드러난 민심을 겸허하게 수용하고 성찰하겠다고 약속한 만큼 여의도 정치와는 당분간 거리를 두되 국민의 삶을 찾아가 직접 성난 민심을 달래려고 한다”며 “온·오프라인을 가리지 않고 평범한 국민들을 만나고, 특히 계층과 세대, 지역을 불문하고 희망을 주는 사람들을 만나 경청할 것”이라고 했다. 이 전 대표는 전날 페이스북에 “국민의 실망과 분노를 제대로 헤아리지 못했다”며 “성찰의 시간을 갖겠다. 낮은 곳에서 국민을 뵙겠다”고 적었다. 이 전 대표가 찾을 첫 민생 현장은 자신의 정치적 텃밭인 호남이 될 가능성이 크다. 자신의 정치적 기반에서 다시 ‘초심’을 새기고 점차 전국으로 넓혀 나간다는 구상이다. 다만 당내에서 “이번 선거에서 후보를 공천하지 말았어야 한다”며 이 전 대표에게 책임을 묻는 목소리가 적지 않은 만큼 이를 극복하는 과제가 남아 있다.  정 총리는 이달 중 민주당으로 복귀해 본격적인 대선 레이스에 합류할 것으로 전망된다. 정 총리의 측근은 “정 총리가 여전히 민주당 상임고문직이고, 그 자리로 돌아올 것”이라며 “정 총리가 복귀하면 이른바 ‘SK(정세균)계’ 의원들의 움직임도 본격화될 것”이라고 했다.  정 총리가 이낙연-이재명 간 경쟁으로 오랫동안 굳어진 여권 내 양강 구도를 깨고 친문(친문재인) 계파를 얼마나 흡수할지에도 관심이 쏠린다. 민주당 설훈 의원은 9일 YTN 라디오에서 “대선 후보가 몇 개월 사이에 툭 떨어질 수 있는 상황은 아니기 때문에 이들 내에서 사람을 선택할 수밖에 없을 것”이라고 했다.김지현 기자 jhk85@donga.com  
"
307,307,2021-04-06 3:00,차기대권 레이스 걸린 이낙연… 반등기회 얻게 될까,동아일보,김지현 기자 ,"

“후보만큼이나 이번 선거에 절박한 사람이 바로 이낙연 상임선대위원장(사진)일 것이다.” 더불어민주당의 한 의원은 5일 이 상임위원장이 처한 상황에 대해 이같이 말했다. 이번 선거 결과에 이 위원장의 차기 대선 레이스가 걸려 있기 때문이다.  이 위원장은 지난달 초 당 대표직을 내려놓은 직후 선대위원장을 맡아 한 달간 선거 전면에 나섰다. 하지만 예기치 못한 한국토지주택공사(LH) 투기 의혹 사태로 당 지지율 하락과 함께 그의 차기 대선주자 지지율도 최근 한 자릿수까지 떨어진 상태.  민주당이 이번 선거에서 한 곳에서라도 승리할 경우 이 위원장은 ‘어려웠던 선거를 승리로 이끌었다’는 평가와 함께 당내 리더십은 물론이고 개인 지지율도 끌어올릴 기회를 얻을 가능성이 크다. 반면 서울과 부산 모두 질 경우 민주당은 물론이고 이 위원장도 적잖은 타격을 입을 것으로 보인다. 여권 관계자는 “이 위원장 지지율이 이미 한 자릿수로 떨어진 상황에서 선거까지 참패하면 대선 레이스를 이끌고 갈 동력을 마련하기가 쉽지 않다”고 말했다.  그러나 당 일각에서는 “선거에 패하더라도 이를 이 위원장 탓으로 돌리기는 어렵다”는 주장도 나온다. 한 여당 중진 의원은 “LH 파문 등 예기치 못한 변수로 이번 선거는 이순신 장군이 와도 이기기 어려운 선거”라고 했다. 수도권 지역의 한 여당 의원은 “이번 선거를 기점으로 정치권의 화두가 선명성 경쟁에서 사회 통합으로 변할 가능성이 있다”며 “중도층 확장 전략이 다시 여당의 과제가 되면 이 위원장의 목소리도 더 커질 수 있다”고 말했다. 김지현 기자 jhk85@donga.com  
"
366,366,2021-04-01 3:00,이낙연 “부동산정책 잘못 사죄”… 김종인 “文정부 실패 심판해야”,동아일보,"허동준 기자 , 강경석 기자 ","

“정부 여당은 주거의 현실을 제대로 보지 못했고 정책을 세밀히 만들지 못했다. 무한 책임을 느끼며 사죄드린다.” 더불어민주당 이낙연 상임선대위원장은 31일 ‘대국민호소 기자회견’을 열고 이같이 말했다. 4·7 재·보궐선거 사전 투표일을 이틀 앞두고 정부 여당이 추진해 온 부동산정책들에 대한 실패를 인정한 것. 그러면서도 이 위원장은 “국민 여러분과 함께 촛불을 들었던 그때의 그 간절한 초심으로 돌아가서 다시 시작하겠다”며 지지를 호소했다. 이 위원장은 이날 부동산 민심을 잡기 위해 주택담보인정비율(LTV), 총부채상환비율(DTI) 규제 완화 등을 담은 ‘내 집 마련 국가책임제’를 제시했다. 특히 각종 여론조사에서 민주당에 등을 돌린 것으로 나타나는 청년층을 향해서는 “청년과 신혼세대가 안심대출을 받아 내 집을 장만하고 그 빚을 갚는 데 어려움이 없도록 ‘50년 만기 모기지 대출 국가보증제’를 추진하겠다”고 약속했다. 이 위원장은 LTV, DTI와 관련해서는 “좀 더 대담한 완화가 필요하다”고 말했다.  국민의힘 김종인 비상대책위원장은 서울 은평구와 서대문구 등 서북권 지역을 찾아 유세에 나섰다. 이 지역은 지난해 4·15총선에서 민주당이 모두 석권한 지역이다. 김 위원장은 은평구 연신내역 앞에서 열린 지원 유세에서 “이번 선거는 문재인 정부의 모든 정책 실패를 냉엄하게 심판하는 선거”라며 ‘정권 심판론’을 강조했다. 최근 전셋값 인상 논란으로 사직한 김상조 전 대통령정책실장 사례를 언급하며 “이것이 문재인 정부가 국민에게 보여준 민낯”이라고 비판했다. 허동준 hungry@donga.com·강경석 기자  
"
436,436,2021-03-26 3:00,이낙연 “통렬히 반성” 읍소전략… 김종인 “정권교체 발판” 바람몰이,동아일보,"김지현 기자 , 유성열 기자 ","

25일 4·7 재·보궐선거의 공식 선거운동 시작과 함께 더불어민주당 이낙연 상임선대위원장과 국민의힘 김종인 비상대책위원장 간 13일간의 치열한 전략 싸움도 막이 올랐다. 더 물러설 곳 없는 여야 두 수장 간 자존심 대결이자 각자의 다음 정치 행보까지 결정지을 벼랑 끝 수 싸움이다. 한국토지주택공사(LH) 투기 의혹 파문 등으로 인한 비판 여론을 의식한 이 위원장은 선거운동 첫날부터 ‘읍소 전략’을 본격적으로 꺼내 들었다. 조직 총동원을 통한 ‘집토끼’ 지키기와 함께 ‘도와 달라’는 호소로 흩어진 중도층과 지지층의 민심을 되찾아 오겠다는 것. 반면 서울 구청장 25명 가운데 24명, 서울시의회 의원 109명 중 101명을 민주당이 차지하고 있는 현실에 맞서야 하는 김 위원장은 최근 내부 회의에서 수차례 “서울 선거는 바람이 조직을 이긴다”고 강조했다. 이 위원장은 이날 페이스북에 “국민 여러분, 도와주십시오”라는 제목의 글을 올리며 절절한 호소에 나섰다. 그는 “민주당은 절박하고 겸손한 마음으로 국민 여러분을 뵙겠다”며 “잘못은 통렬히 반성하고 혁신하며, 미래를 다부지게 개척하겠다”고 했다. 그동안은 조직 총동원령을 통한 지지층 결집에 나섰다면 남은 2주간은 ‘반성 모드’로 중도층 표심 되찾기에 나선 것이다. 이날 이 위원장이 최근 박원순 전 서울시장을 두둔해 논란을 일으킨 임종석 전 대통령비서실장을 향해 “신중했으면 한다”고 공개 질타한 것도 이 같은 전략의 연장선으로 해석된다. 이 위원장은 이날 MBC라디오에 출연해 전날 박영선 서울시장 후보가 “임 전 실장의 발언이 선거에 도움이 안 된다”고 한 것을 언급하며 “후보의 생각을 존중하는 것이 옳다고 생각한다”고 했다. 이 위원장을 필두로 민주당 의원들도 일제히 저자세로 몸을 낮췄다. 청와대 출신인 고민정 윤건영 의원과 친문(친문재인) 성향 김종민 최고위원 등은 이날 각자 페이스북에 “파란색이 미운 당신, 그 마음 쉽게 돌릴 수는 없겠지만 파란색 정부가 남은 기간 힘을 낼 수 있도록 해 달라”고 읍소하는 내용의 동영상을 공유했다. 부산 지원 유세에 나선 홍영표 의원은 “부산 시민들 부동산 문제에 화 나 있는 것을 잘 안다. 민주당에 화를 내시고 김영춘 후보는 뽑아달라”고 호소했다. 양향자 최고위원도 “저희가 잘못했다”고 했다. 동시에 야당이 펼치는 ‘정권심판론’ 차단에도 주력했다. 이 위원장은 박 후보 유세 출정식 자리에 “정권을 심판하겠다는 것은 정부와 싸움만 하면서 1년을 보내겠다는 것”이라고 했다. 김 위원장은 서울선대위 회의에서 “우리 당이 현재 최고의 지지율을 자랑하고 있다”며 “오세훈 후보 지지율도 박 후보에 비해서 한 20%(포인트) 가까운 차이를 보여주고 있다”고 강조했다. 평소 여론조사를 두고 “신경 쓰지 않는다”는 태도를 보여 온 김 위원장이 이례적으로 수치까지 언급하면서 ‘정권 심판 바람몰이’에 나선 것. 김 위원장은 덕수궁 대한문 앞 유세에서도 “오 후보를 당선시키고 내년 정권 교체를 하면 잘못된 조세정책에 대한 전면적 재검토를 약속하겠다”고 했다. 김 위원장은 최근 기회가 있을 때마다 “서울 선거는 바람의 선거”라고 수차례 강조했다. 그러면서 구체적 사례로 2006년 ‘꼬마 민주당’ 시절 자신이 선거대책위원장을 맡아 치렀던 서울 성북을 국회의원 보궐선거를 자주 언급했다. 이 선거에서 민주당(9석)의 조순형 후보는 여론조사에서 10%포인트 이상 뒤처졌지만, 당시 여당인 열린우리당(152석)과 제1야당인 한나라당(121석) 후보를 모두 물리치고 당선되는 이변을 일으켰다. 김 위원장은 “모두가 조순형이 진다고 했지만, 여당에 대한 심판 여론 등으로 조 후보의 바람이 이겼다”고 강조했다. 당시 열린우리당은 당 조직을 총동원해 선거를 치렀지만 선거구 4곳에서 모두 패배했다.김지현 jhk85@donga.com·유성열 기자 
"
488,488,2021-03-22 3:00,이낙연 “지인들에 전화-문자 호소를”… 지지층 결집 사활 건 민주,동아일보,강성휘 기자 ,"

“사실상 조직 총동원령이 내려진 상태다.” 더불어민주당 관계자는 21일 서울시장과 관련한 당내 분위기에 대해 이같이 말했다. 한국 토지주택공사(LH) 사태와 박원순 전 시장 성추문 피해자 기자회견 등 악재가 계속되는 상황에서 조직표 등 지지층 결집을 통해 돌파구를 마련하겠다는 의도다. 여기에 야권이 막판 후보 단일화에 합의했다는 점도 민주당이 ‘조직 총동원령’을 내린 배경이다. 민주당 이낙연 상임선대위원장은 전날(20일) 페이스북을 통해 “선거가 긴박하다. 전화든, 문자로든 가까운 분들에게 호소드리자”고 적었다. 이 위원장은 “저도 전화로 공조직을 독려했다”며 전화 통화에 나선 모습을 담은 사진까지 올렸다. 앞서 이 위원장은 “공중전은 여의도에 맡기고 의원님들과 저는 보병전에 치중했으면 하는 마음”이라고도 했다. 이를 두고 당 안팎에서는 “이 위원장까지 나서 조직 동원을 강조하는 ‘백병전’에 나선 것”이라는 분위기다.  실제로 민주당은 일찌감치 당 차원에서 조직표 동원 캠페인을 진행 중이다. 민주당은 최근 소속 의원과 보좌진, 권리당원 등을 대상으로 ‘연고자 찾기’ 운동을 하고 있다. 보궐선거 후보들이 연락할 수 있도록 서울과 부산 거주 지인들의 연락처를 공유해달라는 취지다. 여권 관계자는 “한 수도권 의원은 5000여 명의 서울 지역 유권자 연락처를 제출하기도 했다”며 “일부 의원실은 보좌진에게 의무 할당량을 정해주기도 했다”고 전했다.  민주당이 조직 총동원령에 사활을 거는 것은 보궐선거의 특성상 투표율이 낮고, 결국 지지층을 얼마나 많이 투표장으로 이끌어내느냐가 승부를 가른다고 보기 때문이다. 민주당 고위 관계자는 “이번 서울시장 투표율은 45%에도 미치지 못할 것 같다”고 했다. 이는 2011년 서울시장 보궐선거 투표율(48.6%)보다도 낮은 것이다. 재·보궐선거 투표일인 다음 달 7일은 임시 공휴일이 아닌 평일이다. 박영선 후보 캠프 관계자도 “투표율이 낮을 것으로 예상되고, 야권 단일화로 사실상 1 대 1 구도로 치러지기 때문에 5%포인트 안팎의 박빙 승부가 예상된다”며 “결국 ‘집토끼’를 얼마나 많이 투표장으로 불러내느냐가 관건”이라고 했다. 특히 민주당은 지난 대선, 총선에서 여권의 핵심 지지층이었던 2030세대가 LH 파문 등으로 대거 기권할 것으로 보고 그 몫을 조직표로 채운다는 계획이다. 민주당은 야권과의 조직 대결에 대해서는 “전혀 밀리지 않을 것”이라고 자신하고 있다. 앞서 치러진 지난해 총선과 2018년 지방선거의 압승 때문이다. 현재 서울 지역 의원 49명 중 41명이 민주당 소속이고, 서울 25개 구(區) 중 서초구를 제외한 24곳을 민주당 구청장이 이끌고 있다. 여기에 ‘풀뿌리 조직’의 대명사인 시의원의 경우 전체 109명 중 101명이 민주당 의원이다. 국민의힘 시의원은 6명에 불과하다. 민주당 서울시당 관계자는 “가장 박빙이었던 2010년 서울시장 선거에서 1위와 2위 후보의 차이는 2만6000여 표에 불과했다”며 “이번에도 비슷한 양상이 벌어질 수 있어 대대적인 홍보 캠페인을 벌이는 것”이라고 설명했다.  다만 여권 내에서도 “바람이 불기 시작하면 조직만으로는 한계가 있다”는 말이 나온다. 야권 단일화가 어떤 영향을 미칠지 모르기 때문에 민주당은 국민의힘 오세훈 후보에 대한 공세의 고삐도 놓지 않고 있다.  여기에 차기 대선의 전초전으로 꼽히는 이번 서울시장 선거도 중도층의 표심이 승패를 가를 것이라는 관측도 나온다. 수도권 지역의 한 여당 의원은 “현재 민주당이 수세에 몰린 것은 국민의힘이 잘해서가 아니라, 극성 지지층만 바라보는 민주당에 대한 반감이라는 점을 잊어선 안 된다”며 “자칫 지지층 결집에만 매달렸다가는 오히려 중도층의 외면을 받는 상황이 벌어질 수도 있다”고 말했다. 강성휘 기자 yolo@donga.com  
"
540,540,2021-03-15 3:00,‘LH 사태’가 검찰 탓이라는 이낙연-추미애,동아일보,허동준 기자 ,"

한국토지주택공사(LH) 직원들의 투기 의혹 파장이 확산되는 가운데, 여권 인사들이 잇따라 부동산 의혹에 대한 ‘검찰 책임론’을 제기해 논란이 일고 있다. 더불어민주당 이낙연 상임선대위원장은 14일 페이스북에 “추미애 전 법무부 장관이 (재직 시절) 부동산 범죄를 수사하라고 검찰에 지시했지만 검찰은 아무것도 하지 않았다”고 쓰며 검찰에 화살을 돌렸다. 추 장관은 “‘검찰공화국’과 ‘부패공화국’은 동전의 양면이다. 부동산 시장의 부패에 검찰의 책임이 가장 크다”고 페이스북에 썼다. 추 장관은 또 부산 해운대 엘시티(LCT) 특혜분양 의혹 사건을 언급하며 “이영복(엘시티 회장)과 같은 부동산 불패신화를 조장한 세력은 바로 막강한 수사·기소 권한을 가지고도 제대로 수사·기소를 하지 않고 유착한 검찰”이라고도 했다. LH 의혹에 대한 특검 도입을 제안한 민주당 박영선 서울시장 후보는 이날 서울 종로구 선거캠프 사무실에서 열린 기자회견에서 국민의당 안철수 후보의 ‘검찰 수사 촉구’ 청와대 국민청원 게재와 관련해 “정치에 검찰을 끌어들이는 것이다. 만약 대망을 품고 있었던 검찰총장의 마음이 담겨 검찰이 수사를 지휘하면 과연 공정한 수사라고 시민들이 신뢰하겠느냐”고 공세를 펼쳤다. 이에 대해 국민의힘 김은혜 대변인은 “어떻게든 부동산 투기 수사의 본원인 검찰을 빼려는 여권의 무리수를 보면, 국민들은 이 정부의 힘 있고 ‘빽’ 있는 분들에게 뭔가 켕기는 것이 있긴 있나 보다 생각할 것”이라고 비판했다.허동준 기자 hungry@donga.com  
"
