,date,title,reporter,content,press
8,2021-01-21,이낙연 “이재명 우회전한 것 아냐…협의했고 당과 차이 없어”,정환봉 기자 bonge@hani.co.kr,"이낙연 더불어민주당 대표가 최근 도 차원의 재난지원금 지급 계획을 발표한 이재명 경기도지사의 정책에 대해 “당과 차이가 없다”고 21일 밝혔다. 앞서 이 대표는 경기도 재난지원금 지급 계획을 두고 “왼쪽 깜빡이를 넣고 우회전한다”고 비판한 바 있다. 
이 대표는 이날 <제이티비시>(JTBC) ‘뉴스룸’에 출연해 진행자가 ‘이 지사가 결국 오른쪽으로 방향을 튼 것 아니냐’고 묻자 “그렇지 않다”고 답변했다. 이어 “당에서 경기도뿐 아니라 전국 지자체에 알려드린 지침이 있다. 방역 상황을 고려해 중앙정부와 함께 가자는 것이다”며 “그런 기조에서 협의했고 이 지사도 방역 상황을 신중하게 고려한다고 해서 당과 차이가 없다”고 설명했다. 지난 19일 기자회견에서 이 지사는 당의 입장을 존중하고 방역 상황을 고려해 재난지원급 지급 시기를 결정하겠다고 밝힌 바 있다. 경기도 재난지원금을 둘러싼 여당 대선 주자의 공방이 마무리된 셈이다. 
이 대표는 최근 대선 선호도 조사에서 지지율이 떨어지고 있다는 질문에는 “참 아픈 질문인데 담담하게 생각을 많이 하고 있다. 저의 부족함과 정치의 어려움을 많이 생각하고 있다”고 말했다. 이어 “(특별한 카드로) 반전을 하거나 그런 요행수를 바라진 않는다”고 덧붙였다. 
한편 이 대표는 민주당의 코로나 대책과 관련해 “세 가지를 준비하고 있다”며 정부 방역지침으로 손해를 본 자영업자 등을 위한 손실보상법, 협력이익공유제, 사회연대기금 등을 언급했다. 이어 코로나 교육 격차 해소 방안에 대해서는 저소득층에 컴퓨터나 와이파이를 제공하는 교육 안전망 구축, 초등학교 방과 후 수업 등에 예비 교원을 투입하는 기초학력 지원제도, 비대면 수업이 불가능한 학생을 상대로 한 대면 교육, 4차 산업 교육을 비롯한 공교육 강화 등을 꼽았다. 
오랫동안 여당과 각을 세워 온 윤석열 검찰총장이 정치에 나설 것으로 보냐는 질문에는 “본인 말고는 누가 알겠냐”면서도 “지금까지 발언을 보면 임기를 마친다고 하지 않았냐. 그렇다면 (대통령) 선거에 나서기는 기간이 너무 짧지 않나 생각한다”고 답변했다. ",hankyoreh
37,2021-04-06,“그래도 민주당뿐” “정부 심판의 날” 이낙연-김종인 누가 웃을까,노지원 김미나 오연서 장나래 이지혜 기자 zone@hani.co.kr,"“지난 주말 사전투표로 이미 행동하신 분이 많지만, 그것으로 충분치 않습니다. 아는 분들 모두 전화드리고 문자라도 넣어서 한분당 열분씩 투표장에 모시도록 해주십시오!”(이낙연 더불어민주당 상임선거대책위원장)
 “오세훈 국민의힘 서울시장 후보를 압도적인 표로 당선시켜주십시오. 정부에 경각심을 불러일으켜야 (대선까지) 남은 1년 동안이라도 제대로 된 국정운영을 하지 않을까 합니다.”(김종인 국민의힘 비상대책위원장)
 4·7 재보궐선거를 하루 앞둔 6일, 양당 선거 사령탑인 이낙연 더불어민주당 상임선거대책위원장과 김종인 국민의힘 비상대책위원장이 서울 지역 곳곳을 돌며 마지막 지지를 호소했다. 이번 선거는 두 정치인의 향후 정치 행보와도 직결된다.
 이 위원장은 이날 오전 화상 의원총회에서 2002년 대선 당시 자신의 경험을 소개하며 당원과 지지자들에게 꼭 투표해달라고 호소했다. 그는 2002년 16대 대통령 선거 당시 대변인으로서 투표 당일 중앙당을 지켜야 함에도 주민등록상 주소지인 전남 영광으로 가 투표를 했다며 “‘우리 의원님들, 당원, 지지자 여러분 모두 ‘한표 차로 우리가 이긴다면 여러분 덕분이다’ 이런 생각을 가질 수 있도록 모두 투표에 참여하시고 투표 참여를 독려해주시기 바란다”고 말했다. 이 위원장은 이날 당원들을 상대로 한 전화 선거운동을 통해서도 “바닥 민심이 돌아오고 있다. 민주당이 잘한 일도 있고 잘못한 일도 있다. 잘못이 있으면 인정하고 그것을 개혁할 수 있는 정당은 그래도 민주당뿐이다”라며 투표 참여와 지지를 거듭 강조했다.
 김종인 국민의힘 비상대책위원장은 ‘정권심판론’을 거듭 강조했다. 김 위원장은 이날 강남구 대치역 네거리 유세 현장에서 “내일 선거는 박원순 전 시장의 지난 9년 시정을 심판하고 성폭력을 규탄하는 날”이라며 “지난 4년 동안 문재인 정부가 무엇을 했느냐를 심판해야 한다. 무능하기 때문에 거짓말을 너무 많이 한 정부”라고 목소리를 높였다. 보궐선거 직후 물러날 예정인 김 위원장은 소회를 묻자 “특별한 게 없다. 약속을 지키고 가는 것”이라고 했다. 김 위원장은 선거 다음날인 8일 오전 마지막 비상대책위원회의에서 퇴임 입장을 밝힐 예정이다. <한겨레> 취재를 종합하면, 이후 제주도로 가 당분간 휴식을 취할 것으로 알려졌다. 국민의힘 안에서는 내년 대선을 앞두고 벌써부터 ‘김종인 재추대론’도 나오고 있다.

   한편, 서울시장 보궐선거에 대한 양당의 전망은 크게 엇갈리고 있다. 이낙연 민주당 상임선거대책위원장은 이날 오전 <시비에스>(CBS) 라디오에서 “그동안 말하지 않던 우리 지지자들이 말하기 시작했다”며 “3%(포인트) 내외 박빙 승부를 오래전부터 예측했다. 이길 수도 있을 것”이라고 했다. 반면, 주호영 국민의힘 원내대표는 같은 인터뷰에서 “최소한 15% 이상 이길 것”이라고 압승을 자신했다. ",hankyoreh
41,2021-03-09,"이낙연 퇴임날, 이재명 깜짝응원…윤석열 맞서 ‘우리는 원팀’ 과시",서영지 노현웅 기자 yj@hani.co.kr,"이낙연 더불어민주당 대표가 대선을 1년 앞둔 9일, 192일 만에 대표직에서 물러났다. 이재명 경기도지사는 대선 출마를 위해 대표직을 내려놓는 경쟁자를 ‘응원’하러 국회를 찾아 ‘원팀’을 강조했다. 윤석열 전 검찰총장의 갑작스러운 등장으로 인해 여권 중심으로 일방 전개되던 대선 구도의 균형추가 잡히자 여권 후보들 간의 화합과 단결을 보여주려는 모양새다.
이 대표는 이날 오후 국회 당대표 회의실에서 퇴임 기자간담회를 열어 “대표로 일한 기간은 짧았지만, 많은 일이 있었다”며 “국회에서는 422건의 법안을 포함해 480건의 안건이 통과됐다”고 밝혔다. 특히 이 대표는 고위공직자범죄수사처 설치, 검찰·경찰·국정원 개혁 법안, 공정경제 3법(상법·공정거래법·금융복합기업집단감독법)을 통과시킨 것을 성과로 내세웠다. 이어 이 대표는 “중대재해처벌법을 제정했고, 지방의 자율성을 높이는 지방자치법도 32년 만에 전부개정했다”며 “제주 4·3특별법을 사건 73년 만에 배상·보상의 근거 규정을 두도록 전면개정했고, 5·18 관련 3법도 의결해 역사의 정의를 바로 세웠다”고 강조했다. 이 중에서도 가장 보람된 한순간을 꼽으라면 4·3특별법 통과 순간이라고 했다. 


이 대표는 평소 ‘엄중 낙연’이란 별명을 썩 달가워하지 않았지만 이날은 적극적인 해석을 내놓았다. 그는 “제가 엄중하게 보겠다는 얘기를 했던 시기는 국난극복위원장 때였다. 국난극복 이외의 것에 관여하는 건 도리가 아니라고 판단했다”며 “그런 태도가 틀렸다고 생각하지 않는다”고 했다.
이 대표가 지난해 8월 전당대회에서 승리했을 때만 해도 그는 명실공히 차기 대선 주자 지지율 1위를 달리고 있었다. 하지만 지금은 윤 전 총장, 이 지사에 이어 3위로 처졌다. 이 대표는 “지지율 하락은 저의 부족함과 정치의 어려움 때문이라고 생각한다”고 말했다. 당대표를 맡았던 것이 대선 주자로서 손해라고 생각하지 않냐는 질문에 코로나19 극복이 우선이었다며 “작년 여름으로 되돌아간다고 해도 비슷한 선택을 했을 것이라고 생각한다”고 답했다.
이재명 지사는 이 대표가 마지막으로 주재하는 당무위원회에 ‘깜짝’ 참석해 눈길을 끌었다. 이 지사는 이날 회의에 참석한 뒤 기자들과 만나 “이 대표가 어려운 시기에 큰 성과를 내셨고 당을 안정적으로 잘 이끌어오셔서 당원의 한 사람으로서 박수 쳐 드리러 일부러 왔다”며 “본인이 혹여라도 손실을 봤을 수도 있지만 국민과 당을 위한 헌신이라 생각해서 감사하다고 말씀드렸다”고 덧붙였다. 이 지사는 국회를 떠난 뒤 페이스북에 “앞으로도 코로나 위기 극복과 경제 불평등 해소, 문재인 정부의 성공이라는 같은 뜻을 향해 함께 나아갈 것이다. 우리 민주당은 ‘원팀’일 때 가장 빛난다”고 적었다.
이 대표와 이 지사는 야권의 후보로 급부상한 윤 전 총장에 대한 의견을 묻자 신중한 반응을 보였다. 이 지사는 윤 총장의 사퇴에 대한 의견을 묻는 기자들에게 “지지율이 바람 같은 것이어서 언제 또 갈지 모른다. 검찰개혁이라고 하는 시대적 대의에 좀 더 충실했으면 어땠을까 생각한다”고 말했다. ‘정치인 윤석열’에 대한 평가를 묻자 “아는 게 별로 없다. 구태정치를 하지 말고 미래지향적인 정치를 해주시면 우리 국민과 국가에도 도움이 될 것”이라고 했다. 이 대표는 기자간담회에서 윤 전 총장에 대한 의견을 묻자 “국민의 마음은 늘 움직이는 것이다. 매일매일의 등락에 대해선 그때마다 논평해야 된다고 생각하지 않는다”고 말했다. ",hankyoreh
93,2021-02-02,‘신복지제도’ 꺼내 든 이낙연 “아동수당 18살까지”,김원철 노현웅 기자 wonchul@hani.co.kr,"이낙연 더불어민주당 대표가 2일 코로나19 사태로 심화될 양극화를 해소하기 위해 생애주기별 소득지원 등을 더 두텁게 보장하는 ‘신복지제도’ 구상을 발표했다. 대표 임기 만료를 한달여 앞둔 이 대표가 차기 대권 도전을 염두에 두고 ‘격차 해소’를 위한 ‘이낙연표 복지’를 제시한 것이라는 해석이 뒤따른다.
이 대표는 이날 오전 국회 교섭단체대표 연설에서 “세계은행과 국제노동기구 등은 ‘보편적 사회보호’의 필요성을 2015년에 제기했다”며 “‘보편적 사회보호’를 한국에 맞게 적용하기 위해 ‘국민생활기준 2030’을 제안한다”고 말했다. 국민생활기준 2030은 소득, 주거, 교육, 의료, 돌봄, 환경 등의 영역에서 최소한의 인간다운 삶이 유지되도록 ‘최저기준’의 방어망을 치고, 중산층 수준의 ‘적정기준’을 보장하는 내용으로 구성돼 있다. 이 대표는 “최저기준은 가까운 시기에, 적정기준은 2030년까지 달성하자”며 “이를 위해 ‘국민생활기준 2030 범국민특별위원회’를 설치하겠다”고 밝혔다.
이 대표는 구체적인 정책도 내놨다. 그는 “아동, 청년, 성인, 노년층 등 생애주기별 소득지원에 나서야 한다”며 “현재 만 7살까지인 아동수당을 만 18살까지 확대하자”고 말했다. 또 질병 등 건강 문제로 치료를 받는 동안 건강보험으로 근로소득을 보전해주는 ‘전 국민 상병수당’ 도입, 온종일 돌봄 비율 40% 확대, 시·군·구별 공공 노인요양시설 1곳 이상 설치 등도 제안했다. 이 대표는 연설이 끝난 뒤 기자들과 만나 “문재인 정부 들어서 당이 제시한 최초의 국가적 비전”이라고 의미를 부여했다.
이 대표의 ‘대선 어젠다’ 성격을 띤 복지제도 구상 발표에 당내 대권 경쟁자인 이재명 경기지사는 “신복지제도는 우리가 마땅히 가야 할 길”이라며 환영했다. 이 지사는 자신의 페이스북을 통해 “코로나19로 서민의 유리 바닥이 무너지고 있는 이때, 국민의 최소한의 존엄을 지켜내는 일에 혼신을 다해야 한다는 점을 분명히 했다고 생각한다”고 평가했다. 
조혜민 정의당 대변인도 논평을 내어 “복지국가로 나아가기 위한 진일보한 비전 제시라는 점에 환영한다”며 “증세 없는 복지는 가능하지 않기에 보다 구체적이고 적극적인 복지 증세 방안이 필수적으로 제시되어야 할 것”이라고 밝혔다. 그러면서 “세계 10위권의 경제선진국인 만큼 2030년으로 목표를 세울 것이 아니라 한시라도 빨리 이뤄질 수 있도록 이를 위한 논의가 시작되어야 한다”고 덧붙였다. 
반면 최형두 국민의힘 원내대변인은 “‘국민생활기준 2030’, ‘보편적 사회보호’라며 말 잔치는 무성했지만, 복지를 뒷받침하는 국고는 결국 국민과 기업의 경제활동으로 채우는 것”이라며 “‘국민과 기업이 있어 나라가 있다’는 ‘경제 우분투’도 보여주기 바란다”고 논평을 냈다. ",hankyoreh
127,2021-01-15,[한국갤럽] 대선주자 이재명 23% 윤석열 13% 이낙연 10%,김미나 기자 mina@hani.co.kr,"차기 정치지도자 선호도 여론조사에서 이재명 경기도지사의 독주 체제가 뚜렷해지고 있다.
한국갤럽이 지난 12~14일 전국 성인 1000명에게 ‘차기 대통령으로 누가 좋다고 생각하는지’를 물어 15일 공개한 결과(신뢰수준 95%, 표본오차 ±3.1%포인트)를 보면, 이 지사가 23%로 가장 높게 나타났다. 윤석열 검찰총장이 13%, 이낙연 더불어민주당 대표가 10%의 선호도를 보였다. 안철수 국민의당 대표와 홍준표 무소속 의원이 각각 3%, 국민의힘 소속 유승민 전 의원이 1%였다. 한달 전 조사와 비교하면 이 지사와 홍 의원의 선호도가 각각 3%포인트, 2%포인트 상승했고, 이 대표는 6%포인트 하락했다. 오차범위 안에 있긴 하지만, 한국갤럽 조사 기준으로 이 대표가 윤 총장보다 낮게 나온 것은 이번이 처음이다.
한국갤럽은 “지난해 7월까지는 이 대표의 선호도가 20%대 중반으로 단연 선두였으나, 8월에 이 지사가 급상승하면서 여권 인물 선두 경쟁 구도가 형성됐다”며 “최근 한달간 이 지사는 재상승, 이 대표는 급락하면서 양자 격차가 커졌다”고 설명했다.
한국갤럽이 이번 조사에서 문재인 대통령에 대한 국정 지지도도 함께 물은 결과, 긍정 평가가 38%, 부정 평가가 53%를 기록했다. 대통령 국정지지도는 지난해 12월 2주차, 지난주 조사에 이어 이번주에도 취임 뒤 최저치를 기록했다. 또 ‘2022년 대통령선거와 관련해 어떤 의견에 동의하는지’ 조사한 결과, ‘현 정권의 유지를 위해 여당 후보가 당선돼야 한다’는 응답은 39%, ‘정권 교체를 위해 야당 후보가 당선돼야 한다’는 응답은 47%였다고 밝혔다. 자세한 조사 개요와 결과는 한국갤럽·중앙선거여론조사심의위원회 누리집을 참고하면 된다.",hankyoreh
148,2021-03-05,변창흠 부른 이낙연 “LH 투기의혹…심할 정도로 매섭게 얘기했다”,서영지 기자 yj@hani.co.kr,"더불어민주당 이낙연 대표가 한국토지주택공사(LH) 직원들의 3기 새도시 사전 투기 의혹과 관련해 변창흠 국토교통부 장관을 만나 “본인이 누구보다도 먼저 조사받길 자청할 정도의 책임 의식을 가져야 한다”고 5일 말했다. 서울시장 재보선을 앞두고, 민주당은 신도시 투기 의혹이 가뜩이나 악화한 부동산 민심에 불을 지를까 우려하고 있다. 
 이 대표는 이날 오전 최고위원회가 열리기 전 국회에서 변 장관과 장충모 한국토지주택공사 사장 직무대행을 면담했다. 이후 이 대표는 기자들과 만나 변 장관에게 “추후라도 조직을 두둔하는 인상을 주는 것은 절대 안 된다. 국민의 분노와 실망을 훨씬 더 감수성 있게 받아들여야 한다고 말했다”고 밝혔다. 한국토지주택공사 직원들의 사전 투기 의혹이 벌어진 시기가 변 장관이 엘에이치 사장으로 재직한 시기(2019년 4월~2020년 12월)와 상당히 겹쳐 현재 변 장관에 대한 책임론도 부각되고 있다. 이 대표는 “정부가 전수조사하겠다고 하니까 우선 지켜보겠다. 그에 임하는 국토부와 한국토지주택공사의 자세에 대해 심할 정도로 매섭게 얘기했다”고 말했다. 변 장관은 30분 정도 진행된 이 날 면담에서 그간의 경위와 후속대책 등을 보고했다. 변 장관은 면담 뒤 “어떠한 선입견도 갖지 말고, 철저히 원칙적으로 조사해 그 결과를 국민에게 공개하라는 당부를 받았다”고 밝혔다.
 민주당 국토교통위원회 위원들도 이날 기자회견을 통해 “철저한 진상조사와 책임자 처벌, 부당한 이득의 환수, 재발방지를 위한 제도개선까지 현미경처럼 들여다보고 과하다 싶을 정도로 책임추궁을 하겠다”고 강조했다. 이들은 “국토위는 국토부와 한국토지주택공사를 비롯한 그 산하기관들을 감시할 책무를 지니고 있다. 최근 제기된 직원들의 투기 의혹과 이에 대한 국민의 공분에 민주당 국위 토위원 전원은 책임을 다하지 못한 것에 대해 부끄러움을 감출 수 없다”며 “머리 숙여 사과드린다”고 말했다. 이어 이들의 투기행위를 ‘중대범죄’라고 규정하며 “국무총리실이 추진하고 있는 3기 신도시 전수조사가 직접 업무 관련 직원뿐 아니라 소속된 모든 직원과 그 가족들, 필요하다면 퇴직자뿐만 아니라 불법적 토지취득자에 대해서는 신분을 막론하고 전면적 조사가 되도록 하겠다. 조사를 신속히 마무리하고 그 결과를 국민에게 하나도 빠짐없이 신속히 공개하겠다”고 했다. 야당을 향해 투기 의혹에 대한 감독과 법제도 개선을 함께 하자고도 제안했다. 이들은 “정부의 3기 신도시 전수조사를 감독하고, 신도시 정책을 포함해 정부의 주택공급정책이 국민에게 직접적 혜택으로 돌아갈 수 있도록 여야가 머리를 맞대고 신속히 대응해야 한다”며 “금번 투기 의혹의 진상규명과 재발방지책 마련을 함께 할 것을 제안한다”고 밝혔다. 다만 야당의 국정조사 요구와 관련해 민주당 국토위 간사인 조응천 의원은 “국정조사가 현재 상황에서 도움이 된다고 보지 않는다. 지금은 신속히 사건 전모를 파악하는 진상규명을 해야 한다”며 부정적인 의견을 피력했다. 
 한편 이 대표는 당 윤리감찰단에 민주당 소속 선출직 공무원 전원에 대해서도 강도 높은 전수조사를 하도록 지시했다. 최인호 수석대변인은 “선출직 공직자, 공공기관, 유관기관 종사자 등 누구라도 이런 불법투기, 불법부패 등이 절대 일어나지 않도록 강도 높은 대책을 세울 것”이라고 말했다. ",hankyoreh
191,2021-04-06,“특권층이 득세하는 서울로 퇴보”…이낙연의 절박한 외침,노지원 기자 zone@hani.co.kr,"“지난 주말 사전투표로 이미 행동하신 분이 많지만, 그것으로 충분치 않습니다. 아는 분들 모두 전화 드리고 문자라도 넣어서 한 분당 열 분씩 투표장에 모시도록 해주십쇼!” 
 이낙연 더불어민주당 상임선거대책위원장이 4·7 보궐선거를 하루 앞둔 6일 서울 시내 곳곳을 돌며 시민들을 만나 ‘투표에 참여해달라’고 호소했다. 대선주자이자 선대위원장으로서 선거를 진두지휘한 그의 목소리에는 절박감이 배어있었다. 
 이 위원장은 이날 오전 화상으로 열린 의원총회와 민주당 당원들을 상대로 한 전화 선거운동을 통해 주변 지인에게 투표를 독려해달라고 요청했다. 의총에서는 2002년 대선 당시 민주당 대변인으로서 투표 당일 서울에 있는 중앙당을 지켜야 함에도 주민등록상 주소지인 전남 영광으로 내려가 투표를 했다며 “‘만약 한 표차로 이긴다면 내 덕분이라고 생각할 수 있겠구나’ 그런 마음을 가졌던 기억이 난다. 이번 선거에 왜 그때 생각이 났는지 여러분이 짐작하실 것”이라고 했다. 이어 “우리 의원님들, 당원, 지지자 여러분 모두 ‘한 표차로 우리가 이긴다면 여러분 덕분이다’ 이런 생각을 가질 수 있도록 모두 투표에 참여하시고 이분들께 투표참여를 독려해주시기 바란다”고 강조했다. 서울시장 막판 판세를 ‘박빙 승부’로 판단하고 지지층 결집을 거듭 강조한 것이다. 권리당원과의 통화에서는 “바닥 민심이 돌아오고 있다”며 “민주당이 잘한 일도 있고 잘못한 일도 있다. 그러나 잘못이 있으면 인정하고 그것을 개혁할 수 있는 정당은 그래도 민주당 뿐이다. 이번에도 그렇게 하겠다”고 말했다. 
 유세현장에서는 오세훈 서울시장 당선에 따른 ‘기득권의 반동’을 우려했다. 이 위원장은 “어떤 사람에게 표를 주면 서울은 특권층과 기득권층이 다시 득세하는 그런 서울로 퇴보하게 될 것”, “내일 선거가 잘못되면 서울은 지도층부터 부동산으로 돈 벌려는 사람들이 다시 득세하는 그런 어두운 사회가 될 것”이라며 지지를 호소했다.  ",hankyoreh
423,2021-03-02,"대표 물러나는 이낙연, 선대위원장 승부수", 노지원 기자 zone@hani.co.kr,"대선 출마를 위해 9일 더불어민주당 대표직에서 물러나는 이낙연 대표가 곧바로 4·7 재보궐선거대책위원장을 맡아 선거를 진두지휘한다. 민주당 역시 재보선 준비체제로 재편될 예정인 만큼, 이 대표로선 직을 그만 둔 뒤에도 한 달 가까이 실질적인 당의 간판으로 집권여당을 이끌게 되는 셈이다.

“선대위원장으로 한 달 정도 노력봉사”

 이 대표는 2일 울산 남구에 있는 민주당 울산시당의 4·7 울산 재보궐선거 필승 결의대회 및 원팀 서약식에 참석해 “대표를 그만두면 선대위원장으로 한 달 정도 노력 봉사 해야할 것 같다”고 말했다. 오영훈 당대표 비서실장은 <한겨레>와 한 통화에서 “대표에 취임할 때부터 그런 생각을 갖고 있었다. 대선을 앞두고 치러지는 큰 선거인 만큼 자신이 책임져야 한다는 생각이 강하다”고 전했다. 
 이 대표의 사퇴는 ‘당 대표가 대선에 출마하려면 대선일(2022년 3월9일) 1년 전까지 사퇴해야 한다’는 당헌 조항에 따라 이뤄지는 것이다. 이른바 ‘당권-대권 분리’ 조항이다. 문제는 이 대표가 당 대표직에 취임한 뒤 대선주자 선호도가 지속적으로 하락해왔다는 점이다. 당 대표를 맡기 전 한때 40%선을 넘나들던 그의 선호도는 10%대 초반까지 떨어졌다. 이 상태로 대표직을 물러날 경우 대선주자 경쟁에서 반등의 계기를 찾기가 쉽지 않다. 따라서 선대위원장 타이틀로 치르는 4월 재보선은 이 대표에게 대선주자로서의 최종 시험대이자 지지율 회복의 마지막 기회다. 서울·부산시장 선거에 전력을 쏟아부어야할 이유다.
 서울은 물론 선호도 조사에서 야당 후보에 10%포인트 이상 뒤처지고 있는 부산 시장 선거까지 승리로 이끈다면, 이 대표로선 ‘추-윤 갈등’과 ‘사면 파동’ 등을 거치며 안팎의 의구심이 커진 지도력을 회복할 동력을 확보하게 된다. 하지만 서울과 부산에서 모두 패한다면 대선 주자로서 치명상을 입게 된다. 서울을 승리하고 부산에서 패한다면 대선주자로서의 생명은 이어갈 수 있겠지만, ‘대세 하락’ 국면을 돌려놓기는 쉽지 않다.

서울·부산 모두 패배 땐 정치적 치명상

 이 대표는 다만 재보선 이후에도 ‘가덕도 신공항 추진 특별위원회’ 위원장을 계속 맡는다. 호남 출신 대선후보로서 부산·울산·경남 민심을 공략하기 위해서는 가덕도 신공항이란 정책적 교두보가 필요하기 때문이다. 
 이 대표는 이날 자신이 2012년 대통령 선거 당시 ‘울산 담당 국회의원’이었다는 점을 강조하면서 “울산 공공의료원을 반드시 유치하고 이를 위해 예비타당성조사 면제도 추진하겠다”고 약속했다. 오후에는 부산으로 이동해 부산시장 후보자 경선대회에 참석했다.",hankyoreh
466,2021-01-20,"“거리두기 중 소비 독려는 상충”…이낙연, 이재명 첫 공개 비판",서영지 기자 yj@hani.co.kr,"이재명 경기도지사가 추진하는 ‘재난기본소득’을 놓고 이낙연 더불어민주당 대표가 취임 이후 처음으로 공개적 비판을 했다. 
이 대표는 19일 <문화방송>(MBC) 저녁 뉴스 방송에 출연해 경기도민 모두에게 똑같이 10만원의 지역화폐를 지급하는 방안에 대해 정부 정책과 모순되는 지점이 있음을 지적했다. 그는 “지금 거리두기 중인데, 소비하라고 말하는 것이 마치 왼쪽 깜빡이를 켜고 오른쪽으로 가는 것과 비슷할 수가 있다”며 “그런 상충이 없도록 하는 방법이 있을 것”이라고 언급했다. 4차 긴급재난지원금 지급 논의가 여전히 이르다고 보느냐는 데 대해서도 “3차 재난지원금도 (지급이) 아직 끝나지 않았다”고 선을 그었다. 
앞서 김종민 민주당 최고위원이 지난 13일 최고위원회의에서 이 지사를 겨냥해 “방역 당국과 조율되지 않은 성급한 정책은 자칫 국가 방역망에 혼선을 줄 수 있다”고 반대 입장을 밝힌 적은 있지만 이 대표가 직접 반대한 것은 이례적인 일이다. 정부가 ‘사회적 거리두기’를 엄격하게 시행하는 상황에서 여당 대표가 방역의 중요성을 강조한 것은 납득할 수 있는 일이지만, 최근 이 지사가 각종 여론조사에서 이 대표를 앞질러 나가는 데 대한 견제의 성격도 깔린 것으로 보인다.
민주당은 전날 비공개 최고위원회에서 ‘지방자치단체의 자율권을 존중하지만 정부의 방역 상황을 충분히 고려해야 한다’는 공식적인 입장을 정리하고 홍익표 정책위의장이 이를 이 지사에게 전달했다. 이에 이 지사는 다음날인 19일 ‘재난기본소득 관련 당 공식 입장에 대한 입장’을 내어 “당의 의견을 존중하며, 방역 상황을 충분히 감안해 재난기본소득의 집행 시기와 지급 대상, 수단 등을 결정하겠다”고 밝혔다. 그러나 실제 지급 여부에 대해서는 명확히 밝히지 않은 상태다. ",hankyoreh
470,2021-01-05,‘이러다 대선주자 잃을라’…민주당 중진들 이낙연 ‘엄호’, 노지원 기자 zone@hani.co.kr,"민주당 중진들이 이낙연 대표가 제안한 전직 대통령 사면은 문재인 대통령의 짐을 덜어주려는 것이라고 옹호하고 나섰다. 이 대표의 사면 제안에 문 대통령 열성 지지층을 중심으로 ‘대표직 사퇴론’까지 나오는 등 비판이 과열 양상을 보이자, 자칫 당의 유력 대선주자를 잃을 수도 있다는 위기감에 당원과 지지층 설득에 나선 것이다.
 박수현 민주당 홍보소통위원장은 5일 <와이티엔>(YTN) 라디오 인터뷰에서 “개인적으로 두 전직 대통령 사면에 대해 찬성하지 않는다”면서도 “사면을 새해 벽두에 놀랍게 꺼낸 이낙연 당 대표, 집권 여당의 당 대표의 고민을 들여다 볼 필요가 있다”고 말했다. 그러면서 “아마 올해 1월14일에 예정돼 있는 박근혜 전 대통령에 대한 재상고심 판결 이후에는 원하든 원하지 않든 사면에 대한 얘기들이 여기저기서 나올 것”이라며 “결국 문재인 대통령도 집권 5년차인 올해와 마지막으로 내년에, 집중적으로 이 문제에 부딪히게 되실 것이고, 어느 형태로든 답변을 하실 수밖에 없는데 아마 (이 대표가) 집권여당 대표로서의 고민과 대통령의 짐을 덜어드려야겠다는 고민들이 있었을 것이라고 이해 해볼 수 있다”라고 했다. 
 같은 당 김한정 의원도 비슷한 해석을 내놨다. 김 의원은 이날 <시비에스>(CBS) 라디오 인터뷰에서 “지금 사면론은 이낙연 대표가 꺼내서 공론화하는 과정이 있지만 본질적으로 문재인 대통령님의 결단”이라면서 “두 대통령의 사면은 어차피 해야 된다”고 말했다. 김 의원은 “이낙연 대표가 당대표로서 해야 될 일을 했다고 생각하고 있다”며 “남들이 했으면 하지만 하기 어려운 일들도 해 나가는 것이 리더십”이라고 강조했다. 이달 중순께로 예정된 문재인 대통령의 새해 기자회견과 관련해 김 의원은 “대통령이 국민통합, 또 직접 언급을 하실지 안 하실지 모르겠지만 지금 이런 전직 대통령 (사면 관련) 국민적 논란에 대해서 말씀이 있으실 걸로 알고 있다”고 말했다.
 이날 이 대표의 사면론을 감싼 박 위원장과 김 의원은 공교롭게도 ‘비문재인계’로 분류된다. 박 위원장은 ‘문재인 청와대’의 초대 대변인을 지냈지만 안희정 전 충남지사 추천 몫으로 청와대에 입성한 케이스였다. 김한정 의원은 김대중 정부 시절 청와대 비서관을 지낸 동교동 인맥이다.",hankyoreh
