,date,title,reporter,content,press
8,2021.04.05,"이낙연 “백신, 우리가 세계의 모델 될 것...불안 퍼뜨리는 언론 개탄”",김은경 기자,"이낙연 더불어민주당 공동상임선대위원장이 5일 “백신 불안을 퍼뜨리고 증폭시키는 일부 언론이 몹시 개탄스럽다”고 했다.
이 위원장은 이날 서울 성동구청에 있는 코로나 백신 예방접종센터를 방문한 뒤 페이스북을 통해 이같이 밝혔다.
그는 “(센터에서) 접종 받으신 1500여분 가운데 불편을 호소한 분은 한 분도 계시지 않았다”며 “접종 후 대기하시던 할머니는 ‘행복해요’라고 말씀하셨다”고 했다. 이어 “어르신 여러분은 안심하고 접종받으시기 바란다”고 했다.
이 위원장은 “접종 코스는 완벽하다”며 “접종센터를 방문, 순서에 따라 몇 가지 절차를 거쳐 접종받고 접종 후 이상이 있는지 확인하기 위해 30분간 대기한 뒤 귀가(하는) 모든 과정이 빈틈없고 편리하게 준비됐다”고 했다.
이 위원장은 현장 방문에서는 “시간 낭비나 혼선 없이 잘 이뤄지는 것 같다”며 “접종 방식, 절차에 이르기까지 한국의 대응이 세계의 모델이 될 것 같은 생각이 든다”고 말했다. 그러면서 “저는 언제쯤이나 순서가 돌아옵니까”라고 했다.
지난 1일부터 전국 49개 지역 예방접종센터에서는 75세 이상 고령자와 노인 시설 입소자 및 종사자를 대상으로 화이자 백신 접종을 실시하고 있다. 질병관리청 예방접종대응추진단은 “우선순위는 코로나 고위험군과 방역체계·사회필수체계 유지를 위한 대상군 등으로, 정해진 원칙에 따라 접종을 하고 있다”며 “예방접종률 향상, 국민 불안감 해소와 신뢰도 제고 등을 위해 필요한 경우 대상을 정해 시행하고 그 결과를 예방접종전문위원회에 보고한다”고 밝혔다.",조선일보
77,2021.03.30,"이낙연 “윤석열, 계산한 듯한 행보… 누군가 기획한듯”",김은경 기자,"이낙연 더불어민주당 상임선대위원장이 30일 윤석열 전 검찰총장에 대해 “중간중간 누가 계산한 듯한 행보를 한다는 인상이 있다”고 했다.
이 위원장은 이날 YTN 라디오 ‘황보선의 출발 새아침’에서 윤 전 총장의 내년 3월 대선 출마 가능성에 대한 질문을 받고 “어디까지 갈지는 모르지만, 그 길에 들어섰다고 보는 게 상식일 것”이라며 이같이 답했다.
이 위원장은 “(윤 전 총장이) 어제도 한 말씀을 했더라”며 “그런 식으로 누군가의 기획이 있는 것 같다는 생각이 든다”고 했다.
전날 윤 전 총장은 본지 통화에서 4·7 서울·부산시장 보궐선거에 대해 “권력을 악용한 성범죄 때문에 대한민국 제1, 제2 도시에서 막대한 국민 세금을 들여 선거를 다시 치르게 됐다”며 “상식과 정의를 되찾는 반격의 출발점”이라고 한 바 있다.
이 위원장은 추미애 전 법무장관이 최근 윤 전 총장의 지지율을 두고 ‘윤두사미’(윤석열과 용두사미의 합성어)가 될 것이라고 한 데 대해선 “글쎄요, 가 봐야 안다”고 답했다.
이 위원장은 한때 차기 대선 지지율 1위를 달렸으나 이명박·박근혜 전 대통령 사면 발언 이후 하락세를 타고 있다. 29일 발표된 오마이뉴스-리얼미터 조사에서 이 위원장은 11.9% 지지를 얻어 윤 전 총장(34.4%), 이재명 경기지사(21.4%)에 이어 3위를 기록했다.",조선일보
82,2021.03.25,이낙연 “임종석 ‘박원순 발언' 신중했으면”,김은경 기자,"이낙연 더불어민주당 상임선거대책위원장이 25일 고(故) 박원순 전 서울시장을 치켜세우는 글로 최근 논란이 된 임종석 전 대통령 비서실장을 향해 “신중했으면 한다”고 말했다.
이 위원장은 이날 MBC라디오 ‘김종배의 시선집중’ 인터뷰에서 “무슨 안타까움이 있었겠지만 그러나 이 국면에서는 (박영선) 후보의 생각을 존중하는 것이 옳다고 생각한다”며 이같이 말했다.
임 전 실장은 지난 23일부터 연이틀 페이스북에 “박원순은 내가 아는 가장 청렴한 공직자였다”며 ‘박원순 재평가’를 강조하는 글을 올렸다. 성추행 피해자에 대한 2차 가해 논란이 일었고, 민주당 박영선 서울시장 후보는 “(성추행) 피해 여성의 상처를 건드리는 발언은 자제해주는 게 좋지 않을까 생각한다”고 했다.
이 위원장은 최근 여론조사에서 국민의힘 오세훈 후보가 우세를 보이는 데 대해 “선거는 지지도가 수렴해가는 과정이 많다”며 “결국 박빙의 승부가 될 것으로 보고 유권자들께 절박하게 호소할 생각”이라고 했다.
이 위원장은 윤석열 전 검찰총장의 차기 대권 지지율 급상승에 대해선 “민심이 몹시 출렁이고 있다고 보고 있다”고 했다. 윤 전 총장의 정치활동을 평가해 달라는 질문에는 “이미 그런 (정치) 행보에 들어선 것으로 보인다”며 “누구든 자기가 가진 것을 내놓고 국민들의 선택을 받는 것이니까 평가하고 말고가 아니고 그 분 나름의 장단점이 있을 것”이라고 했다.",조선일보
98,2021.04.12,"윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%… 차기 대선주자 선호도",김동하 기자,"차기 대선주자 여론조사에서 윤석열 전 검찰총장이 36.3%의 선호도로 이재명 경기지사(23.5%)에 오차 범위 밖에서 앞서는 것으로 12일 나타났다.
리얼미터가 JTBC 의뢰로 지난 10~11일 전국 18세 이상 1016명을 상대로 차기 대선주자 선호도를 조사한 결과다.
둘 사이 격차는 12.8%포인트로 오차범위(95% 신뢰수준에 ±3.1%포인트) 밖이다. 이낙연 전 더불어민주당 대표가 12.3%로 뒤를 이었다.
이어 안철수 국민의당 대표 5.1%, 무소속 홍준표 의원 4.9%, 추미애 전 법무장관 3.2%, 정세균 국무총리 2.9%, 유승민 전 국민의힘 의원 2.3%, 임종석 전 대통령 비서실장 1.5%, 김종인 전 국민의힘 비대위원장 0.6% 등이었다.
윤 전 총장은 연령대별로 60대 이상(47.6%), 50대(41.4%), 30대(34.3%) 등에서 높은 지지를 받았다. 40대에서는 이 지사의 지지율이 31.7%로 가장 높았다. 지역별로는 대구·경북(49%), 대전·세종·충청(44.6%), 서울(38.8%), 부산·울산·경남(38.7%) 등에서 윤 전 총장 지지도가 높았다. 광주·전남·전북에서는 이 전 대표(25.4%)가 가장 높은 지지율을 기록했다.
한편 가상 양자대결에서는 윤 전 총장이 47.4%로, 이 지사(36%)에 앞서는 것으로 조사됐다. 윤 전 총장은 이 전 대표와의 대결에서도 50.9%대 31.4%로 앞섰다.
윤 전 총장의 거취와 관련, 국민의힘에 입당해 출마해야 한다는 의견이 43.1%, 제3세력으로 출마해야 한다는 의견이 27.2%였다.
자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다.",조선일보
161,2021.04.20,"‘MB명당’엔 정세균, ‘文명당’엔 이낙연",김형원 기자,"여야(與野) 대선 주자들이 과거 대통령 당선자들이 캠프를 꾸렸던 빌딩에 대선 캠프를 마련하고 있다. 주로 국회가 있는 여의도 주변이다. 대통령을 배출했던 빌딩은 ‘명당’으로 통하면서 여기에 입주하려는 경쟁도 치열해지고 있다.
정세균 전 국무총리는 국회의사당에서 도보 10분 거리에 있는 용산빌딩에 대선 캠프 사무실을 지난달 임차 계약했다. 현재 내부 공사가 진행되는 상황으로 내달 초 더불어민주당 전당대회가 마무리되면 정 전 총리 인사들이 이 사무실에서 일할 계획이다. 민주당에선 김영주, 안규백, 이원욱 의원이 정 전 총리를 돕고 있다. 측근으로 꼽히는 국무총리실 김성수 비서실장도 향후 캠프에 합류할 전망이다.
용산빌딩은 정치권에선 길지(吉地)로 손꼽힌다. 2007년 대선 경선 직전 이명박 전 대통령이 이곳에 캠프 사무실을 차렸다. 이날 국회에서 열린 대정부질문에서도 정 전 총리의 대선 캠프 관련 질의가 나왔다. 국민의힘 정진석 의원은 홍남기 국무총리 직무대행에게 “정 전 총리가 재직 기간 중에 여의도 명당에 대선 캠프 사무실을 마련한 것은 비정상적인 모습 아니냐”고 지적했다.
이낙연 전 민주당 대표는 지난해 6월 서여의도 대산빌딩에 사무실을 차렸다. 이곳은 대선에서 패배한 이후 민주당이 ‘미니 당사’를 뒀던 곳이다. 이 전 대표 측은 2017년 대산빌딩 대선 캠프에서 문 대통령이 정권 교체를 이뤘다는 점에 의미를 둔다. 이 전 대표는 문 대통령의 초창기 대선 캠프가 있던 서울 마포구 광흥창역 인근에 ‘사랑방’ 격의 사무실도 따로 마련했다. 여권 관계자는 “문심(文心)이 머물 곳은 바로 이낙연 캠프라는 의미 아니겠느냐”고 했다. 이 전 대표는 박광온, 이개호, 윤영찬, 양기대 의원 등이 돕고 있다.
이재명 경기도지사 대선 캠프에는 정성호, 김영진, 이규민 의원 등의 합류가 유력하다. 이한주 경기연구원장도 측근으로 알려졌다. 이 지사 측은 경기 수원에 자리한 도지사 공관을 활용하고 있다. 다만 지난해 경기도청 서울사무소가 대통령 3명을 배출한 전통적인 ‘명당’인 대하빌딩으로 옮겼다.
대하빌딩에는 1997년 김대중 전 대통령, 2007년 이명박 전 대통령 외곽 조직, 2012년 박근혜 전 대통령 캠프가 있었다. 조순·고건 서울시장 캠프도 이곳을 거쳐 갔다. 반기문 전 유엔 사무총장은 대하빌딩에서 대선 준비에 나섰지만 불출마 선언한 뒤 사무실 계약을 해지한 것으로 전해졌다.
야권 대선 주자들도 경쟁적으로 여의도에 대선 전초 기지를 마련하고 있다. “마지막 도전의 배수진을 쳤다”는 유승민 국민의힘 전 의원은 지난해 일찌감치 서여의도 태흥빌딩에 ‘희망22’ 캠프를 꾸렸다. 원희룡 제주도지사도 국회의사당 주변에서 대선 캠프를 물색하는 상황이다. 현재 제주도청 서울사무소는 국회 인근 동우국제빌딩에 입주한 상태다. 무소속 홍준표 의원 외곽 조직 사무실도 노무현 대통령 캠프가 있던 금강빌딩에 자리하고 있다. 야권의 유력 대선 주자인 윤석열 전 검찰총장은 아직 공식적인 캠프는 출범하지 않고, 정중동 행보를 이어가고 있다.
대선 캠프는 공식적인 당(黨) 기구가 아니라 대선 주자들이 선거를 앞두고 단기간 활용하는 ‘사무실 용도’다. 하지만 이곳에서 실무를 담당하는 핵심 참모들이 대선 이후 청와대 요직으로 대거 이동한다는 점에서 정치적 의미가 있다. 문 대통령의 핵심 참모 그룹인 ‘마포 광흥창팀’이 대표적이다. 임종석 전 청와대 비서실장, 양정철 전 민주연구원장, 탁현민 청와대 의전비서관뿐만 아니라 현재 민주당 의원으로 활동하는 윤건영 전 청와대 국정상황실장·한병도 전 청와대 정무수석 등도 청와대로 들어갔다.",조선일보
163,2021.04.02,"이낙연, 오세훈 겨냥 “페라가모? 프로스펙스는 아는데…”",김승재 기자,"더불어민주당 이낙연 상임 선대위원장이 2일 국민의힘 오세훈 서울시장 후보를 겨냥해 “수년간 서울시민들께서는 사람 중심의 서울시를 가꾸어 왔다”며 “앞으로 더 사람 중심으로 가야 하는데 잘못하면 그게 후퇴할 수 있다”고 했다.
이 위원장은 이날 민주당 유튜브 ‘델리민주’에 출연해 이같이 말하며 “용산참사나 내곡동의 경작자들에 대해 하는 말씀을 보면 그분(오 후보)의 인식 자체가 그러는 것 같다”고 했다.
진행을 맡은 서영교 의원이 “오늘 (TBS라디오) 인터뷰에서 생태탕집 주인과 아들이 (오 후보가) 키가 크고 잘생겼다더라”라고 하자 이 위원장은 “저 같은 사람이 갔으면 기억을 못 했을지 모르겠다”며 “페라가모?”라고 했다. 서 의원이 “페라가모 아느냐”고 묻자 이 위원장은 “글쎄 프로스펙스는 아는데…”라고 했다.
앞서 이날 오전 내곡동 땅 인근 생태탕집 주인과 아들이 TBS라디오에 출연해 “2005년 6월 하얀 면바지를 입고 페라가모 구두를 신은 오세훈 의원이 식사하고 갔다”고 말했다. 여당은 이들의 인터뷰를 두고 “오 후보가 2005년 처가의 내곡동 땅 측량 당시 현장에 있었다는 증거”라고 주장하고 있다.
이 위원장은 이날 오 후보가 지난 20대와 21대 총선에서 서울 종로와 광진을 지역구에서 각각 정세균 국무총리와 고민정 의원에게 여론조사에서 앞서다 실제 결과에선 패배했다는 점을 거론하며 “이상하게 여론조사 기관을 부끄럽게 만드는 일에 늘 오 후보가 있었다”고 했다.",조선일보
182,2021.04.07,이낙연 “최선 후보 아니면 차선을” 김종인 “시민 분노 상당”,김승재 기자,"4·7 서울·부산시장 선거 당일 여당 지도부는 “더 겸손한 자세로 성찰하겠다”며 읍소에 나섰고, 야당 지도부는 “시민 분노가 상당하다”며 자신감을 보였다.
더불어민주당 이낙연 상임 선대위원장은 7일 국회 기자회견에서 “선거 과정에서 국민 여러분께 사과도 드리고 약속도 했다. 모든 말씀을 충실히 이행하겠다”며 “간절하고 절실한 마음으로 국민의 선택을 기다리겠다”고 했다. 그러면서 “최선의 후보가 아니면 차선의 후보라도 골라달라”고 했다.
김태년 당 대표 대행은 “이번 선거를 통해 민심이 얼마나 무섭고 두려운 천심인지 다시 절감했다”며 “더 경청하고 겸손한 자세로 성찰하겠다”고 했다. 그러면서 “나쁜 정치인은 투표에 참여하지 않은 착한 유권자가 만든다는 말이 있다”며 “소중한 한 표 행사로 주권자의 권리와 의무를 다해달라”고 했다.
국민의힘 김종인 비상대책위원장은 이날 아내인 김미경 이화여대 명예교수와 함께 서울 종로구 평창동 제3투표소를 한 뒤 “오세훈 후보가 상당한 표 차로 승리할 것”이라고 했다. 김 위원장은 “국민의 삶이 굉장히 어려운 상황에 처해있고 시민의 분노가 상당한 것으로 봐서, 적극적으로 투표에 참여할 수 있으리라 생각한다”며 “투표율이 50%를 약간 넘지 않을까 생각한다”고 했다.
주호영 원내대표는 이날 라디오에서 “여론조사 공표 금지 전까지의 조사에 의하면, 서울, 부산 모두 30% 가까이 이기는 여론조사가 나와 있다”며 “만약 이런 선거에서 압승하지 못한다면 야당은 더 이상 존재한 의의가 없기 때문에 반드시 국민의 힘으로 이길 것”이라고 했다.",조선일보
198,2021.04.15,이낙연의 의리? “대통령 안하면 안했지 文 지키겠다”,원선우 기자,"더불어민주당 이낙연 전 대표는 15일 문재인 대통령과 ‘차별화’를 해야 한다는 일부 지적에 대해 “대통령을 안 했으면 안 했지, 그 짓(차별화)은 못 한다”며 “죽는 한이 있더라도 문 대통령을 지키겠다”는 입장을 밝혔다.
이 전 대표는 이날 서울 마포의 사무실에서 이낙연계 의원 20여명을 만나 이같이 말했다고 복수의 참석자가 전했다. 임기 말에 접어든 문 대통령과 차별화하는 독자 노선을 걸어야 한다는 일부 의견에 이 전 대표가 “정권 재창출이 문 대통령을 지키는 길”이라고 했다는 것이다.
이 전 대표는 “나는 오늘 이 자리에서 여러분 앞에서 분명히 말한다. 나는 문 대통령을 배신할 수 없다”며 “문재인 정부에서 절반 이상 2인자(국무총리)를 했는데 내가 다른 소리를 하는 것은 ‘사기’”라고 했다.
이어 “그것(차별화)은 이낙연답지 않다”며 “다만, 정권 재창출이 문 대통령을 지키는 길이기 때문에 포지티브(positive·긍정적)한 측면에서 정책을 보강하고 수정하고 재검토할 수 있다. 포지티브 차별화는 하겠다”고 말했다고 한다. 문 대통령 정책 중 잘못된 것이 있다면 정책적으로 보완하겠다는 의미로 해석됐다.


",조선일보
245,2021.03.30,"이낙연 “부동산 문제 화나죽겠다, 생선가게에 고양이가...”",주희연 기자,"이낙연 더불어민주당 상임선거대책위원장은 30일 4·7 서울시장 보궐선거 유세에서 “부동산 때문에 화나면서 후회도 되고 한스럽다”고 했다. 한국토지주택공사(LH) 사태와 종합부동산세, 공시지가 인상 등으로 폭발한 부동산 민심을 달래려는 차원으로 보인다. 그러면서도 오세훈 국민의힘 후보의 내곡동 땅 투기 의혹을 제기하며 “내곡동에 땅이 없는 깨끗한 박영선 후보가 서울시장으로 와야한다”고 했다.
이 위원장은 이날 서울 성북구 정릉시장 유세에서 “요새 부동산 때문에 시민 여러분 화나고 속상하신 것 잘 안다”며 “저도 화나 죽겠다”고 했다. 그는 LH 직원 땅 투기 사태와 관련해 “어찌 그런 일이 생길 수 있다는 것을 미리 짐작하고 단속하지 못했을까. 어째서 생선가게를 맡기긴 맡겼는데 그 중에 고양이가 있을 수 있다는 생각을 왜 못했는가”라며 “굉장히 후회가 되고 여러분께 죄송하다”고 거듭 사과했다.
거듭 사과한 이 위원장은 국민의힘 후보들에게 화살을 돌렸다. 그는 “지금 야당의 서울시장, 부산시장 후보들이 두 가지 문제가 있다”며 “하나는 하필이면 부동산에 문제가 있다는 것이고, 또 하나는 그것 때문에 계속 거짓말을 하고 있다는 것”이라고 했다. 이 위원장은 오 후보의 내곡동 땅 투기 의혹을 언급하며 “우리 박영선 후보는 (오 후보와 달리) 내곡동에 땅이 없고 내곡동 땅으로 느닷없이 36억 5000만 원을 번 일도 없다고 한다”며 “이렇게 도덕적으로, 또 거짓말 않고 깨끗한 이런 사람이 서울시장으로 와야 서울시 공무원들도 윗분을 닮아서 깨끗해질 것 아니냐”고 했다.
",조선일보
270,2021.04.12,"與 이상민 “이낙연, 당대표로 미흡… 靑에 할 말도 못해”",김은중 기자,"이상민 더불어민주당 의원이 12일 이낙연 전 대표에 대해 “민심에 터를 잡았다면 대통령에게도 할 말을 하는 당대표로서의 리더십이 필요한데 그런 점에서는 미흡했다”라고 했다.
이 의원은 이날 라디오에서 “정부, 청와대, 대통령과의 소통에 있어서 국정을 제대로 하지 못했다는 평가는 당대표와 민주당이 함께 져야 하는 책임”이라며 이같이 말했다.
이 의원은 차기 당대표에 대해 “소통과 공감능력이 활발해야 한다” “청와대와 대통령과의 관계, 민심과의 소통 능력도 매우 중요하다” “대통령과 청와대에 대한 강력한 리더십이 필요하다”라고 했다.
이 의원은 민주당이 그동안 강성 지지층에 휘둘렸다는 지적에 대해서는 “소위 강성 의원들의 의사, 일부 의원들의 의견이 지나치게 과다 대표돼 거기에 휘둘렸다는 점에 대해 성찰이 필요하다”라고 했다.
이 의원은 “민심을 되찾아오는 게 사람 마음 되찾는 것처럼 어렵다. 처음 마음을 얻는 것보다 몇배의 노력을 들여도 될까말까한 공력이 필요하다”며 “그런 현실 인식을 같이 하는 것이 민주당 구성원 모두에게 필요하다고 생각한다”고 말했다.
이 의원은 최근 초선의원들이 잇달아 성찰의 목소리를 내고 있는 것에 대해 “소신을 밝힌 건 매우 뜻깊다고 생각하고 박수를 보낸다”고 격려했다.",조선일보
