,date,title,reporter,content,press
8,2021-01-21,이낙연 “이재명 우회전한 것 아냐…협의했고 당과 차이 없어”,정환봉 기자 bonge@hani.co.kr,"이낙연 더불어민주당 대표가 최근 도 차원의 재난지원금 지급 계획을 발표한 이재명 경기도지사의 정책에 대해 “당과 차이가 없다”고 21일 밝혔다. 앞서 이 대표는 경기도 재난지원금 지급 계획을 두고 “왼쪽 깜빡이를 넣고 우회전한다”고 비판한 바 있다. 
이 대표는 이날 <제이티비시>(JTBC) ‘뉴스룸’에 출연해 진행자가 ‘이 지사가 결국 오른쪽으로 방향을 튼 것 아니냐’고 묻자 “그렇지 않다”고 답변했다. 이어 “당에서 경기도뿐 아니라 전국 지자체에 알려드린 지침이 있다. 방역 상황을 고려해 중앙정부와 함께 가자는 것이다”며 “그런 기조에서 협의했고 이 지사도 방역 상황을 신중하게 고려한다고 해서 당과 차이가 없다”고 설명했다. 지난 19일 기자회견에서 이 지사는 당의 입장을 존중하고 방역 상황을 고려해 재난지원급 지급 시기를 결정하겠다고 밝힌 바 있다. 경기도 재난지원금을 둘러싼 여당 대선 주자의 공방이 마무리된 셈이다. 
이 대표는 최근 대선 선호도 조사에서 지지율이 떨어지고 있다는 질문에는 “참 아픈 질문인데 담담하게 생각을 많이 하고 있다. 저의 부족함과 정치의 어려움을 많이 생각하고 있다”고 말했다. 이어 “(특별한 카드로) 반전을 하거나 그런 요행수를 바라진 않는다”고 덧붙였다. 
한편 이 대표는 민주당의 코로나 대책과 관련해 “세 가지를 준비하고 있다”며 정부 방역지침으로 손해를 본 자영업자 등을 위한 손실보상법, 협력이익공유제, 사회연대기금 등을 언급했다. 이어 코로나 교육 격차 해소 방안에 대해서는 저소득층에 컴퓨터나 와이파이를 제공하는 교육 안전망 구축, 초등학교 방과 후 수업 등에 예비 교원을 투입하는 기초학력 지원제도, 비대면 수업이 불가능한 학생을 상대로 한 대면 교육, 4차 산업 교육을 비롯한 공교육 강화 등을 꼽았다. 
오랫동안 여당과 각을 세워 온 윤석열 검찰총장이 정치에 나설 것으로 보냐는 질문에는 “본인 말고는 누가 알겠냐”면서도 “지금까지 발언을 보면 임기를 마친다고 하지 않았냐. 그렇다면 (대통령) 선거에 나서기는 기간이 너무 짧지 않나 생각한다”고 답변했다. ",hankyoreh
15,2021-02-24,"김경수 “이재명 지사, 기승전기본소득 아니라고 해 다행”",김원철 기자 wonchul@hani.co.kr,"김경수 경남지사는 24일 “기승전-기본소득, 기본소득 만능론은 틀렸다”며 현 단계에서의 전 국민 기본소득 지급은 시기상조라고 말했다. 
김 지사는 이날 <시비에스>(CBS) 라디오 방송에 출연해 “태풍 왔다고 태풍 지나간 지역의 모든 국민에게 지원금이 지급되지는 않는다”며 “코로나 피해가 광범위하고 피해가 크니까 전 국민 지급이 논의되는 건 이해가 되지만, 이게 평상시 기본소득으로 가야 된다는 건 (다른 얘기)”라고 말했다.
김 지사는 이재명 경기지사가 연간 ‘1인당 50만원의 기본소득’을 언급한 데 대해서도 “1인당 50만원이면 연간 26조원”이라며 “우리나라 1년 예산 558조원(2021년 기준) 중에서 연구개발 예산이 21조원, 기초수급자 예산이 13조원, 노인기초연금이 14조원이다. 전국민에게 월 4만원씩 뿌릴거냐, 아니면 30만원 드리는 노인연금을 두 배로 늘리는 게 급한가”라고 말했다. 
다만 김 지사는 “기본소득은 장기적으로 검토할 필요가 있다”며 “4차 산업혁명으로 일자리가 줄어들 가능성은 분명히 있다”고 덧붙였다. 김 지사는 “제가 그렇게 말씀드렸더니 이재명 지사도 ‘저도 기승전 기본소득은 아니다'라고 받아들여줘서 그건 다행”이라며 “지금 우리가 뭐가 더 급하냐는 논쟁을 불러일으키고, 복지예산이 얼마나 우리가 열악하냐 이렇게 가는 건 바람직하다”고 말했다.",hankyoreh
41,2021-03-09,"이낙연 퇴임날, 이재명 깜짝응원…윤석열 맞서 ‘우리는 원팀’ 과시",서영지 노현웅 기자 yj@hani.co.kr,"이낙연 더불어민주당 대표가 대선을 1년 앞둔 9일, 192일 만에 대표직에서 물러났다. 이재명 경기도지사는 대선 출마를 위해 대표직을 내려놓는 경쟁자를 ‘응원’하러 국회를 찾아 ‘원팀’을 강조했다. 윤석열 전 검찰총장의 갑작스러운 등장으로 인해 여권 중심으로 일방 전개되던 대선 구도의 균형추가 잡히자 여권 후보들 간의 화합과 단결을 보여주려는 모양새다.
이 대표는 이날 오후 국회 당대표 회의실에서 퇴임 기자간담회를 열어 “대표로 일한 기간은 짧았지만, 많은 일이 있었다”며 “국회에서는 422건의 법안을 포함해 480건의 안건이 통과됐다”고 밝혔다. 특히 이 대표는 고위공직자범죄수사처 설치, 검찰·경찰·국정원 개혁 법안, 공정경제 3법(상법·공정거래법·금융복합기업집단감독법)을 통과시킨 것을 성과로 내세웠다. 이어 이 대표는 “중대재해처벌법을 제정했고, 지방의 자율성을 높이는 지방자치법도 32년 만에 전부개정했다”며 “제주 4·3특별법을 사건 73년 만에 배상·보상의 근거 규정을 두도록 전면개정했고, 5·18 관련 3법도 의결해 역사의 정의를 바로 세웠다”고 강조했다. 이 중에서도 가장 보람된 한순간을 꼽으라면 4·3특별법 통과 순간이라고 했다. 


이 대표는 평소 ‘엄중 낙연’이란 별명을 썩 달가워하지 않았지만 이날은 적극적인 해석을 내놓았다. 그는 “제가 엄중하게 보겠다는 얘기를 했던 시기는 국난극복위원장 때였다. 국난극복 이외의 것에 관여하는 건 도리가 아니라고 판단했다”며 “그런 태도가 틀렸다고 생각하지 않는다”고 했다.
이 대표가 지난해 8월 전당대회에서 승리했을 때만 해도 그는 명실공히 차기 대선 주자 지지율 1위를 달리고 있었다. 하지만 지금은 윤 전 총장, 이 지사에 이어 3위로 처졌다. 이 대표는 “지지율 하락은 저의 부족함과 정치의 어려움 때문이라고 생각한다”고 말했다. 당대표를 맡았던 것이 대선 주자로서 손해라고 생각하지 않냐는 질문에 코로나19 극복이 우선이었다며 “작년 여름으로 되돌아간다고 해도 비슷한 선택을 했을 것이라고 생각한다”고 답했다.
이재명 지사는 이 대표가 마지막으로 주재하는 당무위원회에 ‘깜짝’ 참석해 눈길을 끌었다. 이 지사는 이날 회의에 참석한 뒤 기자들과 만나 “이 대표가 어려운 시기에 큰 성과를 내셨고 당을 안정적으로 잘 이끌어오셔서 당원의 한 사람으로서 박수 쳐 드리러 일부러 왔다”며 “본인이 혹여라도 손실을 봤을 수도 있지만 국민과 당을 위한 헌신이라 생각해서 감사하다고 말씀드렸다”고 덧붙였다. 이 지사는 국회를 떠난 뒤 페이스북에 “앞으로도 코로나 위기 극복과 경제 불평등 해소, 문재인 정부의 성공이라는 같은 뜻을 향해 함께 나아갈 것이다. 우리 민주당은 ‘원팀’일 때 가장 빛난다”고 적었다.
이 대표와 이 지사는 야권의 후보로 급부상한 윤 전 총장에 대한 의견을 묻자 신중한 반응을 보였다. 이 지사는 윤 총장의 사퇴에 대한 의견을 묻는 기자들에게 “지지율이 바람 같은 것이어서 언제 또 갈지 모른다. 검찰개혁이라고 하는 시대적 대의에 좀 더 충실했으면 어땠을까 생각한다”고 말했다. ‘정치인 윤석열’에 대한 평가를 묻자 “아는 게 별로 없다. 구태정치를 하지 말고 미래지향적인 정치를 해주시면 우리 국민과 국가에도 도움이 될 것”이라고 했다. 이 대표는 기자간담회에서 윤 전 총장에 대한 의견을 묻자 “국민의 마음은 늘 움직이는 것이다. 매일매일의 등락에 대해선 그때마다 논평해야 된다고 생각하지 않는다”고 말했다. ",hankyoreh
127,2021-01-15,[한국갤럽] 대선주자 이재명 23% 윤석열 13% 이낙연 10%,김미나 기자 mina@hani.co.kr,"차기 정치지도자 선호도 여론조사에서 이재명 경기도지사의 독주 체제가 뚜렷해지고 있다.
한국갤럽이 지난 12~14일 전국 성인 1000명에게 ‘차기 대통령으로 누가 좋다고 생각하는지’를 물어 15일 공개한 결과(신뢰수준 95%, 표본오차 ±3.1%포인트)를 보면, 이 지사가 23%로 가장 높게 나타났다. 윤석열 검찰총장이 13%, 이낙연 더불어민주당 대표가 10%의 선호도를 보였다. 안철수 국민의당 대표와 홍준표 무소속 의원이 각각 3%, 국민의힘 소속 유승민 전 의원이 1%였다. 한달 전 조사와 비교하면 이 지사와 홍 의원의 선호도가 각각 3%포인트, 2%포인트 상승했고, 이 대표는 6%포인트 하락했다. 오차범위 안에 있긴 하지만, 한국갤럽 조사 기준으로 이 대표가 윤 총장보다 낮게 나온 것은 이번이 처음이다.
한국갤럽은 “지난해 7월까지는 이 대표의 선호도가 20%대 중반으로 단연 선두였으나, 8월에 이 지사가 급상승하면서 여권 인물 선두 경쟁 구도가 형성됐다”며 “최근 한달간 이 지사는 재상승, 이 대표는 급락하면서 양자 격차가 커졌다”고 설명했다.
한국갤럽이 이번 조사에서 문재인 대통령에 대한 국정 지지도도 함께 물은 결과, 긍정 평가가 38%, 부정 평가가 53%를 기록했다. 대통령 국정지지도는 지난해 12월 2주차, 지난주 조사에 이어 이번주에도 취임 뒤 최저치를 기록했다. 또 ‘2022년 대통령선거와 관련해 어떤 의견에 동의하는지’ 조사한 결과, ‘현 정권의 유지를 위해 여당 후보가 당선돼야 한다’는 응답은 39%, ‘정권 교체를 위해 야당 후보가 당선돼야 한다’는 응답은 47%였다고 밝혔다. 자세한 조사 개요와 결과는 한국갤럽·중앙선거여론조사심의위원회 누리집을 참고하면 된다.",hankyoreh
146,2021-04-19,[리얼미터] 대선주자 양자대결서 윤석열 51.6% - 이재명 32.3%,배지현 장나래 기자 beep@hani.co.kr,"차기 대선 주자 선호도 여론조사에서 윤석열 전 검찰총장이 상승세를 이어가고 있다.
리얼미터가 19일 <와이티에>(YTN) 의뢰로 실시한 차기 대선 주자 가상양자대결 조사(표본오차 95% 신뢰수준±3.1%포인트) 결과 윤 전 총장은 51.5%, 이재명 경기도지사는 32.3%로 나타났다고 밝혔다. 지난 16일 전국 18살 이상 성인 1011명을 대상으로 ‘내년 대선에서 윤 전 총장과 이재명 경기도지사가 나온다면 누구에게 투표하겠느냐'를 물은 결과다. 이낙연 전 더불어민주당 대표와 일 대 일로 붙을 경우엔 윤 전 총장이 51.6%로 이 전 대표(30.1%)를 21.5%포인트 차이로 앞섰다. 
여야 차기 대선 주자들을 놓고 선호도를 조사한 결과에선 윤 총장이 37.2%로 가장 앞섰고, 이 지사는 21.0%, 이 전 대표는 11%를 기록했다. 홍준표 의원(5.9%), 안철수 국민의당 대표(5.0%), 유시민 노무현재단 이사장(3.2%), 추미애 전 법무부 장관(2.4%), 정세균 전 국무총리(2.4%)가 뒤를 이었다.
배철호 리얼미터 수석전문위원은 “윤 전 총장이 보수 진영에서 가장 뚜렷한 선두 주자이므로, 여야 간 대치가 가팔라지는 이슈가 발생하면 1위 주자에게 지지가 쏠리는 것은 당연한 현상”이라며 “이번 조사는 4·7 재보선이 끝난 뒤 실시됐기 때문에 윤 전 총장에 대한 기대치가 한층 높아졌다”고 말했다. 
한국사회여론연구소(KSOI)가 <티비에스>(TBS) 의뢰로 지난 16~17일 전국 1005명을 대상으로 실시한 대선 후보 적합도 조사(표본오차 95% 신뢰수준±3.1%포인트)에서도 윤 전 총장은 33.7%로 선두를 달렸고, 이 지사가 27.1%, 이 전 대표 11.0%였다. 오세훈 서울시장 3.9%, 안철수 대표 3.7%, 홍준표 의원 3.7%, 정세균 전 총리 3.4% 차례였다. 윤 전 총장은 연령대로는 60세 이상(50.3%), 정치성향으로는 국민의힘 지지층(66.5%)의 호감도가 가장 높았고, 이 지사는 연령대로 40대 이상(44.8%), 정치성향으로는 진보성향층(57.1%)의 지지를 얻었다. 자세한 조사결과는 중앙선거여론조사심의위원회나 한국사회여론연구소 누리집을 참고하면 된다. ",hankyoreh
216,2021-04-02,"[4·7 보선 서울시장 여론조사] 윤석열 27.5%, 이재명 22%…대선 주자 선호도 ‘투톱’", 노현웅 서영지 기자 goloke@hani.co.kr,"정치권에서는 4·7 보궐선거를 차기 대통령 선거의 전초전으로 여기는 데 이론이 없는 상황이다. 대선을 1년도 남겨두지 않은 시점에 열린 ‘슈퍼 보궐선거’에서 문재인정부 출범 이후 ‘정권심판론’이 처음으로 강하게 불고 있기 때문이다. 
 <한겨레>와 여론조사기관 케이스탯리서치가 지난달 30~31일 서울시민 1012명을 대상으로 한 여론조사에서도 여권을 향한 불만은 차기 대선 전망에도 영향을 끼쳤다. 우선 차기 대선 주자 선호도에서 윤석열 전 검찰총장은 27.5%를 기록해 이재명 경기도 지사(22.0%)와 오차범위 내 양강 구도를 이뤘다. 지난달 검찰총장직 사퇴 이후 선거 국면에서 간헐적으로 메시지를 내면서, 문재인 정부에 실망한 유권자들의 지지가 윤 전 총장을 중심으로 집결하는 양상이 이어지고 있는 셈이다. 윤 전 총장은 이념성향상 보수층(45.1%) 뿐만 아니라, 중도층(29.3%)에서도 상당수를 흡수했다. 3위는 이낙연 전 민주당 대표(8.9%)였고, 그 뒤를 이어 안철수 5%, 홍준표 2%, 오세훈 2%, 유승민 1.9%, 정세균 1.8%였다. 4·7 선거에서 상임선대위원장을 맡고 있는 이 전 대표는 민주당이 고전을 면치 못하면서 지지율도 10% 미만으로 주저앉았다. 
  서울 지역 유권자들은 또한 차기 대선 전망에 대해서는 56.7%가 ‘야당 후보가 당선돼 정권이 교체돼야 한다’고 답했다. ‘여당 후보가 당선돼 정권이 유지돼야 한다’는 33.7%였다. 특히 이념성향 가운데 중도층에서 정권 교체에 힘을 실은 유권자가 61%로 정권 유지(30%)를 두 배 압도하면서 야권이 주도하는 정권심판 정국이 보궐선거 이후 상당 기간 유지되리라는 예측에 힘이 실렸다.
 하지만 이런 현상이 계속해서 이어질지는 미지수다. 먼저 차기 대선 주자 선호도 1위를 달리는 윤 전 총장의 경우 정치적 역량에 대한 검증이 아직 이뤄지지 않았다는 점이 중요하다. 윤 전 총장이 본격적인 정치 행보에 나서게 될 경우 코로나19로 황폐해진 경제 회복, 한계가 드러난 복지 제도 정비, 노동시장과 산업구조의 구조 개혁, 남북 관계를 비롯한 외교 관계의 재정립 등에 대한 정리된 입장이 나와야 하는데, 이런 중대한 정치 의제에 대한 윤 총장의 입장이 공개된 바 없다. 하동균 케이스탯리서치 이사는 “현재 상황을 바탕으로 차기 대선까지 정국을 예측하는 것은 너무 이르다. 특히 윤석열 전 총장은 제대로 된 검증을 거친 바 없기 때문에, 문재인 정부에 실망한 여론이 어느 쪽에 모이게 될지는 상당 기간 지켜볼 문제”라고 말했다.
 정권심판론이 내년까지 계속 유지될지를 놓고도 전문가들은 유보적이다. 정한울 한국리서치 여론분석전문위원은 “보궐선거와 달리, 대통령 선거는 집권 세력에 대한 찬반 투표로만 진행되지 않는다”며 “국민의힘이 의미 있는 대안세력으로서 모습을 보여줄 수 있는지, 또 집권 여당이 제대로 패인을 진단하고 반성하면 충분히 결과는 달라질 수 있다”고 말했다. 엄경영 시대정신연구소장은 “오만한 민주당에 경고장을 날리겠다는 민심은 확고해 보이지만, 그런 분노가 국정 운영의 방향타를 반대로 돌리겠다는 데까지 갔는지는 확실치 않다”며 “차기 대선의 향방은 보궐선거 이후 두 정당이 어떤 리더십을 구축하고 어떤 혁신의 모습을 보여주는지에 달린 문제”라고 말했다.",hankyoreh
219,2021-02-23,이재명 “선별·보편복지 모두 필요…‘선별 중독’ 벗어나야”,김원철 기자 wonchul@hani.co.kr,"이재명 경기지사가 “선별복지는 조세저항을 유발해 복지확대와 증세를 어렵게 한다”며 “선별홀릭에 빠지거나 기본소득을 배제하지 말고 복지 정책끼리 경쟁을 시켜보자”고 제안했다. 최근 자신의 기본소득론을 비판한 김경수 경남지사와 정세균 국무총리 등을 겨냥한 것으로 보인다.
이 지사는 23일 오전 자신의 페이스북에 ‘눈을 크게 뜨면 보이는 증세와 복지 확대의 길. 선별홀릭에서 벗어나야’라는 제목의 글을 올려 선별 위주의 복지에서 벗어나 기본소득과 같은 보편 지원 등 복지 정책의 폭을 넓히자고 주문했다. 이 지사는 “반드시 필요한 가계소득지원 확대는 선별지원과 보편지원 방식 중 어떤 것이 더 나을까. 지출만 볼 경우와 세입 지출 양면을 볼 경우의 결론은 정반대”라며 정부 세입까지 고려하면 보편 지원이 더 유리하다고 강조했다. 
이 지사는 “지출만 고려하면 빈자를 핀셋처럼 골라 주는 것이 더 도덕적이고 격차완화에 효율적이어서 정의롭다. 그런데 세금으로 재원을 만들며 복지지출을 늘려가는 경우까지 선별지원이 바람직할까. 아니 가능이나 할까”라고 물었다. 그러면서 “선별지원은 중산층과 부자는 세금만 내고, 지원은 세금 안내는 빈자만 받게 된다”며 “빈자의 지원금을 늘리려고 혜택 못 받는 부자와 중산층에 증세요구를 할 수 있을까. 조세저항과 표 때문에 불가능하다”고 했다.
재원 확보 수단으로는 ‘기본소득목적세’ 신설을 제안했다. 이 지사는 “기본소득목적세를 걷어 전액 공평하게 배분한다면 80~90%의 압도적 다수는 (자신이) 내는 세금보다 받는 소득이 많아서, 1인 1표 체제하에서 증세 동의가 쉽다”며 “지역화폐로 기본소득을 지급해 전액 소비한다면, 총수요 부족에 의한 저성장 시대에 수요확대로 지속성장을 가능하게 하고 성장의 혜택은 고액납세자(고소득자)가 더 많이 누리게 된다. 국가재정도 덩달아 늘어난다”고 주장했다. 
다만 이 지사는 “선별복지는 나쁘고 보편복지와 기본소득은 무조건 옳다는 것도 아니다. 기본소득이 만병통치약이라는 것도 더더욱 아니다. 선별복지도 보편복지도 모두 필요하지만 선별홀릭에 빠지거나 기본소득을 배제하지 말고 단순 복지정책과 복지적 경제정책 간에 경쟁을 시켜보자는 것”이라고 강조했다.",hankyoreh
300,2021-02-22,이재명 “내 정책은 ‘기승전기본소득’ 아니라 ‘기승전경제’”…김경수에 반박 글,김미나 기자 mina@hani.co.kr,"이재명 경기도 지사가 22일 “‘기승전 기본소득’만 계속 주장하면 정책 논의를 왜곡시킬 우려가 있다”고 말한 김경수 경남도 지사를 향해 “‘기승전 기본소득'이 아니라 '기승전 경제'”라고 반박했다. 
이 지사는 이날 자신의 페이스북에 “‘기승전 기본소득’은 틀렸다. 그 자체로도 틀렸고, 그것이 제 주장도 아니다”라며 “저는 기본소득 이외에도 염가 고품질 공공주택을 대량공급해 집값 때문에 감소한 가계소비를 늘려주는 기본주택, 국가권력에 의해 발생하는 금융이익을 주권자가 함께 나누고 통화금융정책을 제대로 작동시키는 기본금융(소액장기저리대출보장)등 경제기본권으로 국민삶의 기본을 마련하고 쇠퇴하는 경제를 회복시켜 지속성장을 가능케 하는 다양한 정책들을 구상하고 일부는 실현 중”이라고 반박했다. 또 “경제기본권으로서의 기본소득은 일자리가 사라지는 미래를 대비하는 복지적 경제정책 중 하나”라고 강조했다. 
앞서 김 지사는 최근 언론 인터뷰에서 “지금 대한민국이 받아든 과제가 기본소득은 아니다”며 “이재명 경기지사가 ‘기승전 기본소득’만 계속 주장하면 정책 논의를 왜곡시킬 우려가 있다”고 말했다. 또 “대선 공약이 현실 가능성을 완전히 벗어나면, 무조건 포퓰리즘 공약을 쏟아붓는 거로는 대선을 치르기 어렵다. 치열한 정책 토론이 없을 수가 없다”고도 했다. 
이 지사는 이낙연 더불어민주당 대표의 ‘신복지론’에 관여한 김연명 전 청와대 사회수석이 “기본소득은 만병통치약이 아니다”라고 말한 것도 반박했다. 그는 “건강과 체력강화를 위해 건강식을 시작하더라도 위장병에는 위장약을, 감기에는 감기약을 복용해야 한다”며 “이 점에서 김연명 전 수석님의 기본소득은 만병통치약이 아니라는 말씀도 공감하며 그렇게 주장한 바도 없다. 저는 건강식을 만병통치약으로 속일 정도의 악덕 약장수는 못 된다”고 했다. 그러면서 “제가 진정 강조하고 싶은 것은 바로 ‘기승전 경제’이고 기본소득은 기승전 경제를 위한 하위개념”이라고 말했다. 
이 지사는 이처럼 기본소득을 둘러싼 비판을 맞받으면서도 잠재적 대선 경쟁자인 김 지사와 ‘원팀’임을 강조했다. 부산·울산·경남의 ‘기승전 경제’ 현장을 보고 싶다며 김 지사를 향해 가덕도신공항 예정지를 함께 둘러보자고도 제안했다. 그는 “저는 김 지사님이 경남지사로서 흔들림없이 추진하고 있는 균형발전과 지역의 내적 발전동력 창출을 위한 ‘기승전 경제’의 노력에 큰 지지와 박수를 보낸다. 그러한 노력의 결과가 가덕신공항 특별법 국토위 통과로 결실을 맺고 있고, 또 부울경 메가시티 담론의 확산으로 꽃피우고 있다”고 했다. 이어 “지사님께서 초대해주신다면 부울경 지역 ‘기승전 경제’의 상징인 가덕신공항 예정지를 함께 둘러보고 싶다. 그리고 그곳에서 ‘기승전 경제'에 대한 저의 구상과 김 지사님의 고견을 함께 나눠보고 싶다”고 했다. 또 “우리는 원팀이다. ‘기승전 경제’를 통해 오직 ‘국민을 위한 원팀’이 되도록 함께 노력하자”고 글을 맺었다. ",hankyoreh
368,2021-04-20,이재명 “불로소득이 병폐…실거주용이면 다주택도 문제 없어”,천호성 기자 rieux@hani.co.kr,"이재명 경기지사가 20일 민생 개혁을 화두로 꺼내며 ‘페북 정치’ 행보를 재개했다. 재보선 참패 직후인 지난 8일 소회를 적은 뒤 12일 만에 글을 올린 것이다.
 이 지사는 대동법의 창시자인 조선시대 정승 이원익을 거론하며 민생문제의 시급성을 지적했다. 이 지사는 “(이원익 선생은) 민생 문제의 해결을 정치의 첫번째 임무로 강조했다”며 “작든 크든 민생에 도움되는 실질적 개혁을 실천하고 있는지 일상적이고 깊은 성찰이 필요하다”고 썼다. 이어 “효율적인 개혁일수록 저항은 그만큼 큰 법이고, 반발이 적은 작은 개혁도 많이 모이면 개벽에도 이를 수 있다”며 민생 중심의 개혁 행보를 이어가겠다는 뜻을 내비쳤다.
 이 지사는 “변화는 할 수 있는 작은 것에서 시작된다”며 △보호종료아동의 자립을 돕기 위한 주거·자립지원금 증액 △사회적기업 고용기간 연장 △플랫폼 노동자 산재보험료 지원 등 본인이 재임 중 추진한 구체적인 사업을 예시했다. 이 지사는 의사들의 반발로 아직 도입되지 못한 수술실 폐회로텔레비전(CCTV) 사업을 놓고선 “높고 두터운 기득권의 벽을 만나기도 하지만 포기할 수는 없다. 기득권에 굴복하면 변화는 요원하기 때문”이라고 적었다. 
 이 지사는 이날 경기도 국회의원들이 서울 여의도 글래드호텔에서 공동 주최한 ‘경기도, 청소·경비 노동자 휴게시설 토론회’에도 참석해 민생을 거듭 강조했다. 이 지사는 인사말에서 “민생개혁을 할 때 따르는 큰 혼란과 갈등을 회피하려다가 실제 성과를 내지 못하는 경우가 많다. 작은 변화를 많이 만들면 그것이 모여 큰 변화를 만들기도 한다”고 말했다. 기자들과 만나서도 “일상적 삶에서 멀리 떨어진 거대한 개혁담론도 중요하지만, 국민의 일상적 삶을 개선하는 작은 실천적인 민생 개혁이 정말 중요하다”고 거듭 말했다. 
 부동산 불로소득 환수를 위한 국토보유세를 제안한 이 지사는 이날도 “부동산 불로소득은 대한민국의 미래를 망치는 망국적 병폐”라며 “실거주용 보유로 고통스럽지 않아야 하고, (투기로) 불로소득을 못 얻게 해야 부동산 문제는 해결될 것”이라고 강조했다. 이 지사는 “오롯이 임대를 목적으로 하는 임대 사업자에 대한 취득세, 양도소득세, 보유세, 임대소득세 등 특혜를 주는 것은 도저히 납득할 수 없다”며 “실거주용 1주택 또는 2주택에 대해선 생필품에 준하는 보호를 해야 한다”고 했다. 부동산 불로소득을 완벽하게 환수하면 다주택 소유 등은 문제가 될 게 없다는 지공주의 철학과 맥을 같이 하는 것이다. 여당이 추진 중인 종합부동산세 완화론에 대해선 “실거주용에 대해서는 보호장치를 확대하고 비주거용 투자 자산에 관해서는 부담을 늘리는 방식으로 사회적 합의를 충분히 할 수 있다”며 종부세 완화 가능성을 열어뒀다.  ",hankyoreh
466,2021-01-20,"“거리두기 중 소비 독려는 상충”…이낙연, 이재명 첫 공개 비판",서영지 기자 yj@hani.co.kr,"이재명 경기도지사가 추진하는 ‘재난기본소득’을 놓고 이낙연 더불어민주당 대표가 취임 이후 처음으로 공개적 비판을 했다. 
이 대표는 19일 <문화방송>(MBC) 저녁 뉴스 방송에 출연해 경기도민 모두에게 똑같이 10만원의 지역화폐를 지급하는 방안에 대해 정부 정책과 모순되는 지점이 있음을 지적했다. 그는 “지금 거리두기 중인데, 소비하라고 말하는 것이 마치 왼쪽 깜빡이를 켜고 오른쪽으로 가는 것과 비슷할 수가 있다”며 “그런 상충이 없도록 하는 방법이 있을 것”이라고 언급했다. 4차 긴급재난지원금 지급 논의가 여전히 이르다고 보느냐는 데 대해서도 “3차 재난지원금도 (지급이) 아직 끝나지 않았다”고 선을 그었다. 
앞서 김종민 민주당 최고위원이 지난 13일 최고위원회의에서 이 지사를 겨냥해 “방역 당국과 조율되지 않은 성급한 정책은 자칫 국가 방역망에 혼선을 줄 수 있다”고 반대 입장을 밝힌 적은 있지만 이 대표가 직접 반대한 것은 이례적인 일이다. 정부가 ‘사회적 거리두기’를 엄격하게 시행하는 상황에서 여당 대표가 방역의 중요성을 강조한 것은 납득할 수 있는 일이지만, 최근 이 지사가 각종 여론조사에서 이 대표를 앞질러 나가는 데 대한 견제의 성격도 깔린 것으로 보인다.
민주당은 전날 비공개 최고위원회에서 ‘지방자치단체의 자율권을 존중하지만 정부의 방역 상황을 충분히 고려해야 한다’는 공식적인 입장을 정리하고 홍익표 정책위의장이 이를 이 지사에게 전달했다. 이에 이 지사는 다음날인 19일 ‘재난기본소득 관련 당 공식 입장에 대한 입장’을 내어 “당의 의견을 존중하며, 방역 상황을 충분히 감안해 재난기본소득의 집행 시기와 지급 대상, 수단 등을 결정하겠다”고 밝혔다. 그러나 실제 지급 여부에 대해서는 명확히 밝히지 않은 상태다. ",hankyoreh
