,Unnamed: 0,date,title,press,reporter,content
103,103,2021-04-23 3:00,"재난지원금 신청한 노점상, 4만여곳중 38곳뿐",동아일보,박성진 기자 ,"

정부가 노점상을 4차 재난지원금 지원 대상에 넣었지만 정작 지원금을 신청한 노점상은 38명에 불과한 것으로 나타났다. 지원금을 신청한 노점상이 전국 노점상의 0.1%에도 못 미쳐 지원정책이 현장과 괴리돼 있는 것 아니냐는 지적이 나온다. 22일 국민의힘 추경호 의원이 중소벤처기업부에서 받은 ‘시도별 소득안정지원자금 신청 및 지급 현황’에 따르면 이달 6일부터 16일까지 지원금을 신청한 노점은 총 38곳이었다. 전국 노점 4만7865곳 중 0.08%만 지원금을 신청한 것이다. 강원이 20곳으로 가장 많았고 경북(11곳), 인천 충남 경남(각 2곳), 세종(1곳) 순이었다. 서울 부산 대구 광주 대전 울산 경기 충북 전북 전남 제주에서는 신청자가 한 명도 없었다.  노점상들의 지원금 신청이 저조한 가장 큰 요인은 ‘사업자 등록’ 조건이었다. 정부는 올해 3월 1일 이후 사업자 등록을 마친 노점상에 한해 지원금 지급을 결정했다. 정부는 사업자 등록을 통한 혜택이 크다는 점을 강조하고 있다. 하지만 노점상 입장에서 사업자 등록은 큰 부담이다. 소득이 노출될 경우 향후 세금, 과태료 부과 등 근거가 될 것이라는 우려 때문이다. 서울에서 작은 트럭을 몰며 떡볶이 장사를 하는 이모 씨(52)는 “세금 낼 돈, 보험료 낼 돈이 없어 체납이 일상인데 사업자 등록까지 하긴 어렵다”고 했다.  일각에서는 예견된 사태라는 평가가 나온다. 4·7 재·보궐선거를 앞두고 정부가 지원금 지급 대상을 무리하게 넓히면서 발생한 일이란 것이다. 중기부 관계자는 “현재 정부 예산을 교부금 형태로 지자체에 내리는 과정인데 5월께부터 신청 및 지급이 본격화할 것”이라고 했다.박성진 기자 psjin@donga.com 
"
357,357,2021-04-01 3:00,"“재난지원금, 선거에 영향 없을것” 52.3%",동아일보,강경석 기자 ,"

            4·7 재·보궐선거를 앞두고 서울 유권자들은 최근 정부가 추진해 온 부동산 보유세 인상 등 현안에 대해 부정적인 의견을 갖고 있는 것으로 나타났다. 동아일보 여론조사 결과 최근 국토교통부가 발표한 ‘공공주택 공시가격안’에 따라 종합부동산세와 재산세 등 보유세가 강화되는 정책에 대해 서울 시민 53.3%는 반대, 30.9%는 찬성 의견으로 조사됐다. 이번 재·보궐선거를 앞두고 지급하기 시작한 4차 재난지원금이 선거에 미칠 영향에 대해서는 절반 이상이 넘는 52.3%가 ‘영향을 주지 않을 것’이라고 답했다. 반면 ‘영향을 줄 것’이라는 응답은 37.2%로 나타났다. ‘내곡동 땅 특혜 보상 의혹’(국민의힘 오세훈 후보)과 ‘도쿄 아파트 보유 의혹’(더불어민주당 박영선 후보) 등 각 진영에서 제기하고 있는 네거티브 전략은 ‘두 후보 모두에게 부정적인 영향을 줄 것’이라는 의견(29.6%)이 가장 높았다. 오 후보와 박 후보에게 더 부정적인 영향을 미칠 것이라는 답변은 각각 20.6%, 20.3%로 사실상 차이가 없었다.  특히 문재인 대통령의 국정 수행에 대한 부정 평가가 전국에서 진행된 동아일보 여론조사(57.4%)보다 서울시민 조사에서 5.3%포인트 높은 62.7%로 나타난 것 등이 두 후보의 지지율에 반영된 것으로 분석된다.동아일보가 리서치앤리서치에 의뢰해 서울 821명을 대상으로 28, 29일 실시. 표본오차는 95% 신뢰수준에 ±3.4%포인트. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지 참조.강경석 기자 coolup@donga.com  
"
526,526,2021-03-17 3:00,국회 상임위마다 4차 재난지원금 앞다퉈 증액,동아일보,최혜령 기자 ,"

            국회가 4차 재난지원금 심사 과정에서 상임위원회별로 앞다퉈 증액에 나서고 있다. 당초 정부와 여당은 15조 원 규모의 추가경정예산(추경)을 편성하기로 했지만, 국회 각 상임위 심사 과정에서 추가로 2조 원이 넘는 증액이 논의되고 있다.  국회 산업통상자원중소벤처기업위원회는 예산결산소위원회를 열어 기존 7조652억 원 규모의 추경안을 6119억 원 증액 의결했다고 16일 밝혔다. 증액안에는 소상공인 전기요금 지원 기간을 당초 3개월에서 6개월로 늘리는 방안이 담겼다. 또 신종 코로나바이러스 감염증(코로나19)으로 매출이 50% 이상 줄어든 업종을 추가 선별해 200만 원이었던 재난지원금을 300만 원으로 늘리기로 했다.  국회 문화체육관광위원회도 이날 정부안에서 2459억 원 증액한 4031억 원의 추경안을 의결했다. 여기엔 여행업과 공연업, 이벤트업에 주는 재난지원금을 최대 500만 원으로 올리는 방안이 담겼다. 이에 더해 더불어민주당은 특수고용노동자에게 마스크 비용으로 10만 원을 추가 지원하는 방안도 논의하고 있다. 국회 관계자는 “각 상임위의 증액안은 22일부터 열리는 예산결산특별위원회에서 감액될 수 있다”며 “최종 증액 규모는 예결위 심사가 끝난 뒤 확정된다”고 말했다.최혜령 기자 herstory@donga.com  
"
663,663,2021-03-02 3:00,"與 “4차 재난지원금, 1월 내내 영업 못한 업종에 최대 500만원”",동아일보,"최혜령 기자 , 강경석 기자 ","

            더불어민주당이 정부의 신종 코로나바이러스 감염증(코로나19) 방역 조치로 1월 내내 영업을 하지 못한 업종에 대해 최대 500만 원의 4차 재난지원금을 지급하기로 결정했다. 정부가 마련한 최대 150만 원의 전기요금 감면 혜택까지 합하면 650만 원까지 지원받을 수 있는 셈이다. 반면 국민의힘은 “문재인식(式) 포퓰리즘이 완성 단계에 이르렀다”고 비판했다.  민주당 홍익표 정책위의장은 1일 MBC라디오에서 소상공인, 자영업자 지원에 대해 “버팀목 자금을 조금 더 상향하고 구간을 다양화했다”며 “1월 한 달 동안 계속 (집합) 금지였던 업종에 대해서는 500만 원을 드린다”고 말했다. 3차 재난지원금의 최대 액수는 300만 원이었다. 민주당은 △1월 내내 집합금지 업종 500만 원 △집합금지에서 제한으로 전환된 업종 400만 원 △집합제한 업종 300만 원 △매출 20% 이상 감소한 일반업종 200만 원 △나머지 일반업종 100만 원 등의 구간을 정했다. 홍 정책위의장은 “추가적으로 60만 원에서 150만 원 정도까지 (지원이) 갈 수 있다”며 소상공인과 자영업자를 대상으로 한 전기료 감면도 언급했다.  그는 논란이 되고 있는 노점상 지원에 대해서는 “지방자치단체에 등록해서 직접 관리하고 있는 노점상이 있다”며 “지원이 갈 것”이라고 말했다. 이어 “(세금 납부 자료 없이도) 자기 소득이 감소했다는 것만 입증되면 한계소득계층 차원에서 다 지원해드릴 것”이라고 덧붙였다. 민주당은 노점상 지원 수혜 대상이 전국적으로 4만 명가량 될 것으로 보고 있다. 홍 정책위의장은 노점상이 세금을 내지 않는데도 지원을 받는다는 지적에 대해서는 “매우 악의적인 프레임”이라며 “사회공동체적 차원에서 가장 피해가 있고 힘든 분에게 우선적으로 지원하겠다는 것”이라고 강조했다.  홍 정책위의장은 전 국민 재난지원금에 대해서도 “방역 상황만 좋아지면 고려하겠다는 게 대통령 말씀이셨다”며 “당의 기본 입장이기도 하다”고 말했다. 코로나19 방역 상황에 따라 문 대통령이 언급한 ‘전 국민 위로금’을 연내 추진하겠다는 의미다. 그는 손실보상제 역시 “7월 1일부터 시행되도록 계획하고 있다”고 설명했다.  반면 4차 재난지원금으로 15조 원의 추가경정예산(추경)이 편성되는 등 적자 국채 발행이 증가하고 있지만 홍 정책위의장은 “현재로서 이번 추경과 관련해서 증세는 검토하고 있지 않다”고 말했다.  국민의힘은 당정청의 4차 재난지원금 합의에 대해 “더 넓고 두터운 매표(買票)”라며 강하게 성토했다. 4차 재난지원금 지급이 4월 서울·부산시장 보궐선거 전에 시작되기 때문이다. 주호영 원내대표는 이날 페이스북에 “선거 때 일반 국민은 10만 원만 자기 돈을 나눠줘도 구속된다”며 “대통령은 선거를 앞두고 국채 발행해 나랏돈을 20조 원씩 돌려도 괜찮은 거냐”고 비판했다. 김은혜 대변인도 “20조 원이라면 1년 (동안) 430조 원 무이자 대출이 가능한 금액”이라며 “절박한 국민에게 말장난 같은 지원을 하느니 차라리 정부가 즉시 대출을 지원해 달라”고 말했다. 최혜령 herstory@donga.com·강경석 기자  
"
731,731,2021-02-23 3:00,"文대통령 “4차 재난지원금, 3월중 지급 속도 내달라”",동아일보,최혜령 기자 ,"

            문재인 대통령은 22일 신종 코로나바이러스 감염증(코로나19) 대응을 위한 4차 재난지원금과 관련해 “가급적 3월 중 집행이 시작될 수 있도록 속도를 내달라”고 말했다. 문 대통령은 이날 청와대 수석·보좌관회의에서 “정부는 추가경정예산(추경)을 신속히 편성하고 국회의 협조를 구하라”며 이같이 말했다. 문 대통령은 “피해계층 지원과 저소득 취약계층 보호, 고용위기 극복 등을 위해 사각지대를 최소화하며 최대한 폭넓고 두텁게 지원되도록 하겠다”고 말했다. 그러면서 “앞으로도 정부는 재정의 적극적 역할을 더 강화해 나가겠다”고 강조했다.  더불어민주당은 노점상, 플랫폼 노동자, 신규 자영업자 등 기존 제도망 밖에 있어 소득 파악이 어려운 피해계층도 이번 지원 대상에 포함시켜야 한다는 입장이다. 민주당은 이들 사각지대 지원 방식을 놓고 소득 하위 40% 가구에 최대 100만 원(4인 가구 기준)을 지급하자는 의견 등 복수의 방안을 기획재정부에 제안한 상태다. 당 내에선 사각지대를 모두 포함할 수 있도록 이번 추경 규모가 최소 20조 원은 돼야 한다는 의견도 여전히 강하게 이어지고 있다. 민주당은 28일까지 당정 간 4차 재난지원금 지급을 위한 추경 규모와 지급 대상 등에 대한 협의를 마치고 3월 중 지원금 지급에 나선다는 목표다. 민주당 이낙연 대표는 이날 최고위원회의에서 “넓고 두터운 지원이 민생 피해의 확대를 막고 경제 회복을 앞당길 확실한 정책 수단”이라고 했다. 김태년 원내대표도 “재난지원금 등 정부의 확장 재정정책으로 저소득층 소득이 개선된 것으로 나타났다”며 “4차 재난지원금의 3월 말 지급을 위해 신속하게 추경을 편성하겠다”고 밝혔다.  4차 재난지원금은 피해 업종이나 계층에 일정 금액을 지급하는 ‘정액지급’ 방식이 될 것으로 보인다. 민주당 최인호 수석대변인은 이날 기자들과 만나 “우리나라는 현재 소득파악 시스템이 그렇게 발달하지 못했기 때문에 4차 지원금은 정액 지급이 될 것”이라며 “다만 이후 5차, 6차 지원금은 정률 지원이 가능한 시스템을 만들어보자는 논의가 지난주 당청회의에서 있었다”고 했다.  이와 관련해 민주당 홍익표 정책위의장과 홍남기 경제부총리 겸 기재부 장관, 김상조 대통령정책실장은 이날 오후 국회에서 고위 당정청 실무협의를 열고 추경안 협상을 이어갔다. 최혜령 기자 herstory@donga.com 
"
808,808,2021-02-16 3:00,文대통령 “4차 재난지원금 추경에 일자리 예산 충분히 포함을”,동아일보,황형준 기자 ,"

            문재인 대통령이 15일 “앞으로 논의될 4차 재난지원금 추경(추가경정예산안)에도 고용위기 상황을 타개할 일자리 예산을 충분히 포함시켜 주기 바란다”고 당부했다. 4차 재난지원금 지급을 위한 추경 편성을 공식화하며 특단의 고용안정대책을 반영하라고 주문한 것이다.  문 대통령은 이날 청와대 수석·보좌관회의에서 “외환위기 이후 가장 심각한 고용 위기상황임이 고용통계로도 확인됐다. 특히 고용 양극화가 더욱 심화됐다”며 이같이 말했다. 이어 “역대급 고용위기 국면에서 계획하고 예정했던 고용대책을 넘어서는 추가 대책을 비상한 각오로 강구해 주기 바란다”고 말했다. 신종 코로나바이러스 감염증(코로나19) 여파로 최악의 고용 한파가 몰아치는 것에 대한 위기감이 반영된 것이다. 문 대통령이 ‘충분한 일자리예산’ 확보를 주문한 만큼 이번 추경은 더욱 커질 수 있다는 전망도 나온다. 통계청에 따르면 지난달 취업자 수는 2581만8000명으로 1년 전보다 98만2000명 줄었다. 문 대통령은 올해 일자리 예산의 조기 집행도 강조했다. 그는 이날 “정부는 고용 상황의 어려움을 엄중히 인식하고, 일자리 예산을 조기 집행하며 고용 안전망을 튼튼히 하는 등 가용한 모든 수단을 동원해 총력으로 대응하겠다”고 했다. 문 대통령은 또 “온전한 고용 회복은 결국 민간에서 이루어져야 한다”며 “정부는 민간 기업이 일자리를 지속적으로 창출할 수 있는 여건을 마련하기 위해 적극적인 지원과 함께 경제 활력을 높이는 데도 최선을 다할 것”이라고 했다.황형준 기자 constant25@donga.com 
"
869,869,2021-02-09 3:00,"“옆동네도 준다는데”… 지자체 27곳, 全주민에 재난지원금",동아일보,세종=주애진 기자 ,"

“강진군 사람들은 모두 재난지원금을 받는다던데 우린 왜 안 주나요?” “해남군도 준다는데 왜 완도는 ㅠㅠ.” 지난달 전남 완도군의 지역 온라인 커뮤니티에 신종 코로나바이러스 감염증(코로나19) 위기 극복을 위한 재난지원금 관련 불만 글들이 올라왔다. 완도군은 당초 재정 여건이 어려워 모두에게 재난지원금을 나눠주긴 어렵다고 했다. 하지만 인근 지방자치단체들이 하나둘씩 ‘보편적 재난지원금’ 쪽으로 가닥을 잡자 난감해졌다. 결국 완도군은 고심 끝에 1일 “1인당 10만 원씩 재난지원금을 지급한다”고 발표했다.  완도군 관계자는 “군 의회 등에서 보편지원이 필요하다는 의견이 많아 전향적으로 검토했다”며 “기존 예산을 조정해 재난지원금 지급 예산 50억 원을 마련하기로 했다”고 말했다. 지난해 완도군의 재정자립도(지방세 등 자체 수입이 예산에서 차지하는 비율)는 6.35%로 전국에서 네 번째로 낮았다. 정부와 여당이 4차 재난지원금 지급 검토에 들어간 가운데 자체 재원으로 주민 모두에게 보편적 재난지원금을 주기로 한 지자체들이 늘고 있다. 동아일보 취재를 종합하면 8일 현재 17개 광역지자체 중에서는 경기도와 울산시 등 2곳, 전국 226개 기초지자체 가운데에는 25곳 등 모두 27곳이 ‘보편 지원금’을 준다고 발표했다. 지자체 10곳 중 1곳꼴로 보편적 재난지원금 지급을 결정한 셈이다. 이 밖에도 지급 여부를 저울질하는 곳도 많아 앞으로 곳간을 여는 지자체가 더 늘 것으로 전망된다. 한 지역이 지급하면 인근 지역까지 들썩이는 ‘도미노 현상’도 나타난다. 전남 지역은 재정자립도(23.25%)가 전국에서 가장 낮다. 하지만 22개 시군 가운데 절반이 넘는 12곳에서 보편적 재난지원금을 주기로 결정했다. 고흥군 구례군 해남군 강진군 등 재정자립도가 10%를 밑도는 지역들도 포함됐다. 경남에서도 고성군, 산청군, 창녕군, 함양군 등 4곳도 이미 보편 지원을 결정했다. 창녕군 관계자는 “지원 여부를 검토 중인 인근 지자체가 더 있어서 계속 늘어날 것 같다”고 했다. 재정 형편이 넉넉한 경기도와 울산시가 1인당 또는 가구당 10만 원씩 지급하면서 다른 시도도 고민이 깊어졌다. 강원도 관계자는 “경기도처럼 지원금을 1인당 주면 좋겠지만 우린 재정이 부족하니까 1인당이 아닌 가구당 지원하는 방안을 검토 중”이라고 털어놨다.취약계층을 중심으로 선별 지원에 나선 지자체들은 “전원 지원”을 요구하는 주민들과 지방 의회의 압박에 시달리고 있다. 서울시는 2일 소상공인과 무급 휴직자 등을 돕는 선별 지원책을 내놨다. 하지만 김인호 서울시의회 의장은 7일 “보편 재난지원금을 지급해야 한다”고 요구하고 나섰다. 충남도 역시 3일 일부 지원책을 내놨지만 지역 청년회가 “보편 지원하라”는 성명을 내자 부담감에 시달리고 있다.  지원금을 주지 못하는 지자체들도 좌불안석이다. 강원 지역의 한 기초지자체 관계자는 “남은 예비비도 별로 없는데 혹시 중앙정부가 지난해처럼 전 국민 재난지원금을 주게 되면 지방도 일정 비율을 부담하라고 할까 봐 불안하다”고 했다. 최형식 전남 담양군수는 1일 “보편 지급의 필요성은 인정하지만 재정 여건이 여의치 않아 초기에 지급할 수 없어 송구스럽다”는 입장문까지 발표했다. 전문가들은 표심을 의식할 수밖에 없는 지자체들의 과도한 선심성 경쟁을 경계해야 한다고 지적한다. 지자체들이 재원을 이렇게 써버리면 다른 사업비나 기금을 줄여야 해 더 위급할 때 재정을 투입하기 어렵다. 육동일 충남대 자치행정학과 교수(전 한국지방자치학회장)는 “사업비를 줄이다 보면 결국 미래를 위한 투자 사업이나 사회간접자본(SOC) 비용을 줄일 수밖에 없다”며 “미래 생산성과 경쟁력을 갉아먹어 장기적으로 주민들의 부담을 더 키울 것”이라고 지적했다.세종=주애진 기자 jaj@donga.com  
"
962,962,2021-01-30 3:00,"與, 4차 재난지원금 지급 대상서 봉급생활자는 제외 검토",동아일보,박민우 기자 ,"

더불어민주당이 신종 코로나바이러스 감염증(코로나19) 관련 4차 재난지원금을 지급할 때 봉급생활자는 지급 대상에서 제외하는 방안을 검토하고 있다. 실질적인 손실 보상과 소비 진작을 위해 전 국민에게 지급했던 1차 지원금보다 대상은 좁히되, 소상공인과 고용취약계층에 더 많은 금액을 지원하는 방안이다.  민주당 국난극복위원회 공동위원장인 김진표 의원은 29일 동아일보와의 통화에서 “국세청 과표 구간에서 면세점 이하인 저소득 근로소득자와 일용직근로자를 제외한 안정적인 봉급생활자는 4차 재난지원금 지급 대상에서 빼야 한다”고 밝혔다. 코로나19로 극심한 경제적 피해를 입은 소상공인과 자영업자, 고용취약계층과 달리 교사와 공무원 등 공공부문 근로자와 민간부문 상용근로자는 소득에 큰 타격이 없는 ‘코로나 무풍지대’에 있었다는 논리다. 지난해 5월 정부는 1차 재난지원금 대상으로 소득 하위 70%에 해당하는 1400만 가구(4인 가구 기준)에 최대 100만 원을 지급했는데, 여기서 봉급생활자를 제외할 경우 보상 대상은 800만 가구 수준으로 줄어든다.  김 의원은 “지급 대상을 줄일 경우 4차 재난지원금 규모를 15조 원 수준으로 책정하더라도 소상공인과 자영업자들에 대한 추가 보상까지 가능해진다”고 했다. 김 의원은 전날 정책의원총회에서도 이 같은 의견을 제시했다.  소상공인과 고용취약계층의 누적된 손실부터 보상하고, 방역 상황에 맞춰 추후 한 차례 더 광범위한 현금성 지원에 나서 경기를 활성화해야 한다는 의견도 나왔다. 김종민 최고위원은 이날 동아일보와의 통화에서 “3월에 피해 보상과 소비 진작을 위한 지원금을 동시에 지급하는 게 가장 좋겠지만 방역 당국의 판단이 더 중요하다”며 “3월에도 방역 상황이 나아지지 않으면 당장 시급한 손실 보상부터 나설 것”이라고 말했다. 당내에서 지원금에 대한 다양한 의견이 이어지는 가운데 민주당 지도부는 여러 가능성을 열어둔 채 속도전을 예고했다. 이날 부산을 방문한 이낙연 대표는 4차 재난지원금 지급과 관련해 “‘신속하고 유연하게’라는 원칙을 가지고 정부와 협의하겠다”고 밝혔다. 이 대표는 부산 부평시장 상인회와의 간담회에서 “우리 방역이 이만큼이나마 안정되고 있는 그 이면에는 우리 상인들을 비롯한 자영업자, 소상공인들의 눈물이 배어 있다는 것을 잘 안다”며 “저희들이 할 수 있는 한 지원을 늦지 않게 해드리는 쪽으로 노력하겠다”고 했다. 민주당은 2월 중 4차 재난지원금의 대상과 규모를 확정짓고 3월에 지급한다는 목표를 세웠다.  한편 당정은 4차 재난지원금과 손실보상 제도화에 따른 재원 마련으로 적자 국채 발행을 유력하게 검토하고 있다. 정세균 국무총리는 전날 “가계부채가 더 커지는 것을 막기 위해 국가가 부채 규모를 늘리고, 그러다가 가계가 건전해지면 세제 등을 통해 환류시킴으로써 재정 건전성이 다시 확보되는 생각도 해볼 수 있다”며 국채 발행론에 힘을 실었다. 국회 기획재정위원장인 민주당 윤후덕 의원도 “국가가 신속히 빚질 각오를 해야 한다”고 말했다.박민우 기자 minwoo@donga.com 
"
973,973,2021-01-28 3:00,당정 “손실보상 소급적용 없어”… 대신 與는 “4차 재난지원금”,동아일보,최혜령 기자 ,"

            신종 코로나바이러스 감염증(코로나19)으로 인한 소상공인, 자영업자의 피해를 보상하기 위해 손실보상제를 추진하고 있는 정부 여당이 지금까지의 영업 피해에 대해서는 보상하지 않기로 했다. 소급 적용을 하지 않고, 앞으로 있을 코로나19 방역 행정 명령에 따른 피해를 보상하겠다는 것이다. 그 대신 더불어민주당은 이르면 3월 4차 재난지원금을 지급하기 위한 논의를 공식화했다. 민주당 홍익표 정책위의장은 27일 의원총회에서 “(손실보상제의) 소급 적용 논란은 있을 수 없는 이야기다”라고 말했다. 여당 일부 의원들이 “지금까지 정부의 방역 조치에 따른 피해도 보상해줘야 한다”고 주장하고 있지만, 정세균 국무총리가 전날(26일) “손실보상제는 소급 적용을 염두에 둔 것이 아니다”라고 한 것에 여당도 뜻을 같이한 것이다.  그 대신 민주당은 4차 재난지원금 논의를 서둘러 소상공인, 자영업자들의 피해를 일부 지원하겠다는 계획이다. 홍 정책위의장은 “당장의 피해는 4차 재난지원금으로 고려해야 한다”고 말했다. 민주당은 2월 임시국회에서 4차 재난지원금 지급을 논의한 뒤 이르면 3월 말, 늦어도 4월 초 지급에 나서는 것을 목표로 하고 있다.  그러나 올해 예산 중 예비비가 약 3조8000억 원밖에 남지 않은 상황에서 4차 재난지원금을 지급하려면 적자 국채 발행이 불가피하다는 점이 걸림돌로 꼽힌다. 문재인 대통령 역시 18일 신년 기자회견에서 “4차 재난지원금을 말하기에는 정말 너무나 이른 시기라고 생각한다”고 거리를 둔 바 있다.최혜령 기자 herstory@donga.com 
"
975,975,2021-01-28 3:00,‘4차 재난지원금’ 카드 꺼내든 與… 보선 앞두고 논란,동아일보,최혜령 기자 ,"

            더불어민주당이 신종 코로나바이러스 감염증(코로나19) 피해에 대한 경제적 지원과 관련해 결국 4차 재난지원금 카드를 꺼내 들었다. 문재인 대통령이 18일 신년 기자회견에서 4차 재난지원금과 관련해 “지금은 논의할 때가 아니다”라고 선을 그었지만 4월 재·보궐선거를 앞둔 여당의 조급함이 반영됐다는 분석이 나온다. 민주당 홍익표 정책위의장은 27일 의원총회에서 “(코로나19로 인한) 당장의 피해는 4차 재난지원금으로 고려해야 한다”면서 “소상공인과 자영업자 손해를 보완해 줄 수 있다”고 말했다고 박성준 원내대변인이 밝혔다. 박 원내대변인은 4차 재난지원금 지급 시기에 대해 “2월 임시국회에서 논의하고, 3월 정도로 시기를 맞춰야 상반기 (경제 회복의) 마중물이 된다”고 했다. 4차 재난지원금 논의는 이달 초 이낙연 대표가 “코로나19 사태가 진정되고 경기 진작 필요가 생기면 재난지원금의 전 국민 지급도 검토할 수 있을 것”이라고 운을 떼면서 시작됐다. 하지만 문 대통령의 신년 기자회견을 기점으로 수면 아래로 내려갔다. 당시 문 대통령은 “지금은 3차 재난지원금을 지급하는 중”이라며 “2021년도 본예산도 이제 막 집행이 시작된 이 단계에 정부가 추가경정예산을 통해서 하는 4차 재난지원금을 말하기에는 정말 너무나 이른 시기라고 생각한다”고 했다.  이런 문 대통령의 뜻에도 불구하고 민주당이 4차 재난지원금 검토를 본격화한 것에 대해 여권 핵심 관계자는 “당장 지급할 마땅한 지원책이 없다”고 토로했다. 손실보상제의 경우 당정이 소급 적용을 검토하지 않기로 하면서 당장 예산 집행이 이뤄지기 어렵게 됐다. 또 민주당이 추진 중인 이익공유제를 위한 기금 마련 역시 그 시점을 점치기 어렵다.  또 다른 문제는 재원이다. 4차 재난지원금을 지급하려면 추경 편성을 통한 적자 국채를 발행해야 한다. 여당 싱크탱크인 민주연구원도 적자 국채 발행을 통해 135조 원의 재원을 마련하고, 이 중 100조 원가량을 추경에 편성해 재난지원금 등을 포함한 코로나19 지원에 쓰자는 보고서를 냈다. 4차 재난지원금은 전 국민에게 온라인 거래만 가능한 지역상품권으로 지급하자는 내용도 담겼다. 이에 대해 민주당은 “연구자의 개인적 의견에 불과할 뿐 당 차원에서 관련 내용을 논의한 적도, 검토한 적도 없다”고 밝혔다. 최혜령 기자 herstory@donga.com 
"
