,date,title,reporter,content,press
23,2021-01-11,“소상공인 집중 지원·대출 상환 유예”…야권도 ‘선별’ 재난지원금 요구, 장나래 기자 wing@hani.co.kr,"보수 야권은 11일 집권여당 안에서 제기되는 ‘전국민 재난지원금’ 지급론을 “선거용”으로 비판하면서 소상공인 등 코로나 취약계층에 대한 선별 지원금 지급을 요구했다.
 김종인 국민의힘 비상대책위원장은 이날 비대위 회의에서 “최근에 정부여당이 4차 재난지원금을 논의하고 있지만, 지원금을 1년 동안에 걸쳐서 어려움을 겪고 있는 소상공인, 중소기업, 자영업자들에게 보다 집중적으로 지원하는 것이 더 (큰) 효과를 가져올 것이라 생각한다”고 밝혔다. 정부가 역점을 두고 있는 ‘한국형 뉴딜’ 사업에 대해서도 “지금이라도 사업을 충실히 준비해 경제구조 전환을 지원해야 한다. 특히 코로나 충격 집중되는 취약계층 지원에 중점을 둬야 한다”고 강조했다. 

   안철수 국민의당 대표도 이날 최고위원회의에서 “정부와 여당은 4차 재난지원금을 보편 지급할 것이냐 선별 지급할 것이냐로 옥신각신하고 있다. 어떻게 하면 이번 서울, 부산시장 보궐선거에서 표를 살 수 있을까 고민하는 사이에, 소상공인과 자영업 사장님들은 벼랑으로 추락하고 있다”고 목소리를 높였다. 그러면서 “정부는 벼랑 끝에 매달린 분들부터 살릴 방안을 제시해야 한다. 정부 당국은 코로나 집단면역이 달성될 때까지, 올 한 해 만이라도 매출이 줄어든 소상공인과 자영업에 대한 대출의 원리금과 이자 상환을 전면 유예해달라”고 요구했다. ",hankyoreh
139,2021-01-06,민주당 “재난지원금을 선거용으로 몰아가는 게 정략”, 김원철 기자 wonchul@hani.co.kr,"더불어민주당이 4차 재난지원금 지급과 관련해 본격적인 논의를 시작한다.
 최인호 당 수석대변인은 6일 오전 최고위원회의 뒤 기자들과 만나 “코로나19 대응(을 위해 재난지원금 지급이 필요하다는) 공감대가 당내에 확산되는 게 사실”이라며 “소관 상임위원회나 당 정책위원회 차원에서 깊은 논의가 있을 것”이라고 말했다. 최 수석대변인은 “방역을 우선하는 게 전제”라면서도 “(코로나19 확진자가) 감소 추세에 접어들었는지 판단하기 이르지만, 어쨌든 감소되니까 상황을 예의주시하면서, 방역은 방역대로 강화하며 면밀하게 준비해 나가야 한다”고 말했다.
‘선거용’이라는 비판에 대해선 “피해를 입는 계층의 어려움은 안중에도 없는 정략적인 주장”이라며 “피해계층의 호소가 나날이 깊어가고 심지어 일부 자영업자들은 개점 시위까지 하고 있다. (재난지원금을 선거용으로 몰아가는) 그런 시각은 그분들의 어려움을 헤어라지 못하는 것”이라고 말했다.",hankyoreh
140,2021-03-10,문 대통령 “여야 뜻 모으면 4차 재난지원금 대상에 농민 추가”,이완 기자 wani@hani.co.kr,"소상공인과 자영업자 등이 대상인 4차 재난지원금 지급 대상에 농민이 추가될 것으로 보인다. 
문 대통령은 10일 더불어민주당 원내대표단과 점심 간담회를 마치면서 “(재난지원금 대상에) 농민을 추가하는 것은 국회에도 공감대가 있다고 들었다. 여야간 공감대가 있다면 정부에 받아들이도록 지시하겠다”고 말했다고 강민석 청와대 대변인이 전했다. 간담회에서는 전북 김제부안이 지역구인 이원택 의원이 ‘추가경정예산(추경)에 경작 면적이 1헥타르 미만인 소농에 대해선 지원금이 반영되어 있지 않는 등 농민이 소외받고 있다’고 호소했다고 한다. 앞서 이낙연 전 민주당 대표도 이달초 “추경안 심의 과정에서 농민 지원을 가장 우선해서 보완토록 심의하겠다”고 밝힌 바 있다. 
문 대통령은 가덕도 신공항 건설에도 다시 한번 힘을 실었다. 문 대통령은 “가덕도 신공항을 2029년까지 완공하겠다는 것은 2030년 부산엑스포와 맞물려 있다”며 국토균형발전 차원에서 신공항이 꼭 필요하다는 점을 거듭 상기시켰다고 한다. 
청와대는 한국토지주택공사(LH·엘에이치) 직원의 새도시 투기와 관련해 여권 일각에서 나오는 변창흠 국토교통부 장관 경진론에 선을 그었다. 청와대 관계자는 “문 대통령이 (변 장관) 경질에 관한 언급을 한 적은 한번도 없다. 오늘 간담회에서 여당 원내지도부도 전혀 그런 의견이 없었다”고 전했다. 문 대통령은 전날 “2·4 부동산 대책의 추진에 차질이 없어야 한다”며, 2·4 대책 수립을 총괄한 변 장관에게 후속 업무를 계속 맡기겠다는 뜻을 밝힌 바 있다.",hankyoreh
159,2021-02-15,4차 재난지원금 서두르는 민주당…국민의힘 “손실보상법이 먼저”,노지원 오연서 기자 zone@hani.co.kr,"4차 재난지원금 지급을 둘러싼 여야 신경전이 가열되고 있다. 이달 안에 추경안을 편성해 3월 임시국회에서 처리하는 즉시 지원금을 지급하려는 더불어민주당과, 재난지원금보다 소상공인을 대상으로 한 ‘손실보상법’ 제정이 우선이라는 국민의힘이 팽팽히 맞서는 상황이다. 4월 보궐선거를 앞두고 우호적 여론을 조성하려는 여당과, 이를 저지하려는 야당의 정략이 맞물리면서 양쪽의 설전은 시간이 갈수록 달아오를 것으로 보인다.


이낙연 민주당 대표는 15일 최고위원회의에서 올해 첫 추가경정예산안 편성을 위한 당·정 협의가 시작된 사실을 전하며 “추경의 중심이 될 제4차 재난지원금은 이전의 피해지원금보다 더 넓게, 더 두텁게 지급되어야 한다. 제도의 사각지대를 최소화해 지원하고 피해계층, 취약계층의 고통이 커진 만큼 지원도 두터워져야 한다고 정부에 거듭 요구한다”고 밝혔다. 김태년 원내대표는 추경과 4차 재난지원금 지급 시기에 대해 “세부적인 당정 협의를 통해 2월에 추경안을 편성하고 3월 중 국회 처리를 통해 3월 후반기부터 긴급재난지원금이 지급될 수 있도록 속도감 있게 추진하겠다”고 밝혔다. 정부의 추경안 제출 시기와 관련해선 “(기재부가) 이번 달 안에 제출했으면 좋겠다는 것이 당의 뜻”이라고 민주당 관계자는 전했다..
앞으로 민주당은 기획재정부와 실무 협의를 하며 ‘지원 대상자 범위’와 ‘지원 액수’를 늘리는 데 주력할 것으로 보인다. 3차 재난지원금의 경우 상시 고용 5인 미만, 연 매출 4억원 미만이라야 받을 수 있었는데, 이번엔 상한선을 더 높이거나 없애겠다는 것이다. 민주당은 지급 액수도 3차 때보다 늘리는 안을 검토하고 있다. 3차 지원 당시 정부는 ‘소상공인 버팀목 자금’이라는 이름으로 영업 제한·금지 등의 방역 조치에 따라 경제적 손실을 입은 소상공인에게 100만∼300만원을 지원했다. 
민주당 원내 관계자는 “세수가 데이터에 잡히지 않는(납세 내역이 없는) 영세업자의 고통도 심각하다. 지난해 창업했다가 올해 코로나로 문을 닫은 자영업자 등이 여기에 속한다. 이런 사각지대를 어떻게든 줄이려다보니 총액 또한 늘 수밖에 없다”고 말했다. 이에 따라 4차 재난지원금 규모는 지난 3차(9조3000억원) 때보다 늘어날 전망이다. 당정은 재원 조달을 위해 국채를 발행하는 방안도 검토 중이다.





정부여당이 4차 재난지원금 추진 계획을 내놓자 국민의힘은 “선거용”이라고 목소리를 높였다. 그러면서 재난지원금보다 코로나19로 인한 자영업자·소상공인들의 피해 보전을 법적으로 보장하는 손실보상법 제정이 먼저라는 입장을 밝혔다. 주호영 원내대표는 이날 당 비상대책위원회의에서 “정부의 행정명령으로 손해를 본 국민에게 손해를 정확히 측정해 지급하는 게 가장 중요하다. 임의대로 기준을 가지고 (4차 재난지원금) 지급을 하게 되면 또 다른 불만과 문제를 야기할 것 같다”고 했다. 그러면서 “지금이라도 손실보상법 제정 기준 마련에 더 집중해주길 바란다. 3차 재난지원금을 (모두) 지급하기 전에 4차 재난지원금을 지급하겠다고 하는 건 선거를 앞두고 국민 주권을 돈으로 사겠다는 의도가 있다고 볼 수밖에 없다”고 덧붙였다. 민주당은 이달 25일 전까지 손실보상법과 사회연대기금법을 발의하겠다는 입장이다. 
추경을 편성해 재난지원금 예산을 마련하겠다는 정부여당의 계획에 대해선 “재원 조달 방법을 정확히 밝히라”고 압박했다. 주 원내대표는 “민주당은 2021년 예산에 재난지원금을 한푼도 편성하지 않고 있다가 국민의힘의 요구로 3차 재난지원금을 (추경으로) 편성하더니, 이제 와서 예산을 조정해 4차 재난지원금을 준다는데 그말에 진정성이 없다. 올해 예산에 재난지원금을 편성하지 않은 것을 사과하고, 어떤 방법으로 재원을 조달할 것인지 명확하게 밝혀야 한다”고 말했다.",hankyoreh
234,2021-03-02,문 대통령 “4차 재난지원금 신속 지급되도록 국회가 서둘러달라”,서영지 기자 yj@hani.co.kr,"문재인 대통령은 2일 “4차 재난지원금이 어려운 국민에게 하루빨리 지급될 수 있도록 국회의 신속한 논의와 협의를 당부드린다”고 말했다.
문 대통령은 이날 청와대에서 국무회의를 주재하며 “당정협의를 거쳐 19조5천억 규모의 4차 재난지원금을 마련했다. 지난해에 이어 2년 연속 3월 초에 추경안을 국회에 제출하게 된 것은 코로나19로 인한 민생과 고용위기가 어느 때보다 심각하기 때문”이라며 “이를 해결하는 것이 정부와 국회의 가장 시급한 과제”라고 밝혔다.
코로나19 백신 접종과 관련해선 “정치권과 언론은 국민 불안을 부추기는 가짜뉴스를 경계하면서 안정된 백신 접종을 위해 적극적으로 협조해주길 부탁드린다”고 말했다. 문 대통령은 “어떤 백신이든 백신의 안정성을 정부가 약속하고 책임진다. 백신이 일상회복을 위한 전환점이지만 집단면역이라는 종착점에 이르려면 더 많은 시간이 걸린다”고 강조했다. 
문 대통령은 또 “여야 합의로 통과된 4·3 특별법 개정은 국가 폭력에 대한 책임을 명시하고 희생자에 대한 배상과 보상 근거를 마련했다는 점에서 매우 뜻 깊은 진전”이라며 “정부는 이번 특별법 의미를 살려 4·3 희생자에 대한 공정하고 합리적인 피해 보상 기준 마련, 추가 진행조사와 특별재심 등 후속 조치를 차질없이 이행해 나가겠다”고 말했다. 
국제노동기구(ILO) 핵심협약 비준 관련해선 “최근 유럽연합(EU) 등 국제사회의 노동권 중시가 강화된 가운데 통상분쟁의 소지를 줄이는 데도 큰 도움이 되리라 기대한다. 이를 계기로 근래 대두되고 있는 새로운 유형의 노동자들과 새로운 노동 현실 속 새로운 노동관계까지 확산돼 나가기를 바란다”고 말했다. ",hankyoreh
450,2021-02-15,국민의힘 “4차 재난지원금은 돈으로 사려는 선거용”,오연서 기자 loveletter@hani.co.kr,"국민의힘은 여당과 정부가 4차 재난지원금을 ‘4·7 재보궐선거’ 직전인 3월 말께 지급하는 것을 목표로 추진하는 데 대해 “선거용 지원”이라고 비판했다. 그러면서 코로나19로 인한 자영업자·소상공인들의 피해 보전을 법적으로 보장하는 손실보상법 제정이 먼저라고 주장했다. 
주호영 원내대표는 15일 당 비상대책위원회의에서 “3차 재난지원금을 (모두) 지급하기 전에 4차 재난지원금을 지급하겠다고 하는 건 선거를 앞두고 국민 주권을 돈으로 사겠다는 의도가 있다고 볼 수밖에 없다”고 말했다. 주 원내대표는 김태년 더불어민주당 원내대표가 4차 재난지원금 지급을 위한 추가경정예산안 편성을 언급한 데 대해 “선거를 앞두고 더불어민주당이 4차 재난지원금 지급을 서두르는 것 같다. 아마 선거 직전에 (지급)하려고 그런 이야기를 하는 것 같다”며 “4차 재난지원금 지급에 앞서 손실보상법의 정교한 제정이 급선무”라고 밝혔다. 김태년 원내대표는 전날 ‘추경 2월 편성-3월 초 추경 처리-3월 하반기 4차 재난지원금 지급’ 계획을 밝힌 바 있다.
이어 주 원내대표는 “정부의 행정명령으로 손해를 본 국민에게 손해를 정확히 측정해 지급하는 게 가장 중요하다. 임의대로 기준을 가지고 (4차 재난지원금) 지급을 하게 되면 또 다른 불만과 문제를 야기할 것 같다”며 “지금이라도 손실보상법 제정 기준 마련에 더 집중해주길 바란다”고 말했다. 
정부가 올해 예산안에 재난지원금 관련 예산을 편성하지 않은 것에 대해서도 사과를 요구했다. 주 원내대표는 “민주당은 2021년 예산에 재난지원금을 한푼도 편성하지 않고 있다가 국민의힘의 요구로 3차 재난지원금을 (추경으로) 편성했다. 이제 와서 예산을 조정해 4차 재난지원금을 준다는데, 그말에 진정성이 없다”며 “올해 예산에 재난지원금을 편성하지 않은 것을 사과하고, 어떤 방법으로 재원을 조달할 것인지 명확하게 밝혀주길 바란다”고 말했다. ",hankyoreh
622,2021-02-14,"윤희숙 “재난지원금, 차라리 4월6일에 지급하지 그러나?”",장나래 기자 wing@hani.co.kr,"윤희숙 국민의힘 의원은 여당이 검토하는 3월 내 4차 재난지원금 지급 방안에 대해 “벼랑 끝 소상공인을 선거전략 대상으로 삼고 있다”고 비판하며, 정부 차원의 무이자 대출을 제안했다.
윤 의원은 14일 페이스북에 글을 올려 “코로나 재난지원금이 이제 대놓고 보궐선거 전략이 되는 것 같다”며 “3월을 넘기지 않고 보편·선별 병행지급을 하자는 여당 주장에 대해, 아예 ‘선거 전날인 4월6일에 지급하지 그러냐’는 냉소가 만연할 정도”라고 비판했다. 또한 윤 의원은 “온라인 경제의 확대로 일부 업종은 전 직원 보너스까지 지급하는 데 반해 대면 서비스 중심인 업종들은 폐업 쓰나미에 직면했다. 그렇게 승자와 피해자가 확연히 나뉜 것이 이번 코로나 재난의 전례 없는 특징인데도 나랏빚을 내 전 국민에게 위로금을 지급하자니”라고 적으며 보편 지급에 대한 반대 입장을 분명히 했다. 그러면서 “현재 피해계층에 지원금을 집중해야 한다는 총리, 부총리와 고무신 삼아 다 뿌려야 한다는 여당이 대치하는 가운데, 문재인 대통령은 8일 ‘재정이 감당할 수 있는 범위에서 과감하게’라며 언제나와 마찬가지로 애매한 말을 했다. 선거판의 분위기를 봐서 어느 편을 들 것인지 정하겠다는 것이다. 우리 정치의 수준”이라며 문 대통령을 겨냥하기도 했다.
이어 정부의 무이자 대출을 대안으로 제시했다. 윤 의원은 “정부·여당에 제안한다. 전 국민에게 지급했던 1차 재난지원금에 14조원이 들었다. 14조원이면 300조에 달하는 돈을 1년간의 무이자 대출에 충당할 수 있다”며 “매출이 감소했다는 간단한 증빙만 들고 온다면 원하는 소상공인 모두에게 이번 주라도 즉시 대출을 제공하자”고 주장했다. 이어 “백신으로 상황이 안정될 때까지 그들이 버틸 수 있도록 일단 대출을 제공한 후, 추후 정부가 일부를 대납하는 것으로 하자. 상환해야 할 금액 중 임대료, 인건비 등 어떤 부분을 누구 대상으로 정부가 대납할지는 선거 후에라도 차차 의논하면 된다. 이게 바로 피해계층 내의 보편·선별 병행지원”이라고 덧붙였다. ",hankyoreh
690,2021-01-19,민주당 재난지원금 속도조절 요청에도 이재명쪽 “고심중…설 이전 지급 유력”,노지원 김기성 기자 zone@hani.co.kr,"경기도의 재난지원금 지급 여부가 더불어민주당 내 민감한 정치 이슈로 점점 떠오르고 있다.
더불어민주당은 경기도민 모두에게 10만원의 지역화폐를 지급하려는 이 지사에게 ‘지방자치단체의 자율권을 존중하지만 정부의 방역 상황을 충분히 고려해야 한다’는 취지의 공식 입장을 전달한 것으로 19일 전해진다. 이 지사 쪽은 “당의 의견을 존중한다”는 뜻을 밝혔지만, 실제 지급 여부에 대해서는 명확한 답을 하지 않았다.
홍익표 정책위의장은 전날인 18일 이 지사에게 직접 전화를 걸어 당의 이런 공식 입장을 전달했다. 이 지사 쪽은 다음날인 19일 ‘재난기본소득 관련 당 공식 입장에 대한 이재명 지사 쪽 입장’을 내어 “당의 의견을 존중하며, 방역 상황을 충분히 감안해 재난기본소득의 집행 시기와 지급 대상, 수단 등을 결정하겠다”고 밝혔다.
민주당이 ‘방역 상황을 고려해달라’고 한 것은 여전히 코로나19 신규 확진자가 하루 300명 이상 발생하는 것을 염두에 둔 것이다. 또 지방자치단체마다 동원할 재정 여력에도 차이가 있는 만큼 지역별 형평성을 고려해야 한다는 의견도 나왔다. 무엇보다 정부가 전국민 대상 재난지원금 지급보다 피해를 입은 이들에게 집중지원 하는 방식을 택했는데, 개별 지자체에서 다른 움직임을 보이는 것에 대한 부담이 크다. 더욱이 이 지사는 유력 대선 후보여서 정치적 해석이 더해진다. 이 때문에 당 지도부 회의에선 이 지사에게 ‘지금 지급을 할 때가 아니다’라고 명확히 뜻을 전해야 한다는 주장도 나온 것으로 전해졌다.
그러나 경기도 관계자는 이날 “당 요구 때문에 고심 중이지만, 설 전 지급이 유력하다”며 “지사의 결심만 남은 상태”라고 말했다.",hankyoreh
696,2021-01-17,이재명 “민주당에 재난지원금 관련 공식입장 요청…당론 따를 것”,정환봉 기자 bonge@hani.co.kr,"이재명 경기도지사가 더불어민주당에 지방정부의 재난지원금 지급 여부 및 방식 등에 대한 공식 입장을 요청했다고 17일 밝혔다. 
이 지사는 이날 자신의 페이스북에 “재난지원금을 둘러싼 민주당 내 활발한 논의 또한 자연스러운 일이고, 당론이 정해지지 않는 한 자유로운 토론과 입장개진, 자치정부의 자율적 정책 결정과 집행은 존중되어야 한다”며 “당원의 한사람으로서 당에 지방정부의 재난지원금 지급 여부, 지급방식, 지급대상, 지급 시기 등에 대한 당의 공식입장을 요청했고, 당 지도부에서 이를 받아들여 신속히 입장을 정리해주시기로 했다”고 적었다. 이 지사는 설 연휴 이전에 경기도 차원의 2차 재난기본소득 10만원을 3개월이 지나면 소멸하는 지역 화폐나 신용카드 포인트로 보편 지급할 계획이다. 하지만 민주당 내에서는 경기도의 재난기본소득 지급이 방역에 혼선을 줄 수 있다며 반대하는 주장이 나오기도 했다. 
이 지사는 이같은 분위기를 의식한 듯 “당내 논의에 따라 합리적인 당론이 정해지면 경기도 정책 결정과 집행과정에 충분히 반영할 것”이라며 “내일(18일) 예정했던 재난지원금 관련 기자회견 취소는 당의 의사결정과정에 대한 당연한 존중의 결과다. 또한 경기도의 기자회견 일정이 확정된 후 공개된 문재인 대통령님의 신년기자회견에 집중하는 것도 중요한 일이다”고 밝혔다. 경기도는 애초 18일 2차 재난기본소득 지급 계획을 발표하려고 했으나, 이날 기자회견을 연기했다. 
또 이 지사는 “당내 정책경쟁과 당원 간 토론을 분열과 갈등으로 규정하고 갈라치기 하는 어떤 정략적 시도도 결코 성공할 수 없을 것으로 생각한다”며 재난기본소득을 둘러 싼 논쟁이 당내 갈등이 아니라는 점을 거듭 강조했다. ",hankyoreh
789,2021-01-06,유승민 “전국민 재난지원금은 선거 앞둔 매표행위”, 노현웅 기자 goloke@hani.co.kr,"유승민 전 의원이 정부·여당이 군불을 떼는 4차 재난지원금 지급 논의에 대해 “선거를 앞둔 매표 행위”라고 강하게 비난했다.
 유 전 의원은 6일 자신의 페이스북에 “서울, 부산시장 보궐선거가 다가오자 또 악성 포퓰리즘이 고개를 내밀고 있다”며 “전국민 재난지원금은 공정하지도 정의롭지도 않고, 경제정책으로서도 열등한 정책”이라고 적었다.  그는 “전국민에게 똑같은 돈을 지급하니까 얼핏 평등하고 공정할 것 같은 착각을 일으키지만, 끼니를 걱정해야 할 실업자, 수개월째 임대료가 밀린 자영업자 가족에게 100만원은 너무나도 절실한 돈이지만, 고소득층 가족에게 그 돈은 없어도 그만인 공돈”이라며 “같은 100만원이 너무나 소중한 분들과 그 100만원 없어도 지장 없는 분들 사이에서 과연 공정과 정의란 무엇인가”라고 되물었다. 그러면서 “소비성향이 높을 수밖에 없는 저소득층은 100만원을 받아 대부분 소비에 쓸 것이나, 고소득층에게 100만원은 저축으로 갈 가능성이 높다”며 정책 효과 역시 낮을 수밖에 없다고 짚었다.
 이어 유 전 의원은 “고소득층에게 줄 100만원을 저소득층 가족에게 보태줘서 100만원을 두 번 줄 수 있다면 그게 더 공정하고 정의로운 것”이라며 “부자는 세금을 더 내고 가난한 사람은 덜 내는 것, 국가의 도움이 꼭 필요한 사람을 국민 세금으로 돕는 것, 이것이 사회복지의 철학이고 원리”라고 강조했다.
 앞서 더불어민주당 주요 인사들은 잇따라 전국민 재난지원금을 언급하며 정치 현안으로 부각시켰다. 이낙연 민주당 대표는 지난 4일 <한국방송> 인터뷰에서 “코로나가 진정되고 ‘경기를 진작해야 한다’ 할 때는 전국민 지원 방안도 검토할 수 있다”고 언급했다. 3차 대유행이 어느 정도 진정세를 보이면 지급을 검토하겠다는 뜻인데, 공교롭게 오는 4월 보궐선거와 시기가 겹친다. 이어 홍익표 민주당 정책위원회 의장도 5일 <한국방송> 라디오에서 “‘전국민 지급이 필요한 시점’이라 한다면 적극적으로 논의할 생각은 있다”고 말했다. 정세균 국무총리도 지난 4일 <문화방송> ‘100분 토론’에서 “재난지원금은 가능한 차등 지원이 옳다”면서도 “코로나 상황을 보면 월급 등에서 피해를 본 국민이 많다. 앞으로 (추이를) 보면서 꼭 필요한 정책을 실행해야 한다”고 말해, 전국민 재난지원금 검토 가능성을 내비쳤다. 이에 국민의힘 지도부는 “선거용 재난지원금 카드를 또 꺼내드는 것 아니냐”며 불편한 심기를 비친 바 있다.",hankyoreh
