,date,title,reporter,content,press
21,2021.04.22,홍준표 “MB·朴 단절 시도는 위선... 부끄러워도 내 조상”,남지현 기자,"무소속 홍준표 의원이 22일 국민의힘을 향해 “이명박⋅박근혜 정권의 공과를 안고 더 나은 모습으로 국민들의 심판을 받을 생각을 해야 한다”고 했다.
홍 의원은 이날 페이스북에 “아무리 염량세태(炎涼世態·뜨거웠다가 차가워지는 세태)라고들 하지만 부끄러운 조상도 내 조상이고, 부끄러운 부모도 내 부모”라며 이같이 밝혔다.
그러면서 “이명박⋅박근혜 전 정권과 역사를 단절시키면서까지 집권을 꿈꾸는 것은 위선이고 기만”이라고 했다. 최근 국민의힘 내부에서 나오는 두 전직 대통령 사면론에 대한 부정적인 기류를 비판한 것으로 해석된다.
홍 의원은 “지금 집권한 문재인 대통령은 폐족을 자처하던 노무현 잔여세력들이 뭉쳐 노무현 정권 2기를 만든 것이지, 노무현 정권과 차별화하거나 역사 단절을 외치고 있지 않다”고 했다.
그는 역대 정권들이 이전 정권의 공과를 안고 집권했다며 “제가 (자유한국당) 대표 시절 당사에 이승만⋅박정희⋅김영삼 전 대통령의 사진을 건 것도 바로 그런 뜻”이었다고 했다. 이어 “쿠데타로 집권하지 않은 이상 단절되지 않고 도도히 흘러가는 것이 역사”라고 했다.
",조선일보
153,2021.04.16,"홍준표 “福將 김종인, 보궐 운좋게 이겨… 두번 행운 없다”",김동하 기자,"무소속 홍준표 의원이 16일 김종인 전 국민의힘 비상대책위원장에 대해 “지장, 용장, 덕장도 아닌 복장(福將)이었기 때문에 (보궐선거를) 운 좋게 이긴 것”이라고 했다.
홍 의원은 이날 페이스북에 최근 여론조사에서 여당 참패로 끝난 4·7 재·보궐선거를 두고 ‘국민의힘이 잘해서’라는 응답자가 7%에 그친 결과를 인용하며 이같이 밝혔다.
홍 의원은 “그만큼 지난 1년 동안 김종인 비대위 체제는 국민들의 신망을 받지 못한 체제였다”며 “얼마든지 대선 때는 또 다를 수 있다는 것을 보여준 국민들의 분노 투표였다”고 했다.
그는 “그러나 또다시 당의 정체성이 불분명하고 가마니 전략으로 반사적 이익만 노리는 것은 우리 국민들은 더이상 용납지 않을 것”이라며 “두 번의 행운은 없다”고 했다.
홍 의원은 작년 총선에서 미래통합당(국민의힘 전신) 공천에 불복하고 탈당, 무소속으로 당선됐다. 김종인 전 위원장이 홍 의원의 복당을 반대하면서 둘은 불편한 관계였다.
홍 의원이 인용한 여론조사는 엠브레인·케이스탯·코리아리서치·한국리서치가 지난 12~14일 전국 18세 이상 1010명을 대상으로 실시한 결과다.
이 조사에서 국민의힘이 서울과 부산시장 선거에서 승리한 주된 이유에 대해 ‘더불어민주당이 잘못해서’란 응답이 61%였다. ‘전임 시장 잘못에 대한 심판 때문에’가 18%였다. 반면 ‘국민의힘의 정책과 공약이 좋아서’는 3%, ‘국민의힘 후보가 좋아서’ 는 3%, ‘국민의힘이 정당 활동을 잘해서’ 는 1%였다. 80% 가까운 응답자가 여당 실정을 원인으로 꼽은 반면 ‘국민의힘이 좋고 잘해서 이겼다’는 7%에 그친 것이다. 자세한 내용은 중앙선거여론조사심의위원회를 참조하면 된다.",조선일보
277,2021.04.17,"홍준표 “권력 영원하지 않아...文, MB·박근혜 사면하라”",안준용 기자,"홍준표 무소속 의원이 17일 문재인 대통령을 향해 “두 전직 대통령(이명박·박근혜 전 대통령)을 사면하라”고 촉구했다.
홍 의원은 이날 페이스북에서 “시간이 지나면 텅 비는 모래시계처럼 권력은 영원하지 않다”며 “레임덕을 막으려고 몸부림치면 칠수록 권력은 더 깊은 수렁으로 빠지게 된다”고 했다. 그러면서 문 대통령을 향해 “섭리로 받아들이시고 마무리 국민통합 국정에만 전념하라”라고 했다.
홍 의원은 특히 “온누리에 부처님의 가피(加被·자비로 힘을 주는 일)가 펼쳐지는 초파일이 다가온다”면서 “자신의 업보로 될 두 전직 대통령도 이제 사면하고 마지막으로 늦었지만 화해와 화합의 국정을 펼치길 기대한다. 지켜보겠다”고 했다.
앞서 그는 지난 1월엔 이명박·박근혜 전 대통령과 관련, “두 분 다 정치재판의 희생양인데 죄가 있다는 것을 전제로 사면을 요구하는 것은 자가당착”이라며 “사면 요구할 것이 아니라 석방 요구를 하는 것이 도리에 맞고 이치에 맞는 주장”이라고 했었다. 하지만 이날은 사면을 해야 한다고 주장한 것이다.",조선일보
314,2021.04.25,홍준표 “조폭·양아치 리더십 미화 안돼”... 윤석열·이재명 겨냥?,김동하 기자,"무소속 홍준표 의원이 24일 “조폭 리더십이 형님 리더십으로 미화되고 양아치 리더십이 사이다 리더십으로 둔갑하는 나라가 되어서는 안 된다”고 했다.
홍 의원은 이날 페이스북에 “평상심이 지배하고 상식이 변칙을 누르는 정상사회로 돌아가야 한다”며 이같이 밝혔다.
홍 의원은 ‘조폭 리더십’ ‘사이다 리더십’이 누구를 지칭하는지는 언급하지 않았다. 그러나 정치권에선 “같은 대선 후보로 분류되는 윤석열 전 검찰총장과 이재명 경기지사를 겨냥한 것 아니냐”는 말이 나왔다. 홍 의원이 최근 검찰에 대해선 “조폭 같은 의리로 뭉쳐 국민 위에 ‘영감’으로 군림했다”고 했고, 이 지사에 대해선 “양아치 같은 행동으로 주목을 끈다”고 했기 때문이다.
홍 의원은 “응답률 5%도 안 되는 여론조사가 활개치는 나라가 되어서도 안 된다”며 여론조사와 언론에 대한 불만도 표시했다. 윤 전 총장과 이 지사는 최근 각종 여론조사에서 선두권을 형성하고 있다.
홍 의원은 “B급 언론이 각광을 받고 페이크뉴스(가짜뉴스)가 난무하고 정도를 가는 언론이 오히려 외면받는 세상이 되면 한국사회는 B급 사회가 되고 거짓과 선동이 난무하는 혼돈의 세상이 된다”고 했다.",조선일보
567,2021.03.23,"홍준표, 10년전 악연 오세훈에 “참 대단한 분... 서울 탈환하자”",김동하 기자,"무소속 홍준표 의원이 23일 서울시장 야권 단일후보로 국민의힘 오세훈 후보가 선출되자 “참 대단한 분”이라고 치켜세웠다. 2011년 오 후보의 서울시장직 사퇴 후폭풍으로 그해 말 결국 한나라당 대표직에서 물러나야 했던 ‘악연’으로 얽힌 홍 의원이지만, 앙금을 털어낸 모습이다.
홍 의원은 이날 페이스북에 “오 후보의 승리를 축하 드린다”며 “10여년의 정치 공백을 딛고 다시 힘찬 도약에 나선 오 후보는 참 대단한 분”이라고 했다.
또 “(국민의당) 안철수 후보도 아름다운 단일화를 성공적으로 마무리해 주신 점에 대해 무한한 감사의 말씀을 드린다”고 했다.
그러면서 “이제 모두 힘을 모아 서울 시장 탈환에 나섭시다”라며 “서울 교체가 정권 교체”라고 했다.
오 후보는 지난 2011년 8월 서울시장 재임 당시 여당이었던 한나라당 지도부의 만류에도 무상급식을 걸고 주민투표를 하면서 자신의 재신임을 물었다. 주민투표가 무산되면서 결국 오 후보는 사퇴했다.
야권의 ‘안철수 현상’ 주인공이었던 안 후보가 박원순 시민운동가에게 서울시장 후보를 양보했고, 박원순 후보가 당선되며 정치판이 재편됐다. 여당 역시 지도부 쇄신론이 강하게 일면서 홍 의원은 2011년 12월 대표직에서 물러나야 했다.
두 사람은 지난 2019년 자유한국당 당 대표 경선 출마를 선언하며 경쟁을 펼치기도 했다. 홍 의원은 이후 전당대회 보이콧을 선언했다.",조선일보
598,2021.04.16,홍준표 “대통령 잔혹사 계속…다음 정권에도 없으란 보장 있나”,장근욱 기자,"홍준표 무소속 의원이 대한민국 역대 대통령의 퇴임 후 잔혹사를 언급하며 “다음 정권에도 그런 일이 일어나지 않는다는 보장이 있느냐”고 했다.
홍 의원은 16일 페이스북에 올린 글에서 “초대 대통령 이승만은 4·19 혁명으로 하야했고, 윤보선 대통령은 5·16 쿠데타로 하야를 당했다. 박정희 대통령은 피격돼 서거했고 최규하 대통령은 신군부에 의해 쫓겨났다”고 썼다. 또 “전두환·노태우 대통령은 군사 반란 등으로 사형 선고까지 받았고, YS(김영삼 대통령)는 IMF(국제통화기금) 사태로 퇴임후 곤욕을 치렀다. 노무현 대통령은 비극적인 자진(自盡)을 했고, 이명박·박근혜 대통령은 문정권의 정치 보복으로 아직도 영어의 몸이 되어 있다”고 했다.
이어 “문재인 대통령도 이제 퇴임을 앞두고 있다”며 “대한민국 대통령 잔혹사는 끊임없이 계속되고 있는데, 다음 정권에도 그런 일이 일어나지 않는다는 보장이 있느냐”고 물었다.
홍 의원은 또 “이런 불행한 최후를 맞는 대한민국 대통령을 하겠다고 오늘도 열심히 뛰는 사람들은 자신만은 예외가 될 수 있다고 믿어서일까”라며 “역대 대통령 중 행복한 노후를 보낸 분은 DJ(김대중 대통령)밖에 없었다”고 글을 맺었다.
",조선일보
640,2021.04.18,홍준표 “文 원전비리 중죄 면키 어려워...전임자들 사면해야”,최규민 기자,"무소속 홍준표 의원이 연일 이명박·박근혜 두 전직 대통령 사면론을 띄우고 있다.
홍 의원은 17일 페이스북에서 문재인 대통령을 향해 “수많은 통치행위 중 원전비리 사건 하나만 하더라도 중죄를 면하기 어려울 것”이라며 “더이상 감정으로 몽니 부리지 말고 두 전직 대통령을 사면하라. 그게 훗날을 위해서도 바람직하다”고 했다.
홍 의원은 노무현 대통령 초기 대북 송금 사건을 수사하면서 박지원(현 국정원장)만 구속하고 DJ는 조사조차 하지 않은 것은 통치행위로 판단했기 때문이라며 “대통령의 통치행위는 위법 여부를 떠나 사법심사의 대상이 안되는 것이 판례였고 법조 상식이었는데, 문 대통령은 정치수사와 정치재판을 통해 이명박·박근혜 두 대통령을 구속해 대통령의 통치행위도 수사대상과 사법심사 대상이 된다는 관례를 만들었다”고 주장했다.
이어 그는 “퇴임후 누가 후임 대통령이 되더라도 그게 변명할 수 없는 부메랑이 될 것”이라며 “이젠 화해와 화합의 정치를 하라”고 조언했다.
홍 의원은 전날에도 “시간이 지나면 텅 비는 모래시계처럼 권력은 영원하지 않다. 레임덕을 막으려고 몸부림 치면 칠수록 권력은 더 깊은 수렁으로 빠지게 된다”며 문 대통령이 자신의 업보가 될 두 전직 대통령을 사면해야 한다고 요구했다.",조선일보
679,2021.04.15,무소속 홍준표 “일시 외출했던 자기 집 사람 귀가 막으면…”,김명진 기자,"무소속 홍준표 의원이 15일 “외부 사람도 합당 하고, 영입 하자고 외치는 마당에 일시 외출했던 자기 집 사람의 귀가도 막는다면 당원과 국민들이 이를 용납치 않을 것”이라고 했다.
홍 의원은 이날 페이스북에 국민의힘 복당(復黨) 문제와 관련해 이 같은 입장을 밝히면서 “염량세태(炎凉世態)”라고 평했다. 이는 ‘뜨거웠다가 차가워지는 세태’라는 뜻으로 권세에 따라 아첨하거나 푸대접하는 세상 인심을 이르는 말이다.
홍 의원은 “복당 문제는 당과 대립각을 세워 풀어갈 생각이 전혀 없다. 자연스럽게 해결되기를 기대한다”고 했다.
이어 “소위 자기 계파 보스는 복당을 찬성하고 있는데 특정 소수계파 의원들 몇명이 자기 보스의 생각과는 달리 암묵적으로 반대 활동을 한다”고 했다.
그러면서 “비대위가 끝났음에도 전임 비대위원장이 데리고 온 일부 측근들이 아직도 사퇴 하지 않고 남아서 복당을 반대하고 있다”고 했다.
홍 의원은 지난해 미래통합당(국민의힘 전신) 공천 과정에서 탈락한 뒤 이에 불복하고 탈당, 무소속으로 출마해 당선됐다. 4·7 재·보궐선거를 기점으로 홍 의원과 불편한 관계였던 김종인 비대위원장이 물러나면서 그의 복당 문제가 다시 거론되고 있다.",조선일보
869,2021.04.10,홍준표 “물방울이 돌을 뚫듯… 文 정권이 무너지고 있다”,노석조 기자,"무소속 홍준표 의원이 여당 참패로 끝난 4·7 재·보궐선거 등 현 정국을 사자성어 ‘수적천석(水滴穿石·물방울이 모여 돌을 뚫는다)’에 빗댔다.
홍 의원은 10일 페이스북에서 “수적천석(水滴穿石)이라고 했다”면서 “도저히 무너질것 같지 않던 문(文) 정권이 허물어지기 시작했다”고 했다.
그는 “이제 정권 교체와 나라 바로 세우기 출발점에 들어섰다”며 “차분하고 치밀하게 준비해 나라를 정상화시키고, 정권 교체에 한 알의 밀알이 되겠다”고 했다. 그러면서 “공정, 자유, 서민, 소통을 기치로 선진강국을 만드는 데 전력을 다하겠다”고 했다.
앞서 홍 의원은 지난 7일 재선 결과에 대해 “탄핵 대선 이후 4년 만에 이겨 보는 눈물겨운 승리”라며 “이제 문재인 대통령은 정신 차리고 더 이상 국민들을 핍박하지 마라”고 했다.
",조선일보
998,2021.04.08,"홍준표, 김종인 재평가… “몽니 부리지마”→”역량 대단했다”",오경묵 기자,"무소속 홍준표 의원이 8일 4·7 재보궐 선거에서 압승을 이끌어낸 김종인 국민의힘 비상대책위원장에 대해 “그분의 역량은 대단했다”고 했다.
홍 의원은 이날 페이스북에서 “비록 노선은 달랐지만 총선 참패 이후 혼란했던 당을 수습했다”며 이같이 밝혔다.
그는 “건강 유의 하시고 재충전하신 후 다시 대한민국을 위해 일해 주실 것을 믿어 마지 않는다”며 “거듭 감사하다”고 했다. 김 위원장은 이날 국민의힘 비상대책위원장에서 물러났다.
홍 의원은 선거 기간 여러 차례 김 위원장을 비판했다. 야권 단일화가 난항을 빚는 데 대한 책임이 김 위원장에게 있다는 취지였다. 지난달 19일에는 “김종인의 몽니”, “제발 좀 빠지라”는 글을 페이스북에 올리기도 했다.
홍 의원은 전날 야당의 압승으로 나온 지상파 방송 3사 출구조사 결과 발표 직후 “모두가 하나 되니 하늘도 도우나 보다”며 “김종인·주호영 두 분 야권 지도자들께서도 참으로 수고하셨다”고 했다. 그는 “출구조사를 보니 탄핵 대선 이후 4년 만에 이겨보는 눈물겨운 승리”라며 “도와주신 국민 여러분, 당원 동지 여러분 정말 감사하다. 안철수 대표에게도 감사드린다”고 했다.
이어 “이제 문재인 대통령은 정신차리고 더 이상 국민들을 핍박하지 말라”며 “차분하게 임기 말 주변 정리하시고 마무리 잘 하시라”고 했다.",조선일보
